location,price,beds,baths,house_size,land_size
36,57000000,4,4,3500.0,10.5
34,135000000,5,3,4500.0,20.0
32,115000000,5,5,6500.0,14.8
23,105000000,4,4,4600.0,37.0
36,57000000,4,3,3500.0,10.4
4,82000000,7,5,6000.0,37.0
4,55000000,7,5,4000.0,18.5
38,120000000,5,5,7500.0,15.0
3,110000000,4,4,4500.0,22.0
32,100000000,7,6,8600.0,19.6
37,140000000,6,5,8000.0,53.0
28,67500000,7,7,5260.0,21.0
13,80000000,3,2,4000.0,12.0
30,135000000,5,5,6000.0,25.5
36,65000000,5,5,4000.0,11.2
26,65000000,5,3,3000.0,10.0
32,59000000,5,5,5500.0,12.0
32,65000000,4,4,4000.0,18.12
30,60000000,4,4,3450.0,6.0
32,80000000,5,4,5000.0,25.5
32,59500000,7,5,5200.0,12.5
3,85000000,4,2,5521.0,37.0
17,75000000,4,3,2800.0,10.0
36,65000000,5,4,4500.0,11.5
30,65000000,7,6,5000.0,18.0
36,65000000,5,4,3500.0,12.0
32,88000000,4,5,3000.0,16.0
35,60000000,6,4,4500.0,11.0
35,68000000,5,4,3600.0,9.5
18,55000000,4,3,2000.0,15.2
14,128250000,4,2,2000.0,22.5
23,140000000,9,6,2200.0,20.0
38,80000000,4,4,4800.0,18.5
13,130000000,4,2,1850.0,23.0
38,78000000,6,6,6000.0,11.3
26,130000000,4,3,3500.0,26.0
13,125000000,5,4,4200.0,12.0
3,120000000,4,4,4000.0,17.4
13,70000000,6,6,3050.0,22.0
38,100000000,6,4,4000.0,17.0
32,115000000,5,5,6500.0,14.8
32,52500000,5,4,4500.0,17.5
23,105000000,4,4,4600.0,37.0
37,56000000,4,2,2500.0,18.69
30,72000000,3,3,4100.0,6.0
18,75000000,4,4,2500.0,13.25
32,55000000,4,4,3500.0,13.0
18,95000000,6,5,4500.0,25.0
14,60000000,5,5,3500.0,8.6
32,75000000,5,4,4850.0,21.5
25,90000000,4,4,4200.0,40.0
13,80000000,3,2,3000.0,20.0
31,130000000,5,4,6000.0,22.5
32,59500000,7,5,5200.0,12.5
28,105000000,5,5,6600.0,40.0
18,80000000,9,4,5000.0,20.0
30,56000000,9,7,4500.0,10.0
28,68000000,6,6,5300.0,21.0
26,55000000,3,3,2000.0,20.0
32,75000000,3,2,2000.0,36.0
31,57000000,4,3,3000.0,7.5
31,85000000,4,3,2100.0,13.32
31,98000000,4,4,3500.0,9.7
38,57500000,5,5,3800.0,20.0
36,57000000,5,5,3000.0,10.5
0,60000000,4,3,2000.0,13.1
27,52500000,4,3,4500.0,12.0
14,120000000,6,4,3500.0,11.0
13,55000000,4,3,3000.0,10.0
26,95000000,3,3,5000.0,12.0
3,115000000,5,3,4012.0,43.0
32,120000000,5,4,3000.0,22.0
18,55000000,5,6,3750.0,12.0
31,65000000,7,7,5000.0,15.0
38,53000000,5,4,4000.0,10.25
18,135000000,6,5,5000.0,28.3
37,85000000,7,6,5000.0,19.0
4,120000000,7,1,1000.0,28.0
27,55000000,5,4,4100.0,11.5
28,140000000,5,5,4800.0,52.0
32,120000000,6,6,7000.0,15.0
13,70000000,5,4,4000.0,20.0
26,65000000,5,5,2900.0,18.6
38,57500000,5,5,3500.0,20.0
18,55000000,4,3,3000.0,7.0
38,120000000,5,6,7500.0,16.0
18,140000000,5,4,8500.0,22.0
38,57500000,5,5,3800.0,20.0
38,52000000,4,3,3600.0,12.8
26,85000000,5,6,6300.0,18.1
31,128500000,5,5,6400.0,21.0
38,55000000,5,4,3600.0,15.0
3,120000000,4,4,4000.0,17.4
26,68000000,5,4,3600.0,9.5
31,85000000,4,3,2150.0,21.75
28,70000000,4,3,3000.0,10.0
37,77500000,8,6,6000.0,12.0
18,60000000,4,2,2000.0,12.0
18,76000000,4,4,3400.0,10.9
36,60000000,4,4,3500.0,10.0
32,75000000,5,3,2848.0,20.0
31,135000000,4,3,3000.0,24.0
33,67500000,4,3,6680.0,21.5
32,115000000,5,5,6000.0,15.0
18,140000000,5,4,8500.0,22.0
31,52000000,3,2,3000.0,9.8
18,55000000,4,3,4500.0,12.0
9,55000000,4,4,4500.0,15.5
32,100000000,6,5,6000.0,22.0
27,55000000,5,4,4100.0,11.0
38,57500000,5,5,3800.0,20.0
32,70000000,6,5,3450.0,20.0
31,110000000,6,6,5000.0,6.0
31,110000000,5,4,4000.0,19.3
30,135000000,5,5,6000.0,25.5
23,100000000,4,3,1800.0,36.95
31,72500000,4,4,4500.0,11.5
31,90000000,5,4,4000.0,19.3
13,85000000,5,5,2500.0,7.0
3,62000000,4,2,1500.0,18.2
3,110000000,4,4,5000.0,20.0
18,67500000,7,5,3500.0,19.5
3,68000000,5,4,3600.0,9.5
3,60000000,7,7,8000.0,20.0
36,110000000,5,4,3600.0,16.89
13,80000000,5,3,2847.0,7.5
4,55000000,5,3,2800.0,26.0
3,75000000,5,4,4250.0,10.0
27,130000000,3,2,2000.0,51.0
32,55000000,4,3,3500.0,12.0
32,85000000,5,4,5000.0,25.5
18,90000000,9,6,6000.0,33.0
37,56000000,4,2,2500.0,18.69
38,75000000,5,3,5500.0,20.0
26,115000000,4,4,4500.0,32.8
30,68000000,5,4,3750.0,6.0
31,120000000,5,5,6400.0,22.0
31,90000000,5,4,4500.0,19.3
12,138000000,4,4,3200.0,7.5
4,60000000,4,3,3000.0,36.0
18,55000000,3,3,2200.0,14.0
32,70000000,6,5,3450.0,20.0
13,95000000,4,3,3000.0,19.0
22,80000000,5,4,3250.0,25.0
13,65000000,7,5,2800.0,6.9
26,90000000,5,6,6300.0,18.0
27,55000000,5,4,4100.0,11.5
28,68000000,6,6,5300.0,21.0
38,100000000,4,4,6900.0,35.0
38,57500000,5,5,3800.0,20.0
27,65000000,5,5,5000.0,14.0
28,85000000,3,2,1800.0,10.0
18,96660000,6,3,2500.0,17.9
32,57000000,4,5,4500.0,10.0
38,60000000,6,5,6500.0,23.0
32,104000000,4,4,3500.0,40.0
16,89000000,4,3,2500.0,10.8
3,82000000,4,4,4500.0,8.0
31,70000000,4,4,4000.0,10.0
26,85000000,5,4,4400.0,24.25
34,65000000,4,4,3600.0,10.0
31,75000000,4,4,3000.0,10.0
3,115000000,5,3,3500.0,43.0
38,52000000,5,5,2800.0,16.45
13,55000000,6,4,1500.0,9.92
38,53000000,4,4,4000.0,10.5
16,75000000,4,4,3000.0,10.0
36,70000000,4,4,3500.0,24.0
38,57500000,5,5,3500.0,20.0
38,75000000,5,4,3500.0,20.0
26,54000000,7,5,4500.0,10.89
27,60000000,4,3,3000.0,31.0
32,70000000,6,5,3450.0,20.0
32,64000000,3,2,950.0,20.0
18,60000000,7,6,5000.0,10.0
4,60000000,7,5,4000.0,18.5
13,65000000,7,5,2800.0,6.9
14,120000000,6,4,3500.0,11.0
26,80000000,4,3,2500.0,17.2
4,57500000,7,5,4000.0,18.5
3,63000000,4,4,4000.0,23.5
31,60000000,3,3,2860.0,12.0
38,110000000,5,5,7500.0,15.0
30,115000000,5,5,6000.0,25.5
25,62500000,6,5,5000.0,15.0
27,80000000,5,2,2875.0,41.0
32,68000000,6,5,4500.0,10.0
3,100000000,7,6,6200.0,23.0
31,85000000,5,5,2668.05,9.8
18,74000000,4,3,2146.0,15.67
38,100000000,4,4,5500.0,20.0
16,127500000,6,5,3500.0,15.0
26,69000000,4,3,4500.0,11.2
38,80000000,4,4,4800.0,18.5
31,98000000,4,5,3500.0,15.14
18,95000000,6,4,4500.0,24.52
3,62000000,5,4,2500.0,43.25
18,75000000,4,3,3000.0,10.0
4,55000000,3,3,3200.0,10.5
23,105000000,4,4,4600.0,37.0
18,120000000,6,6,6000.0,20.5
32,65000000,6,6,5000.0,8.5
32,130000000,9,6,5127.0,20.0
18,72323000,4,3,3500.0,23.33
31,73000000,3,3,2800.0,11.94
30,56016000,4,3,3000.0,15.56
18,80000000,8,8,5000.0,14.75
3,80000000,4,4,5000.0,14.0
32,102000000,4,4,3500.0,40.0
38,100000000,4,4,5200.0,30.0
35,75000000,7,6,6200.0,36.4
36,82000000,4,4,6500.0,18.5
27,75000000,9,6,5000.0,26.0
32,65000000,4,3,3600.0,10.0
13,95000000,3,2,2900.0,7.8
5,70000000,7,4,3000.0,9.5
30,55000000,4,4,2400.0,13.25
32,64500000,3,2,2600.0,26.85
14,65000000,6,4,2500.0,8.9
14,75000000,4,3,2850.0,7.5
25,62500000,6,4,5000.0,15.0
26,130000000,4,3,3500.0,26.0
36,125000000,5,4,4000.0,17.5
30,80000000,5,3,4500.0,13.5
32,98000000,6,6,5500.0,15.0
3,82000000,4,4,4500.0,8.0
13,72500000,5,4,2901.0,9.0
26,69000000,4,4,4500.0,11.2
38,55000000,3,1,2500.0,21.0
28,68000000,6,6,5300.0,21.0
32,55000000,4,5,3200.0,9.6
36,82000000,4,3,6000.0,18.5
3,61000000,4,3,3500.0,13.25
31,85000000,6,6,4500.0,14.0
30,55000000,8,3,3500.0,9.5
3,100000000,7,6,6200.0,23.0
23,80000000,3,3,3500.0,14.67
13,125000000,5,4,4200.0,12.0
32,70000000,8,4,4000.0,26.0
32,98000000,6,6,6000.0,14.5
36,75000000,5,5,3000.0,14.3
38,57500000,5,5,3800.0,20.0
18,57000000,4,3,3000.0,15.5
31,69500000,6,4,4000.0,10.0
32,100000000,7,6,8600.0,19.6
26,72000000,5,4,4200.0,9.5
9,65000000,4,3,3500.0,10.0
36,65000000,5,5,4000.0,11.2
13,55000000,4,3,3000.0,10.0
26,69000000,4,3,4500.0,11.2
27,78000000,6,3,6000.0,30.0
3,65000000,4,4,3500.0,32.4
28,69000000,8,8,5300.0,21.0
31,90000000,5,4,4000.0,19.3
12,138000000,4,4,3200.0,7.5
3,56000000,4,2,4000.0,24.0
26,55000000,5,3,3000.0,10.0
1,80000000,4,4,4800.0,17.0
3,75000000,5,4,4250.0,10.0
18,75000000,4,4,3317.0,12.71
36,57000000,4,5,4800.0,9.6
36,65000000,5,5,4000.0,11.2
27,60000000,8,8,4500.0,25.0
13,80000000,3,2,3000.0,20.0
27,60000000,8,8,4200.0,25.0
14,60000000,3,3,2200.0,13.19
3,80000000,3,3,4000.0,15.0
25,135000000,2,1,1300.0,8.1
18,65000000,4,4,6500.0,10.0
32,125000000,3,3,5000.0,39.7
16,105000000,5,3,3000.0,15.0
26,73000000,4,3,3900.0,15.0
34,54000000,8,7,4536.0,29.0
37,75000000,3,2,2200.0,30.0
31,80000000,4,4,4000.0,9.8
32,98000000,6,6,5000.0,15.0
14,120000000,3,4,3000.0,17.0
38,80000000,5,4,4800.0,20.0
4,69000000,4,3,4500.0,26.0
3,75000000,4,4,3000.0,12.0
31,65000000,3,3,2200.0,12.45
28,68000000,6,6,5300.0,21.0
28,60000000,4,3,3000.0,10.0
14,95000000,7,5,3000.0,12.5
38,100000000,8,7,6500.0,52.0
30,72000000,3,3,4100.0,6.0
32,85000000,7,4,2905.0,18.5
31,110000000,5,6,1905.75,7.5
38,120000000,5,5,8000.0,16.0
35,60000000,5,6,4000.0,24.0
35,80000000,3,2,1698.0,8.0
37,80000000,5,5,5000.0,19.0
38,75000000,5,4,7000.0,20.0
26,69000000,4,3,4500.0,11.2
4,60000000,4,3,3000.0,36.0
18,57500000,7,5,5000.0,10.0
13,130000000,6,5,3024.0,9.0
22,88000000,3,2,1500.0,7.5
38,57500000,5,5,3500.0,20.0
36,80000000,5,4,3500.0,14.3
30,120000000,9,7,5355.0,14.75
26,69000000,4,3,4500.0,11.0
31,55000000,5,3,2600.0,15.0
3,67500000,5,3,3500.0,16.6
38,100000000,6,4,4000.0,17.0
25,62500000,6,5,5000.0,15.0
36,87000000,3,3,4000.0,9.2
32,71145000,4,2,2500.0,27.9
4,82000000,7,5,6000.0,37.0
18,54000000,5,4,3800.0,12.3
18,90000000,5,5,3500.0,14.0
32,100000000,6,5,6000.0,22.0
26,69500000,4,3,4000.0,11.8
27,60000000,4,3,3000.0,31.0
31,85000000,6,6,4500.0,14.0
31,61000000,3,3,3000.0,12.5
30,80000000,4,3,5000.0,13.3
36,65000000,5,3,3000.0,17.0
36,65000000,5,5,4000.0,11.2
32,80000000,5,4,5000.0,25.5
3,80000000,4,4,5000.0,14.0
31,65000000,5,3,3000.0,14.0
9,55000000,4,4,4500.0,15.5
14,100000000,7,5,2800.0,12.5
38,57500000,4,4,3600.0,10.0
