location,price,beds,baths,house_size,land_size
17,19000000,4,3,2850,7.5
7,29500000,5,4,3500,8
17,18000000,4,4,4500,10
22,16500000,4,3,2400,6.7
33,4500000,2,1,1000,3
22,20500000,4,5,3500,9
17,22000000,4,3,2850,7
8,13000000,3,2,1800,10
30,57000000,4,4,3500,10.5
17,26000000,5,4,3000,8.5
1,26000000,4,4,3680,10
17,21500000,4,4,2680,7
2,13500000,4,2,2000,8.2
11,21500000,4,3,2500,6
28,135000000,5,3,4500,20
22,8500000,4,2,2500,10
25,12900000,3,2,1650,10
31,115000000,5,5,6500,14.8
18,195000000,7,7,11500,20
22,24000000,5,4,3400,11.5
9,24000000,4,3,2200,19
26,105000000,4,4,4600,37
1,6500000,2,2,1000,5.6
1,21500000,4,2,2170,10.6
18,375000000,5,5,8600,30
30,57000000,4,3,3500,10.4
31,37500000,5,3,37000,12
7,82000000,7,5,6000,37
24,62000000,10,6,6000,12
7,55000000,7,5,4000,18.5
22,13000000,3,2,1450,9.85
25,29800000,4,3,2600,8
25,21000000,5,2,3000,12
9,10900000,3,3,1450,10.5
28,29000000,3,2,5000,15
11,34000000,4,4,3300,8
11,120000000,5,5,7500,15
7,32000000,3,2,2205,7.5
9,13500000,3,3,1650,10
18,22800000,4,4,1885,5.5
17,18750000,3,2,2600,6.5
9,11000000,3,2,990,6
7,31000000,4,3,2500,6.5
31,32000000,4,2,3000,9.7
10,12000000,2,2,1600,5
28,26000000,4,4,3600,10
16,27000000,4,2,2500,8.35
18,18000000,3,3,1800,10.5
6,5500000,5,2,1500,15
28,23700000,4,3,3140,10
8,5900000,3,2,2400,10
2,24000000,4,3,2100,8.3
25,11000000,3,2,1500,11
18,110000000,4,4,4500,22
25,3950000,3,1,1150,9.6
22,13500000,3,2,2100,13.5
31,100000000,7,6,8600,19.6
9,16000000,4,3,2200,7
33,140000000,6,5,8000,53
1,26000000,4,4,3800,10
18,30000000,5,4,3500,16
1,21000000,4,3,2500,9
18,12500000,3,3,1200,7
1,6000000,2,2,1200,4.6
9,13500000,3,3,1650,10
8,5300000,3,1,1250,10
17,11000000,3,3,1300,6.5
17,23000000,4,4,2800,9
18,18000000,6,2,2000,10.2
17,21000000,4,4,2450,7
17,67500000,7,7,5260,21
17,30000000,5,4,2600,10
18,22500000,3,2,1800,10.5
1,17000000,4,3,2100,6.2
12,80000000,3,2,4000,12
2,17000000,5,3,2500,11.3
1,27000000,5,4,5408,12.8
11,34000000,4,3,2800,7.5
9,27000000,5,4,5408,12.8
31,30000000,6,4,3000,14
18,26000000,4,3,3000,7.6
17,20500000,4,3,2500,8.5
17,30000000,4,4,2900,8
17,11800000,3,3,1500,8
17,20000000,4,3,2500,10
13,4800000,2,2,1200,9
31,47500000,4,3,4000,18.5
18,30000000,5,3,3500,10
23,135000000,5,5,6000,25.5
2,29000000,4,4,2500,6
24,37500000,5,5,3200,6
17,15000000,3,1,1300,12
22,16000000,5,5,2600,10
25,15900000,3,3,2650,4
9,9000000,3,2,1500,10
17,30000000,5,4,2600,10
11,33500000,5,4,3800,7.8
34,2600000,3,3,1800,12.5
28,28500000,10,10,2750,7
9,11000000,3,1,1800,20
9,27500000,5,3,3700,18.5
22,8900000,3,2,1450,10
22,12000000,3,3,1400,7.75
9,17500000,4,2,2470,10
17,18700000,3,3,1800,7.13
31,48000000,5,4,2750,20
7,35000000,4,3,3100,6
31,38500000,6,4,2905,9.86
7,40000000,4,3,3000,10
30,65000000,5,5,4000,11.2
32,65000000,5,3,3000,10
34,15000000,5,2,2500,6.5
11,23500000,4,3,2500,6
31,59000000,5,5,5500,12
2,22750000,3,3,2600,7
17,19500000,5,3,3000,9.5
9,33500000,5,4,4000,12
22,9700000,2,1,700,6.7
31,24800000,3,2,25000,10
22,15400000,3,3,1700,7
17,19000000,3,3,2400,10
33,33000000,4,4,2700,8
8,11500000,3,3,1450,7.3
31,32000000,5,5,3500,8
34,13800000,5,2,2300,6
22,18500000,3,2,1800,22
18,180000000,7,7,14000,23
2,28000000,4,4,3680,10
17,23000000,4,3,2582,8.6
1,34000000,5,3,3600,19
17,14000000,5,3,1950,6.6
22,24000000,5,4,3400,11.5
17,24000000,4,3,2800,7
21,19500000,3,3,2150,8.6
17,20500000,4,3,2850,8
22,4300000,3,1,1000,5.72
22,14000000,4,3,1800,11
31,21500000,4,3,2500,6.5
24,38000000,4,4,3499,6
17,12000000,3,2,1350,7.2
16,29000000,3,1,2000,10
29,11500000,5,3,2552,15
18,19500000,3,3,2040,6.5
22,18500000,5,3,2500,10
8,22500000,4,4,3200,8
31,21500000,4,3,2500,6.5
28,7300000,2,2,1000,8
24,46000000,5,4,2850,7.9
24,46000000,5,4,3050,7.9
24,50000000,5,6,3750,12
23,35000000,4,3,2400,6
31,65000000,4,4,4000,18.12
22,21500000,4,3,2200,8
17,30000000,4,4,2400,10
11,30000000,5,4,3500,7.5
7,17000000,3,3,3500,9
23,60000000,4,4,3450,6
22,25000000,5,2,4000,12.5
24,80000000,10,10,6000,33.5
17,37000000,4,4,2900,10
31,80000000,5,4,5000,25.5
1,9000000,3,2,1380,6.5
1,13000000,3,3,1580,8
2,19800000,4,2,2200,8.6
32,127500000,5,4,9000,18
35,38000000,7,4,1020,3.75
30,25000000,3,3,3500,17
31,59500000,7,5,5200,12.5
9,22500000,5,3,2400,18.5
19,230000000,4,2,1890.4,19.5
1,24800000,4,4,2500,7
11,21500000,4,3,2200,6.5
31,45000000,5,5,2400,10.5
11,32500000,4,4,3200,10
17,22500000,4,3,1883,5.5
9,31000000,4,5,4000,10
9,8300000,2,1,1600,12
17,19000000,3,3,2400,10
17,11800000,3,3,1500,8
17,11000000,3,3,1300,6.5
18,85000000,4,2,5521,37
17,18000000,4,4,2200,7
17,23000000,4,4,2800,9
