location,price,beds,baths,house_size,land_size
Piliyandala,12500000,4,2,1750.0,6.5
Kottawa,29500000,4,4,3510.0,9.0
Malabe,19000000,4,3,2850.0,7.5
Kottawa,35000000,7,4,1700.0,15.0
Boralesgamuwa,29500000,5,4,3500.0,8.0
Malabe,18000000,4,4,4500.0,10.0
Piliyandala,16500000,4,3,2400.0,6.7
Ratmalana,4500000,2,1,1000.0,3.0
Kottawa,8900000,3,2,1380.0,6.0
Piliyandala,20500000,4,5,3500.0,9.0
Malabe,22000000,4,3,2850.0,7.0
Homagama,23000000,5,3,3500.0,20.0
Kesbewa,13000000,3,2,1800.0,10.0
Rajagiriya,57000000,4,4,3500.0,10.5
Malabe,26000000,5,4,3000.0,8.5
Kottawa,26000000,4,4,3680.0,10.0
Malabe,21500000,4,4,2680.0,7.0
Moratuwa,13500000,4,2,2000.0,8.2
Talawatugoda,21500000,4,3,2500.0,6.0
Pannipitiya,135000000,5,3,4500.0,20.0
Piliyandala,8500000,4,2,2500.0,10.0
Homagama,12900000,3,2,1650.0,10.0
Nugegoda,115000000,5,5,6500.0,14.8
Battaramulla,195000000,7,7,11500.0,20.0
Piliyandala,24000000,5,4,3400.0,11.5
Athurugiriya,24000000,4,3,2200.0,19.0
Kohuwala,105000000,4,4,4600.0,37.0
Kottawa,6500000,2,2,1000.0,5.6
Kottawa,21500000,4,2,2170.0,10.6
Battaramulla,375000000,5,5,8600.0,30.0
Rajagiriya,57000000,4,3,3500.0,10.4
Nugegoda,37500000,5,3,37000.0,12.0
Boralesgamuwa,82000000,7,5,6000.0,37.0
Dehiwala,62000000,10,6,6000.0,12.0
Boralesgamuwa,55000000,7,5,4000.0,18.5
Piliyandala,13000000,3,2,1450.0,9.85
Homagama,29800000,4,3,2600.0,8.0
Homagama,21000000,5,2,3000.0,12.0
Athurugiriya,10900000,3,3,1450.0,10.5
Pannipitiya,29000000,3,2,5000.0,15.0
Talawatugoda,34000000,4,4,3300.0,8.0
Talawatugoda,120000000,5,5,7500.0,15.0
Kesbewa,9200000,3,1,1300.0,7.0
Boralesgamuwa,32000000,3,2,2205.0,7.5
Athurugiriya,13500000,3,3,1650.0,10.0
Moratuwa,4000000,2,1,1080.0,4.0
Battaramulla,22800000,4,4,1885.0,5.5
Moratuwa,11000000,3,2,1900.0,9.5
Malabe,18750000,3,2,2600.0,6.5
Athurugiriya,11000000,3,2,990.0,6.0
Boralesgamuwa,31000000,4,3,2500.0,6.5
Colombo 15,12000000,2,2,1600.0,5.0
Pannipitiya,26000000,4,4,3600.0,10.0
Maharagama,27000000,4,2,2500.0,8.35
Battaramulla,18000000,3,3,1800.0,10.5
Hanwella,5500000,5,2,1500.0,15.0
Pannipitiya,23700000,4,3,3140.0,10.0
Kesbewa,5900000,3,2,2400.0,10.0
Moratuwa,24000000,4,3,2100.0,8.3
Homagama,11000000,3,2,1500.0,11.0
Battaramulla,110000000,4,4,4500.0,22.0
Homagama,3950000,3,1,1150.0,9.6
Piliyandala,13500000,3,2,2100.0,13.5
Nugegoda,100000000,7,6,8600.0,19.6
Athurugiriya,16000000,4,3,2200.0,7.0
Ratmalana,140000000,6,5,8000.0,53.0
Kottawa,26000000,4,4,3800.0,10.0
Battaramulla,30000000,5,4,3500.0,16.0
Kottawa,21000000,4,3,2500.0,9.0
Battaramulla,12500000,3,3,1200.0,7.0
Kottawa,6000000,2,2,1200.0,4.6
Kesbewa,5300000,3,1,1250.0,10.0
Athurugiriya,9800000,3,3,1350.0,6.5
Malabe,11000000,3,3,1300.0,6.5
Malabe,23000000,4,4,2800.0,9.0
Battaramulla,18000000,6,2,2000.0,10.2
Malabe,21000000,4,4,2450.0,7.0
Malabe,67500000,7,7,5260.0,21.0
Malabe,30000000,5,4,2600.0,10.0
Battaramulla,22500000,3,2,1800.0,10.5
Kottawa,17000000,4,3,2100.0,6.2
Colombo 5,80000000,3,2,4000.0,12.0
Moratuwa,17000000,5,3,2500.0,11.3
Kottawa,27000000,5,4,5408.0,12.8
Talawatugoda,34000000,4,3,2800.0,7.5
Athurugiriya,27000000,5,4,5408.0,12.8
Nugegoda,30000000,6,4,3000.0,14.0
Battaramulla,26000000,4,3,3000.0,7.6
Malabe,20500000,4,3,2500.0,8.5
Malabe,30000000,4,4,2900.0,8.0
Malabe,11800000,3,3,1500.0,8.0
Malabe,20000000,4,3,2500.0,10.0
Moratuwa,8800000,3,1,1100.0,8.0
Colombo 7,4800000,2,2,1200.0,9.0
Nugegoda,47500000,4,3,4000.0,18.5
Battaramulla,30000000,5,3,3500.0,10.0
Moratuwa,3600000,1,1,1000.0,3.0
Mount Lavinia,135000000,5,5,6000.0,25.5
Moratuwa,29000000,4,4,2500.0,6.0
Dehiwala,37500000,5,5,3200.0,6.0
Malabe,15000000,3,1,1300.0,12.0
Kaduwela,6300000,3,1,1500.0,10.0
Piliyandala,16000000,5,5,2600.0,10.0
Homagama,15900000,3,3,2650.0,4.0
Athurugiriya,9000000,3,2,1500.0,10.0
Talawatugoda,33500000,5,4,3800.0,7.8
Angoda,2600000,3,3,1800.0,12.5
Pannipitiya,28500000,10,10,2750.0,7.0
Athurugiriya,11000000,3,1,1800.0,20.0
Athurugiriya,27500000,5,3,3700.0,18.5
Athurugiriya,17500000,4,2,2200.0,6.3
Piliyandala,8900000,3,2,1450.0,10.0
Piliyandala,12000000,3,3,1400.0,7.75
Athurugiriya,17500000,4,2,2470.0,10.0
Malabe,18700000,3,3,1800.0,7.13
Nugegoda,48000000,5,4,2750.0,20.0
Boralesgamuwa,35000000,4,3,3100.0,6.0
Nugegoda,38500000,6,4,2905.0,9.86
Boralesgamuwa,40000000,4,3,3000.0,10.0
Rajagiriya,65000000,5,5,4000.0,11.2
Kotte,65000000,5,3,3000.0,10.0
Angoda,15000000,5,2,2500.0,6.5
Talawatugoda,23500000,4,3,2500.0,6.0
Nugegoda,59000000,5,5,5500.0,12.0
Moratuwa,22750000,3,3,2600.0,7.0
Malabe,19500000,5,3,3000.0,9.5
Athurugiriya,33500000,5,4,4000.0,12.0
Piliyandala,9700000,2,1,700.0,6.7
Nugegoda,24800000,3,2,25000.0,10.0
Piliyandala,15400000,3,3,1700.0,7.0
Maharagama,24500000,4,2,2000.0,13.4
Malabe,19000000,3,3,2400.0,10.0
Ratmalana,33000000,4,4,2700.0,8.0
Kesbewa,11500000,3,3,1450.0,7.3
Nugegoda,32000000,5,5,3500.0,8.0
Angoda,13800000,5,2,2300.0,6.0
Piliyandala,18500000,3,2,1800.0,22.0
Battaramulla,180000000,7,7,14000.0,23.0
Moratuwa,28000000,4,4,3680.0,10.0
Malabe,23000000,4,3,2582.0,8.6
Kottawa,34000000,5,3,3600.0,19.0
Malabe,14000000,5,3,1950.0,6.6
Malabe,24000000,4,3,2800.0,7.0
Dehiwala,54600000,10,6,8500.0,12.0
Kaduwela,19500000,3,3,2150.0,8.6
Malabe,20500000,4,3,2850.0,8.0
Nugegoda,16500000,3,1,3267.0,12.0
Piliyandala,4300000,3,1,1000.0,5.72
Piliyandala,14000000,4,3,1800.0,11.0
Nugegoda,21500000,4,3,2500.0,6.5
Dehiwala,38000000,4,4,3499.0,6.0
Malabe,12000000,3,2,1350.0,7.2
Maharagama,29000000,3,1,2000.0,10.0
Padukka,11500000,5,3,2552.0,15.0
Battaramulla,19500000,3,3,2040.0,6.5
Piliyandala,18500000,5,3,2500.0,10.0
Kesbewa,22500000,4,4,3200.0,8.0
Pannipitiya,7300000,2,2,1000.0,8.0
Dehiwala,38000000,4,4,3400.0,6.0
Dehiwala,46000000,5,4,2850.0,7.9
Dehiwala,46000000,5,4,3050.0,7.9
Dehiwala,50000000,5,6,3750.0,12.0
Mount Lavinia,35000000,4,3,2400.0,6.0
Nugegoda,65000000,4,4,4000.0,18.12
Piliyandala,21500000,4,3,2200.0,8.0
Malabe,30000000,4,4,2400.0,10.0
Talawatugoda,30000000,5,4,3500.0,7.5
Boralesgamuwa,17000000,3,3,3500.0,9.0
Dehiwala,50000000,5,6,3749.0,12.0
Mount Lavinia,60000000,4,4,3450.0,6.0
Piliyandala,25000000,5,2,4000.0,12.5
Homagama,6800000,3,2,1200.0,10.0
Dehiwala,80000000,10,10,6000.0,33.5
Malabe,37000000,4,4,2900.0,10.0
Nugegoda,80000000,5,4,5000.0,25.5
Kottawa,9000000,3,2,1380.0,6.5
Kottawa,13000000,3,3,1580.0,8.0
Moratuwa,19800000,4,2,2200.0,8.6
Kaduwela,7000000,5,4,2400.0,12.2
Kotte,127500000,5,4,9000.0,18.0
Nawala,38000000,7,4,1020.0,3.75
Rajagiriya,25000000,3,3,3500.0,17.0
Nugegoda,59500000,7,5,5200.0,12.5
Athurugiriya,22500000,5,3,2400.0,18.5
Wellampitiya,230000000,4,2,1890.4,19.5
Kottawa,24800000,4,4,2500.0,7.0
Talawatugoda,21500000,4,3,2200.0,6.5
Nugegoda,45000000,5,5,2400.0,10.5
Talawatugoda,32500000,4,4,3200.0,10.0
Malabe,22500000,4,3,1883.0,5.5
Athurugiriya,31000000,4,5,4000.0,10.0
Athurugiriya,8300000,2,1,1600.0,12.0
Homagama,9500000,4,2,2000.0,12.0
Battaramulla,85000000,4,2,5521.0,37.0
Malabe,18000000,4,4,2200.0,7.0
Piliyandala,28800000,6,5,3300.0,8.2
Dehiwala,45000000,3,2,3500.0,14.5
Colombo 15,25000000,2,2,800.0,6.5
Pannipitiya,26000000,3,2,1500.0,10.0
Colombo 5,260000000,4,4,5000.0,20.1
Malabe,20000000,4,3,2400.0,10.0
Malabe,21000000,4,4,2800.0,7.0
Malabe,21500000,4,3,2650.0,7.0
Malabe,11000000,3,2,1500.0,7.0
Malabe,28500000,5,4,3800.0,10.5
Kottawa,12500000,3,2,1537.0,10.0
Kohuwala,33000000,4,4,2900.0,8.0
Malabe,21500000,4,4,2400.0,6.0
Nugegoda,37500000,5,3,3700.0,12.0
Kottawa,9500000,3,2,1100.0,9.0
Maharagama,47000000,4,3,3000.0,10.0
Malabe,22500000,4,4,2800.0,8.0
Colombo 9,75000000,4,3,2800.0,10.0
Malabe,21500000,4,3,2200.0,6.5
Malabe,16000000,3,3,1600.0,10.0
Malabe,28500000,5,4,3500.0,10.0
Piliyandala,8000000,4,2,2420.0,5.0
Battaramulla,49000000,5,5,6000.0,21.0
Malabe,22500000,4,4,2850.0,8.0
Maharagama,29000000,4,2,3000.0,20.0
Malabe,24000000,4,4,2850.0,8.0
Malabe,30000000,5,4,2850.0,10.0
Boralesgamuwa,30000000,5,4,3500.0,7.6
Homagama,4200000,2,1,1000.0,6.5
Rajagiriya,65000000,5,4,4500.0,11.5
Malabe,24000000,5,4,2500.0,10.0
Piliyandala,8700000,2,2,1200.0,6.0
Rajagiriya,32500000,4,4,3600.0,8.0
Piliyandala,18500000,4,3,2300.0,10.0
Malabe,23500000,4,4,2780.0,8.0
Kesbewa,18500000,4,3,2000.0,9.0
Kaduwela,13000000,3,2,2000.0,14.0
Malabe,33000000,6,6,3900.0,12.0
Kolonnawa,11000000,3,2,1633.0,7.5
Colombo 5,5500000,3,2,2000.0,2.0
Malabe,24000000,4,4,2650.0,8.0
Athurugiriya,7200000,2,1,950.0,6.0
Kottawa,18500000,5,4,2600.0,9.7
Mount Lavinia,65000000,7,6,5000.0,18.0
Malabe,33000000,6,6,3800.0,12.0
Malabe,24000000,4,4,2900.0,7.0
Rajagiriya,65000000,5,4,3500.0,12.0
Malabe,25800000,4,3,3400.0,8.5
Talawatugoda,45000000,3,2,3000.0,11.5
Dehiwala,37000000,4,5,4000.0,10.0
Battaramulla,180000000,9,10,18300.0,60.26
Malabe,21000000,4,4,24520.0,7.0
Homagama,18500000,4,4,2382.0,8.5
Malabe,26000000,5,4,3300.0,8.0
Athurugiriya,7900000,2,1,1300.0,12.0
Homagama,18000000,5,3,3000.0,10.0
Nugegoda,43000000,5,4,3209.0,7.85
Maharagama,18000000,2,2,1500.0,11.25
Boralesgamuwa,21000000,4,2,2500.0,16.0
Malabe,21000000,4,4,2800.0,7.5
Malabe,51000000,3,4,4000.0,27.1
Athurugiriya,8000000,2,1,1200.0,10.0
Malabe,18000000,4,4,2450.0,7.0
Malabe,42500000,5,3,3500.0,17.0
Malabe,21500000,4,3,2850.0,6.0
Malabe,21000000,4,3,2850.0,7.0
Maharagama,42000000,5,3,4100.0,14.3
Malabe,21000000,4,4,2850.0,7.5
Malabe,24000000,5,4,2800.0,10.25
Athurugiriya,18000000,4,4,2200.0,8.0
Malabe,30000000,4,3,315.0,6.0
Malabe,19500000,4,4,2750.0,10.5
Malabe,18000000,3,3,2300.0,6.5
Nugegoda,88000000,4,5,3000.0,16.0
Malabe,19500000,3,3,2400.0,8.6
Malabe,19500000,4,3,2250.0,6.5
Kotte,6900000,2,1,650.0,3.5
Athurugiriya,8700000,3,1,1100.0,6.0
Malabe,9865000,3,3,1905.0,3.5
Battaramulla,25000000,4,3,3000.0,10.0
Athurugiriya,13400000,3,3,1750.0,7.0
Malabe,18000000,3,3,1800.0,7.13
Malabe,23000000,4,4,2300.0,11.0
Malabe,19500000,4,3,2850.0,7.5
Piliyandala,13000000,4,2,1600.0,11.5
Malabe,22500000,5,4,2850.0,10.0
Kesbewa,11000000,3,2,1600.0,8.3
Malabe,31000000,5,4,3800.0,7.5
Malabe,28800000,6,4,2850.0,12.0
Piliyandala,60000000,6,4,4500.0,11.0
Homagama,9300000,3,3,1410.0,10.5
Kolonnawa,7500000,2,2,1127.0,2.5
Kolonnawa,19000000,6,3,2230.0,5.5
Rajagiriya,7500000,3,2,1500.0,3.0
Dehiwala,48000000,4,4,3300.0,11.5
Piliyandala,16500000,4,3,2500.0,13.0
Nugegoda,15000000,2,1,1400.0,7.5
Piliyandala,68000000,5,4,3600.0,9.5
Kotte,55000000,10,5,3500.0,12.0
Kottawa,19000000,4,4,2620.0,8.0
Moratuwa,3900000,3,2,2000.0,15.0
Piliyandala,8700000,2,2,1250.0,6.0
Talawatugoda,12000000,3,2,1100.0,5.1
Ratmalana,6300000,2,1,600.0,1.0
Piliyandala,15900000,6,3,2750.0,8.5
Dehiwala,55000000,4,3,2000.0,15.2
Moratuwa,7000000,4,1,2000.0,7.0
Talawatugoda,35300000,4,4,3200.0,10.5
Moratuwa,7000000,2,1,1500.0,10.0
Malabe,27000000,3,2,1500.0,10.0
Pannipitiya,24800000,4,4,2500.0,7.0
Pannipitiya,21000000,4,3,2500.0,9.0
Battaramulla,16500000,3,2,2200.0,7.1
Kottawa,20000000,4,4,2500.0,8.0
Kotte,24000000,6,3,2850.0,7.0
Colombo 6,128250000,4,2,2000.0,22.5
Malabe,12800000,3,3,1300.0,7.9
Homagama,5800000,2,1,720.0,6.0
Colombo 15,50000000,7,4,3000.0,17.75
Malabe,20000000,4,4,2500.0,10.0
Kohuwala,140000000,9,6,2200.0,20.0
Dehiwala,8900000,5,2,1500.0,2.5
Malabe,16000000,7,4,3000.0,21.0
Ratmalana,13500000,3,2,1600.0,6.0
Malabe,14000000,5,4,1950.0,6.6
Malabe,29000000,4,3,3200.0,10.5
Homagama,24000000,5,3,3000.0,9.5
Homagama,2800000,2,1,1200.0,5.8
Moratuwa,15900000,4,3,2200.0,8.0
Homagama,31500000,5,4,4000.0,6.0
Pannipitiya,11000000,3,1,2000.0,9.3
Boralesgamuwa,32000000,4,5,3223.0,6.2
Pannipitiya,40000000,4,3,3800.0,22.0
Talawatugoda,80000000,4,4,4800.0,18.5
Colombo 9,6500000,2,1,850.0,800.0
Colombo 7,525000000,4,6,11715.0,22.3
Talawatugoda,35000000,4,4,3250.0,8.0
Piliyandala,9800000,3,2,960.0,10.0
Colombo 4,200000000,6,4,4000.0,8.8
Wellampitiya,12500000,4,2,1520.0,4.5
Kohuwala,30000000,3,3,2850.0,7.5
Talawatugoda,34000000,4,3,2850.0,7.5
Malabe,18500000,3,2,1950.0,8.0
Colombo 5,130000000,4,2,1850.0,23.0
Kotte,29000000,6,3,2650.0,9.6
Talawatugoda,78000000,6,6,6000.0,11.3
Pannipitiya,25000000,5,4,2800.0,10.0
Malabe,23000000,4,4,3000.0,8.0
Nawala,41000000,3,2,2600.0,11.0
Kesbewa,13000000,4,3,1900.0,10.0
Padukka,5900000,3,1,1200.0,12.0
Pannipitiya,21000000,4,3,2600.0,10.7
Talawatugoda,33500000,5,4,4200.0,7.0
Kotte,130000000,4,3,3500.0,26.0
Kottawa,13000000,3,2,1400.0,8.0
Athurugiriya,29500000,4,3,4500.0,11.0
Kottawa,11700000,3,2,1550.0,8.7
Nugegoda,37500000,5,5,4000.0,6.0
Pannipitiya,12900000,3,2,1200.0,10.9
Maharagama,15500000,3,1,1500.0,10.8
Mount Lavinia,23000000,5,5,2500.0,11.6
Kaduwela,150000000,5,2,1600.0,13.0
Athurugiriya,7500000,3,2,1050.0,6.0
Piliyandala,11000000,4,2,2624.0,8.5
Kottawa,9700000,3,2,1100.0,7.4
Kottawa,400000000,7,6,3500.0,10.0
Nugegoda,38500000,6,4,2900.0,9.85
Hanwella,11000000,5,2,1100.0,12.0
