location,price,beds,baths,house_size,land_size
3,195000000,7,7,11500.0,20.0
3,375000000,5,5,8600.0,30.0
3,180000000,7,7,14000.0,23.0
39,230000000,4,2,1890.4,19.5
13,260000000,4,4,5000.0,20.1
13,260000000,4,4,5000.0,20.1
15,525000000,4,6,11715.0,22.3
12,200000000,6,4,4000.0,8.8
21,150000000,5,2,1600.0,13.0
13,250000000,6,7,3800.0,15.0
32,250000000,6,7,3500.0,15.0
3,255000000,4,4,3500.0,23.5
3,170000000,6,5,5544.0,20.0
32,220000000,4,4,4000.0,14.5
36,160000000,8,2,4000.0,12.0
13,147500000,5,3,2500.0,11.6
36,175000000,6,8,12000.0,34.5
8,275000000,4,6,3120.0,13.5
39,230000000,4,2,1890.4,19.5
13,300000000,5,5,7000.0,12.0
39,230000000,4,2,1890.4,19.5
31,160000000,3,3,5500.0,48.0
32,220000000,5,4,6000.0,14.5
12,200000000,3,3,2500.0,11.5
3,200000000,5,5,8000.0,23.0
16,150000000,5,3,5000.0,20.0
32,150000000,9,7,6500.0,8.0
31,150000000,5,3,3500.0,20.0
13,175000000,4,3,3500.0,14.0
4,250000000,6,4,3000.0,10.0
32,160000000,5,5,8000.0,18.0
12,429000000,6,3,10000.0,33.0
3,164000000,8,8,9000.0,16.0
3,175000000,4,4,4000.0,21.0
32,160000000,5,5,8000.0,18.0
32,180000000,5,5,8000.0,18.0
13,325000000,4,6,6700.0,15.0
4,160000000,5,5,4500.0,31.68
32,220000000,5,4,6000.0,14.5
13,180000000,6,6,4500.0,8.8
3,180000000,9,7,12000.0,25.0
3,150000000,7,6,6500.0,7.0
13,270000000,4,4,3500.0,23.0
3,180000000,5,5,6600.0,38.0
29,163500000,4,4,12000.0,43.0
3,165000000,4,4,4000.0,21.0
3,175000000,4,4,4000.0,21.0
31,175000000,5,4,4000.0,19.0
3,255000000,4,4,3500.0,23.5
3,155000000,6,5,5544.0,20.0
17,190000000,10,10,2600.0,12.5
29,220000000,5,2,2000.0,10.0
32,220000000,4,4,4900.0,14.95
3,375000000,5,5,8600.0,30.0
13,147500000,5,3,2500.0,11.6
32,160000000,4,4,4000.0,14.5
3,165000000,5,4,5500.0,40.0
15,482000000,6,5,6000.0,31.0
4,160000000,5,5,4500.0,31.68
13,180000000,5,5,4600.0,8.5
35,168000000,4,2,1600.0,42.0
3,185000000,7,7,11000.0,20.0
37,150000000,6,7,6080.0,50.0
5,187500000,5,3,3500.0,25.0
13,180000000,6,6,4600.0,8.5
18,150000000,9,5,7000.0,30.0
12,200000000,3,3,2500.0,11.5
11,200000000,4,2,4000.0,13.0
26,270000000,5,5,9000.0,80.0
14,300000000,3,2,2500.0,30.0
15,345000000,5,5,4500.0,23.0
35,215000000,5,4,2500.0,8.2
26,250000000,5,5,8900.0,38.0
11,160000000,3,2,2000.0,10.0
16,450000000,3,2,3200.0,50.0
3,180000000,5,5,6600.0,38.0
38,155000000,6,6,6000.0,20.0
3,160000000,4,5,5300.0,56.0
13,170000000,5,5,4600.0,8.5
30,225000000,4,3,1500.0,4.0
13,150000000,4,2,2500.0,10.0
3,180000000,5,5,6600.0,38.0
3,185000000,7,7,11000.0,20.0
3,200000000,5,5,8000.0,23.0
32,220000000,5,4,6000.0,14.5
15,250000000,3,1,1000.0,20.0
12,240000000,9,6,10000.0,19.5
3,165000000,4,4,6000.0,21.0
3,153000000,4,6,7000.0,16.0
13,180000000,5,5,4000.0,8.5
15,180000000,6,6,4000.0,10.25
3,195000000,7,7,11500.0,20.0
13,218500000,5,2,2500.0,23.0
32,160000000,4,4,4000.0,14.5
13,180000000,5,5,4600.0,8.5
32,180000000,5,5,8000.0,18.0
3,180000000,5,5,6600.0,38.0
15,340000000,6,5,7300.0,19.5
3,150000000,6,6,6000.0,19.5
11,210000000,10,10,10000.0,17.5
13,180000000,6,6,4600.0,8.5
13,345000000,4,3,5000.0,37.5
18,165000000,9,8,3900.0,18.9
36,170000000,4,3,5700.0,20.0
31,250000000,5,5,6500.0,20.0
36,160000000,8,2,4000.0,12.0
32,150000000,9,7,6500.0,8.0
16,175000000,6,3,4000.0,26.0
3,180000000,5,5,5500.0,38.0
35,175000000,4,4,3000.0,9.0
15,220000000,4,3,4500.0,19.0
38,155000000,6,6,6000.0,20.0
3,150000000,7,6,6500.0,34.0
18,180000000,8,6,4000.0,20.5
11,227500000,10,10,12500.0,17.0
15,210000000,3,2,2000.0,20.0
15,240000000,5,4,3500.0,14.81
11,255000000,6,6,6000.0,17.0
38,155000000,6,6,6000.0,20.0
13,270000000,6,5,1000.0,20.0
32,220000000,5,5,8000.0,18.0
3,164000000,8,8,9000.0,16.0
12,280000000,6,5,8000.0,20.0
38,155000000,6,6,6000.0,20.0
18,207000000,4,3,6000.0,40.0
32,160000000,5,5,8000.0,18.0
18,165000000,4,3,2000.0,42.0
32,175000000,3,2,2300.0,6.0
15,214500000,1,1,4000.0,16.5
13,180000000,4,4,3500.0,8.8
8,235000000,4,4,3000.0,15.5
11,210000000,4,3,3500.0,12.0
13,180000000,5,5,4600.0,8.5
16,175000000,5,3,5000.0,20.0
32,225000000,9,9,10000.0,25.0
13,300000000,5,5,7000.0,12.0
32,250000000,9,9,10000.0,25.0
3,200000000,5,5,8000.0,23.0
3,185000000,7,7,11000.0,20.0
35,165000000,4,3,2000.0,12.5
36,175000000,6,8,12000.0,34.5
3,175000000,4,5,4700.0,55.0
13,215000000,3,5,4000.0,11.8
3,180000000,7,7,14000.0,23.0
13,175000000,3,3,3500.0,16.25
11,210000000,10,10,10000.0,17.5
32,230000000,3,3,1800.0,5.5
3,180000000,4,4,5700.0,32.0
28,170000000,4,3,8500.0,90.0
15,185000000,3,2,2500.0,12.0
26,250000000,5,5,8000.0,38.0
32,220000000,5,4,6000.0,14.5
3,230000000,3,3,6000.0,57.0
36,450000000,4,4,12150.0,57.7
32,225000000,9,9,10000.0,25.0
7,218500000,6,6,1500.0,38.0
7,150000000,5,5,6000.0,27.5
3,180000000,5,5,6600.0,38.0
