location,price,beds,baths,house_size,land_size,cluster
35,12500000,4,2,1750.0,6.5,0
25,29500000,4,4,3510.0,9.0,0
28,19000000,4,3,2850.0,7.5,0
25,35000000,7,4,1700.0,15.0,0
4,29500000,5,4,3500.0,8.0,0
28,18000000,4,4,4500.0,10.0,0
35,16500000,4,3,2400.0,6.7,0
37,4500000,2,1,1000.0,3.0,0
25,8900000,3,2,1380.0,6.0,0
35,20500000,4,5,3500.0,9.0,0
28,22000000,4,3,2850.0,7.0,0
20,23000000,5,3,3500.0,20.0,0
22,13000000,3,2,1800.0,10.0,0
36,57000000,4,4,3500.0,10.5,2
28,26000000,5,4,3000.0,8.5,0
25,26000000,4,4,3680.0,10.0,0
28,21500000,4,4,2680.0,7.0,0
29,13500000,4,2,2000.0,8.2,0
38,21500000,4,3,2500.0,6.0,0
34,135000000,5,3,4500.0,20.0,2
35,8500000,4,2,2500.0,10.0,0
20,12900000,3,2,1650.0,10.0,0
32,115000000,5,5,6500.0,14.8,2
3,195000000,7,7,11500.0,20.0,1
35,24000000,5,4,3400.0,11.5,0
1,24000000,4,3,2200.0,19.0,0
23,105000000,4,4,4600.0,37.0,2
25,6500000,2,2,1000.0,5.6,0
25,21500000,4,2,2170.0,10.6,0
3,375000000,5,5,8600.0,30.0,1
36,57000000,4,3,3500.0,10.4,2
32,37500000,5,3,3700.0,12.0,0
4,82000000,7,5,6000.0,37.0,2
18,62000000,10,6,6000.0,12.0,2
4,55000000,7,5,4000.0,18.5,2
35,13000000,3,2,1450.0,9.85,0
20,29800000,4,3,2600.0,8.0,0
20,21000000,5,2,3000.0,12.0,0
1,10900000,3,3,1450.0,10.5,0
34,29000000,3,2,5000.0,15.0,0
38,34000000,4,4,3300.0,8.0,0
38,120000000,5,5,7500.0,15.0,2
22,9200000,3,1,1300.0,7.0,0
4,32000000,3,2,2205.0,7.5,0
1,13500000,3,3,1650.0,10.0,0
29,4000000,2,1,1080.0,4.0,0
3,22800000,4,4,1885.0,5.5,0
29,11000000,3,2,1900.0,9.5,0
28,18750000,3,2,2600.0,6.5,0
1,11000000,3,2,990.0,6.0,0
4,31000000,4,3,2500.0,6.5,0
9,12000000,2,2,1600.0,5.0,0
34,26000000,4,4,3600.0,10.0,0
27,27000000,4,2,2500.0,8.35,0
3,18000000,3,3,1800.0,10.5,0
19,5500000,5,2,1500.0,15.0,0
34,23700000,4,3,3140.0,10.0,0
22,5900000,3,2,2400.0,10.0,0
29,24000000,4,3,2100.0,8.3,0
20,11000000,3,2,1500.0,11.0,0
3,110000000,4,4,4500.0,22.0,2
20,3950000,3,1,1150.0,9.6,0
35,13500000,3,2,2100.0,13.5,0
32,100000000,7,6,8600.0,19.6,2
1,16000000,4,3,2200.0,7.0,0
37,140000000,6,5,8000.0,53.0,2
25,26000000,4,4,3800.0,10.0,0
3,30000000,5,4,3500.0,16.0,0
25,21000000,4,3,2500.0,9.0,0
3,12500000,3,3,1200.0,7.0,0
25,6000000,2,2,1200.0,4.6,0
1,13500000,3,3,1650.0,10.0,0
22,5300000,3,1,1250.0,10.0,0
1,9800000,3,3,1350.0,6.5,0
28,11000000,3,3,1300.0,6.5,0
28,23000000,4,4,2800.0,9.0,0
3,18000000,6,2,2000.0,10.2,0
28,21000000,4,4,2450.0,7.0,0
28,67500000,7,7,5260.0,21.0,2
28,30000000,5,4,2600.0,10.0,0
3,22500000,3,2,1800.0,10.5,0
25,17000000,4,3,2100.0,6.2,0
13,80000000,3,2,4000.0,12.0,2
29,17000000,5,3,2500.0,11.3,0
25,27000000,5,4,5408.0,12.8,0
