price,beds,baths,house_size,land_size
12500000,4,2,1750,6.5
29500000,4,4,3510,9
19000000,4,3,2850,7.5
35000000,7,4,1700,15
29500000,5,4,3500,8
18000000,4,4,4500,10
16500000,4,3,2400,6.7
4500000,2,1,1000,3
8900000,3,2,1380,6
20500000,4,5,3500,9
22000000,4,3,2850,7
23000000,5,3,3500,20
13000000,3,2,1800,10
57000000,4,4,3500,10.5
26000000,5,4,3000,8.5
26000000,4,4,3680,10
21500000,4,4,2680,7
13500000,4,2,2000,8.2
21500000,4,3,2500,6
135000000,5,3,4500,20
8500000,4,2,2500,10
12900000,3,2,1650,10
115000000,5,5,6500,14.8
195000000,7,7,11500,20
24000000,5,4,3400,11.5
24000000,4,3,2200,19
105000000,4,4,4600,37
6500000,2,2,1000,5.6
21500000,4,2,2170,10.6
375000000,5,5,8600,30
57000000,4,3,3500,10.4
37500000,5,3,3700,12
82000000,7,5,6000,37
62000000,10,6,6000,12
55000000,7,5,4000,18.5
13000000,3,2,1450,9.85
29800000,4,3,2600,8
21000000,5,2,3000,12
10900000,3,3,1450,10.5
29000000,3,2,5000,15
34000000,4,4,3300,8
120000000,5,5,7500,15
9200000,3,1,1300,7
32000000,3,2,2205,7.5
13500000,3,3,1650,10
4000000,2,1,1080,4
22800000,4,4,1885,5.5
11000000,3,2,1900,9.5
18750000,3,2,2600,6.5
11000000,3,2,990,6
31000000,4,3,2500,6.5
12000000,2,2,1600,5
26000000,4,4,3600,10
27000000,4,2,2500,8.35
18000000,3,3,1800,10.5
5500000,5,2,1500,15
23700000,4,3,3140,10
5900000,3,2,2400,10
24000000,4,3,2100,8.3
11000000,3,2,1500,11
110000000,4,4,4500,22
3950000,3,1,1150,9.6
13500000,3,2,2100,13.5
100000000,7,6,8600,19.6
16000000,4,3,2200,7
140000000,6,5,8000,53
26000000,4,4,3800,10
30000000,5,4,3500,16
21000000,4,3,2500,9
12500000,3,3,1200,7
6000000,2,2,1200,4.6
13500000,3,3,1650,10
5300000,3,1,1250,10
9800000,3,3,1350,6.5
11000000,3,3,1300,6.5
23000000,4,4,2800,9
18000000,6,2,2000,10.2
21000000,4,4,2450,7
67500000,7,7,5260,21
30000000,5,4,2600,10
22500000,3,2,1800,10.5
17000000,4,3,2100,6.2
80000000,3,2,4000,12
17000000,5,3,2500,11.3
27000000,5,4,5408,12.8
34000000,4,3,2800,7.5
27000000,5,4,5408,12.8
30000000,6,4,3000,14
26000000,4,3,3000,7.6
20500000,4,3,2500,8.5
30000000,4,4,2900,8
11800000,3,3,1500,8
20000000,4,3,2500,10
8800000,3,1,1100,8
4800000,2,2,1200,9
47500000,4,3,4000,18.5
30000000,5,3,3500,10
3600000,1,1,1000,3
135000000,5,5,6000,25.5
29000000,4,4,2500,6
37500000,5,5,3200,6
15000000,3,1,1300,12
6300000,3,1,1500,10
16000000,5,5,2600,10
15900000,3,3,2650,4
9000000,3,2,1500,10
30000000,5,4,2600,10
33500000,5,4,3800,7.8
2600000,3,3,1800,12.5
28500000,10,10,2750,7
11000000,3,1,1800,20
27500000,5,3,3700,18.5
17500000,4,2,2200,6.3
8900000,3,2,1450,10
12000000,3,3,1400,7.75
17500000,4,2,2470,10
18700000,3,3,1800,7.13
48000000,5,4,2750,20
35000000,4,3,3100,6
38500000,6,4,2905,9.86
40000000,4,3,3000,10
65000000,5,5,4000,11.2
65000000,5,3,3000,10
15000000,5,2,2500,6.5
23500000,4,3,2500,6
59000000,5,5,5500,12
22750000,3,3,2600,7
19500000,5,3,3000,9.5
33500000,5,4,4000,12
9700000,2,1,700,6.7
24800000,3,2,2500,10
15400000,3,3,1700,7
24500000,4,2,2000,13.4
19000000,3,3,2400,10
33000000,4,4,2700,8
11500000,3,3,1450,7.3
32000000,5,5,3500,8
13800000,5,2,2300,6
18500000,3,2,1800,22
180000000,7,7,14000,23
28000000,4,4,3680,10
23000000,4,3,2582,8.6
34000000,5,3,3600,19
14000000,5,3,1950,6.6
24000000,5,4,3400,11.5
24000000,4,3,2800,7
54600000,10,6,8500,12
19500000,3,3,2150,8.6
20500000,4,3,2850,8
16500000,3,1,3267,12
4300000,3,1,1000,5.72
14000000,4,3,1800,11
21500000,4,3,2500,6.5
38000000,4,4,3499,6
12000000,3,2,1350,7.2
29000000,3,1,2000,10
11500000,5,3,2552,15
19500000,3,3,2040,6.5
18500000,5,3,2500,10
22500000,4,4,3200,8
21500000,4,3,2500,6.5
7300000,2,2,1000,8
38000000,4,4,3400,6
46000000,5,4,2850,7.9
46000000,5,4,3050,7.9
50000000,5,6,3750,12
35000000,4,3,2400,6
65000000,4,4,4000,18.12
21500000,4,3,2200,8
30000000,4,4,2400,10
30000000,5,4,3500,7.5
17000000,3,3,3500,9
50000000,5,6,3749,12
60000000,4,4,3450,6
25000000,5,2,4000,12.5
6800000,3,2,1200,10
80000000,10,10,6000,33.5
37000000,4,4,2900,10
80000000,5,4,5000,25.5
9000000,3,2,1380,6.5
13000000,3,3,1580,8
19800000,4,2,2200,8.6
7000000,5,4,2400,12.2
127500000,5,4,9000,18
38000000,7,4,1020,3.75
25000000,3,3,3500,17
59500000,7,5,5200,12.5
22500000,5,3,2400,18.5
230000000,4,2,1890.4,19.5
24800000,4,4,2500,7
21500000,4,3,2200,6.5
45000000,5,5,2400,10.5
32500000,4,4,3200,10
22500000,4,3,1883,5.5
31000000,4,5,4000,10
8300000,2,1,1600,12
19000000,3,3,2400,10
11800000,3,3,1500,8
11000000,3,3,1300,6.5
9500000,4,2,2000,12
85000000,4,2,5521,37
18000000,4,4,2200,7
23000000,4,4,2800,9
21000000,4,4,2450,7
28800000,6,5,3300,8.2
45000000,3,2,3500,14.5
25000000,2,2,800,6.5
26000000,3,2,1500,10
260000000,4,4,5000,20.1
20000000,4,3,2400,10
21000000,4,4,2800,7
21500000,4,3,2650,7
11000000,3,2,1500,7
28500000,5,4,3800,10.5
12500000,3,2,1537,10
33000000,4,4,2900,8
21500000,4,4,2400,6
37500000,5,3,3700,12
9500000,3,2,1100,9
47000000,4,3,3000,10
22500000,4,4,2800,8
75000000,4,3,2800,10
21500000,4,3,2200,6.5
16000000,3,3,1600,10
20000000,4,3,2500,10
28500000,5,4,3500,10
8000000,4,2,2420,5
49000000,5,5,6000,21
22500000,4,4,2850,8
29000000,4,2,3000,20
24000000,4,4,2850,8
30000000,5,4,2850,10
30000000,5,4,3500,7.6
4200000,2,1,1000,6.5
65000000,5,4,4500,11.5
24000000,5,4,2500,10
8700000,2,2,1200,6
32500000,4,4,3600,8
18500000,4,3,2300,10
23500000,4,4,2780,8
18500000,4,3,2000,9
13000000,3,2,2000,14
27000000,4,2,2500,8.35
33000000,6,6,3900,12
11000000,3,2,1633,7.5
16000000,3,3,1600,10
5500000,3,2,2000,2
21500000,4,3,2200,6.5
24000000,4,4,2650,8
11800000,3,3,1500,8
7200000,2,1,950,6
18500000,5,4,2600,9.7
19000000,3,3,2400,10
65000000,7,6,5000,18
28500000,5,4,3800,10.5
33000000,6,6,3800,12
24000000,4,4,2900,7
65000000,5,4,3500,12
25800000,4,3,3400,8.5
45000000,3,2,3000,11.5
37000000,4,5,4000,10
16000000,3,3,1600,10
31000000,4,5,4000,10
23000000,4,4,2800,9
18000000,4,4,2200,7
18500000,4,4,2382,8.5
27000000,4,2,2500,8.35
19000000,3,3,2400,10
22500000,4,4,2800,8
19000000,3,3,2400,10
26000000,5,4,3300,8
11000000,3,3,1300,6.5
28500000,5,4,3500,10
7900000,2,1,1300,12
18000000,5,3,3000,10
43000000,5,4,3209,7.85
18000000,2,2,1500,11.25
21000000,4,2,2500,16
21000000,4,4,2800,7.5
51000000,3,4,4000,27.1
8000000,2,1,1200,10
22500000,4,4,2800,8
18000000,4,4,2450,7
42500000,5,3,3500,17
21500000,4,3,2850,6
21000000,4,3,2850,7
42000000,5,3,4100,14.3
21000000,4,4,2850,7.5
24000000,5,4,2800,10.25
18000000,4,4,2200,8
20000000,4,3,2500,10
22500000,4,4,2850,8
24000000,4,4,2900,7
12500000,4,2,1750,6.5
19000000,3,3,2400,10
11800000,3,3,1500,8
21000000,4,4,2450,7
30000000,4,3,315,6
34000000,4,4,3300,8
21500000,4,3,2200,6.5
19500000,4,4,2750,10.5
21500000,4,3,2200,6.5
16000000,3,3,1600,10
18000000,3,3,2300,6.5
88000000,4,5,3000,16
19500000,3,3,2400,8.6
19500000,4,3,2250,6.5
6900000,2,1,650,3.5
8700000,3,1,1100,6
9865000,3,3,1905,3.5
25000000,4,3,3000,10
13400000,3,3,1750,7
18000000,3,3,1800,7.13
23000000,4,4,2300,11
19500000,4,3,2850,7.5
13000000,4,2,1600,11.5
22500000,5,4,2850,10
11000000,3,2,1600,8.3
31000000,5,4,3800,7.5
28800000,6,4,2850,12
60000000,6,4,4500,11
33000000,4,4,2900,8
9300000,3,3,1410,10.5
