location,price,beds,baths,house_size,land_size
35,12500000,4,2,1750,6.5
25,29500000,4,4,3510,9
28,19000000,4,3,2850,7.5
25,35000000,7,4,1700,15
4,29500000,5,4,3500,8
28,18000000,4,4,4500,10
35,16500000,4,3,2400,6.7
37,4500000,2,1,1000,3
25,8900000,3,2,1380,6
35,20500000,4,5,3500,9
28,22000000,4,3,2850,7
20,23000000,5,3,3500,20
22,13000000,3,2,1800,10
36,57000000,4,4,3500,10.5
28,26000000,5,4,3000,8.5
25,26000000,4,4,3680,10
28,21500000,4,4,2680,7
29,13500000,4,2,2000,8.2
38,21500000,4,3,2500,6
34,135000000,5,3,4500,20
35,8500000,4,2,2500,10
20,12900000,3,2,1650,10
32,115000000,5,5,6500,14.8
3,195000000,7,7,11500,20
35,24000000,5,4,3400,11.5
1,24000000,4,3,2200,19
23,105000000,4,4,4600,37
25,6500000,2,2,1000,5.6
25,21500000,4,2,2170,10.6
3,375000000,5,5,8600,30
36,57000000,4,3,3500,10.4
32,37500000,5,3,3700,12
4,82000000,7,5,6000,37
18,62000000,10,6,6000,12
4,55000000,7,5,4000,18.5
35,13000000,3,2,1450,9.85
20,29800000,4,3,2600,8
20,21000000,5,2,3000,12
1,10900000,3,3,1450,10.5
34,29000000,3,2,5000,15
38,34000000,4,4,3300,8
38,120000000,5,5,7500,15
22,9200000,3,1,1300,7
4,32000000,3,2,2205,7.5
1,13500000,3,3,1650,10
29,4000000,2,1,1080,4
3,22800000,4,4,1885,5.5
29,11000000,3,2,1900,9.5
28,18750000,3,2,2600,6.5
1,11000000,3,2,990,6
4,31000000,4,3,2500,6.5
9,12000000,2,2,1600,5
34,26000000,4,4,3600,10
27,27000000,4,2,2500,8.35
3,18000000,3,3,1800,10.5
19,5500000,5,2,1500,15
34,23700000,4,3,3140,10
22,5900000,3,2,2400,10
29,24000000,4,3,2100,8.3
20,11000000,3,2,1500,11
3,110000000,4,4,4500,22
20,3950000,3,1,1150,9.6
35,13500000,3,2,2100,13.5
32,100000000,7,6,8600,19.6
1,16000000,4,3,2200,7
37,140000000,6,5,8000,53
25,26000000,4,4,3800,10
3,30000000,5,4,3500,16
25,21000000,4,3,2500,9
3,12500000,3,3,1200,7
25,6000000,2,2,1200,4.6
1,13500000,3,3,1650,10
22,5300000,3,1,1250,10
1,9800000,3,3,1350,6.5
28,11000000,3,3,1300,6.5
28,23000000,4,4,2800,9
3,18000000,6,2,2000,10.2
28,21000000,4,4,2450,7
28,67500000,7,7,5260,21
28,30000000,5,4,2600,10
3,22500000,3,2,1800,10.5
25,17000000,4,3,2100,6.2
13,80000000,3,2,4000,12
29,17000000,5,3,2500,11.3
25,27000000,5,4,5408,12.8
38,34000000,4,3,2800,7.5
1,27000000,5,4,5408,12.8
32,30000000,6,4,3000,14
3,26000000,4,3,3000,7.6
28,20500000,4,3,2500,8.5
28,30000000,4,4,2900,8
28,11800000,3,3,1500,8
28,20000000,4,3,2500,10
29,8800000,3,1,1100,8
15,4800000,2,2,1200,9
32,47500000,4,3,4000,18.5
3,30000000,5,3,3500,10
29,3600000,1,1,1000,3
30,135000000,5,5,6000,25.5
29,29000000,4,4,2500,6
18,37500000,5,5,3200,6
28,15000000,3,1,1300,12
21,6300000,3,1,1500,10
35,16000000,5,5,2600,10
20,15900000,3,3,2650,4
1,9000000,3,2,1500,10
28,30000000,5,4,2600,10
38,33500000,5,4,3800,7.8
0,2600000,3,3,1800,12.5
34,28500000,10,10,2750,7
1,11000000,3,1,1800,20
1,27500000,5,3,3700,18.5
1,17500000,4,2,2200,6.3
35,8900000,3,2,1450,10
35,12000000,3,3,1400,7.75
1,17500000,4,2,2470,10
28,18700000,3,3,1800,7.13
32,48000000,5,4,2750,20
4,35000000,4,3,3100,6
32,38500000,6,4,2905,9.86
4,40000000,4,3,3000,10
36,65000000,5,5,4000,11.2
26,65000000,5,3,3000,10
0,15000000,5,2,2500,6.5
38,23500000,4,3,2500,6
32,59000000,5,5,5500,12
29,22750000,3,3,2600,7
28,19500000,5,3,3000,9.5
1,33500000,5,4,4000,12
35,9700000,2,1,700,6.7
32,24800000,3,2,2500,10
35,15400000,3,3,1700,7
27,24500000,4,2,2000,13.4
28,19000000,3,3,2400,10
37,33000000,4,4,2700,8
22,11500000,3,3,1450,7.3
32,32000000,5,5,3500,8
0,13800000,5,2,2300,6
35,18500000,3,2,1800,22
3,180000000,7,7,14000,23
29,28000000,4,4,3680,10
28,23000000,4,3,2582,8.6
25,34000000,5,3,3600,19
28,14000000,5,3,1950,6.6
35,24000000,5,4,3400,11.5
28,24000000,4,3,2800,7
18,54600000,10,6,8500,12
21,19500000,3,3,2150,8.6
28,20500000,4,3,2850,8
32,16500000,3,1,3267,12
35,4300000,3,1,1000,5.72
35,14000000,4,3,1800,11
32,21500000,4,3,2500,6.5
18,38000000,4,4,3499,6
28,12000000,3,2,1350,7.2
27,29000000,3,1,2000,10
33,11500000,5,3,2552,15
3,19500000,3,3,2040,6.5
35,18500000,5,3,2500,10
22,22500000,4,4,3200,8
32,21500000,4,3,2500,6.5
34,7300000,2,2,1000,8
18,38000000,4,4,3400,6
18,46000000,5,4,2850,7.9
18,46000000,5,4,3050,7.9
18,50000000,5,6,3750,12
30,35000000,4,3,2400,6
32,65000000,4,4,4000,18.12
35,21500000,4,3,2200,8
28,30000000,4,4,2400,10
38,30000000,5,4,3500,7.5
4,17000000,3,3,3500,9
18,50000000,5,6,3749,12
30,60000000,4,4,3450,6
35,25000000,5,2,4000,12.5
20,6800000,3,2,1200,10
18,80000000,10,10,6000,33.5
28,37000000,4,4,2900,10
32,80000000,5,4,5000,25.5
25,9000000,3,2,1380,6.5
