location,price,beds,baths,house_size,land_size
Piliyandala,12500000,4,2,1750,6.5
Kottawa,29500000,4,4,3510,9
Malabe,19000000,4,3,2850,7.5
Kottawa,35000000,7,4,1700,15
Boralesgamuwa,29500000,5,4,3500,8
Malabe,18000000,4,4,4500,10
Piliyandala,16500000,4,3,2400,6.7
Ratmalana,4500000,2,1,1000,3
Kottawa,8900000,3,2,1380,6
Piliyandala,20500000,4,5,3500,9
Malabe,22000000,4,3,2850,7
Homagama,23000000,5,3,3500,20
Kesbewa,13000000,3,2,1800,10
Rajagiriya,57000000,4,4,3500,10.5
Malabe,26000000,5,4,3000,8.5
Kottawa,26000000,4,4,3680,10
Malabe,21500000,4,4,2680,7
Moratuwa,13500000,4,2,2000,8.2
Talawatugoda,21500000,4,3,2500,6
Pannipitiya,135000000,5,3,4500,20
Piliyandala,8500000,4,2,2500,10
Homagama,12900000,3,2,1650,10
Nugegoda,115000000,5,5,6500,14.8
Battaramulla,195000000,7,7,11500,20
Piliyandala,24000000,5,4,3400,11.5
Athurugiriya,24000000,4,3,2200,19
Kohuwala,105000000,4,4,4600,37
Kottawa,6500000,2,2,1000,5.6
Kottawa,21500000,4,2,2170,10.6
Battaramulla,375000000,5,5,8600,30
Rajagiriya,57000000,4,3,3500,10.4
Nugegoda,37500000,5,3,37000,12
Boralesgamuwa,82000000,7,5,6000,37
Dehiwala,62000000,10,6,6000,12
Boralesgamuwa,55000000,7,5,4000,18.5
Piliyandala,13000000,3,2,1450,9.85
Homagama,29800000,4,3,2600,8
Homagama,21000000,5,2,3000,12
Athurugiriya,10900000,3,3,1450,10.5
Pannipitiya,29000000,3,2,5000,15
Talawatugoda,34000000,4,4,3300,8
Talawatugoda,120000000,5,5,7500,15
Kesbewa,9200000,3,1,1300,7
Boralesgamuwa,32000000,3,2,2205,7.5
Athurugiriya,13500000,3,3,1650,10
Moratuwa,4000000,2,1,1080,4
Battaramulla,22800000,4,4,1885,5.5
Moratuwa,11000000,3,2,1900,9.5
Malabe,18750000,3,2,2600,6.5
Athurugiriya,11000000,3,2,990,6
Boralesgamuwa,31000000,4,3,2500,6.5
Colombo 15,12000000,2,2,1600,5
Pannipitiya,26000000,4,4,3600,10
Maharagama,27000000,4,2,2500,8.35
Battaramulla,18000000,3,3,1800,10.5
Hanwella,5500000,5,2,1500,15
Pannipitiya,23700000,4,3,3140,10
Kesbewa,5900000,3,2,2400,10
Moratuwa,24000000,4,3,2100,8.3
Homagama,11000000,3,2,1500,11
Battaramulla,110000000,4,4,4500,22
Homagama,3950000,3,1,1150,9.6
Piliyandala,13500000,3,2,2100,13.5
Nugegoda,100000000,7,6,8600,19.6
Athurugiriya,16000000,4,3,2200,7
Ratmalana,140000000,6,5,8000,53
Kottawa,26000000,4,4,3800,10
Battaramulla,30000000,5,4,3500,16
Kottawa,21000000,4,3,2500,9
Battaramulla,12500000,3,3,1200,7
Kottawa,6000000,2,2,1200,4.6
Athurugiriya,13500000,3,3,1650,10
Kesbewa,5300000,3,1,1250,10
Athurugiriya,9800000,3,3,1350,6.5
Malabe,11000000,3,3,1300,6.5
Malabe,23000000,4,4,2800,9
Battaramulla,18000000,6,2,2000,10.2
Malabe,21000000,4,4,2450,7
Malabe,67500000,7,7,5260,21
Malabe,30000000,5,4,2600,10
Battaramulla,22500000,3,2,1800,10.5
Kottawa,17000000,4,3,2100,6.2
Colombo 5,80000000,3,2,4000,12
Moratuwa,17000000,5,3,2500,11.3
Kottawa,27000000,5,4,5408,12.8
Talawatugoda,34000000,4,3,2800,7.5
Athurugiriya,27000000,5,4,5408,12.8
Nugegoda,30000000,6,4,3000,14
Battaramulla,26000000,4,3,3000,7.6
Malabe,20500000,4,3,2500,8.5
Malabe,30000000,4,4,2900,8
Malabe,11800000,3,3,1500,8
Malabe,20000000,4,3,2500,10
Moratuwa,8800000,3,1,1100,8
Colombo 7,4800000,2,2,1200,9
Nugegoda,47500000,4,3,4000,18.5
Battaramulla,30000000,5,3,3500,10
Moratuwa,3600000,1,1,1000,3
Mount Lavinia,135000000,5,5,6000,25.5
Moratuwa,29000000,4,4,2500,6
Dehiwala,37500000,5,5,3200,6
Malabe,15000000,3,1,1300,12
Kaduwela,6300000,3,1,1500,10
Piliyandala,16000000,5,5,2600,10
Homagama,15900000,3,3,2650,4
Athurugiriya,9000000,3,2,1500,10
Malabe,30000000,5,4,2600,10
Talawatugoda,33500000,5,4,3800,7.8
Angoda,2600000,3,3,1800,12.5
Pannipitiya,28500000,10,10,2750,7
Athurugiriya,11000000,3,1,1800,20
Athurugiriya,27500000,5,3,3700,18.5
Athurugiriya,17500000,4,2,2200,6.3
Piliyandala,8900000,3,2,1450,10
Piliyandala,12000000,3,3,1400,7.75
Athurugiriya,17500000,4,2,2470,10
Malabe,18700000,3,3,1800,7.13
Nugegoda,48000000,5,4,2750,20
Boralesgamuwa,35000000,4,3,3100,6
Nugegoda,38500000,6,4,2905,9.86
Boralesgamuwa,40000000,4,3,3000,10
Rajagiriya,65000000,5,5,4000,11.2
Kotte,65000000,5,3,3000,10
Angoda,15000000,5,2,2500,6.5
Talawatugoda,23500000,4,3,2500,6
Nugegoda,59000000,5,5,5500,12
Moratuwa,22750000,3,3,2600,7
Malabe,19500000,5,3,3000,9.5
Athurugiriya,33500000,5,4,4000,12
Piliyandala,9700000,2,1,700,6.7
Nugegoda,24800000,3,2,25000,10
Piliyandala,15400000,3,3,1700,7
Maharagama,24500000,4,2,2000,13.4
Malabe,19000000,3,3,2400,10
Ratmalana,33000000,4,4,2700,8
Kesbewa,11500000,3,3,1450,7.3
Nugegoda,32000000,5,5,3500,8
Angoda,13800000,5,2,2300,6
Piliyandala,18500000,3,2,1800,22
Battaramulla,180000000,7,7,14000,23
Moratuwa,28000000,4,4,3680,10
Malabe,23000000,4,3,2582,8.6
Kottawa,34000000,5,3,3600,19
Malabe,14000000,5,3,1950,6.6
Piliyandala,24000000,5,4,3400,11.5
Malabe,24000000,4,3,2800,7
Dehiwala,54600000,10,6,8500,12
Kaduwela,19500000,3,3,2150,8.6
Malabe,20500000,4,3,2850,8
Nugegoda,16500000,3,1,3267,12
Piliyandala,4300000,3,1,1000,5.72
Piliyandala,14000000,4,3,1800,11
Nugegoda,21500000,4,3,2500,6.5
Dehiwala,38000000,4,4,3499,6
Malabe,12000000,3,2,1350,7.2
Maharagama,29000000,3,1,2000,10
Padukka,11500000,5,3,2552,15
Battaramulla,19500000,3,3,2040,6.5
Piliyandala,18500000,5,3,2500,10
Kesbewa,22500000,4,4,3200,8
Nugegoda,21500000,4,3,2500,6.5
Pannipitiya,7300000,2,2,1000,8
Dehiwala,38000000,4,4,3400,6
Dehiwala,46000000,5,4,2850,7.9
Dehiwala,46000000,5,4,3050,7.9
Dehiwala,50000000,5,6,3750,12
Mount Lavinia,35000000,4,3,2400,6
Nugegoda,65000000,4,4,4000,18.12
Piliyandala,21500000,4,3,2200,8
Malabe,30000000,4,4,2400,10
Talawatugoda,30000000,5,4,3500,7.5
Boralesgamuwa,17000000,3,3,3500,9
Dehiwala,50000000,5,6,3749,12
Mount Lavinia,60000000,4,4,3450,6
Piliyandala,25000000,5,2,4000,12.5
Homagama,6800000,3,2,1200,10
Dehiwala,80000000,10,10,6000,33.5
Malabe,37000000,4,4,2900,10
Nugegoda,80000000,5,4,5000,25.5
Kottawa,9000000,3,2,1380,6.5
Kottawa,13000000,3,3,1580,8
Moratuwa,19800000,4,2,2200,8.6
Kaduwela,7000000,5,4,2400,12.2
Kotte,127500000,5,4,9000,18
Nawala,38000000,7,4,1020,3.75
Rajagiriya,25000000,3,3,3500,17
Nugegoda,59500000,7,5,5200,12.5
