,Location,Price,Beds,Baths,House Size,Land Size
0,Piliyandala,12500000,4,2,1750.0,6.5
1,Kottawa,29500000,4,4,3510.0,9.0
2,Malabe,19000000,4,3,2850.0,7.5
3,Kottawa,35000000,7,4,1700.0,15.0
4,Boralesgamuwa,29500000,5,4,3500.0,8.0
5,Malabe,18000000,4,4,4500.0,10.0
6,Piliyandala,16500000,4,3,2400.0,6.7
7,Ratmalana,4500000,2,1,1000.0,3.0
8,Kottawa,8900000,3,2,1380.0,6.0
9,Piliyandala,20500000,4,5,3500.0,9.0
10,Malabe,22000000,4,3,2850.0,7.0
11,Homagama,23000000,5,3,3500.0,20.0
12,Kesbewa,13000000,3,2,1800.0,10.0
13,Rajagiriya,57000000,4,4,3500.0,10.5
14,Malabe,26000000,5,4,3000.0,8.5
15,Kottawa,26000000,4,4,3680.0,10.0
16,Malabe,21500000,4,4,2680.0,7.0
17,Moratuwa,13500000,4,2,2000.0,8.2
18,Talawatugoda,21500000,4,3,2500.0,6.0
19,Pannipitiya,135000000,5,3,4500.0,20.0
20,Piliyandala,8500000,4,2,2500.0,10.0
21,Homagama,12900000,3,2,1650.0,10.0
22,Nugegoda,115000000,5,5,6500.0,14.8
23,Battaramulla,195000000,7,7,11500.0,20.0
24,Piliyandala,24000000,5,4,3400.0,11.5
25,Athurugiriya,24000000,4,3,2200.0,19.0
26,Kohuwala,105000000,4,4,4600.0,37.0
27,Kottawa,6500000,2,2,1000.0,5.6
28,Kottawa,21500000,4,2,2170.0,10.6
29,Battaramulla,375000000,5,5,8600.0,30.0
30,Rajagiriya,57000000,4,3,3500.0,10.4
31,Nugegoda,37500000,5,3,37000.0,12.0
32,Boralesgamuwa,82000000,7,5,6000.0,37.0
33,Dehiwala,62000000,10,6,6000.0,12.0
34,Boralesgamuwa,55000000,7,5,4000.0,18.5
35,Piliyandala,13000000,3,2,1450.0,9.85
36,Homagama,29800000,4,3,2600.0,8.0
37,Homagama,21000000,5,2,3000.0,12.0
38,Athurugiriya,10900000,3,3,1450.0,10.5
39,Pannipitiya,29000000,3,2,5000.0,15.0
40,Talawatugoda,34000000,4,4,3300.0,8.0
41,Talawatugoda,120000000,5,5,7500.0,15.0
42,Kesbewa,9200000,3,1,1300.0,7.0
43,Boralesgamuwa,32000000,3,2,2205.0,7.5
44,Athurugiriya,13500000,3,3,1650.0,10.0
45,Moratuwa,4000000,2,1,1080.0,4.0
46,Battaramulla,22800000,4,4,1885.0,5.5
47,Moratuwa,11000000,3,2,1900.0,9.5
48,Malabe,18750000,3,2,2600.0,6.5
49,Athurugiriya,11000000,3,2,990.0,6.0
50,Boralesgamuwa,31000000,4,3,2500.0,6.5
51,Colombo 15,12000000,2,2,1600.0,5.0
52,Pannipitiya,26000000,4,4,3600.0,10.0
53,Maharagama,27000000,4,2,2500.0,8.35
54,Battaramulla,18000000,3,3,1800.0,10.5
55,Hanwella,5500000,5,2,1500.0,15.0
56,Pannipitiya,23700000,4,3,3140.0,10.0
57,Kesbewa,5900000,3,2,2400.0,10.0
58,Moratuwa,24000000,4,3,2100.0,8.3
59,Homagama,11000000,3,2,1500.0,11.0
60,Battaramulla,110000000,4,4,4500.0,22.0
61,Homagama,3950000,3,1,1150.0,9.6
62,Piliyandala,13500000,3,2,2100.0,13.5
63,Nugegoda,100000000,7,6,8600.0,19.6
64,Athurugiriya,16000000,4,3,2200.0,7.0
65,Ratmalana,140000000,6,5,8000.0,53.0
66,Kottawa,26000000,4,4,3800.0,10.0
67,Battaramulla,30000000,5,4,3500.0,16.0
68,Kottawa,21000000,4,3,2500.0,9.0
69,Battaramulla,12500000,3,3,1200.0,7.0
70,Kottawa,6000000,2,2,1200.0,4.6
71,Athurugiriya,13500000,3,3,1650.0,10.0
72,Kesbewa,5300000,3,1,1250.0,10.0
73,Athurugiriya,9800000,3,3,1350.0,6.5
74,Malabe,11000000,3,3,1300.0,6.5
75,Malabe,23000000,4,4,2800.0,9.0
76,Battaramulla,18000000,6,2,2000.0,10.2
77,Malabe,21000000,4,4,2450.0,7.0
78,Malabe,67500000,7,7,5260.0,21.0
79,Malabe,30000000,5,4,2600.0,10.0
80,Battaramulla,22500000,3,2,1800.0,10.5
81,Kottawa,17000000,4,3,2100.0,6.2
82,Colombo 5,80000000,3,2,4000.0,12.0
83,Moratuwa,17000000,5,3,2500.0,11.3
84,Kottawa,27000000,5,4,5408.0,12.8
85,Talawatugoda,34000000,4,3,2800.0,7.5
86,Athurugiriya,27000000,5,4,5408.0,12.8
87,Nugegoda,30000000,6,4,3000.0,14.0
88,Battaramulla,26000000,4,3,3000.0,7.6
89,Malabe,20500000,4,3,2500.0,8.5
90,Malabe,30000000,4,4,2900.0,8.0
91,Malabe,11800000,3,3,1500.0,8.0
92,Malabe,20000000,4,3,2500.0,10.0
93,Moratuwa,8800000,3,1,1100.0,8.0
94,Colombo 7,4800000,2,2,1200.0,9.0
95,Nugegoda,47500000,4,3,4000.0,18.5
96,Battaramulla,30000000,5,3,3500.0,10.0
97,Moratuwa,3600000,1,1,1000.0,3.0
98,Mount Lavinia,135000000,5,5,6000.0,25.5
99,Moratuwa,29000000,4,4,2500.0,6.0
100,Dehiwala,37500000,5,5,3200.0,6.0
101,Malabe,15000000,3,1,1300.0,12.0
102,Kaduwela,6300000,3,1,1500.0,10.0
103,Piliyandala,16000000,5,5,2600.0,10.0
104,Homagama,15900000,3,3,2650.0,4.0
105,Athurugiriya,9000000,3,2,1500.0,10.0
106,Malabe,30000000,5,4,2600.0,10.0
107,Talawatugoda,33500000,5,4,3800.0,7.8
108,Angoda,2600000,3,3,1800.0,12.5
109,Pannipitiya,28500000,10,10,2750.0,7.0
110,Athurugiriya,11000000,3,1,1800.0,20.0
111,Athurugiriya,27500000,5,3,3700.0,18.5
112,Athurugiriya,17500000,4,2,2200.0,6.3
113,Piliyandala,8900000,3,2,1450.0,10.0
114,Piliyandala,12000000,3,3,1400.0,7.75
115,Athurugiriya,17500000,4,2,2470.0,10.0
116,Malabe,18700000,3,3,1800.0,7.13
117,Nugegoda,48000000,5,4,2750.0,20.0
118,Boralesgamuwa,35000000,4,3,3100.0,6.0
119,Nugegoda,38500000,6,4,2905.0,9.86
120,Boralesgamuwa,40000000,4,3,3000.0,10.0
121,Rajagiriya,65000000,5,5,4000.0,11.2
122,Kotte,65000000,5,3,3000.0,10.0
123,Angoda,15000000,5,2,2500.0,6.5
124,Talawatugoda,23500000,4,3,2500.0,6.0
125,Nugegoda,59000000,5,5,5500.0,12.0
126,Moratuwa,22750000,3,3,2600.0,7.0
127,Malabe,19500000,5,3,3000.0,9.5
128,Athurugiriya,33500000,5,4,4000.0,12.0
129,Piliyandala,9700000,2,1,700.0,6.7
130,Nugegoda,24800000,3,2,25000.0,10.0
131,Piliyandala,15400000,3,3,1700.0,7.0
132,Maharagama,24500000,4,2,2000.0,13.4
133,Malabe,19000000,3,3,2400.0,10.0
134,Ratmalana,33000000,4,4,2700.0,8.0
135,Kesbewa,11500000,3,3,1450.0,7.3
136,Nugegoda,32000000,5,5,3500.0,8.0
137,Angoda,13800000,5,2,2300.0,6.0
138,Piliyandala,18500000,3,2,1800.0,22.0
139,Battaramulla,180000000,7,7,14000.0,23.0
140,Moratuwa,28000000,4,4,3680.0,10.0
141,Malabe,23000000,4,3,2582.0,8.6
142,Kottawa,34000000,5,3,3600.0,19.0
143,Malabe,14000000,5,3,1950.0,6.6
144,Piliyandala,24000000,5,4,3400.0,11.5
145,Malabe,24000000,4,3,2800.0,7.0
146,Dehiwala,54600000,10,6,8500.0,12.0
147,Kaduwela,19500000,3,3,2150.0,8.6
148,Malabe,20500000,4,3,2850.0,8.0
149,Nugegoda,16500000,3,1,3267.0,12.0
150,Piliyandala,4300000,3,1,1000.0,5.72
151,Piliyandala,14000000,4,3,1800.0,11.0
152,Nugegoda,21500000,4,3,2500.0,6.5
153,Dehiwala,38000000,4,4,3499.0,6.0
154,Malabe,12000000,3,2,1350.0,7.2
155,Maharagama,29000000,3,1,2000.0,10.0
156,Padukka,11500000,5,3,2552.0,15.0
157,Battaramulla,19500000,3,3,2040.0,6.5
158,Piliyandala,18500000,5,3,2500.0,10.0
159,Kesbewa,22500000,4,4,3200.0,8.0
160,Nugegoda,21500000,4,3,2500.0,6.5
161,Pannipitiya,7300000,2,2,1000.0,8.0
162,Dehiwala,38000000,4,4,3400.0,6.0
163,Dehiwala,46000000,5,4,2850.0,7.9
164,Dehiwala,46000000,5,4,3050.0,7.9
165,Dehiwala,50000000,5,6,3750.0,12.0
166,Mount Lavinia,35000000,4,3,2400.0,6.0
167,Nugegoda,65000000,4,4,4000.0,18.12
168,Piliyandala,21500000,4,3,2200.0,8.0
169,Malabe,30000000,4,4,2400.0,10.0
170,Talawatugoda,30000000,5,4,3500.0,7.5
171,Boralesgamuwa,17000000,3,3,3500.0,9.0
172,Dehiwala,50000000,5,6,3749.0,12.0
173,Mount Lavinia,60000000,4,4,3450.0,6.0
174,Piliyandala,25000000,5,2,4000.0,12.5
175,Homagama,6800000,3,2,1200.0,10.0
