,Unnamed: 0,Location,Price,Beds,Baths,House Size,Land Size,h_l_ratio,Bed Size,beds_bath_ratio
0,0,35,12500000,4,2,1750.0,6.5,0.9889100798191707,437.5,2.0
3,3,25,35000000,7,4,1700.0,15.0,0.41628405264768903,242.85714285714286,1.75
8,8,25,8900000,3,2,1380.0,6.0,0.8448117539026629,460.0,1.5
11,11,20,23000000,5,3,3500.0,20.0,0.642791551882461,700.0,1.6666666666666667
12,12,22,13000000,3,2,1800.0,10.0,0.6611570247933884,600.0,1.5
17,17,29,13500000,4,2,2000.0,8.2,0.895876727362315,500.0,2.0
20,20,35,8500000,4,2,2500.0,10.0,0.9182736455463727,625.0,2.0
21,21,20,12900000,3,2,1650.0,10.0,0.6060606060606061,550.0,1.5
25,25,1,24000000,4,3,2200.0,19.0,0.42530568846358324,550.0,1.3333333333333333
27,27,25,6500000,2,2,1000.0,5.6,0.6559097468188377,500.0,1.0
28,28,25,21500000,4,2,2170.0,10.6,0.751944834277596,542.5,2.0
32,32,4,82000000,7,5,6000.0,37.0,0.5956369592733228,857.1428571428571,1.4
34,34,4,55000000,7,5,4000.0,18.5,0.7941826123644306,571.4285714285714,1.4
35,35,35,13000000,3,2,1450.0,9.85,0.5407093547379658,483.3333333333333,1.5
37,37,20,21000000,5,2,3000.0,12.0,0.9182736455463728,600.0,2.5
38,38,1,10900000,3,3,1450.0,10.5,0.5072368708732345,483.3333333333333,1.0
42,42,22,9200000,3,1,1300.0,7.0,0.6821461366915912,433.3333333333333,3.0
44,44,1,13500000,3,3,1650.0,10.0,0.6060606060606061,550.0,1.0
45,45,29,4000000,2,1,1080.0,4.0,0.9917355371900827,540.0,2.0
47,47,29,11000000,3,2,1900.0,9.5,0.7346189164370983,633.3333333333334,1.5
49,49,1,11000000,3,2,990.0,6.0,0.6060606060606061,330.0,1.5
54,54,3,18000000,3,3,1800.0,10.5,0.6296733569460843,600.0,1.0
55,55,19,5500000,5,2,1500.0,15.0,0.3673094582185491,300.0,2.5
57,57,22,5900000,3,2,2400.0,10.0,0.8815426997245179,800.0,1.5
58,58,29,24000000,4,3,2100.0,8.3,0.9293371834445218,525.0,1.3333333333333333
59,59,20,11000000,3,2,1500.0,11.0,0.5008765339343851,500.0,1.5
61,61,20,3950000,3,1,1150.0,9.6,0.44000612182430365,383.3333333333333,3.0
62,62,35,13500000,3,2,2100.0,13.5,0.5713702683399653,700.0,1.5
67,67,3,30000000,5,4,3500.0,16.0,0.8034894398530762,700.0,1.25
69,69,3,12500000,3,3,1200.0,7.0,0.6296733569460843,400.0,1.0
70,70,25,6000000,2,2,1200.0,4.6,0.9581985866570848,600.0,1.0
72,72,22,5300000,3,1,1250.0,10.0,0.45913682277318635,416.6666666666667,3.0
73,73,1,9800000,3,3,1350.0,6.5,0.7628734901462175,450.0,1.0
74,74,28,11000000,3,3,1300.0,6.5,0.7346189164370982,433.3333333333333,1.0
76,76,3,18000000,6,2,2000.0,10.2,0.7202146239579396,333.3333333333333,3.0
78,78,28,67500000,7,7,5260.0,21.0,0.9200227382045564,751.4285714285714,1.0
79,79,28,30000000,5,4,2600.0,10.0,0.9550045913682277,520.0,1.25
80,80,3,22500000,3,2,1800.0,10.5,0.6296733569460843,600.0,1.5
83,83,29,17000000,5,3,2500.0,11.3,0.8126315447313033,500.0,1.6666666666666667
87,87,32,30000000,6,4,3000.0,14.0,0.7870916961826052,500.0,1.5
91,91,28,11800000,3,3,1500.0,8.0,0.6887052341597796,500.0,1.0
92,92,28,20000000,4,3,2500.0,10.0,0.9182736455463727,625.0,1.3333333333333333
93,93,29,8800000,3,1,1100.0,8.0,0.5050505050505051,366.6666666666667,3.0
94,94,15,4800000,2,2,1200.0,9.0,0.48974594429139884,600.0,1.0
95,95,32,47500000,4,3,4000.0,18.5,0.7941826123644306,1000.0,1.3333333333333333
101,101,28,15000000,3,1,1300.0,12.0,0.39791857973676154,433.3333333333333,3.0
102,102,21,6300000,3,1,1500.0,10.0,0.5509641873278237,500.0,3.0
103,103,35,16000000,5,5,2600.0,10.0,0.9550045913682277,520.0,1.0
105,105,1,9000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
108,108,0,2600000,3,3,1800.0,12.5,0.5289256198347108,600.0,1.0
110,110,1,11000000,3,1,1800.0,20.0,0.3305785123966942,600.0,3.0
111,111,1,27500000,5,3,3700.0,18.5,0.7346189164370982,740.0,1.6666666666666667
113,113,35,8900000,3,2,1450.0,10.0,0.5325987144168962,483.3333333333333,1.5
114,114,35,12000000,3,3,1400.0,7.75,0.6635267632335081,466.6666666666667,1.0
115,115,1,17500000,4,2,2470.0,10.0,0.9072543617998164,617.5,2.0
116,116,28,18700000,3,3,1800.0,7.13,0.9272889548294369,600.0,1.0
117,117,32,48000000,5,4,2750.0,20.0,0.505050505050505,550.0,1.25
129,129,35,9700000,2,1,700.0,6.7,0.38375615037758865,350.0,2.0
131,131,35,15400000,3,3,1700.0,7.0,0.8920372556736194,566.6666666666666,1.0
132,132,27,24500000,4,2,2000.0,13.4,0.5482230719679837,500.0,2.0
133,133,28,19000000,3,3,2400.0,10.0,0.8815426997245179,800.0,1.0
135,135,22,11500000,3,3,1450.0,7.3,0.7295872800231455,483.3333333333333,1.0
138,138,35,18500000,3,2,1800.0,22.0,0.30052592036063114,600.0,1.5
142,142,25,34000000,5,3,3600.0,19.0,0.6959547629404089,720.0,1.6666666666666667
147,147,21,19500000,3,3,2150.0,8.6,0.9182736455463729,716.6666666666666,1.0
150,150,35,4300000,3,1,1000.0,5.72,0.642149402479981,333.3333333333333,3.0
151,151,35,14000000,4,3,1800.0,11.0,0.6010518407212623,450.0,1.3333333333333333
154,154,28,12000000,3,2,1350.0,7.2,0.6887052341597797,450.0,1.5
155,155,27,29000000,3,1,2000.0,10.0,0.7346189164370982,666.6666666666666,3.0
156,156,33,11500000,5,3,2552.0,15.0,0.6249158249158249,510.4,1.6666666666666667
158,158,35,18500000,5,3,2500.0,10.0,0.9182736455463727,500.0,1.6666666666666667
161,161,34,7300000,2,2,1000.0,8.0,0.4591368227731864,500.0,1.0
167,167,32,65000000,4,4,4000.0,18.12,0.8108376561115874,1000.0,1.0
169,169,28,30000000,4,4,2400.0,10.0,0.8815426997245179,600.0,1.0
175,175,20,6800000,3,2,1200.0,10.0,0.44077134986225897,400.0,1.5
176,176,18,80000000,10,10,6000.0,33.5,0.6578676863615804,600.0,1.0
178,178,32,80000000,5,4,5000.0,25.5,0.7202146239579394,1000.0,1.25
179,179,25,9000000,3,2,1380.0,6.5,0.7798262343716889,460.0,1.5
180,180,25,13000000,3,3,1580.0,8.0,0.7254361799816346,526.6666666666666,1.0
181,181,29,19800000,4,2,2200.0,8.6,0.9396288466055909,550.0,2.0
182,182,21,7000000,5,4,2400.0,12.2,0.7225759833807525,480.0,1.25
184,184,31,38000000,7,4,1020.0,3.75,0.9990817263544537,145.71428571428572,1.75
185,185,36,25000000,3,3,3500.0,17.0,0.7562253551558364,1166.6666666666667,1.0
187,187,1,22500000,5,3,2400.0,18.5,0.47650956741865835,480.0,1.6666666666666667
191,191,32,45000000,5,5,2400.0,10.5,0.8395644759281123,480.0,1.0
195,195,1,8300000,2,1,1600.0,12.0,0.4897459442913988,800.0,2.0
199,199,20,9500000,4,2,2000.0,12.0,0.6121824303642486,500.0,2.0
200,200,3,85000000,4,2,5521.0,37.0,0.5480852753580027,1380.25,2.0
205,205,18,45000000,3,2,3500.0,14.5,0.8866090370792565,1166.6666666666667,1.5
206,206,9,25000000,2,2,800.0,6.5,0.4520731793459066,400.0,1.0
207,207,34,26000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
209,209,28,20000000,4,3,2400.0,10.0,0.8815426997245179,600.0,1.3333333333333333
212,212,28,11000000,3,2,1500.0,7.0,0.7870916961826052,500.0,1.5
214,214,25,12500000,3,2,1537.0,10.0,0.56455463728191,512.3333333333334,1.5
218,218,25,9500000,3,2,1100.0,9.0,0.4489337822671156,366.6666666666667,1.5
223,223,28,16000000,3,3,1600.0,10.0,0.5876951331496786,533.3333333333334,1.0
229,229,27,29000000,4,2,3000.0,20.0,0.5509641873278237,750.0,2.0
233,233,20,4200000,2,1,1000.0,6.5,0.5650914741823833,500.0,2.0
235,235,28,24000000,5,4,2500.0,10.0,0.9182736455463727,500.0,1.25
236,236,35,8700000,2,2,1200.0,6.0,0.7346189164370983,600.0,1.0
238,238,35,18500000,4,3,2300.0,10.0,0.8448117539026629,575.0,1.3333333333333333
240,240,22,18500000,4,3,2000.0,9.0,0.8162432404856648,500.0,1.3333333333333333
241,241,21,13000000,3,2,2000.0,14.0,0.5247277974550701,666.6666666666666,1.5
244,244,24,11000000,3,2,1633.0,7.5,0.7997551270278543,544.3333333333334,1.5
250,250,1,7200000,2,1,950.0,6.0,0.5815733088460361,475.0,2.0
251,251,25,18500000,5,4,2600.0,9.7,0.9845408158435338,520.0,1.25
259,259,38,45000000,3,2,3000.0,11.5,0.9581985866570847,1000.0,1.5
275,275,1,7900000,2,1,1300.0,12.0,0.39791857973676154,650.0,2.0
278,278,27,18000000,2,2,1500.0,11.25,0.48974594429139884,750.0,1.0
279,279,4,21000000,4,2,2500.0,16.0,0.573921028466483,625.0,2.0
281,281,28,51000000,3,4,4000.0,27.1,0.5421541818723972,1333.3333333333333,0.75
282,282,1,8000000,2,1,1200.0,10.0,0.44077134986225897,600.0,2.0
285,285,28,42500000,5,3,3500.0,17.0,0.7562253551558364,700.0,1.6666666666666667
299,299,28,30000000,4,3,315.0,6.0,0.19283746556473827,78.75,1.3333333333333333
302,302,28,19500000,4,4,2750.0,10.5,0.962000962000962,687.5,1.0
306,306,32,88000000,4,5,3000.0,16.0,0.6887052341597796,750.0,0.8
309,309,26,6900000,2,1,650.0,3.5,0.6821461366915912,325.0,2.0
310,310,1,8700000,3,1,1100.0,6.0,0.6734006734006734,366.6666666666667,3.0
313,313,1,13400000,3,3,1750.0,7.0,0.9182736455463728,583.3333333333334,1.0
314,314,28,18000000,3,3,1800.0,7.13,0.9272889548294369,600.0,1.0
315,315,28,23000000,4,4,2300.0,11.0,0.7680106853660572,575.0,1.0
317,317,35,13000000,4,2,1600.0,11.5,0.5110392462171118,400.0,2.0
319,319,22,11000000,3,2,1600.0,8.3,0.7080664254815404,533.3333333333334,1.5
321,321,28,28800000,6,4,2850.0,12.0,0.8723599632690542,475.0,1.5
324,324,20,9300000,3,3,1410.0,10.5,0.493244129607766,470.0,1.0
330,330,35,16500000,4,3,2500.0,13.0,0.706364342727979,625.0,1.3333333333333333
331,331,32,15000000,2,1,1400.0,7.5,0.6856443220079583,700.0,2.0
335,335,29,3900000,3,2,2000.0,15.0,0.48974594429139884,666.6666666666666,1.5
336,336,35,8700000,2,2,1250.0,6.0,0.7652280379553106,625.0,1.0
338,338,38,12000000,3,2,1100.0,5.1,0.7922360863537335,366.6666666666667,1.5
342,342,18,55000000,4,3,2000.0,15.2,0.4833019187086173,500.0,1.3333333333333333
347,347,29,7000000,2,1,1500.0,10.0,0.5509641873278237,750.0,2.0
348,348,28,27000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
361,361,28,12800000,3,3,1300.0,7.9,0.6044332856760934,433.3333333333333,1.0
362,362,20,5800000,2,1,720.0,6.0,0.44077134986225897,360.0,2.0
363,363,9,50000000,7,4,3000.0,17.75,0.6208047181158577,428.57142857142856,1.75
364,364,28,20000000,4,4,2500.0,10.0,0.9182736455463727,625.0,1.0
367,367,28,16000000,7,4,3000.0,21.0,0.5247277974550701,428.57142857142856,1.75
368,368,37,13500000,3,2,1600.0,6.0,0.9794918885827976,533.3333333333334,1.5
372,372,20,2800000,2,1,1200.0,5.8,0.7599506032107913,600.0,2.0
375,375,34,11000000,3,1,2000.0,9.3,0.7899128133732238,666.6666666666666,3.0
377,377,34,40000000,4,3,3800.0,22.0,0.6344436096502212,950.0,1.3333333333333333
379,379,38,80000000,4,4,4800.0,18.5,0.9530191348373167,1200.0,1.0
384,384,35,9800000,3,2,960.0,10.0,0.3526170798898072,320.0,1.5
389,389,28,18500000,3,2,1950.0,8.0,0.8953168044077134,650.0,1.5
395,395,31,41000000,3,2,2600.0,11.0,0.8681859921529343,866.6666666666666,1.5
397,397,22,13000000,4,3,1900.0,10.0,0.6978879706152433,475.0,1.3333333333333333
398,398,33,5900000,3,1,1200.0,12.0,0.36730945821854916,400.0,3.0
399,399,34,21000000,4,3,2600.0,10.7,0.892527655484325,650.0,1.3333333333333333
402,402,25,13000000,3,2,1400.0,8.0,0.642791551882461,466.6666666666667,1.5
405,405,25,11700000,3,2,1550.0,8.7,0.6544019083204037,516.6666666666666,1.5
407,407,34,12900000,3,2,1200.0,10.9,0.404377385194733,400.0,1.5
408,408,27,15500000,3,1,1500.0,10.8,0.5101520253035404,500.0,3.0
409,409,30,23000000,5,5,2500.0,11.6,0.7916152116779076,500.0,1.0
411,411,1,7500000,3,2,1050.0,6.0,0.642791551882461,350.0,1.5
413,413,25,9700000,3,2,1100.0,7.4,0.546000546000546,366.6666666666667,1.5
416,416,19,11000000,5,2,1100.0,12.0,0.3367003367003367,220.0,2.5
420,420,3,12500000,3,2,1400.0,10.0,0.5142332415059687,466.6666666666667,1.5
429,429,4,21000000,5,3,2500.0,9.8,0.9370139240269109,500.0,1.6666666666666667
432,432,25,20000000,4,4,2100.0,10.1,0.7637127349098546,525.0,1.0
433,433,25,15500000,3,3,1645.0,7.0,0.8631772268135904,548.3333333333334,1.0
437,437,28,16500000,3,2,1550.0,10.0,0.5693296602387512,516.6666666666666,1.5
439,439,29,50000000,4,3,3500.0,19.0,0.6766226861920641,875.0,1.3333333333333333
444,444,34,13000000,3,3,1650.0,8.5,0.7130124777183601,550.0,1.0
447,447,27,33000000,8,3,2850.0,15.0,0.6978879706152433,356.25,2.6666666666666665
448,448,37,11000000,2,1,900.0,7.1,0.4656035385868933,450.0,2.0
449,449,13,70000000,6,6,3050.0,22.0,0.5092244761666249,508.3333333333333,1.0
450,450,32,35000000,5,3,2500.0,10.0,0.9182736455463727,500.0,1.6666666666666667
452,452,27,8000000,3,1,1950.0,9.0,0.7958371594735231,650.0,3.0
456,456,1,8700000,3,1,1100.0,7.0,0.5772005772005773,366.6666666666667,3.0
463,463,3,15800000,3,2,1850.0,10.0,0.6795224977043158,616.6666666666666,1.5
465,465,27,18000000,3,3,1950.0,8.0,0.8953168044077134,650.0,1.0
467,467,34,21000000,4,3,2100.0,8.8,0.8765339343851739,525.0,1.3333333333333333
468,468,32,52500000,5,4,4500.0,17.5,0.9445100354191263,900.0,1.25
469,469,28,15500000,3,2,1700.0,10.0,0.6244260789715336,566.6666666666666,1.5
472,472,28,29000000,4,3,2650.0,12.0,0.8111417202326293,662.5,1.3333333333333333
475,475,28,13000000,3,1,1800.0,10.0,0.6611570247933884,600.0,3.0
476,476,2,8500000,4,2,2500.0,98.0,0.0937013924026911,625.0,2.0
477,477,33,6000000,3,2,1650.0,9.64,0.628693574751666,550.0,1.5
478,478,38,14300000,2,1,1000.0,10.0,0.3673094582185491,500.0,2.0
484,484,37,56000000,4,2,2500.0,18.69,0.4913181624111143,625.0,2.0
485,485,39,13500000,6,4,1500.0,9.0,0.6121824303642485,250.0,1.5
