,Unnamed: 0.1,Location,Price,Beds,Baths,House Size,Land Size,h_l_ratio,Bed Size,beds_bath_ratio
0,0,35,12500000,4,2,1750.0,6.5,0.9889100798191708,437.5,2.0
1,3,25,35000000,7,4,1700.0,15.0,0.416284052647689,242.85714285714286,1.75
2,8,25,8900000,3,2,1380.0,6.0,0.8448117539026629,460.0,1.5
3,11,20,23000000,5,3,3500.0,20.0,0.6427915518824611,700.0,1.6666666666666667
4,12,22,13000000,3,2,1800.0,10.0,0.6611570247933884,600.0,1.5
5,17,29,13500000,4,2,2000.0,8.2,0.8958767273623149,500.0,2.0
6,20,35,8500000,4,2,2500.0,10.0,0.9182736455463728,625.0,2.0
7,21,20,12900000,3,2,1650.0,10.0,0.6060606060606061,550.0,1.5
8,25,1,24000000,4,3,2200.0,19.0,0.4253056884635832,550.0,1.3333333333333333
9,27,25,6500000,2,2,1000.0,5.6,0.6559097468188377,500.0,1.0
10,28,25,21500000,4,2,2170.0,10.6,0.7519448342775958,542.5,2.0
11,35,35,13000000,3,2,1450.0,9.85,0.5407093547379658,483.33333333333326,1.5
12,37,20,21000000,5,2,3000.0,12.0,0.9182736455463728,600.0,2.5
13,38,1,10900000,3,3,1450.0,10.5,0.5072368708732345,483.33333333333326,1.0
14,42,22,9200000,3,1,1300.0,7.0,0.6821461366915912,433.33333333333326,3.0
15,44,1,13500000,3,3,1650.0,10.0,0.6060606060606061,550.0,1.0
16,45,29,4000000,2,1,1080.0,4.0,0.9917355371900828,540.0,2.0
17,47,29,11000000,3,2,1900.0,9.5,0.7346189164370983,633.3333333333334,1.5
18,49,1,11000000,3,2,990.0,6.0,0.6060606060606061,330.0,1.5
19,54,3,18000000,3,3,1800.0,10.5,0.6296733569460843,600.0,1.0
20,55,19,5500000,5,2,1500.0,15.0,0.3673094582185491,300.0,2.5
21,57,22,5900000,3,2,2400.0,10.0,0.8815426997245179,800.0,1.5
22,58,29,24000000,4,3,2100.0,8.3,0.9293371834445218,525.0,1.3333333333333333
23,59,20,11000000,3,2,1500.0,11.0,0.5008765339343851,500.0,1.5
24,61,20,3950000,3,1,1150.0,9.6,0.4400061218243037,383.33333333333326,3.0
25,62,35,13500000,3,2,2100.0,13.5,0.5713702683399653,700.0,1.5
26,67,3,30000000,5,4,3500.0,16.0,0.8034894398530762,700.0,1.25
27,69,3,12500000,3,3,1200.0,7.0,0.6296733569460843,400.0,1.0
28,70,25,6000000,2,2,1200.0,4.6,0.9581985866570848,600.0,1.0
29,72,22,5300000,3,1,1250.0,10.0,0.4591368227731864,416.66666666666674,3.0
30,73,1,9800000,3,3,1350.0,6.5,0.7628734901462175,450.0,1.0
31,74,28,11000000,3,3,1300.0,6.5,0.7346189164370982,433.33333333333326,1.0
32,76,3,18000000,6,2,2000.0,10.2,0.7202146239579396,333.3333333333333,3.0
33,79,28,30000000,5,4,2600.0,10.0,0.9550045913682276,520.0,1.25
34,80,3,22500000,3,2,1800.0,10.5,0.6296733569460843,600.0,1.5
35,83,29,17000000,5,3,2500.0,11.3,0.8126315447313033,500.0,1.6666666666666667
36,87,32,30000000,6,4,3000.0,14.0,0.7870916961826052,500.0,1.5
37,91,28,11800000,3,3,1500.0,8.0,0.6887052341597796,500.0,1.0
38,92,28,20000000,4,3,2500.0,10.0,0.9182736455463728,625.0,1.3333333333333333
39,93,29,8800000,3,1,1100.0,8.0,0.5050505050505051,366.66666666666674,3.0
40,94,15,4800000,2,2,1200.0,9.0,0.4897459442913989,600.0,1.0
41,101,28,15000000,3,1,1300.0,12.0,0.3979185797367616,433.33333333333326,3.0
42,102,21,6300000,3,1,1500.0,10.0,0.5509641873278237,500.0,3.0
43,103,35,16000000,5,5,2600.0,10.0,0.9550045913682276,520.0,1.0
44,105,1,9000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
45,108,0,2600000,3,3,1800.0,12.5,0.5289256198347108,600.0,1.0
46,110,1,11000000,3,1,1800.0,20.0,0.3305785123966942,600.0,3.0
47,111,1,27500000,5,3,3700.0,18.5,0.7346189164370982,740.0,1.6666666666666667
48,113,35,8900000,3,2,1450.0,10.0,0.5325987144168962,483.33333333333326,1.5
49,114,35,12000000,3,3,1400.0,7.75,0.6635267632335081,466.66666666666674,1.0
50,115,1,17500000,4,2,2470.0,10.0,0.9072543617998164,617.5,2.0
51,116,28,18700000,3,3,1800.0,7.13,0.9272889548294369,600.0,1.0
52,129,35,9700000,2,1,700.0,6.7,0.3837561503775887,350.0,2.0
53,131,35,15400000,3,3,1700.0,7.0,0.8920372556736194,566.6666666666666,1.0
54,132,27,24500000,4,2,2000.0,13.4,0.5482230719679837,500.0,2.0
55,133,28,19000000,3,3,2400.0,10.0,0.8815426997245179,800.0,1.0
56,135,22,11500000,3,3,1450.0,7.3,0.7295872800231455,483.33333333333326,1.0
57,138,35,18500000,3,2,1800.0,22.0,0.30052592036063114,600.0,1.5
58,142,25,34000000,5,3,3600.0,19.0,0.6959547629404089,720.0,1.6666666666666667
59,147,21,19500000,3,3,2150.0,8.6,0.9182736455463728,716.6666666666665,1.0
60,150,35,4300000,3,1,1000.0,5.72,0.642149402479981,333.3333333333333,3.0
61,151,35,14000000,4,3,1800.0,11.0,0.6010518407212623,450.0,1.3333333333333333
62,154,28,12000000,3,2,1350.0,7.2,0.6887052341597797,450.0,1.5
63,155,27,29000000,3,1,2000.0,10.0,0.7346189164370982,666.6666666666666,3.0
64,156,33,11500000,5,3,2552.0,15.0,0.6249158249158249,510.4,1.6666666666666667
65,158,35,18500000,5,3,2500.0,10.0,0.9182736455463728,500.0,1.6666666666666667
66,161,34,7300000,2,2,1000.0,8.0,0.4591368227731864,500.0,1.0
67,169,28,30000000,4,4,2400.0,10.0,0.8815426997245179,600.0,1.0
68,175,20,6800000,3,2,1200.0,10.0,0.44077134986225897,400.0,1.5
69,179,25,9000000,3,2,1380.0,6.5,0.7798262343716889,460.0,1.5
70,180,25,13000000,3,3,1580.0,8.0,0.7254361799816346,526.6666666666666,1.0
71,181,29,19800000,4,2,2200.0,8.6,0.9396288466055908,550.0,2.0
72,182,21,7000000,5,4,2400.0,12.2,0.7225759833807525,480.0,1.25
73,184,31,38000000,7,4,1020.0,3.75,0.9990817263544536,145.71428571428572,1.75
74,185,36,25000000,3,3,3500.0,17.0,0.7562253551558364,1166.6666666666667,1.0
75,187,1,22500000,5,3,2400.0,18.5,0.4765095674186584,480.0,1.6666666666666667
76,195,1,8300000,2,1,1600.0,12.0,0.4897459442913988,800.0,2.0
77,199,20,9500000,4,2,2000.0,12.0,0.6121824303642486,500.0,2.0
78,206,9,25000000,2,2,800.0,6.5,0.4520731793459066,400.0,1.0
79,207,34,26000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
80,209,28,20000000,4,3,2400.0,10.0,0.8815426997245179,600.0,1.3333333333333333
81,212,28,11000000,3,2,1500.0,7.0,0.7870916961826052,500.0,1.5
82,214,25,12500000,3,2,1537.0,10.0,0.56455463728191,512.3333333333334,1.5
83,218,25,9500000,3,2,1100.0,9.0,0.4489337822671156,366.66666666666674,1.5
84,223,28,16000000,3,3,1600.0,10.0,0.5876951331496786,533.3333333333334,1.0
85,229,27,29000000,4,2,3000.0,20.0,0.5509641873278237,750.0,2.0
86,233,20,4200000,2,1,1000.0,6.5,0.5650914741823833,500.0,2.0
87,235,28,24000000,5,4,2500.0,10.0,0.9182736455463728,500.0,1.25
88,236,35,8700000,2,2,1200.0,6.0,0.7346189164370983,600.0,1.0
89,238,35,18500000,4,3,2300.0,10.0,0.8448117539026629,575.0,1.3333333333333333
90,240,22,18500000,4,3,2000.0,9.0,0.8162432404856648,500.0,1.3333333333333333
91,241,21,13000000,3,2,2000.0,14.0,0.5247277974550701,666.6666666666666,1.5
92,244,24,11000000,3,2,1633.0,7.5,0.7997551270278543,544.3333333333334,1.5
93,250,1,7200000,2,1,950.0,6.0,0.5815733088460361,475.0,2.0
94,251,25,18500000,5,4,2600.0,9.7,0.9845408158435338,520.0,1.25
95,275,1,7900000,2,1,1300.0,12.0,0.3979185797367616,650.0,2.0
96,278,27,18000000,2,2,1500.0,11.25,0.4897459442913989,750.0,1.0
97,279,4,21000000,4,2,2500.0,16.0,0.5739210284664829,625.0,2.0
98,282,1,8000000,2,1,1200.0,10.0,0.44077134986225897,600.0,2.0
99,285,28,42500000,5,3,3500.0,17.0,0.7562253551558364,700.0,1.6666666666666667
100,299,28,30000000,4,3,315.0,6.0,0.19283746556473827,78.75,1.3333333333333333
101,302,28,19500000,4,4,2750.0,10.5,0.9620009620009621,687.5,1.0
102,309,26,6900000,2,1,650.0,3.5,0.6821461366915912,325.0,2.0
103,310,1,8700000,3,1,1100.0,6.0,0.6734006734006734,366.66666666666674,3.0
104,313,1,13400000,3,3,1750.0,7.0,0.9182736455463728,583.3333333333334,1.0
105,314,28,18000000,3,3,1800.0,7.13,0.9272889548294369,600.0,1.0
106,315,28,23000000,4,4,2300.0,11.0,0.7680106853660572,575.0,1.0
107,317,35,13000000,4,2,1600.0,11.5,0.5110392462171118,400.0,2.0
108,319,22,11000000,3,2,1600.0,8.3,0.7080664254815404,533.3333333333334,1.5
109,321,28,28800000,6,4,2850.0,12.0,0.8723599632690542,475.0,1.5
110,324,20,9300000,3,3,1410.0,10.5,0.493244129607766,470.0,1.0
111,330,35,16500000,4,3,2500.0,13.0,0.706364342727979,625.0,1.3333333333333333
112,331,32,15000000,2,1,1400.0,7.5,0.6856443220079583,700.0,2.0
113,335,29,3900000,3,2,2000.0,15.0,0.4897459442913989,666.6666666666666,1.5
114,336,35,8700000,2,2,1250.0,6.0,0.7652280379553106,625.0,1.0
115,338,38,12000000,3,2,1100.0,5.1,0.7922360863537335,366.66666666666674,1.5
116,347,29,7000000,2,1,1500.0,10.0,0.5509641873278237,750.0,2.0
117,348,28,27000000,3,2,1500.0,10.0,0.5509641873278237,500.0,1.5
118,361,28,12800000,3,3,1300.0,7.9,0.6044332856760934,433.33333333333326,1.0
119,362,20,5800000,2,1,720.0,6.0,0.44077134986225897,360.0,2.0
120,364,28,20000000,4,4,2500.0,10.0,0.9182736455463728,625.0,1.0
121,367,28,16000000,7,4,3000.0,21.0,0.5247277974550701,428.57142857142856,1.75
122,368,37,13500000,3,2,1600.0,6.0,0.9794918885827976,533.3333333333334,1.5
123,372,20,2800000,2,1,1200.0,5.8,0.7599506032107913,600.0,2.0
124,375,34,11000000,3,1,2000.0,9.3,0.7899128133732238,666.6666666666666,3.0
125,377,34,40000000,4,3,3800.0,22.0,0.6344436096502212,950.0,1.3333333333333333
126,384,35,9800000,3,2,960.0,10.0,0.3526170798898072,320.0,1.5
127,389,28,18500000,3,2,1950.0,8.0,0.8953168044077134,650.0,1.5
128,395,31,41000000,3,2,2600.0,11.0,0.8681859921529343,866.6666666666665,1.5
129,397,22,13000000,4,3,1900.0,10.0,0.6978879706152433,475.0,1.3333333333333333
130,398,33,5900000,3,1,1200.0,12.0,0.3673094582185492,400.0,3.0
131,399,34,21000000,4,3,2600.0,10.7,0.892527655484325,650.0,1.3333333333333333
132,402,25,13000000,3,2,1400.0,8.0,0.6427915518824611,466.66666666666674,1.5
133,405,25,11700000,3,2,1550.0,8.7,0.6544019083204037,516.6666666666666,1.5
134,407,34,12900000,3,2,1200.0,10.9,0.404377385194733,400.0,1.5
135,408,27,15500000,3,1,1500.0,10.8,0.5101520253035404,500.0,3.0
136,409,30,23000000,5,5,2500.0,11.6,0.7916152116779076,500.0,1.0
137,411,1,7500000,3,2,1050.0,6.0,0.6427915518824611,350.0,1.5
138,413,25,9700000,3,2,1100.0,7.4,0.546000546000546,366.66666666666674,1.5
139,416,19,11000000,5,2,1100.0,12.0,0.3367003367003367,220.0,2.5
140,420,3,12500000,3,2,1400.0,10.0,0.5142332415059687,466.66666666666674,1.5
