,Location,Price,Beds,Baths,House Size,Land Size
0,35,12500000,4,2,1750.0,6.5
1,25,29500000,4,4,3510.0,9.0
2,28,19000000,4,3,2850.0,7.5
3,25,35000000,7,4,1700.0,15.0
4,4,29500000,5,4,3500.0,8.0
5,28,18000000,4,4,4500.0,10.0
6,35,16500000,4,3,2400.0,6.7
7,37,4500000,2,1,1000.0,3.0
8,25,8900000,3,2,1380.0,6.0
9,35,20500000,4,5,3500.0,9.0
10,28,22000000,4,3,2850.0,7.0
11,20,23000000,5,3,3500.0,20.0
12,22,13000000,3,2,1800.0,10.0
13,36,57000000,4,4,3500.0,10.5
14,28,26000000,5,4,3000.0,8.5
15,25,26000000,4,4,3680.0,10.0
16,28,21500000,4,4,2680.0,7.0
17,29,13500000,4,2,2000.0,8.2
18,38,21500000,4,3,2500.0,6.0
19,34,135000000,5,3,4500.0,20.0
20,35,8500000,4,2,2500.0,10.0
21,20,12900000,3,2,1650.0,10.0
22,32,115000000,5,5,6500.0,14.8
23,3,195000000,7,7,11500.0,20.0
24,35,24000000,5,4,3400.0,11.5
25,1,24000000,4,3,2200.0,19.0
26,23,105000000,4,4,4600.0,37.0
27,25,6500000,2,2,1000.0,5.6
28,25,21500000,4,2,2170.0,10.6
29,3,375000000,5,5,8600.0,30.0
30,36,57000000,4,3,3500.0,10.4
31,32,37500000,5,3,3700.0,12.0
32,4,82000000,7,5,6000.0,37.0
33,18,62000000,10,6,6000.0,12.0
34,4,55000000,7,5,4000.0,18.5
35,35,13000000,3,2,1450.0,9.85
36,20,29800000,4,3,2600.0,8.0
37,20,21000000,5,2,3000.0,12.0
38,1,10900000,3,3,1450.0,10.5
39,34,29000000,3,2,5000.0,15.0
40,38,34000000,4,4,3300.0,8.0
41,38,120000000,5,5,7500.0,15.0
42,22,9200000,3,1,1300.0,7.0
43,4,32000000,3,2,2205.0,7.5
44,1,13500000,3,3,1650.0,10.0
45,29,4000000,2,1,1080.0,4.0
46,3,22800000,4,4,1885.0,5.5
47,29,11000000,3,2,1900.0,9.5
