,Location,Price,Beds,Baths,House Size,Land Size
0,"Piliyandala, Colombo",12500000,4,2,"1,750.0 sqft",6.5 perches
1,"Kottawa, Colombo",29500000,4,4,"3,510.0 sqft",9.0 perches
2,"Malabe, Colombo",19000000,4,3,"2,850.0 sqft",7.5 perches
3,"Kottawa, Colombo",35000000,7,4,"1,700.0 sqft",15.0 perches
4,"Boralesgamuwa, Colombo",29500000,5,4,"3,500.0 sqft",8.0 perches
5,"Malabe, Colombo",18000000,4,4,"4,500.0 sqft",10.0 perches
6,"Piliyandala, Colombo",16500000,4,3,"2,400.0 sqft",6.7 perches
7,"Ratmalana, Colombo",4500000,2,1,"1,000.0 sqft",3.0 perches
8,"Kottawa, Colombo",8900000,3,2,"1,380.0 sqft",6.0 perches
9,"Piliyandala, Colombo",20500000,4,5,"3,500.0 sqft",9.0 perches
10,"Malabe, Colombo",22000000,4,3,"2,850.0 sqft",7.0 perches
11,"Homagama, Colombo",23000000,5,3,"3,500.0 sqft",20.0 perches
12,"Kesbewa, Colombo",13000000,3,2,"1,800.0 sqft",10.0 perches
13,"Rajagiriya, Colombo",57000000,4,4,"3,500.0 sqft",10.5 perches
14,"Malabe, Colombo",26000000,5,4,"3,000.0 sqft",8.5 perches
15,"Kottawa, Colombo",26000000,4,4,"3,680.0 sqft",10.0 perches
16,"Malabe, Colombo",21500000,4,4,"2,680.0 sqft",7.0 perches
17,"Moratuwa, Colombo",13500000,4,2,"2,000.0 sqft",8.2 perches
18,"Talawatugoda, Colombo",21500000,4,3,"2,500.0 sqft",6.0 perches
19,"Pannipitiya, Colombo",135000000,5,3,"4,500.0 sqft",20.0 perches
20,"Piliyandala, Colombo",8500000,4,2,"2,500.0 sqft",10.0 perches
21,"Homagama, Colombo",12900000,3,2,"1,650.0 sqft",10.0 perches
22,"Nugegoda, Colombo",115000000,5,5,"6,500.0 sqft",14.8 perches
23,"Battaramulla, Colombo",195000000,7,7,"11,500.0 sqft",20.0 perches
24,"Piliyandala, Colombo",24000000,5,4,"3,400.0 sqft",11.5 perches
25,"Athurugiriya, Colombo",24000000,4,3,"2,200.0 sqft",19.0 perches
26,"Kohuwala, Colombo",105000000,4,4,"4,600.0 sqft",37.0 perches
27,"Kottawa, Colombo",6500000,2,2,"1,000.0 sqft",5.6 perches
28,"Kottawa, Colombo",21500000,4,2,"2,170.0 sqft",10.6 perches
29,"Battaramulla, Colombo",375000000,5,5,"8,600.0 sqft",30.0 perches
30,"Rajagiriya, Colombo",57000000,4,3,"3,500.0 sqft",10.4 perches
31,"Nugegoda, Colombo",37500000,5,3,"37,000.0 sqft",12.0 perches
32,"Boralesgamuwa, Colombo",82000000,7,5,"6,000.0 sqft",37.0 perches
33,"Dehiwala, Colombo",62000000,10,6,"6,000.0 sqft",12.0 perches
34,"Boralesgamuwa, Colombo",55000000,7,5,"4,000.0 sqft",18.5 perches
35,"Piliyandala, Colombo",13000000,3,2,"1,450.0 sqft",9.85 perches
36,"Homagama, Colombo",29800000,4,3,"2,600.0 sqft",8.0 perches
37,"Homagama, Colombo",21000000,5,2,"3,000.0 sqft",12.0 perches
38,"Athurugiriya, Colombo",10900000,3,3,"1,450.0 sqft",10.5 perches
39,"Pannipitiya, Colombo",29000000,3,2,"5,000.0 sqft",15.0 perches
40,"Talawatugoda, Colombo",34000000,4,4,"3,300.0 sqft",8.0 perches
41,"Talawatugoda, Colombo",120000000,5,5,"7,500.0 sqft",15.0 perches
42,"Kesbewa, Colombo",9200000,3,1,"1,300.0 sqft",7.0 perches
43,"Boralesgamuwa, Colombo",32000000,3,2,"2,205.0 sqft",7.5 perches
44,"Athurugiriya, Colombo",13500000,3,3,"1,650.0 sqft",10.0 perches
45,"Moratuwa, Colombo",4000000,2,1,"1,080.0 sqft",4.0 perches
46,"Battaramulla, Colombo",22800000,4,4,"1,885.0 sqft",5.5 perches
47,"Moratuwa, Colombo",11000000,3,2,"1,900.0 sqft",9.5 perches
48,"Malabe, Colombo",18750000,3,2,"2,600.0 sqft",6.5 perches
49,"Athurugiriya, Colombo",11000000,3,2,990.0 sqft,6.0 perches
50,"Boralesgamuwa, Colombo",31000000,4,3,"2,500.0 sqft",6.5 perches
51,"Colombo 15, Colombo",12000000,2,2,"1,600.0 sqft",5.0 perches
52,"Pannipitiya, Colombo",26000000,4,4,"3,600.0 sqft",10.0 perches
53,"Maharagama, Colombo",27000000,4,2,"2,500.0 sqft",8.35 perches
54,"Battaramulla, Colombo",18000000,3,3,"1,800.0 sqft",10.5 perches
55,"Hanwella, Colombo",5500000,5,2,"1,500.0 sqft",15.0 perches
56,"Pannipitiya, Colombo",23700000,4,3,"3,140.0 sqft",10.0 perches
57,"Kesbewa, Colombo",5900000,3,2,"2,400.0 sqft",10.0 perches
58,"Moratuwa, Colombo",24000000,4,3,"2,100.0 sqft",8.3 perches
59,"Homagama, Colombo",11000000,3,2,"1,500.0 sqft",11.0 perches
60,"Battaramulla, Colombo",110000000,4,4,"4,500.0 sqft",22.0 perches
61,"Homagama, Colombo",3950000,3,1,"1,150.0 sqft",9.6 perches
62,"Piliyandala, Colombo",13500000,3,2,"2,100.0 sqft",13.5 perches
63,"Nugegoda, Colombo",100000000,7,6,"8,600.0 sqft",19.6 perches
64,"Athurugiriya, Colombo",16000000,4,3,"2,200.0 sqft",7.0 perches
65,"Ratmalana, Colombo",140000000,6,5,"8,000.0 sqft",53.0 perches
66,"Kottawa, Colombo",26000000,4,4,"3,800.0 sqft",10.0 perches
67,"Battaramulla, Colombo",30000000,5,4,"3,500.0 sqft",16.0 perches
68,"Kottawa, Colombo",21000000,4,3,"2,500.0 sqft",9.0 perches
69,"Battaramulla, Colombo",12500000,3,3,"1,200.0 sqft",7.0 perches
70,"Kottawa, Colombo",6000000,2,2,"1,200.0 sqft",4.6 perches
71,"Athurugiriya, Colombo",13500000,3,3,"1,650.0 sqft",10.0 perches
72,"Kesbewa, Colombo",5300000,3,1,"1,250.0 sqft",10.0 perches
73,"Athurugiriya, Colombo",9800000,3,3,"1,350.0 sqft",6.5 perches
74,"Malabe, Colombo",11000000,3,3,"1,300.0 sqft",6.5 perches
75,"Malabe, Colombo",23000000,4,4,"2,800.0 sqft",9.0 perches
76,"Battaramulla, Colombo",18000000,6,2,"2,000.0 sqft",10.2 perches
