,0,1,2,3,4,5,6,7,8,9
0,House for Sale Mount Lavinia, 1 Feb  8:16 pm,"Mount Lavinia, Colombo","22,000,000",Fully tiled house 1 vehicle parking inside the house. No repairs,mountlavina uludhagoda road,3,2,"2,500.0 sqft",6.5 perches
1,Brand New Luxury Type Architect Designed House for Sale in Malabe, 1 Feb  7:11 pm,"Malabe, Colombo","24,000,000","2 Storey House for Sale in  Amaragoda rd, sandoris mawatha ","Malabe, sandoris jayantha mw",4,4,"2,600.0 sqft",8.0 perches
2,House for Sale in Piliyandala,30 Jan  3:24 pm,"Piliyandala, Colombo","16,900,000","Off Madapatha Road Hillcrest Estate, gated community, 24 hour security Serene environment, beautifully landscaped with sorounding walking paths .With garden, 3 phase electricity, 3 bedrooms, 2 washrooms ,Sitting, dining, pantry, kitchen, TV lounge, servants quartersFully  furnished with brand new teak furniture and equipped with brand new electrical equipment. Fully airconditioned. Urgent sale",,3,2,"1,000.0 sqft",12.5 perches
3,House for Sale in Kawdana Dehiwala, 1 Feb  7:07 pm,"Dehiwala, Colombo","30,000,000","DetailsProperty Type:Price: Rs. 30,000,000 ($ 164,500)Bedrooms: 3Bathrooms/WCs: 2Nearest bus stop: 300MNearest train station: 2 KMDescription10 perches land located in a Highly Residential area with access via private road.15 years old well maintained house with,– 3 Bedroom (with attached washroom)– Kitchen with pantry cupboard.– Domestic Helper washroom.– Car park facility for 2 vehicles– Building plans & COC are approved.",Palliyadora Road Kawdana,3,3,"2,000.0 sqft",10.0 perches
4,Brand New House For Sale In Malabe, 4 Jan  7:07 pm,"Malabe, Colombo","10,800,000","Brand New Single Storied House for Sale @ Malabe Road, Bathalawatta,Thalahena Road., ON 6.5 Perch Land & 1250 Sq Ft","Robat Gunawardena Mawatha,Malabe",3,3,"1,250.0 sqft",6.5 perches
5,Brand New Architect House for Sale in Piliyandala,27 Jan  8:54 am,"Piliyandala, Colombo","17,500,000","brand new european  style   luxury House For Sale in  horana colombo bus route ,kesbewa, (120 B/R )",120 bus route kesbewa,4,3,"2,700.0 sqft",7.0 perches
6,Single Story Brand New House for Sale in Bandaragama Road Kesbewa, 1 Feb  8:07 pm,"Kesbewa, Colombo","12,500,000",Single Story Brand New House for Sale in Bandaragama Road Kesbewa ,Bandaragama Road Kesbewa,3,3,"1,350.0 sqft",9.0 perches
7,House or Sale at Polgasovita,18 Jan 12:25 am,"Piliyandala, Colombo","9,800,000","Brand new house at polgasovita - 07 PerchConveniently located in peaceful well secured residential area close to polgasovita 342 & 120 road & its a short distance to piliyanda,maharagama & Kottawa towans.Price -9.8 million (98 laks)700 M to 342 Bus Route5 minuets to polgasovita town .10 minutes to kottawa & piliyandala",polgasovita,3,3,"1,342.0 sqft",7.0 perches
8,Brand New Luxury House for Sale in Piliyandala,27 Jan  8:54 am,"Piliyandala, Colombo","22,000,000","2 Story  Brand New complete   House for Sale in Piliyandala, makandana   Rd, ",mkandana 157 bus route,4,4,"3,150.0 sqft",10.0 perches
9,2 Stories Super Luxury Modern House for Sale in Boralasgamuwa, 1 Feb  7:11 pm,"Boralesgamuwa, Colombo","60,000,000",Super Luxury 2 Story House For Sale Boralasgamuwa. ,"100 meters to Boralasgamuwa Junction,",7,5,"4,000.0 sqft",18.5 perches
