,Unnamed: 0,Location,Price,Beds,Baths,House Size,Land Size
0,0,Piliyandala,12500000.0,4.0,2.0,1750.0,6.5
1,1,Kottawa,29500000.0,4.0,4.0,3510.0,9.0
2,2,Malabe,19000000.0,4.0,3.0,2850.0,7.5
3,3,Kottawa,35000000.0,7.0,4.0,1700.0,15.0
4,4,Boralesgamuwa,29500000.0,5.0,4.0,3500.0,8.0
5,5,Malabe,18000000.0,4.0,4.0,4500.0,10.0
6,6,Piliyandala,16500000.0,4.0,3.0,2400.0,6.7
7,7,Ratmalana,4500000.0,2.0,1.0,1000.0,3.0
8,8,Kottawa,8900000.0,3.0,2.0,1380.0,6.0
9,9,Piliyandala,20500000.0,4.0,5.0,3500.0,9.0
10,10,Malabe,22000000.0,4.0,3.0,2850.0,7.0
11,11,Homagama,23000000.0,5.0,3.0,3500.0,20.0
12,12,Kesbewa,13000000.0,3.0,2.0,1800.0,10.0
13,13,Rajagiriya,57000000.0,4.0,4.0,3500.0,10.5
14,14,Malabe,26000000.0,5.0,4.0,3000.0,8.5
15,15,Kottawa,26000000.0,4.0,4.0,3680.0,10.0
16,16,Malabe,21500000.0,4.0,4.0,2680.0,7.0
17,17,Moratuwa,13500000.0,4.0,2.0,2000.0,8.2
18,18,Talawatugoda,21500000.0,4.0,3.0,2500.0,6.0
19,19,Pannipitiya,135000000.0,5.0,3.0,4500.0,20.0
20,20,Piliyandala,8500000.0,4.0,2.0,2500.0,10.0
21,21,Homagama,12900000.0,3.0,2.0,1650.0,10.0
22,22,Nugegoda,115000000.0,5.0,5.0,6500.0,14.8
23,23,Battaramulla,195000000.0,7.0,7.0,11500.0,20.0
24,24,Piliyandala,24000000.0,5.0,4.0,3400.0,11.5
25,25,Athurugiriya,24000000.0,4.0,3.0,2200.0,19.0
26,26,Kohuwala,105000000.0,4.0,4.0,4600.0,37.0
27,27,Kottawa,6500000.0,2.0,2.0,1000.0,5.6
28,28,Kottawa,21500000.0,4.0,2.0,2170.0,10.6
29,29,Battaramulla,375000000.0,5.0,5.0,8600.0,30.0
30,30,Rajagiriya,57000000.0,4.0,3.0,3500.0,10.4
31,31,Nugegoda,37500000.0,5.0,3.0,37000.0,12.0
32,32,Boralesgamuwa,82000000.0,7.0,5.0,6000.0,37.0
33,33,Dehiwala,62000000.0,10.0,6.0,6000.0,12.0
34,34,Boralesgamuwa,55000000.0,7.0,5.0,4000.0,18.5
35,35,Piliyandala,13000000.0,3.0,2.0,1450.0,9.85
36,36,Homagama,29800000.0,4.0,3.0,2600.0,8.0
37,37,Homagama,21000000.0,5.0,2.0,3000.0,12.0
38,38,Athurugiriya,10900000.0,3.0,3.0,1450.0,10.5
39,39,Pannipitiya,29000000.0,3.0,2.0,5000.0,15.0
