ID,Location,Price,Beds,Baths,House Size,Land Size,New,Garden,Security,AC,Near Service,Stories,Parking,Luxury,Pantry,Hot Water,Roller Gate,CCTV,Tiled,Designed,TV Lobby
2,17,19000000,4,3,2850,7.5,1,0,0,1,0,3,1,1,1,1,1,0,1,0,1
4,7,29500000,5,4,3500,8,1,0,1,0,1,3,1,1,1,0,0,0,0,0,0
5,17,18000000,4,4,4500,10,1,1,0,0,1,3,1,1,1,0,0,0,0,0,1
6,22,16500000,4,3,2400,6.7,1,0,1,0,1,1,1,0,1,0,0,0,0,0,0
7,33,4500000,2,1,1000,3,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0
9,22,20500000,4,5,3500,9,1,0,0,0,0,3,1,1,1,0,1,0,1,1,0
10,17,22000000,4,3,2850,7,1,0,1,0,1,2,1,1,1,1,0,0,1,0,0
12,8,13000000,3,2,1800,10,1,0,1,0,1,1,1,0,1,0,0,0,1,0,0
13,30,57000000,4,4,3500,10.5,1,0,0,1,1,2,1,1,1,0,0,0,0,0,0
14,17,26000000,5,4,3000,8.5,1,0,1,1,1,1,1,1,1,1,1,1,0,0,1
15,1,26000000,4,4,3680,10,1,0,0,0,1,1,1,1,1,0,0,0,0,0,1
16,17,21500000,4,4,2680,7,1,1,1,0,0,2,1,1,1,1,1,1,0,0,1
17,2,13500000,4,2,2000,8.2,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
18,11,21500000,4,3,2500,6,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0
20,22,8500000,4,2,2500,10,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0
21,25,12900000,3,2,1650,10,0,0,0,0,0,2,1,0,1,0,0,0,0,0,0
24,22,24000000,5,4,3400,11.5,0,0,0,0,0,2,1,1,1,0,0,0,0,0,0
25,9,24000000,4,3,2200,19,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
27,1,6500000,2,2,1000,5.6,0,1,0,0,1,1,1,0,1,0,0,0,1,0,0
28,1,21500000,4,2,2170,10.6,0,0,0,1,0,1,1,1,1,0,0,0,1,0,1
30,30,57000000,4,3,3500,10.4,0,0,0,0,0,3,1,0,1,0,0,0,0,1,0
31,31,37500000,5,3,37000,12,0,0,0,0,0,3,1,0,1,0,0,0,0,0,0
34,7,55000000,7,5,4000,18.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
35,22,13000000,3,2,1450,9.85,1,0,0,0,1,1,1,0,1,0,0,0,0,0,0
36,25,29800000,4,3,2600,8,0,0,1,1,1,1,1,1,1,1,1,1,0,0,0
37,25,21000000,5,2,3000,12,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
38,9,10900000,3,3,1450,10.5,1,1,1,1,1,1,1,1,1,1,1,1,1,0,0
39,28,29000000,3,2,5000,15,0,0,0,0,1,2,1,0,1,0,0,0,0,1,0
40,11,34000000,4,4,3300,8,1,1,0,0,0,1,1,1,1,0,0,0,0,0,0
43,7,32000000,3,2,2205,7.5,1,1,0,0,0,2,1,0,1,0,1,0,1,0,0
44,9,13500000,3,3,1650,10,1,1,0,0,0,1,1,0,1,0,0,0,0,0,0
46,18,22800000,4,4,1885,5.5,0,0,0,1,0,2,0,1,1,1,1,0,1,0,1
48,17,18750000,3,2,2600,6.5,1,0,0,0,0,2,0,1,1,0,0,0,0,0,0
49,9,11000000,3,2,990,6,1,0,1,0,0,1,1,0,1,0,0,0,0,0,0
50,7,31000000,4,3,2500,6.5,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0
51,31,32000000,4,2,3000,9.7,0,0,0,0,1,3,1,1,1,0,0,0,0,0,0
52,10,12000000,2,2,1600,5,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0
53,28,26000000,4,4,3600,10,0,1,1,1,1,1,1,1,1,1,0,1,1,0,0
54,16,27000000,4,2,2500,8.35,0,0,0,0,1,2,1,0,1,0,1,0,0,0,0
55,18,18000000,3,3,1800,10.5,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
56,6,5500000,5,2,1500,15,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0
57,28,23700000,4,3,3140,10,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
58,8,5900000,3,2,2400,10,0,0,0,0,1,1,1,0,1,0,0,0,1,0,0
59,2,24000000,4,3,2100,8.3,0,0,0,0,1,2,1,1,1,1,0,0,0,0,0
60,25,11000000,3,2,1500,11,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0
