Unnamed: 0,0,1,2,3,4,5,6,7,8,9
0,New House for Sale in Piliyandala,10 Aug  7:49 pm,"Piliyandala, Colombo","12,500,000","පිලියන්දල මඩපාත devid pieris ආයතනය අසල ඉදිකරමින් පවතන  පදිනංචියට  සුදුසු  වැදගත් පරිසරයක් සමන්විත  සියලූ ඉඩමි වලට අරක්ෂිත gate ඵකකින් නිමා උන   perch 6.5 ක දේමහල් නිවස යට මහල ටයිල් කර  නිම වෙමින්  පවතින අතර ඵම තත්වයෙන් විකිණීම සදහා  12500000/= විකුණනු  ඇත නැතහොත් සියඵම වැඩ සති 3 ඇතුලත  නිම කර දීම සදහා 14000000/= මුදල් හදිස්සියක් සදහා  ඉක්මනින් විකුණනු ඇත    කමර 4. Bath room 2  කුස්සිය, සාලය,parking aria එක  ඇතූලූව roller gate ඵක සහා පොඩි gate ඵක ඇති සියලූ දේ නිම කර දීම සදහා 14000000/= කට ඉක්මනින් ",,4,2,"1,750.0 sqft",6.5 perches
1,Brand New Luxury Two Storey House Piliyanadala, 2 Jul  8:33 am,"Kottawa, Colombo","29,500,000","Brand new luxury two storey house for sale in kottawa 255 piliyanadala Road near to the Kottawa Junction. 4 bedrooms and 4 bathrooms. Comply with hot water, solar system,AC,CCTV camera, TV lobby, balcony and roof. Servant room and a bathroom. Complete pantry with a hob. Double carpoch. 100m to 255 Road.",kottawa 255 piliyanadala Road,4,4,"3,510.0 sqft",9.0 perches
2,Brand New 3 Storied House for Sale in Malabe,16 Aug  8:14 pm,"Malabe, Colombo","19,000,000",Brand New 3 storied house for sale at malabe .2 km to malabe.500 meters to main road.4 bed room with A/C room.3 Bath room master bedroom room with attach bath with hot water.kitchen.study room.tv loby.living room.car porch.terrace with balconies.escado roller door.out side servant toilet and room.bank loan available.10 minutes to Highway entrance.,malabe,4,3,"2,850.0 sqft",7.5 perches
3,House for sale - Kottawa,16 Aug  8:32 pm,"Kottawa, Colombo","35,000,000",House for sale in Kottawa===================,,7,4,"1,700.0 sqft",15.0 perches
4,Brand New Luxury House for sale in Boralesgamuwa, 8 Aug  7:51 pm,"Boralesgamuwa, Colombo","29,500,000","Brand New, 3 Storied 5 Bed Room House for Sale in Boralesgamuwa – Gangarama RoadConveniently located in a tranquil, serene environment, peace and well secured.Located just 1.8 Km to Werahera Junction and 2.5 Km to Ratmalana Borupana Junction. Close to KDU Hospital Boralesgamuwa.",,5,4,"3,500.0 sqft",8.0 perches
5,All Most Brand New Luxury House for Sale Malabe,16 Aug  7:53 pm,"Malabe, Colombo","18,000,000",900m to Nevil Fernando hospital 20ft rd facing superb house ground floor 1bed 2bath sitting dining modern pantry 2nd floor 3bed 3baths TV lobby balconies 3rd floor roof top landscape garden 4 vehicles parking area attached bathroom for master bedroom servant bedroom and toilet high residential area very close to malabe Town and Slitt price 18000000 no brokers genuine buyers well come after appointments,malabe near Nevil Fernando hospital,4,4,"4,500.0 sqft",10.0 perches
6,Brand New House for Sale in Piliyandala,16 Aug  8:10 pm,"Piliyandala, Colombo","16,500,000",Brand new house in piliyandalaGonamaditta4 bed rooms3 bathroom6.7 perchFull tile finishing roof120 bus road 1 kmHighly residential eriyaCash or lorn ok,130 gonamaditta piliyandala,4,3,"2,400.0 sqft",6.7 perches
7,House for Sale / Rathmalana Soysa Flats, 7 Jul  7:04 pm,"Ratmalana, Colombo","4,500,000",BED ROOMS 2 WITH  WALL CUPBOARDSWASH ROOM 1MAIN HALL 1KITCHEN WITH PANTRY CUPBOARDFULL TILES COMPLETE HOUSE2 nd   FLOOR,2nd FLOOR   SOYSA FLATS RATHMALANA,2,1,"1,000.0 sqft",3.0 perches
8,House for sale in mattegoda (kurulu uyana),16 Aug  7:44 pm,"Kottawa, Colombo","8,900,000","මත්තේගොඩ කුරුළු උයන පිහිටි නවීන වස්තු විද්‍යානුකුලව ඉදිකරනු ලැබූ නව නිවස විකිනීමට,නිදන කාමර 03බාත්රූම් 02කෑම කාමරය සාලය වැරන්ඩාකුස්සිය පැන්ට්‍රිය සමග ",,3,2,"1,380.0 sqft",6.0 perches
9,3 storyed house with roof top Bolgoda lake view in Piliyandala,16 Jul 10:12 am,"Piliyandala, Colombo","20,500,000","Brand new. Lake view 3 storey large house in Piliyandala Dampe. 100m to Dampe Village hotel. 150m to Piliyandala Dampe main road. 3.5 km to Piliyandala town. 5km to Katubedda junction. Well designed by an architect. Landscaped garden.Elcardo Roller gate.Steel pantry cupboards.Very decent neighborhood.Clear deeds.2000ltr overhead water tanks.Equipped with Telephone, wifi, peotv.Can be seen after 5 pm weekdays and in weekends.Pls call for an appointment.Genuine buyers only.Urgent sale.","324/45, Lake Serenity, Dampe,Piliyandala",4,5,"3,500.0 sqft",9.0 perches
