ID,Number of Stories
0,1
1,2
2,3
3,1
4,3
5,1
6,1
7,1
8,1
9,3
10,2
11,1
12,1
13,2
14,1
15,2
16,2
17,2
18,2
19,1
20,1
21,2
22,1
23,3
24,2
25,1
26,2
27,1
28,2
29,1
30,3
31,3
32,1
33,3
34,1
35,1
36,1
37,1
38,1
39,2
40,2
41,1
42,1
43,2
44,1
45,1
46,2
47,1
48,2
49,1
50,1
51,3
52,1
53,1
54,2
55,1
56,1
57,1
58,1
59,1
60,1
61,1
62,1
63,2
64,1
65,2
66,3
67,2
68,2
69,2
70,1
71,1
72,1
73,1
74,1
75,1
76,2
77,2
78,2
79,1
80,2
81,1
82,2
83,1
84,1
85,2
86,2
87,2
88,2
89,2
90,1
91,2
92,1
93,2
94,1
95,1
96,1
97,1
98,1
99,2
100,2
101,2
102,1
103,1
104,1
105,1
106,1
107,2
108,3
109,-1
110,2
111,1
112,1
113,1
114,1
115,1
116,2
117,1
118,2
119,3
120,2
121,2
122,3
123,2
124,2
125,2
126,1
127,2
128,3
129,2
130,1
131,1
132,1
133,1
134,2
135,1
136,1
137,1
138,2
139,1
140,1
141,1
142,2
143,2
144,3
145,1
146,2
147,1
148,3
149,2
150,1
151,1
152,1
153,2
154,1
155,1
156,2
157,2
158,2
159,2
160,2
161,2
162,1
163,1
164,1
165,1
166,1
167,1
168,1
169,2
170,2
171,3
172,2
173,1
174,1
175,1
176,1
177,2
178,2
179,2
180,1
181,1
182,2
183,1
184,3
185,3
186,2
187,2
188,2
189,1
190,2
191,2
192,1
193,2
194,1
195,3
196,-1
197,2
198,1
199,1
200,1
201,1
202,2
203,2
204,2
205,3
206,1
207,1
208,1
209,1
210,2
211,2
212,2
213,1
214,2
215,1
216,1
217,2
218,3
219,1
220,2
221,2
222,1
223,2
224,1
225,2
226,2
227,1
228,1
229,2
230,2
231,2
232,2
233,3
234,1
235,3
236,2
237,1
238,1
239,1
240,2
241,2
242,1
243,2
244,2
245,1
246,1
247,1
248,2
249,2
250,1
251,1
252,2
253,2
254,2
255,2
256,2
257,2
258,3
259,2
260,3
261,2
262,1
263,1
264,2
265,2
266,2
267,2
268,1
269,2
270,2
271,2
272,2
273,2
274,1
275,2
276,1
277,1
278,3
279,1
280,1
281,2
282,3
283,1
284,2
285,2
286,2
287,1
288,1
289,3
290,1
291,2
292,2
293,2
294,2
295,2
296,1
297,2
298,1
299,2
300,3
301,2
302,2
303,2
304,2
305,1
306,2
307,1
308,3
309,2
310,1
311,1
312,1
313,1
314,2
315,1
316,2
317,1
318,1
319,2
320,1
321,1
322,2
323,1
324,1
325,1
326,1
327,2
328,1
329,1
330,1
331,2
332,1
333,3
334,1
335,2
336,1
337,1
338,2
339,1
340,1
341,2
342,2
343,1
344,1
345,1
346,2
347,2
348,1
349,1
350,1
351,1
352,2
353,2
354,2
355,2
356,2
357,2
358,3
359,1
360,2
361,1
362,1
363,1
364,3
365,2
366,3
367,1
368,1
369,1
370,3
371,3
372,1
373,1
374,3
375,3
376,1
377,2
378,1
379,2
380,2
381,1
382,3
383,1
384,2
385,1
386,3
387,1
388,2
389,1
390,2
391,1
392,2
393,1
394,2
395,3
396,2
397,2
398,1
399,1
400,2
401,3
402,2
403,1
404,1
405,2
406,2
407,1
408,1
409,1
410,1
411,2
412,1
413,2
414,1
415,1
416,2
417,1
418,3
419,1
420,1
421,1
422,3
423,2
424,3
425,3
426,1
427,2
428,1
429,1
430,2
431,1
432,2
433,1
434,1
435,2
436,2
437,2
438,1
439,1
440,1
441,2
442,1
443,1
444,1
445,1
446,1
447,2
448,2
449,1
450,3
451,1
452,1
453,1
454,1
455,2
456,1
457,1
458,1
459,2
460,1
461,2
462,2
463,2
464,1
465,1
466,2
467,3
468,2
469,2
470,1
471,2
472,2
473,2
474,2
475,1
476,1
477,1
478,1
479,1
480,1
481,1
482,1
483,2
484,2
485,1
486,2
487,2
488,3
489,2
490,2
491,1
492,2
493,2
494,1
495,2
496,2
497,2
498,1
499,2
500,1
501,1
502,2
503,2
504,1
505,1
506,2
507,1
508,1
509,2
510,2
511,1
512,2
513,2
514,2
515,1
516,2
517,2
518,3
519,2
520,2
521,2
522,2
523,1
524,1
525,3
526,3
527,1
528,1
529,1
530,2
531,1
532,2
533,2
534,2
535,2
536,1
537,1
538,3
539,2
540,1
541,2
542,1
543,2
544,2
545,2
546,2
547,3
548,1
549,2
550,3
551,1
552,2
553,2
554,2
555,2
556,1
557,2
558,2
559,1
560,2
561,1
562,2
563,1
564,2
565,1
566,1
567,1
568,1
569,3
570,2
571,1
572,2
573,1
574,1
575,1
576,1
577,1
578,1
579,2
580,2
581,3
582,1
583,1
584,1
585,2
586,2
587,1
588,1
589,2
590,2
591,2
592,1
593,1
594,1
595,2
596,1
597,1
598,1
599,2
600,2
601,2
602,1
603,2
604,3
605,1
606,1
607,2
608,-1
609,1
610,1
611,2
612,1
613,1
614,1
615,2
616,2
617,2
618,2
619,2
620,1
621,1
622,1
623,1
624,2
625,3
626,1
627,1
628,1
629,1
630,1
631,1
632,2
633,1
634,2
635,1
636,2
637,1
638,1
639,1
640,3
641,2
642,2
643,2
644,2
645,1
646,1
647,2
648,2
649,2
650,2
651,2
652,1
653,1
654,1
655,1
656,1
657,2
658,2
659,1
660,1
661,1
662,1
663,2
664,1
665,3
666,1
667,1
668,1
669,1
670,1
671,2
672,1
673,1
674,1
675,2
676,2
677,3
678,1
679,1
680,2
681,2
682,1
683,2
684,1
685,2
686,1
687,1
688,2
689,1
690,1
691,1
692,1
693,3
694,2
695,2
696,1
697,1
698,1
699,1
700,2
701,1
702,1
703,1
704,2
705,3
706,1
707,1
708,3
709,1
710,1
711,3
712,1
713,2
714,2
715,1
716,1
717,1
718,2
719,1
720,2
721,4
722,3
723,2
724,4
725,1
726,2
727,1
728,1
729,1
730,1
731,1
732,2
733,1
734,1
735,1
736,1
737,1
738,3
739,1
740,1
741,3
742,2
743,1
744,1
745,2
746,1
747,2
748,2
749,1
750,2
751,1
752,1
753,1
754,2
755,1
756,1
757,1
758,2
759,1
760,2
761,2
762,1
763,1
764,1
765,2
766,2
767,1
768,2
769,2
770,1
771,2
772,1
773,1
774,2
775,1
776,2
777,2
778,2
779,2
780,3
781,1
782,1
783,1
784,1
785,2
786,1
787,1
788,1
789,1
790,2
791,3
792,3
793,2
794,1
795,2
796,2
797,2
798,1
799,2
800,2
801,1
802,1
803,1
804,2
805,2
806,1
807,1
808,2
809,2
810,1
811,2
812,1
813,2
814,1
815,2
816,1
817,1
818,1
819,1
820,2
821,1
822,2
823,2
824,1
825,2
826,1
827,1
828,1
829,2
830,1
831,3
832,2
833,1
834,2
835,1
836,1
837,1
838,3
839,2
840,2
841,3
842,1
843,3
844,2
845,2
846,1
847,1
848,1
849,1
850,2
851,1
852,1
853,1
854,2
855,1
856,1
857,3
858,3
859,1
860,1
861,1
862,1
863,2
864,1
865,1
866,1
867,1
868,1
869,1
870,2
871,2
872,1
873,2
874,1
875,1
876,3
877,1
878,1
879,2
880,1
881,1
882,1
883,1
884,1
885,1
886,1
887,1
888,1
889,2
890,2
891,1
892,1
893,2
894,1
895,1
896,3
897,2
898,2
899,1
900,1
901,2
902,2
903,2
904,2
905,-1
906,1
907,2
908,2
909,1
910,2
911,2
912,2
913,1
914,1
915,2
916,1
917,3
918,3
919,3
920,2
921,1
922,2
923,2
924,1
925,2
926,1
927,1
928,1
929,1
930,1
931,2
932,2
933,1
934,2
935,1
936,1
937,2
938,1
939,2
940,3
941,1
942,1
943,2
944,2
945,2
946,2
947,3
948,1
949,1
950,1
951,3
952,1
953,1
954,3
955,1
956,1
957,1
958,1
959,1
960,2
