,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Beds:,Baths:,Size:
1,Apartment for Rent (Sea View) - Colombo 06,15 Jul 11:40 am,"Colombo 6, Colombo","110,000","Luxury 3 bedroom and 2 bedroom fully furnished two Apartments in the heart of Colombo. Centrally located at Ramakrishna Road, (50 meters from Galle Road), Colombo 06 with full sea view. Fully Air Conditioned, Hot water, 2 large Swimming Pools, Gym, Rooftop Garden, 24 hour security, Car parking, 4 high speed Lifts and emergency electricity Generator. Enjoy the splendid sunset and breeze every day in your bedroom. Take a walk along the Indian Ocean & Galle Road which is just a few steps away.",Ramakrishna road Colombo 06,3,2,"1,250 sqft"
2,"['Apartment for Rent (Sea View) - Colombo 06', '15 Jul 11:40 am', 'Colombo 6, Colombo', '110,000', 'Luxury 3 bedroom and 2 bedroom fully furnished two Apartments in the heart of Colombo. Centrally located at Ramakrishna Road, (50 meters from Galle Road), Colombo 06 with full sea view. Fully Air Conditioned, Hot water, 2 large Swimming Pools, Gym, Rooftop Garden, 24 hour security, Car parking, 4 high speed Lifts and emergency electricity Generator.\xa0Enjoy the splendid sunset and breeze every day in your bedroom. Take a walk along the Indian Ocean & Galle Road which is just a few steps away.', 'Ramakrishna road Colombo 06', '3', '2', '1,250 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'Size:']",,,,,,,
3,Brand New Apartment for Rent in Nugegoda, 6 Jul  1:09 pm,"Nugegoda, Colombo","87,000","2 bed rooms, 3 bathrooms, A/C, 1400 Sq Ft, Servant area, 4 balconiesFacilities: Gym, Swimming Pool, security, parking ",Nugegoda,2,3,"1,400 sqft"
4,Apartment for Rent in Maharagama,21 Jul  1:28 am,"Maharagama, Colombo","26,000","Fully furnished modern studio apartmentsElectricity and water facilities providedkitchen and pantry facilitiesParking available24 hour security with surveillancePrices start from Rs 26,000 to Rs 35,000prices starting from Rs 30,000/= and upwards",109/6 Railway Avenue,1,1,"1,000 sqft"
5,Sylph Residence Apartment Rent - Maharagama,21 Jul  1:23 am,"Maharagama, Colombo","35,000","Fully Secured Place, Peace full Environment and Neighborhood.Please do let us know your requirements.1 Bedroom 1 BathroomRooftop available for functions24 hour security with surveillanceAmazing view of the city ",141 old kottawa Road Nawina Maharagama,1,1,250 sqft
6,2 Bed Room Apartment for Rent in Dehiwala,20 Jul 10:11 pm,"Dehiwala, Colombo","50,000",Rs 50000 per month +bill,2,1,"1,175 sqft",
7,4 Bedroom Luxury Apartment With Pool - Colombo 06, 4 Jul  9:23 am,"Colombo 6, Colombo","120,000","A lovely, very spacious 4 bedroom apartment with 3 bathrooms available for long rent.",4,3,"1,500 sqft",
8,Upstairs Apartment for Rent at Talawatugoda,20 Jul  6:41 pm,"Talawatugoda, Colombo","28,000","Newly built upstair for rent with following facilities,100% completedKitchen and bathroom Calm and green surrounding CCTV protection Separate entrance",4,1,1 sqft,
9,Apartment for rent in Mount Lavinia,20 Jul  6:08 pm,"Mount Lavinia, Colombo","97,000","*** NO BROKERS*** Brandnew Furnished Apartment For Rent in Mount Lavinia*** Two Air-conditions*** 2 Bed Rooms.*** 2 Bath Rooms.*** 24 hours Security service*** One Vehicle parking*** Nearby Supermarkets, Resturants, Schools, etc...*** 4-month refundable deposit ( negotiable )*** HALF MONTH AGENT FEE",Mount lavinia - Siripala rd,2,2,900 sqft
10,Apartment for Rent in Mount Lavinia,20 Jul  6:05 pm,"Mount Lavinia, Colombo","90,000","*** NO BROKERS*** Brand new Furnished Apartment For Rent in Mount Lavinia*** Two Air-conditions*** 2 Bed Rooms.*** 2 Bath Rooms.*** 10m from Galle road ( walking distance )*** 24 hours Security service*** One Vehicle parking*** Nearby Supermarkets, Resturants, Schools, etc...*** Prefer for Maldivians and locals*** 3 months refundable deposit",Mountlavinia,2,2,950 sqft
11,Brand New Apartment for Rent - in Col.6,20 Jul  5:41 pm,"Colombo 6, Colombo","150,000","3Rooms-1 Attached and 1Common Bathroom.5th Floor Apartment.1,425 sqftFully Furnished..","36,..IBC Road, Colombo 6",3,2,"1,425 sqft"
12,3 Bed Room New Apartment in Colombo - 6,20 Jul  5:19 pm,"Colombo 6, Colombo","80,000",Brand new apartment off arpico super market wellawatta one car park and lift and 4th floor  land site 200m from gold road wellawatta,"52 , E S Fando mawatha Colombo 6",3,2,"1,260 sqft"
13,3 Br Furnished Apartment in Col-4,20 Jul  5:07 pm,"Colombo 6, Colombo","120,000",Fully furnished 3bed room apartment In de krester place colombo-4 Near ITBC Campass pool and gym One car park,Seagull residents 42 De krester place colombo-4,3,3,"1,450 sqft"
14,Apartment for rent in Colombo 6,12 Jul  1:35 pm,"Colombo 6, Colombo","39,000","AC master bedroom with attached bathroom is available for rent. Fully furnished with wardrobe, dressing table double bed. The room has a nice view of the city and a large balcony. Kitchen is equipped with fridge, stove, kettle and glassware. Lobby is with dining table sofa and TV. It’s the 6th floor apartment with two lifts and one parking slot. Highly secure area and quite close to Havlock city. It’s a 3 bedroom apartment and other two rooms are fitted with bathroom which are occupied. The kitchen and the lobby is shared.",1,1,350 sqft,
15,Apartment For Rent in Dehiwala, 4 Jul  2:47 pm,"Dehiwala, Colombo","90,000",♤Un Furnished Apartment For Rent ☆3 Bed Rooms.☆1 Attach 1 Common Bath Rooms.☆Belcony.☆Hot Water ☆A/C.☆24rs Sequrity.☆2 Lift.🚘1 Parking.🏊Swimming Pool and Gym Available.☜Close To Mosque 🕌,Off Marine Drive Dehiwala,3,2,"1,200 sqft"
16,3 Bedroom in Attach Bathroom - Col 6,20 Jul  4:11 pm,"Colombo 6, Colombo","120,000",GRAND NEW APARTMENT. FULLY FURNISHED APARTMENT WITH AIR CONDITION. 24 HOUR SECURITY WITH PARKING. MAINTENENCE.  NOW AVAILABLE WORRY TO NOW CALL,"42 , 4/2 DE KRESTER  PLACE  COL 06",3,3,"1,560 sqft"
17,Apartment for rent in Colombo 6,20 Jul  4:01 pm,"Colombo 6, Colombo","80,000",3  BED ROOM APARTMENT  COL 06,3,3,"1,260 sqft",
18,1 Bed Room Apartment For Rent - Colombo 06,20 Jul  3:53 pm,"Colombo 6, Colombo","95,000","*Address -	28 Ramakrishna Road Colombo 06*Access - Galle road*Rent - 95000\=*Sqft - 650*Floor- 9*Bedrooms - 1*Bathrooms - 1*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 month*Advance - 6 month*Facilities - Parking , Lift , Generator, Hot water,24/h",28 Ramakrishna road Colombo 06,1,1,650 sqft
19,3 Bed Room Apartment - Colombo 7,20 Jul  3:52 pm,"Colombo 7, Colombo","225,000","Address -41 Templers Road Mount Lavinia Span Tower*Rent - 225000\=*Sqft - 1500*Bedrooms -3*Bathrooms - 3*Servant Room - 1*Servant Bathroom - 1*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",25/128 prime residence apartments Bauddaloka mawatha Colombo 7,3,3,"1,500 sqft"
20,3 Bed Room Apartment (APT001523) - Colombo 04,20 Jul  3:46 pm,"Colombo 4, Colombo","155,000","Address - Vishaka Road *Access - Galle road*Rent - 155000\=*Sqft - 1500*Floor- 3*Bedrooms -3*Bathrooms - 2*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Refundable Deposit - 1 Month *Advance - 6 Month*Facilities - Parking , Lift , Generator, Hot water,24/h",28 Vishaka Road Colombo 04,3,2,"1,500 sqft"
21,1 Bed Room Apartment - Dehiwala (APT1522),20 Jul  3:43 pm,"Dehiwala, Colombo","75,000","Address -34 ebanizer place*Access - Galle Road *Rent - 75000\=*Sqft - 700*Floor- 8*Bedrooms -1*Bathrooms - 1*Servant Room - no*Servant Bathroom - no*Property type - Apartment*Dedicated Entertainment Space for Children/Family on Roof Top.*Surrounded by food,restaurants,markets,cloth shops,jeweller shops,banks,foreign currency exchange centers,cinema theaters,mosques,medical clinics & fashion houses. *Facilities - Parking , Lift , Generator, Hot water,24/h",34 Ebanizer Place Dehiwala,1,1,700 sqft
