,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Borella 3 Storied Building for Lease,17 Jul 11:05 am,"Colombo 8, Colombo","250,000","3 Storied100m from Borella Junction,Ideal for financial institution, Bank, OfficeAmple common parking available",Building,"243, Ward Place, Borella","2,500 sqft"
2,"['Borella 3 Storied Building for Lease', '17 Jul 11:05 am', 'Colombo 8, Colombo', '250,000', '3 Storied100m from Borella Junction,Ideal for financial institution, Bank, OfficeAmple common parking available', 'Building', '243, Ward Place, Borella', '2,500 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,6000Sqft Office Space for Rent in Colombo 8,16 Jul  1:27 am,"Colombo 8, Colombo","870,000",• Our Reference No LC 698( Please quote this reference number when inquiring),Building,"Borella, Colombo 8","6,000 sqft"
4,Commercial Space for Rent Col 8,13 Jul  1:41 pm,"Colombo 8, Colombo","450,000","Col 8 - Large house, over 5000sqft on 2 floors, 9 rooms with 10 bath rooms, 50 meters from the main road, 3phase electricity, 4 parking space, Asking price is Rs.450,000/= per month",Office,Off Baseline road,"5,000 sqft"
5,5 Car Parks Generator Office Space Rent in Colobmbo 8,11 Jul 12:19 pm,"Colombo 8, Colombo","220,000",* - This building has 1750 SQ on the 1st Floor of the Building,Building,Borralla Main Road,"1,750 sqft"
6,Commercial Space for Rent - Col 8, 7 Jul  7:55 pm,"Colombo 8, Colombo","300,000","House available for rent at Turnour Road, Colombo 08, Sri Lanka",Office,"Turnour Road, Borella","3,200 sqft"
7,"Showroom Space at Off Ward Place, Colombo 8", 7 Jul  7:16 pm,"Colombo 8, Colombo","300,000","2,200 square feet commercial building available for rent at Borella Cross Road, Colombo 8, Sri Lanka",Shop,"Off Ward Place, Colombo 8","2,200 sqft"
8,Commercial Space - Borella, 5 Jul 11:44 am,"Colombo 8, Colombo","120,000",COMMERCIAL PPURPOSE ALSO CAN BE USED ,Office,Borella City,"1,500 sqft"
9,7BR 2 Storied 10 Car Park Office Rent - Borella,30 Jun  7:23 pm,"Colombo 8, Colombo","300,000",* - This office permission has more than 10 Car Parks with 4000-5000 Square Feet.,Office,Borella,"4,500 sqft"
10,Office Sapce Fo Rent in Colombo 8 (703 B ),29 Jun 12:15 pm,"Colombo 8, Colombo","200,000",1st Floor occupied with Property Owner,Office,BORELLA JUNCTION,"1,700 sqft"
11,Property For Rent - Colombo 08,28 Jun 12:15 pm,"Colombo 8, Colombo","185,000","1400 sq feet 2nd floor office space available on Kinsey Road, Colombo 08. opposite Gregorys Road, Rs. 185,000.00 Parking available.",Office,"1,400 sqft",
12,Office for Rent Colombo 8,12 Jul  3:59 pm,"Colombo 8, Colombo","300,000",An excellent  Office premises currently occupied by an International Company is available for Rent from August 2019. Very conveniently located in Borella in the most sought after area with 4000 sq. ft of Office space in a House converted to an office. All facilities including A/C and parking in a 30ft private Road. Excellent location and in close proximity to Public Transport and a very secure location off Castle Street.,Office,"1, Castle Avenue Colombo 8","4,000 sqft"
