,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Office Space for Rent Rajagiriya,15 Jul 12:26 pm,"Rajagiriya, Colombo","280,000",Office Space for Rent in Rajagiriya 1500sqft or 3000sqftAvailable with or without partition,Office,Rajagiriya,"3,000 sqft"
2,"['Office Space for Rent Rajagiriya', '15 Jul 12:26 pm', 'Rajagiriya, Colombo', '280,000', 'Office Space for Rent in Rajagiriya 1500sqft or 3000sqftAvailable with or without partition', 'Office', 'Rajagiriya', '3,000 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Commercial Office Space Available for Rent - Rajagiriya,15 Jul  2:04 pm,"Rajagiriya, Colombo","420,000","1. Ideal for IT Companies and Back Offices etc 2. Located in Rajagiriya luxury brand new Jana Jaya City Complex near the flyoverTotal 2019 Sq feet or customised according to the required smaller areas (Eg 400Sq Feet each).   3. Three months refundable deposit with only monthly pay as you go. 4. Willing to customize the partitions and furniture as per your requirements 5. Fully furnished Tables / Chairs/ Light fittings from UK 6. Serviced Pantry, Central AC, CCTV, Lease Line WIFI, Designated land number 7. Sign Board at the entrance, Unlimited underground car park 8.Elevator and Generator facilities available.",Office,"9th Floor, Jana Jaya Building, Rajagiriya","2,019 sqft"
4,Office space Rajagiriya,20 Jul 10:04 pm,"Rajagiriya, Colombo","75,000",Office space available in my town in Rajagiriya. Situated in road facing. Separate entrance.With tempered glass and segregates.,Office,750 sqft,
5,Space for A Shop or Office - Rajagiriya,15 Jul 10:06 pm,"Rajagiriya, Colombo","17,000","For a office or a shop in Rajagiriya RoadFront view - fully glass 100M to Hewawitharana collegeBoth residential and commercial areaSeperate electricity and waterAdjoining two story house also for rent.., ",Shop,"120, Rajagiriya Road, Rajagiriya",130 sqft
6,Commercial Office Space Available for Rent - Rajagiriya,15 Jul  2:04 pm,"Rajagiriya, Colombo","420,000","1. Ideal for IT Companies and Back Offices etc 2. Located in Rajagiriya luxury brand new Jana Jaya City Complex near the flyoverTotal 2019 Sq feet or customised according to the required smaller areas (Eg 400Sq Feet each).   3. Three months refundable deposit with only monthly pay as you go. 4. Willing to customize the partitions and furniture as per your requirements 5. Fully furnished Tables / Chairs/ Light fittings from UK 6. Serviced Pantry, Central AC, CCTV, Lease Line WIFI, Designated land number 7. Sign Board at the entrance, Unlimited underground car park 8.Elevator and Generator facilities available.",Office,"9th Floor, Jana Jaya Building, Rajagiriya","2,019 sqft"
7,Commercial Building for Lease at Rajagiriya – Available from June 2019,15 Jul  1:44 pm,"Rajagiriya, Colombo","750,000",Proposed Commercial Building for Lease at Rajagiriya – Available from June 2019,Building,"6,900 sqft",
8,Office Space for Rent Rajagiriya,15 Jul 12:26 pm,"Rajagiriya, Colombo","280,000",Office Space for Rent in Rajagiriya 1500sqft or 3000sqftAvailable with or without partition,Office,Rajagiriya,"3,000 sqft"
9,Office Space Rent Rajagiriya,13 Jul  6:58 pm,"Rajagiriya, Colombo","40,000",Office space rent jana jaya city 140 sqft,Office,rajagiriya,140 sqft
