,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Building for Rent Wadduwa,23 May 11:36 am,"Wadduwa, Kalutara","45,000",Commercial Building for rent ,Building,"Molligoda Junction , Wadduwa","2,400 sqft"
2,"['Building for Rent Wadduwa', '23 May 11:36 am', 'Wadduwa, Kalutara', '45,000', 'Commercial Building for rent ', 'Building', 'Molligoda Junction , Wadduwa', '2,400 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Garment Factory for Sale,20 Jul  8:39 am,"Horana, Kalutara","2,850,000",Hand over with currently processing buyers & orders,Factory / Workshop,"48,000 sqft",
4,Commercial Property in Kalutara,20 Jul  4:57 pm,"Kalutara, Kalutara","80,000","සිල්ලර වෙළඳ සැලක් බදු දීමට✔ සියළු භාණ්ඩ සමග ...✔ ශීතකරණ හා අධි ශීතකරණ ඇතුළුව ...✔ තෙමහල් ගොඩනැගිල්ල✔ පර්චස් 3.5✔ උඩ මහල් 2කම ටයිල් කර ඇත.✔ ජල, විදුලිය සහිතයි.✔ වැඩි විස්තර සඳහා අමතන්න.📱 ☎️Commercial Property for rent✔ 3 storied building✔ Water   ✔ Electricity✔ Commercial property, Building✔ Rent, ✔ Contact for more details 📱 ☎️● ●● ●● ●● ● ● ●● ●● ●● ● ● ●● ●● ●● ●😁😁😁😁ඔබගේ දැන්වීම ගුණාත්මක භාවයෙන් යුක්තව ikman.lk වෙබ් අඩවියෙහිපල කරවා ගැනීමට අප සමග සම්බන්ධ වන්න.- විශ්වාසදායී සේවය- ඔබ කොතැන සිටියත් ඔබේ දැන්වීම පල කර ගැනීමේ හැකියාවඅප මගින් ඔබගේ දැන්වීම ඉතා ඉක්මණින් හා ගුණාත්මක භාවයෙන් යුතුව , සිංහල හෝ ඉංග්‍රිසි භාෂා වලින් පළ කර ගැනීමට අපව අමතන්න.Sanokma Mobile ( Viber / imo/ whatsapp )Ikman.lk බලය ලත් නියෝජිතඅපගේ විශ්වාසනීය බව තහවුරු කර ගැනීමට මෙම වෙබ් ලිපිනයෙන් පිවිසෙන්න.",Building,"Station Road, Kalutara North","1,000 sqft"
5,Shops for Rent Horana,18 Jul  1:58 pm,"Horana, Kalutara","20,000",හොරණ අඟුරුවාතොට පාරේ හොරණ තක්ෂිලා මධ්යය විද්යාදලයට හා හොරණ රෝහලට මැදිව වතුර මල ඉදිරිපිට තෙමහල් ගොඩනැගිල්ලේ පළමු මහලේ වර්ග අඩි 432 බැගින් කඩ කාමර දෙකක් බදු දීමට තිබේ.කාර්යාලයකට/රූපලාවන්යාඩගාරයකට/දන්ත ශල්යාගාරයකට/දුරකතන අලුත්වැඩියා කරන ස්ථානයකට වඩාත් සුදුසුය.,Shop,"Anguruwathota Road, Horana",430 sqft
6,Commercial Building Panadura,17 Jul  5:08 pm,"Panadura, Kalutara","200,000","Newly built 3 Storied, Commercial building for rent / Lease in Panadura, Located in heart of the Panadura Town. Close to private & CTB Bus stand. 30m to Galle Road & 50m to Horana - Ratnapura road.Each floor 780 sq.ft, with attached bathrooms, Parking space for 15 vehicles. Will be able to provide any constructions according to your requirements. 3 Phase Electricity with backup generator.Ideal for Office, Tuition Classes, Medical Channeling Centre, Distribution Centre, Garments Factory or other commercial purposes.",Building,"21/1, Grace Peiris Mawatha, Panadura","3,000 sqft"
7,Garment Factory for Sale,20 Jul  8:39 am,"Horana, Kalutara","2,850,000",Hand over with currently processing buyers & orders,Factory / Workshop,"48,000 sqft",
8,Building For Rent In Bandaragama,12 Jul  7:02 pm,"Bandaragama, Kalutara","40,000",New bilding,Factory / Workshop,"kamburugoda, bandaragama","1,800 sqft"
9,Hall for rent - Kalutara, 9 Jul 12:20 am,"Kalutara, Kalutara","50,000","දෙමහල් ශාලාව කුලියට හෝ බද්දට✔ වර්ග අඩි 1200✔ නාගස් හන්දියේම ...✔ අමතර පන්ති පැවැත්වීමට ඉතා සුදුසුය.✔ වැඩි විස්තර සදහා විමසන්න - සුදර්මා සමන්මලී Hall for rent in Kalutara✔ 1200sqft✔ In Nagas junction✔ Suitable for classes✔ Hall, Rent, Kalutara, ✔ Commercial property, Building✔ Contact for more details - Sudharma Samanmali 📱 ☎️● ●● ●● ●● ● ● ●● ●● ●● ● ● ●● ●● ●● ●😁😁😁😁ඔබගේ දැන්වීම ගුණාත්මක භාවයෙන් යුක්තව ikman.lk වෙබ් අඩවියෙහිපල කරවා ගැනීමට අප සමග සම්බන්ධ වන්න.- විශ්වාසදායී සේවය- ඔබ කොතැන සිටියත් ඔබේ දැන්වීම පල කර ගැනීමේ හැකියාවඅප මගින් ඔබගේ දැන්වීම ඉතා ඉක්මණින් හා ගුණාත්මක භාවයෙන් යුතුව , සිංහල හෝ ඉංග්‍රිසි භාෂා වලින් පළ කර ගැනීමට අපව අමතන්න.Sanokma Mobile ( Viber / imo/ whatsapp )Ikman.lk බලය ලත් නියෝජිතඅපගේ විශ්වාසනීය බව තහවුරු කර/ ගැනීමට මෙම වෙබ් ලිපිනයෙන් පිවිසෙන්න.",Building,"Pagoda Plus, Nagas Junction, Kalutara North","1,200 sqft"
