,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Factory Premises for Sale - Katuwana,10 Jul  3:08 pm,"Homagama, Colombo","240,000,000","•	Situated in Homagama, Katuwana Industrial Zone.•	161 Perch land, comprising 6000, 3950, 8920 Sqft buildings•	Immediate occupation with clear deeds.•	Two separate entrances (from both sides) with dedicated two security huts.•	Three Buildings with all the facilities.•	Three phase electricity from two dedicated transformers. (150kVA & 70kVA)•	Dedicated office space.•	End to end 21 feet Tar road connecting all buildings.•	Container bay, can park up to three containers.•	Kitchen, Dining area and employee quarters.•	Foiling is installed in the roof ceiling for comfortable indoor heating along with roof wind turbines.•	Emergency fire water tank and hose system",Factory / Workshop,Katuwana Industrial Zone,"18,870 sqft"
2,"['Factory Premises for Sale - Katuwana', '10 Jul  3:08 pm', 'Homagama, Colombo', '240,000,000', '•\tSituated in Homagama, Katuwana Industrial Zone.•\t161 Perch land, comprising 6000, 3950, 8920 Sqft buildings•\tImmediate occupation with clear deeds.•\tTwo separate entrances (from both sides) with dedicated two security huts.•\tThree Buildings with all the facilities.•\tThree phase electricity from two dedicated transformers. (150kVA & 70kVA)•\tDedicated office space.•\tEnd to end 21 feet Tar road connecting all buildings.•\tContainer bay, can park up to three containers.•\tKitchen, Dining area and employee quarters.•\tFoiling is installed in the roof ceiling for comfortable indoor heating along with roof wind turbines.•\tEmergency fire water tank and hose system', 'Factory / Workshop', 'Katuwana Industrial Zone', '18,870 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Commercial Building for Sale in Kollupitiya, 3 Jun  1:16 pm,"Colombo 3, Colombo","90,000,000","Commercial Building for Sale in Kollupitiya, 16th Lane.* 4800 Sq.Ft* 4 Storeys* Two Way Road Access* Parking for 4 Vehicles* 5 Perch Land* Property generates a monthly rental income of LKR.600,000.",Office,"Kollupitiya, Colombo 3","4,800 sqft"
4,Building for sale Kaduwela,23 Jul  5:24 pm,"Angoda, Colombo","8,800,000",General Features • attached bathroom • fully fitted kitchen • tiled floor • electricity • tap line water In front of Kaduwela low level road,Building,"1,800 sqft",
5,Building for Sale in Moratuwa,25 Jul 12:45 pm,"Moratuwa, Colombo","38,000,000",Building for Sale in MoratuwaFacing Galle Road 6 storied Building with Basement  car parkingHighly Commercialize  AreaBuilding 5000 sq ftProvision  for Lift wellNearly -   moratuwa urban council  puran appu ground under  main car park               HNB / Peoples Bank / NSB  / PABC                Nation Trust Bank / DFCC Opposite  Petrol Shed &  YMCA / Super market Selling Price Rs 38 million  ( Immediate Sale  for migrate ),Building,Galle Road - Moratuwa,"5,000 sqft"
6,03 Story Building Sale At Maharagama,25 Jul 10:20 am,"Maharagama, Colombo","29,500,000",3 STORY BUILDING & 02 P SALE AT  FACING HIGH-LEVEL ROAD WATHEGEDRA MAHARAGAMA  ,Building,FACING HIGH LEVEL ROAD WATHEGEDARA MAHARAGAMA,"2,200 sqft"
7,"Commercial Property for Sale in Thalawatugoda,Hokandara Road.",24 Jul  6:16 pm,"Talawatugoda, Colombo","6,700,000",Commercial Property for Sale.Thalawatugoda Hokandara Road.,Building,"Thalawatugoda,Hokandara Road.",950 sqft
8,Commercial Building for Sale in Talawatugoda,24 Jul  3:40 pm,"Talawatugoda, Colombo","16,000,000",Commercial Building for sale in Talawatugoda,Building,Talawatugoda,"2,000 sqft"
9,Ware House Sale in Nawala,24 Jul 10:31 am,"Nawala, Colombo","5,000,000","WARE HOUSE SALE IN NAWALA2000 SQ FEET20 FEET CONTAINER ACCESS7 PERCHES5 MILLION PER PERCHIf you’re interested in buying, please give a call prior to your visit.",Warehouse / Storage,"2,000 sqft",
10,Commercial property | For sale in Colombo 2 - CC560,23 Jul  8:03 pm,"Colombo 2, Colombo","850,000,000","3 floors, 12-15 public parking, Bordering Colombo 1, Located in highly developing business hub with Lake view.",Building,"22,000 sqft",
11,Nugegoda Commercial Building for Sale - C0578,23 Jul  8:00 pm,"Nugegoda, Colombo","230,000,000",26000 sqft Building for sale in close to Delkanda Junction,Building,"26,000 sqft",
12,Commercial Building for Sale | Mount Lavinia - CC564,23 Jul  6:52 pm,"Mount Lavinia, Colombo","200,000,000",#. 5 Storied Commercial Building for Sale at Off Temple's Road.#. Pictures are not real,Building,"26,000 sqft",
13,Colombo 10 Building | for sale - CC537,23 Jul  6:51 pm,"Colombo 10, Colombo","200,000,000",#. 6 floors building with 42 rooms#. Elavator available#. Close to Sugathadasa Stadium,Building,"21,600 sqft",
14,Building for Sale in Rathmalana,23 Jul  6:44 pm,"Ratmalana, Colombo","1,700,000",Building for Sale in RathmalanaLand size 2.5 perchesTwo story Building Near to Ratmalana Economic Center Good Business Place  රත්මලාන ආර්ථික  ස්ථානය  සමීපව  අදායම්  ඉපයිය හැකි  පර්චෙස්  2.5 ක  දෙමහල්  නිවස විකිණීමට   වැඩි විස්තර සදහා  අමතන්න Price Rs 1700000,Building,Ratmalana Economic Center - Rathmalana,700 sqft
15,Commercial Property | For Sale Mount Lavinia - CC519,23 Jul  6:43 pm,"Mount Lavinia, Colombo","140,000,000","4 story building with 12000sqft. Parking space with 8 vehicles.This building is located in Galle road, Mount Lavinia",Building,"12,000 sqft",
16,Commercial Building For Sale in Maharagama,23 Jul  5:20 pm,"Maharagama, Colombo","47,500,000",Commercial Building For Sale in Maharagama,Building,Maharagama,800 sqft
17,25000 Sqft Commercial Proerty for Sale in Colombo 9,23 Jul  3:23 pm,"Colombo 9, Colombo","550,000,000",• Our Reference No SH 10101( Please quote this reference number when inquiring),Building,Colombo 9,"25,000 sqft"
18,3 Story Commercial Property for Sale in Maharagama.,23 Jul 11:15 am,"Maharagama, Colombo","19,800,000",Three Storey Building SaleAt Maharagama Pamunuwa Junction.,Building,"Maharagama near Pamunuwa,Mihindu Mawatha.","4,600 sqft"
19,3 Storey Commercial Property for Sale in Thalawatugoda.,23 Jul 10:44 am,"Talawatugoda, Colombo","19,800,000",Three Storey Building SaleAt Thalawatugoda near Pamunuwa Junction.,Building,Thalawatugoda near Pamunuwa,"4,600 sqft"
20,22 Perch Building for Sale in Colombo 7,22 Jul  9:46 pm,"Colombo 7, Colombo","17,000,000",Colombo 7Dharmapala Mawatha (Prime residential neighborhood)22.2 Perch Land with a two storey house for Sale(2nd block from the main road),Building,"95, Dharmapala Mawatha, Colombo 7","3,800 sqft"
21,Ware House with Office Space for Sale in - Thalawatugoda,22 Jul  6:38 pm,"Talawatugoda, Colombo","210,000,000","49 perches, Ground and 3 Three Floors Including Office Area , 4 Loading Bays , Generator , 2 Lifts, Ample Parking Facing Thalawatugoda Hokandara Road",Warehouse / Storage,"Hokandara Road , Thalawatugoda","40,000 sqft"
22,Apartment Complex in Nugegoda,23 Jul  9:25 am,"Nugegoda, Colombo","155,000,000",built on 15P Land,Building,Nugegoda,"10,000 sqft"
23,SINGLE STORY BUILDING MAHARAGAMA,22 Jul  8:40 am,"Maharagama, Colombo","52,500,000",Rs 52500000.00,Building,MAHARAGAMA,"2,500 sqft"
