,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,අංගසම්පූර්ණ ව්‍යාපාරික ස්ථානයක් - නාල්ල,10 Jul  2:39 pm,"Mirigama, Gampaha","4,000,000","විදුලිය, නල ජලය, ටයිල් කල පොළොව , සිවිලිම , නාන කාමරය  නිදන කාමර 1ක් පර් 06යි මුලුතැන්ගෙය. සහිත අංගසම්පූර්ණ ව්‍යාපාරික ස්ථානයක් .",Building,කොළඹ කුරුණෑගල මාර්ග අංක05  නාල්ල .,850 sqft
2,"['අංගසම්පූර්ණ ව්\u200dයාපාරික ස්ථානයක් - නාල්ල', '10 Jul  2:39 pm', 'Mirigama, Gampaha', '4,000,000', 'විදුලිය, නල ජලය, ටයිල් කල පොළොව , සිවිලිම , නාන කාමරය  නිදන කාමර 1ක් පර් 06යි මුලුතැන්ගෙය. සහිත අංගසම්පූර්ණ ව්\u200dයාපාරික ස්ථානයක් .', 'Building', 'කොළඹ කුරුණෑගල මාර්ග අංක05  නාල්ල .', '850 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Negombo Beach Hotel for Sale / 8 Br,24 Jul  9:26 am,"Negombo, Gampaha","45,000,000",# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT # SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES # INSPECTION ON PRIOR APPROVALS,Hotel,Negombo Beach Road,"4,250 sqft"
4,Hotel for Sale in Mirigama,29 Jul  4:13 pm,"Mirigama, Gampaha","21,000,000",10 Rooms with attached Bathroomsමීරිගම නගර සීමාවේඅධිවේගි මාර්ග පිවිසුමට ඉතාමත් ආසන්නයිපර්. 30,Hotel,"3,000 sqft",
5,Hotel for Sale / Negombo Beach,29 Jul  3:34 pm,"Negombo, Gampaha","220,000,000",# 40 Perches Land (Extended Possible More 20 Perches)# 20 Rooms & Attached Bath Rooms# Swimming Pool# Restaurant# Well Running Hotel# Serious Buyers Welcome (No Middle Man***)# Clear Documents# Inspection Only On Prior Approvals,Hotel,NEGOMBO BEACH ROAD,"25,000 sqft"
6,Vehicle Service Station for Sale in Negombo,21 Jul  4:45 pm,"Negombo, Gampaha","32,000,000",Well-equipped Vehicle Service Centre for Sale situated in a prime location (Colombo Negombo Main Road)  within Negombo city limits.,Building,Negombo,"8,000 sqft"
7,Factory Building for Sale in Delgoda,21 Jul  8:08 pm,"Delgoda, Gampaha","35,000,000","Good for any Factories, Stores,Reception Hall,International School,Hotel etc.location: nice view, facing  to Paddy field, Close to Biyagama EPZ.",Factory / Workshop,"9,000 sqft",
8,Hotel for Sale - Negombo,27 Jul  5:05 pm,"Negombo, Gampaha","26,500,000","05 rooms, ac/tv/hot water /attach bathroom, 90 perch land, full cover by lage wall, so many coconut and large trees, guest house license, very carm and quite area, good neabourhood and good in come, running business, 7km to airport, can exchange with vehicle, owner going to maigret.",Hotel,"katana road, negombo","5,500 sqft"
9,Shop For Sale In Yakkala Town,27 Jul 11:43 am,"Gampaha, Gampaha","2,500,000",☑️ යක්කල හංදිය ☑️ සණස සාප්පු සංකීර්ණයේ අංග සම්පුර්ණ කඩ කාමරය ඉක්මනින් විකිණීමට☑️ වර්ග අඩි 200☑️ විදුලිය ☑️ නල ජලය ☑️Roller Door☑️Glass Door & Front,Shop,"Kandy Rolad, Yakkala",200 sqft
10,Commercial Building for Sale - Kandana,26 Jul  2:27 pm,"Ja-Ela, Gampaha","7,500,000",This building is located in Rilaulla 400 m to Kadhana main rd6.1 perchTwo story commercial building,Building,"Kandana,Rilaulla","1,500 sqft"
11,Commercial Property for Sale at Wattala,25 Jul  5:30 pm,"Wattala, Gampaha","200,000,000",WATHTALA  ( MABOLA / COLOMBO NEGOMBO MAIN ROAD FRONT  COMMERCIAL PROPERTY AVAILABL  FOR SALE / 87 PERCHES LAND  / 8 BEDROOM  FULLY TILLED LUXURY HOUSE / 45 PERCHES BARE LAND / 40 FEET CONTAINER EXES AVAILABLE / IDEAL FOR ANY COMMERCIAL PURPOSE / EXPECTING ONLY LAND VALUE / NO FLOOD THREATS AND VISITS CAN BE RRANGED ON APPOINMENTS ONLY FOR APPOINMENT PLEASE CALL - ( PRICE PER PERCH  2.3 MILLION  ( 23 LKS.),Warehouse / Storage,"Colombo Negombo main Road , Mabola , Wattala","5,000 sqft"
12,Broiler Farm for Sale - Badalgama,25 Jul  4:27 pm,"Divulapitiya, Gampaha","100,000,000","* Land	- 10 acres * Capacity - 55,000 Birds. On going farm Profit over 6-7 million each one batch* Two new closed House are completed with European equipment. Third house is under construction.* EPL with All Government Approvals are there* At  Badalgama.  20 Km  to  Airport  and Negombo.* Container access Road.* 3500 sqft Two story new House.",Building,"Badalgama, Katana","45,000 sqft"
