,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Property type:,Address:,Size:
1,Negombo Beach Hotel for Sale / 8 Br,24 Jul  9:26 am,"Negombo, Gampaha","45,000,000",# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT # SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES # INSPECTION ON PRIOR APPROVALS,Hotel,Negombo Beach Road,"4,250 sqft"
2,"['Negombo Beach Hotel for Sale / 8 Br', '24 Jul  9:26 am', 'Negombo, Gampaha', '45,000,000', '# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT # SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES # INSPECTION ON PRIOR APPROVALS', 'Hotel', 'Negombo Beach Road', '4,250 sqft']","['title', 'posted date', 'location', 'price', 'description', 'Property type:', 'Address:', 'Size:']",,,,,,
3,Hotel for Sale / Negombo Beach,29 Jul  3:34 pm,"Negombo, Gampaha","220,000,000",# 40 Perches Land (Extended Possible More 20 Perches)# 20 Rooms & Attached Bath Rooms# Swimming Pool# Restaurant# Well Running Hotel# Serious Buyers Welcome (No Middle Man***)# Clear Documents# Inspection Only On Prior Approvals,Hotel,NEGOMBO BEACH ROAD,"25,000 sqft"
4,Vehicle Service Station for Sale in Negombo,21 Jul  4:45 pm,"Negombo, Gampaha","32,000,000",Well-equipped Vehicle Service Centre for Sale situated in a prime location (Colombo Negombo Main Road)  within Negombo city limits.,Building,Negombo,"8,000 sqft"
5,Hotel for Sale - Negombo,27 Jul  5:05 pm,"Negombo, Gampaha","26,500,000","05 rooms, ac/tv/hot water /attach bathroom, 90 perch land, full cover by lage wall, so many coconut and large trees, guest house license, very carm and quite area, good neabourhood and good in come, running business, 7km to airport, can exchange with vehicle, owner going to maigret.",Hotel,"katana road, negombo","5,500 sqft"
6,Negombo Beach Restaurant and Hotel for Sale / 8 Br,22 Jul  7:26 pm,"Negombo, Gampaha","45,000,000",# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT# SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES# INSPECTION ON PRIOR APPROVALS,Hotel,NEGOMBO BEACH TOURISTS AREA,"4,250 sqft"
7,Negombo Beach Restaurant and Hotel for Sale / 8 BR,22 Jul  7:26 pm,"Negombo, Gampaha","45,000,000",# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT# SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES# INSPECTION ON PRIOR APPROVALS,Hotel,NEGOMBO BEACH TOURISTS AREA,"4,250 sqft"
8,Boutique Hotel for Sale - Negombo,21 Jul 10:14 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
9,Negombo Beach Hotel for Sale / 8 Br,24 Jul  9:26 am,"Negombo, Gampaha","45,000,000",# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT # SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES # INSPECTION ON PRIOR APPROVALS,Hotel,Negombo Beach Road,"4,250 sqft"
10,Commercial Property for Sale in Kochchikade,23 Jul 10:06 am,"Negombo, Gampaha","39,500,000","Commercial Building With 55 Perches Land For Sale in Kochchikade. Ideal for Hotel, Reception Hall, Apartment/ Housing Complex, Warehouse, Factory, Yard or any other commercial purpose.",Building,Negombo,"8,000 sqft"
11,Commercial building for sale Negombo,13 Jul  4:13 pm,"Negombo, Gampaha","276,000,000",Air conditioning65 Kv GeneratorComplete Ground Floor office with the Furniture18 CCTV unitsElectric Auto sensor gatesLighting protecting system and Air craft lighting systemSolar Hot water systemsSingle face & Three face Electricity supply24/7 Council water supplyMini barParking for 25 vehicles42 perches12000 square feet20 ft access roadResidential area5km from the airport ,Building,Negombo Road,"12,000 sqft"
12,Restaurant for Sale in Negombo, 9 Jul  3:13 pm,"Negombo, Gampaha","60,000,000","Restaurant & Bar For Sale In Hotel Road, Negombo.• -  8.5 Perches • -  1700 Sq Ft Slab Area ",Restaurant,"Hotel Road, Negombo","1,700 sqft"
13,New Villa for Sale in Negombo, 2 Jul  3:40 pm,"Negombo, Gampaha","40,000,000",New Villa for Sale in Negombo=======================,Hotel,Negombo,"2,500 sqft"
14,Hotel for Sale Negombo,30 Jun 10:48 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
15,Hotel for Sale Negombo,30 Jun 10:52 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
16,Hotel for Sale in Negombo,30 Jun  9:03 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
17,Building for Sale in Negombo City,29 Jun 10:58 pm,"Negombo, Gampaha","16,000,000","# මීගමුව - හලාවත පරණ පාරට ආසන්නව ( මීටර 50 ) , ආවේ මරියා පෞද්ගලික රෝහලට මුහුණලා , මීගමුව නගර මධ්‍යයෙන් , වර්ග අඩි 2500 ක ව්‍යාපාර ගොඩනැගිල්ලක් සමග පලමු මහලේ ඇති නිවස වහාම විකිණීමට තිබේ ....# කොළඹ - හලාවත ප්‍රධාන බස් මාර්ගයට , මීටර  300 ක් පමණ තිබේ ...# සියලු පහසුමක් සමගින් , විශේෂයෙන් පාසල් / පල්ලි / සුපර් මාකට්  යනාදියට...# වැඩි විස්තර සඳහා පහත දුරකථන අoකයෙන් විමසන්න .....",Building,Negombo City,"2,500 sqft"
18,Warehouse for Sale - Negambo,28 Jun  2:20 pm,"Negombo, Gampaha","21,000,000",Floor Space Ground Floor 3800 Square Feet,Warehouse / Storage,"5,000 sqft",
19,Hotel for Sale Negombo,27 Jun 12:53 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
20,Hotel for Sale Negombo,27 Jun 12:51 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
21,Boutique Hotel for Sale in Negombo,26 Jun  5:41 pm,"Negombo, Gampaha","35,000,000",Call For More DetailsSerious Buyers Welcome,Hotel,Negombo,"5,000 sqft"
22,Business and Property for Sale in Negombo,28 Jun  9:41 am,"Negombo, Gampaha","40,000,000","Currently an accredited water testing laboratory and office. Selling with the CEA certificates, accreditation certificates ISO 17025 ISO 9001, staff and equipment. 6 years old building.- selling with the 3 bedroom 2 bathroom apartment with furniture.-Selling as the directors are migrating.",Office,St joseph street,"5,000 sqft"
23,Commercial Property for Sale at Negombo,21 Jun 12:37 pm,"Negombo, Gampaha","280,000,000",NEGOMBO  ( DUNGALPITIYA ) COMERICAL PROPERTY AVAILABLE FOR SALE / 800 PERCHES  ( 5 ACERS )  / 6 BEDROOM  HOUSE / ROAD FRONTAGE OF COLOMBO NEGOMBO MAIN ROAD  / ( 70 METERS ROAD FRONTAGE / SQUARE BLOC / PARAPET WALL / 8 KM. NEGOMBO AND 25 KM. TO COLOMBO / IDEAL FOR ANY COMMERCIAL PURPOSE / NATURAL LAND / IDEAL FOR  HOSPITAL / INTERNATIONAL SCHOOL / LUXURY ELDERS HOME / NO FLOOD THREATS AND VISITS CAN BE RRANGED ON APPOINMENTS ONLY FOR APPOINMENT PLEASE CALL - ( PRICE PER PERCH  350000/= LKS.  ( NEGOTIABLE ),Other,"Dungalpitiya , Negombo","5,000 sqft"
24,Building for Sale in Negombo.,27 Jun  3:11 pm,"Negombo, Gampaha","9,500,000","මුහුදු වෙරල ආසන්නයෙ ක්‍රිඩා පිට්ටනිය සහ උසාවියේ සිට මිගමු නගරයට එන පාර මහවිදිය පල්ලිය අසල පල්ලිය නැරබිමට දහස් ගනන් විදෙශියන්  පැමිනෙන. ඒ අසල රත ගලයක් තිබේ. විදේශිකයන් සදහා බඩු අලෙවි කරන ස්තානයකට සුදුසුය.. රීට අමතරව විදෙශ මුදල් මාරුකරන ස්තානයකටද, රත්තරන් බඩු අලෙවි කරන ස්තානයකටද, ගුවන් ටිකට් පත් අලෙවි කරන ස්තානයකටද ඕනෑම ව්‍යාපාරයක් සදහා සුදුසුය. රීට අමතරව බදාද සහ ඉරිදා විශාල වශයෙන් පවත්වන පොලක් (fair) ද ඇත. එම ස්තානයේ අවන් හලක් පවත්වා ගෙන යයි. පචර් එකකට අඩු තට්ටු 3 ක ගොඩනැගිල්ලක් (තට්ටු තුනේම වර්ග අඩි 507 ක් තිබේ )ව්‍යාපාරයක සමග හො නැතුව විකිණීමට. මිල රු 9500000.නුවර අවට ආදායම් ලබන ව්‍යාපාරයක් හො වටිනා දේපලකව  මරුවකට සදහ  සලකා බැලේ , ඉතුරු මුදල් අතින්. නුවර අවට වටිනා ඉඩම් මිලදී  ගැනිමට ද අවශ්‍යයි.විමසන්න ",Building,155 sqft,
25,Shops for Sale in Negombo-Rukaththana Junction,10 Jun  5:07 pm,"Negombo, Gampaha","57,500,000",30 Perches Land with shops for saleNear the minuwangoda main bus roadUrgent salecall for more information,Shop,"Rukaththana junction,Negombo","3,000 sqft"
26,"Villa for Sale in Seththappaduwa, Negombo", 4 Jun  3:37 pm,"Negombo, Gampaha","35,000,000",A Luxury villa facing Negombo Lagoon in Seththappaduwa. This property situated in good residential locality within MC limits of Negombo and it  can be use for a tourist guest house.,Hotel,"2,750 sqft",
27,Building with Land for Sale in Negombo Kattuwa, 8 Jun  4:03 pm,"Negombo, Gampaha","35,000,000","# කොළඹ - හලාවත ප්‍රධාන පාරට මුහුණලා , මීගමුව / කට්ටුව නගරයෙන් , දැනට ඉදි වෙමින් පවතින තෙමහල් ( එක් මහලක වර්ග අඩි 2000ක්   පමණ ) ගොඩනැගිල්ල සමඟ පර්චස් 13.5 ක වටිනා ඉඩමක් විකිණීමට තිබේ ....# Constructing Building with Land of 13.5 perches to be sold in Negombo / Kattuwa ....# Land is faced to Colombo - Chilaw Main Road....# Just 5 Minutes to Negombo ....# Suitable for any kind of business ....# Since there is a high demand please buy early...# Please call over for more  details",Building,Kattuwa / Negombo,"6,000 sqft"
28,Negombo Beach Hotel for Sale / 8 Br,24 Jul  9:26 am,"Negombo, Gampaha","45,000,000",# FACING NEGOMBO BEACH ROAD# SEA VIEW HOTEL# 8 BED ROOMS AND ATTACHED BATH ROOMS# RESTAURANT # SWIMMING POOL# GOOD INCOME BUSINESS# SERIOUS BUYERS ONLY - NO MIDDLE MAN****# AFFILIATED TO FERNANDO HOMES # INSPECTION ON PRIOR APPROVALS,Hotel,Negombo Beach Road,"4,250 sqft"
29,Commercial Property Sale Negombo, 4 Jun  3:38 pm,"Negombo, Gampaha","117,500,000","47 perch to sell Colombo chillaw road commercial property. Good location with hospitals , private schools and hotels surrounding .. This is to sell . Full price is Rs:117,500,000",Other,"1,190 sqft",
