,0,1,2,3,4,5,6,7,8
0,title,posted date,location,price,description,Address:,Property type:,Beds:,Baths:
1,2 Room Apartment for Short and Long Stay in Colombo 4,19 Jul  9:42 am,"Colombo 4, Colombo","5,500","AKARA Apartments - Lorenze Road, Colombo 4 (AS008)","Lorensz Road, Colombo 4.",Apartment,2,2
2,"['2 Room Apartment for Short and Long Stay in Colombo 4', '19 Jul  9:42 am', 'Colombo 4, Colombo', '5,500', 'AKARA Apartments - Lorenze Road, Colombo 4 (AS008)', 'Lorensz Road, Colombo 4.', 'Apartment', '2', '2']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Property type:', 'Beds:', 'Baths:']",,,,,,,
3,2 Room Apartment for Short and Long Stay in Colombo 4,19 Jul  9:37 am,"Colombo 4, Colombo","5,500","AKARA Apartments - Lorenze Road, Colombo 4 (AS008)","Lorensz Road, Colombo 4.",Apartment,2,2
4,2 Room Apartment for Short and Long Stay in Colombo 4,19 Jul  9:37 am,"Colombo 4, Colombo","5,500","AKARA Apartments - Lorenze Road, Colombo 4 (AS008)","Lorensz Road, Colombo 4.",Apartment,2,2
5,2 Room Apartment for Short and Long Stay in Colombo 4,19 Jul  9:42 am,"Colombo 4, Colombo","5,500","AKARA Apartments - Lorenze Road, Colombo 4 (AS008)","Lorensz Road, Colombo 4.",Apartment,2,2
6,Studio Type Apartment For Rent (apt01287) - Colombo 4,20 Jul  7:25 pm,"Colombo 4, Colombo","4,000","STUDIO TYPE APARTMENT COLOMBO 4 Address: - 44 Lorenze Road, Colombo 4","44, Lorenze Rd, COlombo 4.",Apartment,1,1
7,1 Bed Room Apartment - Colombo 04 (APT00240,20 Jul  4:43 pm,"Colombo 4, Colombo","4,500","Address: - 44 Lorenze Road, Colombo 4","44, Lorenze Rd, COlombo 4.",Apartment,1,1
8,2 Bed Room Apartment for Rent in Colombo 04,20 Jul  4:23 pm,"Colombo 4, Colombo","5,500","e away from home. Let it be for business or holiday you will feel right at home. . All the Apartments are Fully Furnished including a Fully Equipped Kitchen.These apartment are located in Lorenz Rd in Colombo 4 (Bambalapitiya), with easy access to other parts of the city and all the amenities. Most of Colombo’s attractions are all within 15 mins drive from the Apartment. There are many fast food outlets within few minutes walking distance. Public transport is just few meters from the building.------------------------------------------------------------------------------------	■ 2 Bed Room with one attached and one common bathroom	■ Living and Dining Area. Fully Air conditioned.	■ Free Wi-Fi, Gas, Water and International TV Channels.	■ 24 Hours Security and Parking.	■ Electricity Rs. 50 per unit.	■ Rs.5500 + Electricity Per Day ------------------------------------------------------------------------------------Call/Whatsapp/Viber us for more info/to reserve.","44, Lorenze Rd, COlombo 4.",Apartment,2,2
9,1 Bed Room Apartment for Rent in Colombo 04 (apt01283),20 Jul  4:10 pm,"Colombo 4, Colombo","4,500","Address: - 44 Lorenze Road, Colombo 4","44, Lorenze Rd, COlombo 4.",Apartment,1,1
