,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent at Kotikawatta - Upstair,12 Jul  7:39 pm,"Angoda, Colombo","24,000","House for rent in Kotikawatta - Upstair ( House owners living in the ground floor, parents & two elderly sons )only 3 month key moneySeparate water tank, power & telephone lineVery close proximity to 175, 143,164,166,152 bus routesEasy access to Banks, Super markets, schools, hospitals & all facilities.Very safe placeParking area for small vehicle","Samagi Mawatha, Delgahawatta, Mulleriyawa New Town",2,1,"2,000.0 sqft",20.0 perches
2,"['House for Rent at Kotikawatta - Upstair', '12 Jul  7:39 pm', 'Angoda, Colombo', '24,000', 'House for rent in Kotikawatta - Upstair ( House owners living in the ground floor, parents & two elderly sons )only 3 month key moneySeparate water tank, power & telephone lineVery close proximity to 175, 143,164,166,152 bus routesEasy access to Banks, Super markets, schools, hospitals & all facilities.Very safe placeParking area for small vehicle', 'Samagi Mawatha, Delgahawatta, Mulleriyawa New Town', '2', '1', '2,000.0 sqft', '20.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent Kotikawatta,29 Jun 11:54 am,"Angoda, Colombo","18,000",Fully TileWater and Electricity Separate UpstairsKey money 06 Month,"23/1 B 3  lane Weeramalmawtha, Kohilawatta",2,1,700.0 sqft,5.0 perches
4,House for Rent Kotikawatta,29 Jun 11:54 am,"Angoda, Colombo","18,000",Fully TileWater and Electricity Separate UpstairsKey money 06 Month,"23/1 B 3  lane Weeramalmawtha, Kohilawatta",2,1,700.0 sqft,5.0 perches
5,Two Story House at Angoda for Rent,20 Jul  8:38 am,"Angoda, Colombo","36,000","අංගොඩ රෝහල පාරේ පිහිටි කාමර 2, bathroom 1 ක්, covered garage 1ක්, පර්චස් 40 පිහිටි නිවස කුලියට දීමට තිබේ. ","42/6, Hospital Road, Angoda",2,1,"2,500.0 sqft",40.0 perches
6,House For Rent Angoda,19 Jul  2:09 pm,"Angoda, Colombo","20,000",මුල්ලේරියාව නව නගරය (අංගොඩ) මංසන්ධිය මානසික රෝහලට ආසන්න පර්චස් 20ක නිවසක කාමර 02ක් සම්බන්ධිත නානකාමරයක් සහිත අංගසම්පූර්ණ ආරක්ෂිත නිවසක් බදු දීමට ඇත මසකව 20000කිදෙවසරක ආපසු ගෙවන අත්‍තිකාරම අවෂ්‍ය වේ,"854 Mulleriyawa North, Angoda",2,1,800.0 sqft,20.0 perches
7,House For Rent - Angoda,17 Jul  9:54 am,"Angoda, Colombo","30,000",වාහනයක් නවතා තැබිය හැක.නිස්කලංක පරිසරය.මාස 6ක අත්තිකාරම් මුදල් අවශ්‍යවේ.බත්තරමුල්ල සහා රාඡගිරියට නුදුරුය.,"273/A Himbutana Lane, Mulleriyawa New Town",3,1,800.0 sqft,11.0 perches
8,"Upstair House for Rent Kohilawatta, Kotikawatta (near Kelaniya)",15 Jul  1:36 pm,"Angoda, Colombo","35,000","2 Bed room, 2 Bathroom , Living and cooking area with balcony. separate entrance and electricity. Situated in Sedawatta -Abatale Road near Kohilawatta Junction area. 1.5km away from Kotikawatta Town, Angoda Town and Kelaniya Raja maha viharaya. Suitable for respectable couple or small family.","141/7/1, Kohilawatta, Angoda.",2,2,"1,375.0 sqft",5.5 perches
9,House for Rent - Kotikawatta,14 Jul 12:45 pm,"Angoda, Colombo","16,000",ikmanin kuliyata dimata thibe.,"408/1/A,Nagahawela road,Kotikawatta.",1,1,700.0 sqft,3.0 perches
10,අංග සම්පූර්ණ නිවසක් කුලී පදනම මත හෝ බදු ක්‍රමයටද දීමට,13 Jul  5:30 pm,"Angoda, Colombo","25,000",වාහන නවතා තැබීමට පහසු කම් නිස්කලංක පරිසරය ප්‍රධාන පාරට මිටර් 100 පමණ ඇත. තාප්ප සහ ගේට්ටු,572/B / 22/ y/ 11 Narangoda Road Mulleriyawa,3,2,"1,800.0 sqft",8.3 perches
11,Luxury House for Rent angoda,12 Jul 10:38 pm,"Angoda, Colombo","150,000",2 story house. 200m to Awissawella-Colombo main road. 20ft wide road. Have an A/C room. Have a camera system installed. Have a flower garden. Have a separate kitchen. Have a separate washroom out of the house. Have a garage. Calm environment. Also good for official purposes and suit for foreigners. **6 month key money required.,"426/9, Ranabima Road, Mulleriyawa North",4,3,"2,100.0 sqft",21.0 perches
12,3BR House for Rent in Kirulapona,13 Jul  2:17 pm,"Angoda, Colombo","35,000","Non tiled house for rent in Kirulapona03 Bed rooms,01 Bathroom Living roomPantry,KitchenParking space","Robert Gunawardhana Mawatha, Colombo-06",3,1,"1,500.0 sqft",12.0 perches
13,House For Rent- Near to Koswatta,12 Jul  8:22 pm,"Angoda, Colombo","25,000",1.3 km to Koswatta,"234/1D, Himbutana, Angoda",3,2,"1,800.0 sqft",6.0 perches
14,Upstairs for Rent Angoda, 9 Jul  1:25 pm,"Angoda, Colombo","35,000",Upstairs with 02 Large Bedrooms/ Sitting/ Living/ Dinning/ Pantry and 01 Bathroom.Fully TiledSeparate Entrance/ Current & Water meters01 Vehicle Parking spaceRs.35000 per month (Negotiable)06 months Advance,"Vijithapura, Angoda",2,1,"1,050.0 sqft",10.0 perches
15,(HR196) Lovely House for Rent in Kalapaluwawa, 9 Jul 12:38 pm,"Angoda, Colombo","50,000","* 2,000 Sq.ft.* 2 Bed 1 bath* Separate entrance* Large Balconi* Living* Dining* Pantry",2,1,"2,000.0 sqft",7.3 perches,
16,New House for rent in Kotikawatta, 8 Jul  3:09 pm,"Angoda, Colombo","60,000",New House for rent in Kotikawatta,"343, Kotikawaththe , Angoda",3,2,"2,200.0 sqft",10.0 perches
17,House For Rent - Angoda, 8 Jul  8:44 pm,"Angoda, Colombo","25,000",6 months advance. 1 hall 2 bed rooms 2 kitchen  1 bathroom,27/a weeramal mawatha 3rd lane kohilawattha angoda,2,1,"1,200.0 sqft",10.0 perches
18,Three Story House For Rent in Himbutana, 7 Jul 11:25 pm,"Angoda, Colombo","65,000",3 Bedrooms (2 rooms with A/C)3 Bathrooms (1 Attached bathroom)Parking Facility available for 2 vehiclesRemote controle gateA Garden 550 (sqft) Rooftop / Separate Water Tank (2000L)Nearest - Mulleriyawa and IDH Hospitals / 3.5 km for Welivita Highway entrance500m for Galwana Junction (Low Level Road),"Malgama Road, Himbutana, Mulleriyawa New Town.",3,3,"1,525.0 sqft",10.0 perches
19,Modern Spacious House for Rent in - Kotikawatta, 7 Jul  9:27 am,"Angoda, Colombo","50,000","Modern double story house in Kotikawatta for rent. The home is fully tiled and has A/C. Spacious 4 bedroom, ideal for a family. Hot water is only available in one bathroom.","125 Kotikawatta, Angoda",4,2,"1,200.0 sqft",25.0 perches
20,House for Rent near Angoda, 6 Jul  4:56 pm,"Angoda, Colombo","24,000",peaceful environment no threat from flood near to weliwala (near kotikawaththa) junction - 175 bus routenear to angoda mental hospital junction,2,1,"1,600.0 sqft",8.0 perches,
21,House For Rent - Angoda, 5 Jul 11:30 am,"Angoda, Colombo","30,000",FULLY TILED HOUSE WITH ALL FACILITIES FOR RENT. SEPARATE WATER & ELECTRICITY. 2 MINUTES TO THE MAIN ROAD. CALM & SAFE PLACE TO LIVE. PARKING FACILITY AVAILABLE.,"Angoda, Walpola",2,1,"1,300.0 sqft",13.0 perches
22,House For Rent In Mulleriyawa, 4 Jul 10:54 pm,"Angoda, Colombo","22,000","This House is situated in a Calm and sequre place On Bank Junction ,Mulleriyawa .It is 150 Meters For Lo-Level Road and 250 Meter For  Malabe- Pettah Road.Tiled Sitting area Tiled Dining Room 2 BedroomsKicthen And Attched Bathroom Garage suitable for one vechicle Separate water and Electricity Supply .Suitable For Family.","No,119/6/A,Udumulla Road ,Mulleriyawa new Town",2,1,"1,500.0 sqft",7.5 perches
23,An Upstair House for Rent in Ambathale, 3 Jul  2:59 pm,"Angoda, Colombo","40,000","An upstair house for rent in Ambathale .Newly built upstair houseseparate entrance, 3 bed rooms, 2 bathroom, kitchen, living room, car parking area, balcony, separate water and electricity",3,2,"1,850.0 sqft",30.0 perches,
24,Mulleriyawa House for Rent, 2 Jul  4:48 pm,"Angoda, Colombo","28,000",වැඩි විස්තර දැන ගැනීමට දුරකතන අංකයට කතා කරන්න,2,1,800.0 sqft,3.0 perches,
25,House for Rent in Angoda, 2 Jul 10:38 am,"Angoda, Colombo","60,000",House for rent in angoda===================,"118/3 sadaham mawatha walpola,andgoda",4,3,"2,000.0 sqft",12.0 perches
26,House For Rent In Gothatuwa (IDH),30 Jun  9:37 pm,"Angoda, Colombo","35,000",Up-stair house Open to the  Rajagiriya - Kotikawatta main road UnfurnishedLiving room with a balcony Pantry - 2Bedrooms - 3Common Bathrooms - 1Garage with a garden,No. 75 Kotikawatta Road Gothatuwa New Town (IDH),3,1,"1,600.0 sqft",40.0 perches
27,House For Rent In Angoda,30 Jun  2:05 pm,"Angoda, Colombo","35,000","3 Bed Rooms2 Bath Rooms2 Dinning RoomsCar ParkingRs.35,000 3 Months Advance","500/2/E siri parakum Mawatha,Angoda",3,2,"2,500.0 sqft",10.0 perches
28,House for Rent in Kotikawaththa,29 Jun  9:46 pm,"Angoda, Colombo","25,000",the house is tiled and there is parking available.,2,1,900.0 sqft,6.0 perches,
29,House for Rent at Kotikawatta - Upstair,12 Jul  7:39 pm,"Angoda, Colombo","24,000","House for rent in Kotikawatta - Upstair ( House owners living in the ground floor, parents & two elderly sons )only 3 month key moneySeparate water tank, power & telephone lineVery close proximity to 175, 143,164,166,152 bus routesEasy access to Banks, Super markets, schools, hospitals & all facilities.Very safe placeParking area for small vehicle","Samagi Mawatha, Delgahawatta, Mulleriyawa New Town",2,1,"2,000.0 sqft",20.0 perches
30,House for Rent Kotikawatta,29 Jun 11:54 am,"Angoda, Colombo","18,000",Fully TileWater and Electricity Separate UpstairsKey money 06 Month,"23/1 B 3  lane Weeramalmawtha, Kohilawatta",2,1,700.0 sqft,5.0 perches
31,House for Rent - Angoda,26 Jun  5:14 pm,"Angoda, Colombo","25,000",Fully TiledParking Space for Vehicle100m to Angoda town3km to Kaduwela Highway,"Hospital Road, Angoda.",2,1,"1,000.0 sqft",5.0 perches
32,House for Rent in Kotikawatte,25 Jun  4:10 pm,"Angoda, Colombo","30,000","House For Rent in Kotikawatte* Ceiling Fans Available* Living Room + Dining Room* Kitchen * Two bedrooms* Attached bathroom and a servant bathroom* Celling for the whole house,* Parking Space Available with a garage,* 700 meters to low-level road (Kotikawatte junction) 300 meters to 175 bus route. * Ideal for a couple or a small family.* Refundable deposit 06 Months",2,2,"1,000.0 sqft",5.0 perches,
33,House for Rent - Mulleriyawa,28 Jun 10:44 am,"Angoda, Colombo","4,000",බොඩිමක් සදහා උඩු මහලක්නිස්කලංක පරිසරය වාහන නවතා තැබීමට පුලුවනි.වතුර විදුලියද බෝඩිමට අවශ්‍ය සියලු භාණ්ඩ ද සහිතව මාස 03 ක අත්තිකාරමක් අවශ්‍යයයිබදු දීමට නොවේගැහැණු ළමුන් ට හෝ පිරිමි ළමුන්ටඑක් මාසයකට අයෙකුට 4000/=,"524/1 Mulleriyawa, North Angoda",2,1,750.0 sqft,8.0 perches
34,Upstart House For Rent Angoda,23 Jun 12:34 pm,"Angoda, Colombo","20,000",Fully TileElectricity and Water Facility Garage06 Month AdvanceSeparate entry,603/3F siriparakum mawatha Mulleriyawa,2,1,800.0 sqft,15.0 perches
35,House for Rent in Wellampitiya,22 Jun  5:32 pm,"Angoda, Colombo","30,000",800 m from the Avissawella main road. Near to Sanovin banquet hall. There are plenty of space in front and the back of the house. Can park a tri shaw in the front. Strictly no broker!,3,1,"1,089.0 sqft",5.0 perches,
36,House For Rent In Kotikawatta Angoda,13 Jul 10:41 am,"Angoda, Colombo","35,000",Upstairs House For Rent In Kotikawatta Angoda======================================,"Kotikawatta, Angoda",3,1,"1,200.0 sqft",40.0 perches
37,House for Rent - Angoda,20 Jun  9:15 am,"Angoda, Colombo","25,000",House in Galwana100m to Awissawella - Colombo Main Road1km Angoda Town3km to Kaduwela Town,"Galwana, Angoda",3,1,"1,500.0 sqft",14.0 perches
38,Upstair House for Rent in - Angoda,30 Jun  9:41 am,"Angoda, Colombo","24,000",Upstair  House for Rent in Angoda================,"Kohilawatta, Angoda",2,1,"1,200.0 sqft",4.0 perches
39,Rent a House - Angoda,17 Jun  4:08 pm,"Angoda, Colombo","30,000",42/5a hospital road Angoda. Contact mrs. Caldera for more details. Main road is in front of the house.,2,1,"1,000.0 sqft",9.0 perches,
40,House for Rent in Kotikawattha,24 Jun  1:26 pm,"Angoda, Colombo","48,000","******* NO BROKERS PLEASE ******** මෙම නිවස කොටිකාවත්ත පිහිටා ඇත.* ව්‍යාපාර කටයුත්තක් සඳහා වුවද ඉතා සුදුසුයි (hostel, agency, store, small home based business ) * කාමර (3)* ගබඩා කාමර (1)* බාත්රූම් (2) (main + servant)* වාහන 6ක් ගාල් කල හැක.* කැළණි රජ මහා විහාරයට 100m* 166, 164, 150, 175 බස් මාර්ගයන්ට 100m* අවිස්සාවේල්ල පාරට 100m* keells super, cargils foodcity, pizzahut 100m",kotikawattha,3,1,"1,500.0 sqft",22.0 perches
