,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Modern House for Rent - Colombo 05, 4 Jul 10:12 am,"Colombo 5, Colombo","115,000","Vehicle Parking 2,Large Living room with back yard,Pantry,Servant room with store room,2 separate entrance property covered by pareapert Wall &  Roller gate.The area has multiple outlets for leading International School & both Asiri,Lanka Hospital.","Polhengoda Rd,Kirulapona,Colombo 05",4,2,"2,500.0 sqft",16.0 perches
2,"['Modern House for Rent - Colombo 05', ' 4 Jul 10:12 am', 'Colombo 5, Colombo', '115,000', 'Vehicle Parking 2,Large Living room with back yard,Pantry,Servant room with store room,2 separate entrance property covered by pareapert Wall &  Roller gate.The area has multiple outlets for leading International School & both Asiri,Lanka Hospital.', 'Polhengoda Rd,Kirulapona,Colombo 05', '4', '2', '2,500.0 sqft', '16.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Furnished House for Rent - Colombo 05,17 Jul  7:59 pm,"Colombo 5, Colombo","80,000",Colombo 5 - Polhengoda,Polhengoda Road Col 05,3,3,"2,000.0 sqft",11.5 perches
4,House for rent close to Colombo 05.,20 Jul  1:30 am,"Colombo 5, Colombo","350,000",House for rent close to Colombo 05 in Nawala.,Nawala Avanue Nawala,4,3,"4,000.0 sqft",17.0 perches
5,House for Rent in Kirulapone,19 Jul  7:24 pm,"Colombo 5, Colombo","70,000","store room,Servant's bathroom & a garage also included.","44,Avarihena Road, Kirulapone",2,2,"3,300.0 sqft",16.0 perches
6,2 Story House For Rent - Colombo 5,19 Jul  1:38 pm,"Colombo 5, Colombo","155,000","2 Storey House for Rent at Colombo 5, Chithra Lane","Colombo 5, Chithra Lane",5,3,"3,500.0 sqft",15.0 perches
7,House for rent in Colombo 5,18 Jul  2:45 pm,"Colombo 5, Colombo","35,000",කොළඹ 5 හි කුලියට ඇති නිවස=========================,2,2,544.5 sqft,2.0 perches,
8,House for Rent Colombo 5,18 Jul 11:07 am,"Colombo 5, Colombo","275,000",Colombo 5 Off Havelock  Road 5BR 3Toilet 2 Large  Hall  pantry maidroom andToilet parkin 1insde 40ft Road Rent 275 per month,Colombo 5   off Haveelok Road,5,3,"3,500.0 sqft",13.0 perches
9,Open Concept House Available For Rent Colombo 5,18 Jul  3:01 am,"Colombo 5, Colombo","180,000","Located on a private lane in a residential neighborhood on Kirula Road, Colombo 5 this house is a stone's throw away from various amenities such as International schools, Hospitals, supermarkets and Restaurants.  Formerly rented by expat family attached to the US Government , this house is ideal for a expat couple / small family with children. ","Kirula Road, Colombo 5",3,2,"3,500.0 sqft",10.0 perches
