,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Modern Upstair House for Rent in Kaduwela,15 Jul 11:27 am,"Kaduwela, Colombo","32,000","This modern upper floor comprises of;- 2 bedrooms with french widows for ample sunlight & fresh air- Spacious bathroom, living room, and pantry- Around the floor balcony- Spacious car porch and private entrance- Seperate water and electricity meters",2,1,"2,000.0 sqft",11.0 perches,
2,"['Modern Upstair House for Rent in Kaduwela', '15 Jul 11:27 am', 'Kaduwela, Colombo', '32,000', 'This modern upper floor comprises of;- 2 bedrooms with french widows for ample sunlight & fresh air- Spacious bathroom, living room, and pantry- Around the floor balcony- Spacious car porch and private entrance- Seperate water and electricity meters', '2', '1', '2,000.0 sqft', '11.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,"House for Rent, Kaduwela Bomiriya",19 Jul  3:35 pm,"Kaduwela, Colombo","30,000","Up stair onlynew house100m to main road3 Large room, bath room , pantryTiled","kaduwela, Bomiriya",3,1,"2,000.0 sqft",20.0 perches
4,Furnished Luxury House for Rent - Kaduwela,19 Jul  3:19 pm,"Kaduwela, Colombo","50,000","Luxury House with 4 Bedrooms (1 Bedroom with AC) 2 Bathroom and 1 Servant Toilet, Solar Panel for Hot water. Parking space for 2 cars with rollaway gate. ",4,2,"1,300.0 sqft",10.0 perches,
5,House For Rent - Ranala,17 Jul  3:34 pm,"Kaduwela, Colombo","25,000","නේවාසිකාගාරයට සුදුසු කාමර 8ක් සහිත නිවසක් ( කඩුවෙල, රණාල සිසිල් බීම සමාගම හා මන්චි ආයතනයට නුදුරින් )තනි කාමර වුවද වෙන වෙනම ලබාගම හැක.","120, Batewela, Ranala",8,2,"1,250.0 sqft",40.0 perches
6,House for Rent Kaduwela,13 Jul  6:51 pm,"Kaduwela, Colombo","18,000",10m to highway entrance1km to kaduwela town2 km to malabe slite 1.5 k.m to nevil Fernando hospital1.7 km to horizon campus,"hewagama , kaduwela",2,1,"1,200.0 sqft",28.0 perches
7,House For Rent In Bomiriya,13 Jul  5:40 pm,"Kaduwela, Colombo","25,000",Good condition2 floor houseparking for only bike or three wheelerCloser to main road (Kaduwela - Avissawella Road)Call us for more informations,"230/1/3,Ihala Bomiriya,Kaduwela",3,2,500.0 sqft,5.0 perches
8,House for Rent in - Yakale,13 Jul  3:27 pm,"Kaduwela, Colombo","25,000",Livining RoomParcking SpaceQuite Place6 Months Advance,"Kaduwela,yakale",3,2,"2,500.0 sqft",22.0 perches
9,Up Stair House for Rent in - Kaduwela,13 Jul  2:56 pm,"Kaduwela, Colombo","25,000","Two stair house- Upstair house for rent, Separate entrance with vehicle parking for one vehicle. Fully tiled floor. Very closed to Kotalawela, Kaduwela Highway entrance (5 mins walking distance)","172H, Suhada Mawatha, Kotalawala, Kaduwela",3,1,"1,300.0 sqft",1.0 perches
10,House for Rent Kaduwela Yakala,12 Jul 11:00 am,"Kaduwela, Colombo","20,000",Rent only upstar3 month adavanceCall for more details,"subasadaka mawatha, yakala, kaduwela",2,1,"2,500.0 sqft",10.0 perches
11,House for Rent Biyagama Kaduwela,11 Jul  1:15 pm,"Kaduwela, Colombo","25,000","Vehicle park have,800 m to biyagama high way entance200m to biyagama new kady road1.5km to kaduwela town800m to biyagama zoneRent for company, or personal use3stair house","peragas handiya, biyagama",2,1,"2,000.0 sqft",13.0 perches
12,House for Rent Kaduwela,13 Jul  2:45 pm,"Kaduwela, Colombo","25,000","කඩුවෙල අවිස්සාවෙල්ල ප්‍රධාන පාරට මුහුණලා.මස 6කට තැම්පතුවක්.නල ජලය,විදුලිය.ඉඩකට ඇති මිදුලක්.","114/3 ihalabomiriya , kaduwela",2,1,"1,000.0 sqft",10.0 perches
13,House for Rent at Kaduwela,12 Jul  8:20 pm,"Kaduwela, Colombo","18,500","A fully Tiled house at Ihala Bomiriya kaduwela.Opposite the colombo to Hanwella (143)main road.2Km to kaduwela junction.One Large bedroom (209 sqare feet),kitchen & Living room with attached Bathroom.Parking is available.",Ihala bomiriya,1,1,"1,150.0 sqft",15.0 perches
14,House for Rent - Kaduwela-Bomiriya,15 Jul  7:43 pm,"Kaduwela, Colombo","35,000",House for rent in Pahala Bomiriya. 10 minutes to Kaduwela. - 4 bed rooms including servant room - Living area- Newly built wash room with hot water- Kitchen- Dining area- Servants bath room- calm and quiet surrounding. - No flooding,4,1,"1,400.0 sqft",20.0 perches,
15,House for Rent in Kaduwela, 8 Jul  6:51 pm,"Kaduwela, Colombo","33,000",House for rent in kaduwela====================,2,1,"1,200.0 sqft",10.0 perches,
16,"Two Storied House for Rent in Kaduwela, Bomiriya", 9 Jul  4:32 pm,"Kaduwela, Colombo","22,000",Ihala Bomiriya2 bed rooms1 bathroom Car pouch 7 minutes for kaduwela junctionVery calm environment,2,1,"1,500.0 sqft",8.0 perches,
