,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House For Rent In Nawala,17 Jul 12:46 pm,"Nawala, Colombo","260,000",6 rooms with attached bathroomsDouble garage with remote controlled doorGardenHot water Almost brand new houseWalking distance to Gateway CollegeSuitable for both residence and office,"15/38,3rd Lane,koswatta,Nawala.",6,7,"3,200.0 sqft",14.0 perches
2,"['House For Rent In Nawala', '17 Jul 12:46 pm', 'Nawala, Colombo', '260,000', '6 rooms with attached bathroomsDouble garage with remote controlled doorGardenHot water Almost brand new houseWalking distance to Gateway CollegeSuitable for both residence and office', '15/38,3rd Lane,koswatta,Nawala.', '6', '7', '3,200.0 sqft', '14.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House For Rent In Rajagiriya,13 Jul 10:46 am,"Nawala, Colombo","380,000","11Rooms (6 AC rooms).5 bathrooms.1 servant bathroom.4 Floors (with roof top).Seperate entrance for each floors).25 feet road.2 garage (5 vehicle parking).75m to Nawala Koswatta town.1/2 km to Rajagiriya,1km to Nawala.176 bus root.Walking distance to Gateway collage.Better for office or company.","No:33,De Melwatha Rd,Nawala,Rajagiriya.",10+,5,"14,000.0 sqft",20.0 perches
4,Up Unit House In Nawala,19 Jul  2:19 pm,"Nawala, Colombo","50,000",🔴REF NO-- JL694,Nawala   Gateway rd,3,2,"1,600.0 sqft",15.0 perches
5,Fully Luxury House for Rent - Nawala,18 Jul  4:19 pm,"Nawala, Colombo","275,000",Brand new house with garden and double garage fully luxury house ( 275000) 6month advance,Nawala koswatta,6,6,"4,500.0 sqft",12.0 perches
6,Luxury House For Rent In Nawala,17 Jul 11:04 pm,"Nawala, Colombo","230,000","3800sqft three story house is for rent in school Avenue ,Nawala for immediate occupancy.House is facing the beautiful green belt in Nawala. Rare opportunity! built in one and half year ago.almost brand new- 4 A/C bedrooms- 3 bathrooms- spacious living room- modern pantry - solar hot water - jacuzzi - CCTV- parking for two with remote gate - Maids room/toilet- spacious roof top with a breathtaking view of greenery - residential area -unfurnished",4,3,"3,800.0 sqft",9.0 perches,
7,Upstair unit for Rent Nawala,17 Jul  8:24 pm,"Nawala, Colombo","55,000","Upstair unit for Rent @ Nawala______________________________________Vacant Position / Red cement flooring / 950 sq, ft   2 Beds with common Bath (with hot water)Living / Dining / Pantry with store spaceSeparate Entrance / Electricity & Water supplyAll rooms having ceiling fansParking space for 1 vehicles300m to Nawala Main road (koswatta junk)_______________________________________55000 - Per Month (Negotiable)6 months Rental advance________________________________________________________________________Registered Lease with Stamp & Lawyer's fees shared equallyfurther broker fee which includes 1Month rent wll be shared equally for both parties _____________________________________________________________More photos - www.kpproperty.lk",Near Koswattha city limit,2,1,950.0 sqft,9.0 perches
8,House For Rent In Nawala,17 Jul 12:46 pm,"Nawala, Colombo","260,000",6 rooms with attached bathroomsDouble garage with remote controlled doorGardenHot water Almost brand new houseWalking distance to Gateway CollegeSuitable for both residence and office,"15/38,3rd Lane,koswatta,Nawala.",6,7,"3,200.0 sqft",14.0 perches
9,House For Rent In Nawala,15 Jul  3:13 pm,"Nawala, Colombo","90,000","25 Meters to Nawala – Rajagiriya main Road (Private Lane - 20 feet wide road)150 Meters to Nawala JunctionFully Furnished and equipped house ( 2500 Sqft) walls all round3 Bed Rooms (2 A/C Rooms) 2 Wash Rooms with Hot waterLarge Setting and Dining rooms and large Kitchen 1 Servants room separate Toilet Under ground covered parking for one vehicle with 2 more parking facilitiesCrossroads, Chops sticks, Steam Boat restaurants and Cargils Food City walking distance.  Maga Office  complex, Keels Super, Health Guard Pharmacy, Dispensary,  Hospitals, Post Office, Wet Land Park & Jogging track within 5 minutes drive.",3,2,"2,000.0 sqft",11.0 perches,
