,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Rent in Rathmalana,19 Jul  2:24 pm,"Ratmalana, Colombo","26,000",Single story house close by to Rathmalana economic centre.,3,1,"3,267.0 sqft",12.0 perches,
2,"['House for Rent in Rathmalana', '19 Jul  2:24 pm', 'Ratmalana, Colombo', '26,000', 'Single story house close by to Rathmalana economic centre.', '3', '1', '3,267.0 sqft', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,First Floor for Rent Katubadda,18 Jul  5:01 pm,"Ratmalana, Colombo","50,000",Fully tile 06 month advance half month broker fee neded,galle road katubadda,4,3,950.0 sqft,20.0 perches
4,Single Story Separate House for Rent Katubadda,18 Jul  4:59 pm,"Ratmalana, Colombo","50,000",06 month advance parking half month broker fee neded,near the k zone katubadda,4,2,900.0 sqft,20.0 perches
5,Separate House for Rent - Ratmalana,18 Jul  4:56 pm,"Ratmalana, Colombo","25,000",06 month advance half month broker fee neded,mola road rathmalana,2,1,650.0 sqft,15.0 perches
6,House For Rent - Rajagiriya,19 Jul 10:17 am,"Ratmalana, Colombo","35,000",Address- buthgamua road  Rajagiriya. 2 min walk to keels 5 min to kosswatha/ batharamulla 2.5 km to hsbc ragagiriya 3 km fly over Rajagiriya5  km to borralarent Rs.35000key money for 3  months .Sq feet 1300Bedrooms 2 with fans plus living Bathrooms 1 and spare lavatory gated parking for 4 vehiclessuper cleaned next door is namal udugama ( singer ),2,1,"1,300.0 sqft",11.0 perches,
7,House for Rent in Ratmalana,17 Jul  3:34 pm,"Ratmalana, Colombo","23,000",House for Rent in Ratmalana=======================,3,1,816.0 sqft,6.0 perches,
8,House for rent in Ratmalana,17 Jul  1:47 pm,"Ratmalana, Colombo","23,000","Ratmalana Gnanendra road,5th lane,near to the Ratmalana station.profesional family’s only,no brokers pls,pls contact mr ganawansa.",2,1,"1,000.0 sqft",7.5 perches,
9,House for Rent Rathmalana,17 Jul  8:54 am,"Ratmalana, Colombo","50,000",Two bedroom two bathroom. Upstairs unit. Newly build house. Roof top. Parking space available. Close to the main road. Six months advance.,Rathmalana,2,2,"1,400.0 sqft",10.0 perches
10,Downstair for Rent - Ratmalana,16 Jul  7:16 pm,"Ratmalana, Colombo","42,000","Downstair unit for rent. Most suitable for couple. Parking available. Close to air force, safe area.I bed room1 bathroomSitting and dinning Pantry",1,1,950.0 sqft,9.0 perches,
11,House (Ground Floor) For Rent In Rathmalana,14 Jul  5:23 pm,"Ratmalana, Colombo","30,000","රත්මලාන , බොරුපන පාර පිහිටි නිවසක පහළ මහල කුලියට දීමට ඇත .","බොරුපන , රත්මලාන",3,1,900.0 sqft,17.5 perches
12,Firnich House for Rent - Ratmalana,11 Jul  4:51 pm,"Ratmalana, Colombo","45,000",Fully firnich 50 meter to galle road half month broker fee neded parking shot periad ok 01 month or ok,maliban jounction ratmalana,1,1,700.0 sqft,20.0 perches
13,Single seperate house for rent - Ratmalana,11 Jul  2:24 pm,"Ratmalana, Colombo","50,000","200m to Galle Rd, Seperate house, Fully tiled, Parking avavailable for 2 cars, monthly rent is Rs. 50000 for residence and Rs. 60000 for office use. 6 month advance and half of month broker fee is required","Agulana Junction, Ratmalana",3,2,"1,500.0 sqft",10.0 perches
14,House For Rent - Rathmalana,12 Jul  9:34 am,"Ratmalana, Colombo","25,000",රත්මලාන කඳවල මාවතේ පිහිටි දෙමහල් නිවසේ උඩුමහල කුලියට දීමට ඇත.,"Kandawala Mawatha, Rathmalana",1,1,"1,000.0 sqft",10.0 perches
