,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Luxurious House for Rent - Kandy,16 Jul 10:23 am,"Kandy, Kandy","120,000","Within Kandy Municipal Council. Hospitals, Supermarkets, Botanical Garden, Courts Complex, University and many more within 5mints Range. SLT Fiberoptic Line. CCTV Cameras around the land premises. Vehicle parking facility. Natural water stream inside the land with an attractive small garden. Suitable for a family (foreign or local) or office use.",5,3,"2,700.0 sqft",12.0 perches,
2,"['Luxurious House for Rent - Kandy', '16 Jul 10:23 am', 'Kandy, Kandy', '120,000', 'Within Kandy Municipal Council. Hospitals, Supermarkets, Botanical Garden, Courts Complex, University and many more within 5mints Range. SLT Fiberoptic Line. CCTV Cameras around the land premises. Vehicle parking facility. Natural water stream inside the land with an attractive small garden. Suitable for a family (foreign or local) or office use.', '5', '3', '2,700.0 sqft', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Rent in Kandy,18 Jul  9:41 am,"Kandy, Kandy","43,000","House for rent in kandy. 2 bedroom, living, dining, complete pantry, attached washroom with hot water, servant toilet, separate  electricity and waterParking available. six months deposit.","T .k Ellepola, No 15A Robert Gunawardena mw,William Gopallawa road,Kandy",2,2,"1,200.0 sqft",15.0 perches
4,3 Bedroom House for Rent in - Kandy,20 Jul  4:01 pm,"Kandy, Kandy","35,000","Ideal for Families, Group of Boarders (school Girls or Working Women) or For Home StayLand Is Fully Secured with A Front GateClosed to Mahamaya and Dharmaraja CollagesParking Space Available for About 8 Vehicles Good Residential Neighborhood 3 Beds, Two Baths, Living, Dining, Pantry and KitchenSeparate Servants Toilet and Bathroom","Hewaheta Road, Talwatta, Kandy",3,2,"1,800.0 sqft",52.0 perches
5,House For Rent In Kandy,20 Jul 12:43 pm,"Kandy, Kandy","35,000",Suitable to Business  Water / electricity facility Near the sampath bankKandy town to 5 minPeradeniya to 5 min,"No.16/1/1, Heerassagala Road, Kandy.",2,1,"1,300.0 sqft",7.0 perches
6,House For Rent In Kandy Nugawela,20 Jul 10:23 am,"Katugastota, Kandy","50,000",* In Kandy Katugastota Nugawela* 2 Story House* In Front Of Harispaththuwa Divisional Secretariat office * 2.5Km To Katugastota town * 100m To Nugawela Katugastota Main Road * Vehicle Parking Available * Decent Silent place for live * All Facilities Available ,"Royal Garden, Nugawela , Katugastota",3,2,"2,000.0 sqft",10.0 perches
7,Luxury Air conditioned House for rent / Lease - Kandy,20 Jul  9:47 am,"Kandy, Kandy","58,000","Luxury Air conditioned Two bed room Two attached bath Apartment Apartment  for rent/LeaseNewly Built luxury apartment house in close proximity of Kandy town with very best neighborhood.Fully Furnished Fully tiledand with with Luxury curtains.Large spacious living room and dining, two air conditioned ( Also with fans)bed rooms with attached Barth rooms  with hot water. Modern pantry with four burner cooker and Oven Two door Refrigerator.   Roof top terrors  over looking landscaped garden\grass.  3=2=1 sofa 6 piece dining table living room cabinet two queen size beds two wardrobes two dressing tables writing table veranda chairs TV DVD (can be upgraded)Secured fence wall with automatic roller door and CCTV surveillance available. Secured parking for one car.easy comfortable access to house very connected to important places schools hospitals banks city center ect.","George E de Silva Mawatha, Aniwatta, Kandy",2,2,"1,100.0 sqft",12.0 perches
8,House For Rent In Kiribathkumbura,19 Jul  7:54 pm,"Peradeniya, Kandy","30,000","Highly secure area and green environment ""Hansa sewana"" Kiribathkumbura.1 km to colombo kandy road4 km to peradeniya city4 bed rooms and 2 bath rooms with parking facility",4,2,"2,500.0 sqft",20.0 perches,
9,"Upstairs House for Rent,Kandy",19 Jul  4:09 pm,"Katugastota, Kandy","40,000","මහනුවර කටුගස්තොට  රණවන  පාරේ ජනරජ මහා විද්‍යාලය යාබදව  ප්‍රධාන පාරට මුහුණලා  අංග සම්පුර්ණ  උඩුමහල්  නිවස බදු දීමට කාමර 4,සාලය මුළුතැන්ගෙය වාහන නැවතීමේ පහසුකම්",4,1,"2,000.0 sqft",15.0 perches,
