,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Rent in Kurunegala,15 Jul 11:15 am,"Kurunegala, Kurunegala","25,000",කුරුණෑගල නගරයට විනාඩි 5ඉක්මනින් විකිණීමටවැඩි විස්තර සදහා අමතන්න.,"Mawildalupotha,Yanthampalawa",3,1,900.0 sqft,10.0 perches
2,"['House for Rent in Kurunegala', '15 Jul 11:15 am', 'Kurunegala, Kurunegala', '25,000', 'කුරුණෑගල නගරයට විනාඩි 5ඉක්මනින් විකිණීමටවැඩි විස්තර සදහා අමතන්න.', 'Mawildalupotha,Yanthampalawa', '3', '1', '900.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Beautiful House for rent near Kurunegala Town,12 Jul 10:11 am,"Kurunegala, Kurunegala","60,000","A beautiful large house in a peaceful surrounding in Wanduragala bordering the Colombo-Kurunegala main road.Extremely close to Kurunegala town.In close proximity to teaching hospital, government and international schools, supermarkets and all latest facilities.5 minute drive to Colombo - Kandy highway entrance.3 large bedrooms, 2 large bathrooms,large living and dining area, large open verandah, spacious pantry and kitchen.80 perches extent of land with parking facilities.All modern amenities, A/C, CCTV, telephone and wifi, with elegant furniture and electrical appliances.Available for short/long term lease or rent.*Organizations also can opt for long/ short term lease or rent.",6,2,"3,750.0 sqft",40.0 perches,
4,Fully Furnished House For Rent In Kurunegala,12 Jul 12:36 pm,"Kurunegala, Kurunegala","45,000",Fully furnished house with ample parking space. 4 bedrooms with 2 bathrooms. Servant's room and a toilet is also available. Land is surrounded by a parapet wall. 1.5 km from Kurunegala city center and 800 m from Maliyadeva College.,4,2,"4,500.0 sqft",54.0 perches,
5,House for Rent - Kuliyapitiya,19 Jul 11:01 pm,"Kuliyapitiya, Kurunegala","10,000","Kuliyapitiya town ekata 6km. Kuliyapitiya-hettipola margayata 2km. Jala, widuli pahasukam atha. Kapat patata muhunala niwasa pihita atha","Epaladeniya, Kuliyapitiya.",4,1,"2,500.0 sqft",80.0 perches
6,House for Rent - Kurunegala Town, 8 Jul  8:56 pm,"Kurunegala, Kurunegala","23,000",Two bed Room house ( up stair ) for rent ( up stair only ) - Five minutes to Kurunegala and Mawathagama town - Near Sussex Int. Collage  and Prince collage - Five minutes to Kurunegala Hospital / Kurunegala Railway station / Royal Int.school - Two bed room- one barth room - Large living area with dinning and pantry - Separate entrance - Separate electricity meter - Parking with shade - Calm and quite - Very safe - Superb condition-( All most new)  Owner living down stair - Single or couple only - over 10 year (one ) child considered - Not allowed  > Pets / Smokers/ Too much Furniture - Now available  - Pl. call for more information,"Kandy Road , Millawa , Kurunegala",2,1,"1,100.0 sqft",15.0 perches
7,House for Rent in - Kurunegala, 8 Jul  3:30 pm,"Kurunegala, Kurunegala","350,000","Newly Built House Contain 12 Bed Rooms and 9 Vehicle Parking, in 400 M from Kadurugas Junction.","No. 45, South cellular road, (Udawalpola road), Kurunegala.",10+,10,"5,500.0 sqft",40.0 perches
8,House for Rent in - Kurunegala, 5 Jul  5:32 pm,"Kurunegala, Kurunegala","30,000",Hodama ThathweCall for More Details,Kaudawaththa,2,1,"1,200.0 sqft",15.0 perches
9,House for Rent in Kurunegala, 5 Jul 10:06 am,"Kurunegala, Kurunegala","40,000","This house is available for rent .there is 4 bedrooms and 3 bathrooms.price is Rs 40,000/=per month.",Kurunegala,4,3,"2,500.0 sqft",20.0 perches
