,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Sale in - Bandarawela,19 Jul  8:45 am,"Bandarawela, Badulla","9,000,000",බණ්ඩාරවෙල බිදුනුවැව ගුරු අභ්‍යාස විද්‍යාලයට නුදුරින්  පිහිටි අගනා නිවස.,4,1,"1,400.0 sqft",78.0 perches,
2,"['House for Sale in - Bandarawela', '19 Jul  8:45 am', 'Bandarawela, Badulla', '9,000,000', 'බණ්ඩාරවෙල බිදුනුවැව ගුරු අභ්\u200dයාස විද්\u200dයාලයට නුදුරින්  පිහිටි අගනා නිවස.', '4', '1', '1,400.0 sqft', '78.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in - Bandarawela,19 Jul  8:45 am,"Bandarawela, Badulla","9,000,000",බණ්ඩාරවෙල බිදුනුවැව ගුරු අභ්‍යාස විද්‍යාලයට නුදුරින්  පිහිටි අගනා නිවස.,4,1,"1,400.0 sqft",78.0 perches,
4,Villa for sale in Bandarawela,16 Jul  4:32 pm,"Bandarawela, Badulla","30,000,000","66 perches land with newly built 2 story house for sale, Ideal for a villa, specious place, , 2.5 km to Bandarawela and 4km to Haputhale. in upstair 2 Bed rooms +attach bath room (Hot water.) 1500 sqft open balcony with a spectacular view. Down stair 4 bed rooms with common bath room, one drivers room with a attached bath room restaurant with two wash rooms, with all the furniture, bed linens and cutlery.Contact Detail",Bandarawela,6,3,"1,500.0 sqft",66.0 perches
5,House with Land for Sale - Badulla,16 Jul  4:22 pm,"Badulla, Badulla","57,000,000",Agana niwask sahitha idamk badulla twn ekata yaabada 1km durakin yuktha u bdulla hospital ekata winadi 5k durk sahith agana idamk samaga niwask wikinmta atha....,"no.06, aluthwelagama , badulla",4,1,"2,722.5 sqft",95.0 perches
6,House with Land for Sale in Badulla,16 Jul 10:26 am,"Badulla, Badulla","22,000,000","Five minutes walk to Badulla General hospital and to Badulla  Bandarawela main road. Situated in the heart of the town ,a few minutes walk to  popular schools, market, bus stand , children s park , temples , churches and the Police station .","Old St Beeds road, Badulla",3,2,"1,850.0 sqft",22.0 perches
7,House for Sale in Giradurukotte,15 Jul 11:37 pm,"Mahiyanganaya, Badulla","5,000,000",House for Sale in Giradurukotte1km away from Polonnaruwa Mahiyanganaya HighwayWaterElectricityTelecommunicationAway from noisy environment,"Middle Class Scheme, Giradurukotte",5,2,"1,100.0 sqft",15.0 perches
8,House for Sale in Badulla,15 Jul  6:13 pm,"Badulla, Badulla","17,500,000",*very near to the badulla general hospital*50m to badulla town from the house*very clam place*ideal for a doctor*,"3/1/A peelipotha game Road, Badulla",3,2,"1,582.0 sqft",15.0 perches
9,House For Sale in Bandarawela,13 Jul  1:06 pm,"Bandarawela, Badulla","12,000,000","BANDARAWELA. Residential Property  for Sale or Lease.Ideal for living or as a holiday  bungalow. 3km from Bandarawela city,off Bandarawela, Nuwara Eliya road close to technical  college. open university  center,and St Thomas  college.  Calm and greenery residential  surroundings. 40 perches  block  of land  facing carpet  road. Single story house with  5 bed rooms and 4 bath rooms spacious  living area , pantry and a kitchen. Build  area  around  2000 square  feet. Price: 120 Lakhs","St. Thomes Road, Bandarawela",5,4,"2,000.0 sqft",40.0 perches
10,House for Sale Badulla,12 Jul 11:45 pm,"Badulla, Badulla","9,500,000","* Badulla- Hingurugamuwa * 18 perches land- clear deeds * Badulla municipal council * 2km away from Badulla city * House with 4 bedrooms, 2 bathrooms, hall, pantry, kitchen* Parking space for 3 vehicles * Ceiling roof, tiled floor* Calm environment, valuable trees * Water, electricity, telephone * Schools, banks, hospitals- close * Special for bank loans",Badulla- Hingurugamuwa,4,2,"2,500.0 sqft",18.0 perches
11,House for Sale - Bandarawela,13 Jul  2:48 pm,"Bandarawela, Badulla","11,000,000","Luxury house with furniture 3 km away from bandarawela. Private entrance  road, wel water. Pleasent envirenment. 5 bed room (two rooms in upstair with seperate entrance) gurage, servent room additional outside kitchen, tiled floor carpeted road.Contact 0764373896 for more details",5,4,"3,000.0 sqft",26.0 perches,
12,"Luxury, Modern 2-story house. Riverside Road- Badulla",10 Jul  9:50 pm,"Badulla, Badulla","80,000,000","Including,CCTV camera systemSeparate entrance for both floorsRooftop accessQuiet surrounding",5,4,"4,000.0 sqft",13.4 perches,
13,House for Sale Bandarawela, 6 Jul  3:07 pm,"Bandarawela, Badulla","50,000,000",500m from bandarawela  madya  maha  widyalaya. bandarawela city limits.7 km from ella.,"helloya road,kinigama,bandarawela",5,4,"3,500.0 sqft",51.0 perches
14,Beautiful House With Big Land For Sale In Mirahawatta, 6 Jul  2:29 pm,"Bandarawela, Badulla","14,000,000",Selling our loved holiday home because we live in Germany and don't come to Sri Lanka often enough to keep it any longer. ,3,2,"1,200.0 sqft",50.0 perches,
15,Newly Built House for Sale in - Bandarawela,30 Jun  1:28 pm,"Bandarawela, Badulla","19,700,000",We Are Urgently Selling Our Property in Bandarawela Due to Moving Overseas. Price Tag Is Negotiable only After Inspection. Less than 2 Minutes Drive to City Center  (colombo Main Highway) Bus Stop (within 100 M)Close to All Major Schools and Work PlacesAwesome Location with A Great View and Peaceful Environment 5 Bedrooms 1 Storeroom or Worker Room2 Indoor Bathrooms and 1 Outdoor Bathroom 1 Store RoomParking for 6 Cars (1 Garage Under Construction) ,5,3,"2,000.0 sqft",20.0 perches,
16,Clear Deed House for Sale in - Bandarawela,29 Jun  3:15 pm,"Bandarawela, Badulla","7,500,000",300m from adikaram vidyalaya.,"kinigama, bandarawela",2,1,"2,500.0 sqft",18.0 perches
17,Valuable House for Immediate Sale in Badulla,12 Jul  7:54 pm,"Badulla, Badulla","8,500,000",House is good for residential or commercial purposes,"Gurandawatta Road, Badulla",2,1,"1,350.0 sqft",5.25 perches
