,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for sale - Battaramulla,17 Jul  5:14 pm,"Battaramulla, Colombo","65,000,000","800m to Palwatte  junction, Facing  D.P. Wijesingha Road main road, Architecturally  designed house. Land area 16P",4,3,"3,500.0 sqft",16.0 perches,
2,"['House for sale - Battaramulla', '17 Jul  5:14 pm', 'Battaramulla, Colombo', '65,000,000', '800m to Palwatte  junction, Facing  D.P. Wijesingha Road main road, Architecturally  designed house. Land area 16P', '4', '3', '3,500.0 sqft', '16.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Newly Built House in Pelawatta, 7 Jul 10:54 am,"Battaramulla, Colombo","27,500,000","A Newly Built Two storied house with first floor fully Completed .Highly Residential Area .Closer to Security Corporate HQs and Many Government Institutions in Pelawatta , Battaramulla.Commercial Rental Agreement with a Income of Rs.40000/Month Can be Continued if Preferred .",2,1,"1,200.0 sqft",8.5 perches,
4,House for Sale in Pelawatta,18 Jul  3:34 pm,"Battaramulla, Colombo","29,000,000",House for Sale in Pelawatta=====================,3,3,"3,000.0 sqft",6.0 perches,
5,Brand New 3story Luxury House for Sale - Battaramulla,12 Jul 12:32 pm,"Battaramulla, Colombo","45,000,000","Brand new 3story luxury house for sale in baththaramulla robet gunawarddana mawatha 5bedroom, 5bathroom, A/C, cctv camera TV lobby rooftop balcony seven room, and servent bathroom, 20ft road, 400mto main road walking distance to government compaies",baththaramulla robet gunawarddana mawatha,5,5,"3,280.0 sqft",7.5 perches
6,House for Sale in Pelawatte Junction,20 Jul  7:30 pm,"Battaramulla, Colombo","49,000,000","Old House for sale or rentIn the opposite direction to the Folk Arts Center70m to parliament road300m pelawatta junction --------------------------------------බත්තරමුල්ල පැලවත්ත ජනකලා කේන්ද්‍රය ඉදිරිපිට පැරණි නිවසක් සමග ඉඩම විකිණීමට හෝ කුලියට නිවසේ කාමර 11යි (යාබද නානකාමර 10)පර්චස් 13යිපාර්ලිමේන්තු පාරට මීටර් 70යිපැලවත්ත හංදියට මීටර් 300බැංකු,ඇවිදින මන්තීරු,පාසල,රෝහල්,සුපිරි වෙළෙඳසල් ඇතුළු සියලු පහසුකම් සමඟ ආයෝජනයකට කදිම ඉඩමකි.ගෙස්ට් හවුස් හෝ වියාපාරික කටයුත්තකට සුදුසුයි.ලක්‍ෂ 500/=යිමාසික කුලිය ලක්‍ෂ 2/=යි","pelawatta,Folk Arts Center",10+,10,"5,000.0 sqft",13.0 perches
7,House for sale - Battaramulla,17 Jul  5:14 pm,"Battaramulla, Colombo","65,000,000","800m to Palwatte  junction, Facing  D.P. Wijesingha Road main road, Architecturally  designed house. Land area 16P",4,3,"3,500.0 sqft",16.0 perches,
8,Luxury House sale in Battaramulla,20 Jul 10:30 am,"Battaramulla, Colombo","35,000,000",Architects designed. Two. Storied. Luxury. House. 4. Bedrooms.3bathrooms.large. living. Area. 2. Pantry. With  cooker. And  oven. Large. T.V. lobby.Balcony.Fully  Tiled. Newzealand. Wood. Civilima.A.C.And. C.C .T .V.solar. power.Surrounding. Wall. And. Roller. Gate.nice. garden. 2 vehicle. Parking. Area.20. Feet. Road.1.5. Km. Talawatugoda.2km. Palawatta. Junction .better. environment,4,3,"3,000.0 sqft",10.0 perches,
9,Brand New luxurious 3 storied House for sale Pelawatta,19 Jul 11:14 pm,"Battaramulla, Colombo","195,000,000","Brand New | luxurious | 3 storied | House for sale @ Pelawatta________________________________________________________Land & Floor Area •20 perches, (11500 sq,ft)",Near pelawatta city limit,7,7,"11,500.0 sqft",20.0 perches
10,Newly Built | Luxury Spacious House for sale Battaramulla,19 Jul  9:59 pm,"Battaramulla, Colombo","115,000,000",Newly Built | Luxury | Spacious | House for sale @ Battaramulla______________________________________________________Land & Floor Area -,Near Paliament area,5,3,"4,000.0 sqft",43.0 perches
11,Single Story House Thalahena,19 Jul  9:27 pm,"Battaramulla, Colombo","12,500,000","Brand New 2 Storied House For Sale In Battaramulla Road, Thalahena.07 Perches with Landscaped garden area. ( 1 Year Used )The house is completely tiled","Battaramulla Road, Thalahena.",3,3,"1,200.0 sqft",7.0 perches
12,House for Sale in Battaramulla,19 Jul  2:50 pm,"Battaramulla, Colombo","75,000,000","Architect owned house in a fascinating environment (real pictures attached)- House built on 11 perches and attached bare land 12 perches- 4 Bed rooms with private gardens- 4 Bath rooms with hot water- Air conditioned bedrooms- Furnished house- CCTV- Roller shutter & wicket gate- Over head water tanks- 15ft wide road- Close proximity to Battaramulla, Pelawatta, Koswatta & Malabe- Respectable neighborhoods",4,4,"4,500.0 sqft",23.0 perches,
13,House | for Sale in Pelawatta - H0691,19 Jul  7:52 am,"Battaramulla, Colombo","180,000,000","Pallewatta Battaramulla Colombo Sri Lanka on 23 perched of Land, with a total house of 14000 Sq. ft.The Neighborhood is considered Elite and Quite.",7,7,"14,000.0 sqft",23.0 perches,
14,2Storey Luxury House For Sale- Battharamulla with Swimming Pool,18 Jul 11:00 pm,"Battaramulla, Colombo","37,000,000","2Storey Luxury House For Sale in Battharamulla with Swimming Pool400 meters to thalahen junction Battharamulla*1 km to Malabe junction. *500 meters to Thalahena junction04 Bed Rooms 01 A/C Room04 Attach Bath Rooms Living RoomDining roomPantry /kitchenveranda,TV LobyParking available for 2vehicles.Landscaped Garden / Swimming Pool2nd floor with Roof top Access Road 18 feet Road Just about 900 meters to Battaramulla town. Easy access to government office, banks, super markets etc. Close proximity to passport office, ID office and Sethsiripaya. Situated in the highly commercialized area but a calm place.Call for Seen on appointments Genuine Buyers Only PLEASE CALL FOR SEEN ON APPOINTMENTS NO BROKERS PLZZZZZ. .",400 meters to thalahen junction Battharamulla,4,4,"3,500.0 sqft",10.0 perches
15,Super Luxury Three Story House Sale For Battaramulla,18 Jul  8:41 pm,"Battaramulla, Colombo","45,000,000",Brand New Super Luxury Three Story House Sale For Robert Gunawardena Mawatha Battaramulla ,"Robert Gunawardena Mawatha, Battaramulla",4,5,"3,000.0 sqft",7.5 perches
16,2 story luxury house for sale in battaramulla,18 Jul  1:28 pm,"Battaramulla, Colombo","25,000,000","2 story luxury house for sale in Robert Gunawardena Mawatha Battaramulla.6.6 perches4 bedrooms3 bathrooms dining, pantry, and bar areaservent kitchen and bathroom3 parking 1 km to Baramulla.25 million",robert gunawardana mawatha battaramulla,4,4,"2,500.0 sqft",6.0 perches
17,3 Bedroom House with Garden for Sale in Pelawatta,18 Jul 12:35 pm,"Battaramulla, Colombo","26,500,000","3 bedroom house with separate servant quarters and storage room for sale in Pelawatta.About 1.2km to Pelawatta junction and OSC international school. Less than 2km to Thalawathugoda Hemas hospital. Very near to Passport office , Isurupaya & other government offices. Peaceful area.. master bedroom with A/C & attached bathroom. 26.5 Million without furniture. Fully furnished negotiable. For Urgent sale ! Owner migrating.. No brokers please.. genuine buyers only.","Lake road , Pelawaththa",3,2,"2,000.0 sqft",12.0 perches
18,Brand New Luxurious House for Sale - Battaramulla,18 Jul  7:42 am,"Battaramulla, Colombo","170,000,000","Brand New | luxurious | House for sale @  Battaramulla_____________________________________________Land & Floor Area -20 perches, (5544sq,ft)Fully A/C_____________________________________________Bedrooms -",Near ITN Road,6,5,"5,544.0 sqft",20.0 perches
19,Newly Built Luxury House For Sale In Pelawatta,18 Jul  6:11 am,"Battaramulla, Colombo","41,000,000",• Our Reference No SH 10471( Please quote this reference number when inquiring),"Pelawatta, Battaramulla",4,4,"4,000.0 sqft",11.5 perches
20,Luxury House for Sale - Battaramulla,20 Jul 11:12 am,"Battaramulla, Colombo","68,000,000","Architecturally designed 3 storied modern house @ Ethulkotte near Diyatha uyana in 9.5 perches. 3,600 sq.ft. 3 roof gardens + roof terrace. 5 bed rooms, 4 bathrooms, two pantries, servants room etc.. quoted price Rs. 68.0 Mn. Adjoining land with 12.5 perches is also available.",5,4,"3,600.0 sqft",9.5 perches,
21,House for Sale in Thalahena,17 Jul  2:49 pm,"Battaramulla, Colombo","38,000,000",Colonial type 2 storied house bordering a paddy field in a calm location surround with good houses. 500 M to the main Road (New Kandy road). Access road to the property is 20ft. ,"Thalahena, Kosswatta",5,4,"3,200.0 sqft",12.5 perches
22,B / New Single Storied House For Sale || Battaramulla,17 Jul  2:38 pm,"Battaramulla, Colombo","18,000,000","Brand New Single Storied House For Sale @ Robert Gunawardane Mw, Battaramulla.","Robat Gunawardena Mw, Battaramulla",3,3,"1,800.0 sqft",10.5 perches
23,House | for Sale Pelawatta - H0733-C,17 Jul  1:56 pm,"Battaramulla, Colombo","26,500,000","Luxury living in an eco-friendly setting - Lake Road, Pelawatta",4,3,"2,500.0 sqft",7.8 perches,
24,2 Storied House|| For Sale in || Battaramulla,17 Jul  2:14 pm,"Battaramulla, Colombo","33,000,000","Two Storied House For Sale In Battaramulla.Pipe Road, Koswatta, Battaramulla.","Pipe Road, Battaramulla.",6,3,"3,600.0 sqft",10.0 perches
25,2 || Storied House For Sale in Baththaramulla,17 Jul 10:40 am,"Battaramulla, Colombo","30,000,000","Two storied house @ Pothuarawa. On 16 Perch Land Malabe Rd, Pothuarawa","Pothuarawa Road, Palawatta.",5,4,"3,500.0 sqft",16.0 perches
26,House for Sale Malabe,17 Jul  8:16 am,"Battaramulla, Colombo","6,500,000",Malabe kahanthota Road Less Then 1K. M 200meters pittugala junction,Malabe kahanthota,2,1,"1,000.0 sqft",6.0 perches
27,Brand New Single Story House for Sale - Battaramulla,16 Jul  7:55 pm,"Battaramulla, Colombo","18,500,000","Brand New Single Story house - Robert Gunawardane Rd, Battaramulla.10.5 Perches with Landscaped garden area. 300 Meters  to Gunawardane Rd Main Road...............................................................................................................................................03 Bed rooms 02 bathrooms  Living room  dining room Kitchen with modern pantry cupboardsServant facilities (toilet )Pipe born water with over head water tank02 Vehicles can be Parking ","Robert Gunawardane Rd, Battaramulla.",3,3,"1,850.0 sqft",10.5 perches
28,Brand new luxurious house in battaramulla,16 Jul  8:22 am,"Battaramulla, Colombo","45,000,000","We have luxurious specious 3 storied Brand new house for special offer…… please contact - only 45 million - negotiable4000 square feet house, 4 specious bed rooms with AC & attached bath rooms. Total 6 bath rooms. 20 feet wide road. You don't find a house with this features for this price. Perfect plan.. 2 vehicles can park. Hot water with solar. Specious living & dining areas.seperate maid rooms with bath rooms. Scenic large terrace, laundry room.CCTV, AC, Roller gate, fully equip pantry cupboards. High quality wood for doors & windows. House has constructed to the highest standard using quality materials.Nice garden, peaceful well secured residential area located at battaramulla just 5 minutes to the town. Very convenience to Keels/ Cargills /Laughs supermarkets and the banks & light rail transport project…..Selling at urgently..Just completed","Densil kobbakaduwa mv, Battaramulla",5,6,"4,200.0 sqft",7.5 perches
29,Newly Built House in Pelawatta, 7 Jul 10:54 am,"Battaramulla, Colombo","27,500,000","A Newly Built Two storied house with first floor fully Completed .Highly Residential Area .Closer to Security Corporate HQs and Many Government Institutions in Pelawatta , Battaramulla.Commercial Rental Agreement with a Income of Rs.40000/Month Can be Continued if Preferred .",2,1,"1,200.0 sqft",8.5 perches,
30,House for sale - Battaramulla,17 Jul  5:14 pm,"Battaramulla, Colombo","65,000,000","800m to Palwatte  junction, Facing  D.P. Wijesingha Road main road, Architecturally  designed house. Land area 16P",4,3,"3,500.0 sqft",16.0 perches,
31,House for Sale in Battaramulla [ls17],16 Jul 12:53 am,"Battaramulla, Colombo","62,000,000","Highlights- Land extent: 18.2 Perches- Property is located facing Rohana Mawatha, Subuthipura, Battaramulla. - Approx. 250 meters from Subuthi Drive. - Approx. 750 meters from Main Street [Kotte - Bope Main Road].- Approx. 1 km meters from Parliament Junction.- The property is accessible via 20-30 foot wide access roads [Weera Mw & Rohana Mw].","Rohana Mawatha, Subuthipura, Battaramulla",4,2,"1,500.0 sqft",18.2 perches
32,Luxury House for Sale in Pelawatta Battaramulla,15 Jul  8:09 pm,"Battaramulla, Colombo","110,000,000",4 floors 5000 sqft luxury house on 20p fully furnished,"Samanala Mawatha off Kumaragewatta, Battaramulla",4,4,"5,000.0 sqft",20.0 perches
