,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,13.30 Perches 2 Storied Luxury House for Sale - Wellawatte, 8 Jul 12:43 pm,"Colombo 6, Colombo","132,000,000","13.3 PERCHES 2 STORIED 2 UNITS HOUSE FOR SALE CLOSE TO GALLE ROAD DISTANCE WITH ALL FACILITIES. GOVERNMENT AND INTERNATIONAL SCHOOLS, SUPER MARKET'S, SHOPPING, RESTAURANT, ENTERTAINMENT,  MEDICAL CENTER, MOSQUE,  BANK'S 24 HOURS BUS ROUTE, 5 MINUTES DRIVE TO COL 4 AND 3 5 MINUTES MARINE DRIVE ",WELLAWATTE LAND SIDE,6,6,"5,000.0 sqft",13.3 perches
2,"['13.30 Perches 2 Storied Luxury House for Sale - Wellawatte', ' 8 Jul 12:43 pm', 'Colombo 6, Colombo', '132,000,000', ""13.3 PERCHES 2 STORIED 2 UNITS HOUSE FOR SALE CLOSE TO GALLE ROAD DISTANCE WITH ALL FACILITIES. GOVERNMENT AND INTERNATIONAL SCHOOLS, SUPER MARKET'S, SHOPPING, RESTAURANT, ENTERTAINMENT,  MEDICAL CENTER, MOSQUE,  BANK'S 24 HOURS BUS ROUTE, 5 MINUTES DRIVE TO COL 4 AND 3 5 MINUTES MARINE DRIVE "", 'WELLAWATTE LAND SIDE', '6', '6', '5,000.0 sqft', '13.3 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New House for Sale Wellawatte,21 Jul  9:18 am,"Colombo 6, Colombo","26,500,000",15feet road with car parking and garage,col-6 wallawatta emton lane,3,3,"1,500.0 sqft",25.0 perches
4,Brand New 3storey House for Sale - Col-6 Wallawatta,20 Jul 12:18 pm,"Colombo 6, Colombo","2,750,000,000","3storey house full tailed., brand new condition and garage with car parking.., servant room and toilet separate.  20feet road... 27.5 million",col-6 wallawatta,3,3,"1,500.0 sqft",2.5 perches
5,Luxury House for Sale in Colombo 06 [HS06],19 Jul 10:51 pm,"Colombo 6, Colombo","130,000,000","Almost new luxury house for sale in Wellawatte, conveniently located less than 200 meters away from both Galle Road & Marine Drive, within close proximity to all modern day conveniences. The house offers extensive living space along with four bedrooms and four bathrooms. The house has been tastefully designed and constructed to exceptional standards with the use of high quality fittings and fixtures.","Lily Avenue, Colombo 6",4,4,"4,850.0 sqft",7.25 perches
6,Very Old House for Sale - Wellawatta,17 Jul  4:02 pm,"Colombo 6, Colombo","7,500,000",very close to marine drive.. 7.5 million per perch,col-6 wallawatta rajasinghe road,4,3,"3,000.0 sqft",9.0 perches
7,House for Sale in Colombo 6,12 Jul 11:19 am,"Colombo 6, Colombo","22,000,000",Wellwatta Nelson Place 3 Perches 3 bedrooms 22 million,Wellwatta Nelson Place,3,2,"1,200.0 sqft",3.0 perches
8,Land with an old House for Sale in Havelock Road col 6, 8 Jul  1:02 pm,"Colombo 6, Colombo","300,000,000",Peaceful Location with easy access to all the main roads. Land is located in a highly residential area.30 Perches land for sale with an old house in Havelock Road. One of the best residential area closer to Colombo Capital. The land consists completed basic house with all necessary things.,3,2,"2,500.0 sqft",30.0 perches,
9,Old House in Colombo 6,15 Jul  4:03 pm,"Colombo 6, Colombo","65,000,000",full residence area,emtan lane (wallawaththa),4,3,"2,500.0 sqft",6.0 perches
