,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in - Ratmalana, 6 Jul 12:45 pm,"Dehiwala, Colombo","14,500,000","A 2 Bedroom Tilled Single Storage House with Office Room for Sale.Land Size 7.67 Pch  Fully Renovated Asbestos Roof in Very Calm,security Peaceful Area.3 Cars Can Be Parked. Coconut Tree in The Garden. Newly Fitted Elcardo Roller Door.No Loans or Any.100 Metres Walking Distance to Attidiya Main Road. 600 Meters to Galle Road( Maliban Junction.)Given for Highest Offer.   Price 14.5 Million  No Brokers Pls.",Attidiya Road Ratmalana,2,1,"2,000.0 sqft",7.7 perches
2,"['House for Sale in - Ratmalana', ' 6 Jul 12:45 pm', 'Dehiwala, Colombo', '14,500,000', 'A 2 Bedroom Tilled Single Storage House with Office Room for Sale.Land Size 7.67 Pch  Fully Renovated Asbestos Roof in Very Calm,security Peaceful Area.3 Cars Can Be Parked. Coconut Tree in The Garden. Newly Fitted Elcardo Roller Door.No Loans or Any.100 Metres Walking Distance to Attidiya Main Road. 600 Meters to Galle Road( Maliban Junction.)Given for Highest Offer.   Price 14.5 Million  No Brokers Pls.', 'Attidiya Road Ratmalana', '2', '1', '2,000.0 sqft', '7.7 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Houses for Sale Deiwala,21 Jul  7:36 am,"Dehiwala, Colombo","68,000,000",3 STORY HOURES  3 UNIT CAR PARKING 20 FEET ROAD 176 BUS 300M AGENT,dehiwala kalubovila shoole lane,10,10,"3,800.0 sqft",15.0 perches
4,Brand New House For Sale | Dehiwala,29 Jul  8:44 am,"Dehiwala, Colombo","9,500,000",Two Separate Unit House for sale in Dehiwala. 2.5 Perch. Located in Highly Residential area. 20ft Road way access. Very Close to Galle Road. Can use as two units. Separate Entrance. Separate water and electricity Meters.,5,3,"1,600.0 sqft",2.5 perches,
5,Valuable Housecfor Sale Dehiwala,30 Jul  9:27 am,"Dehiwala, Colombo","29,000,000","House for immediate sale in Dehiwala Abesekara Rd Kawdana with 4 bedrooms & 2 washroomLand extent 7 perches,",Kawdana Road - Dehiwala,4,2,"1,500.0 sqft",7.0 perches
6,5 Bedroom 6 Bathroom Fully Furnished Luxury House for Sale in Kalubowila,30 Jul  2:32 am,"Dehiwala, Colombo","54,000,000",STRICTLY NO AGENTS OR BROKERS!,"DE SILWA ROAD,KALUBOWILA.",5,6,"3,750.0 sqft",12.0 perches
7,Luxury Furnished House for Sale Kalubowila,30 Jul  2:31 am,"Dehiwala, Colombo","52,000,000",STRICTLY NO AGENTS OR BROKERS!,"DE SILWA ROAD,KALUBOWILA.",5,6,"3,750.0 sqft",12.0 perches
8,5 Bedroom Furnished Luxury House For Sale In Kalubowila,30 Jul  2:08 am,"Dehiwala, Colombo","52,000,000",STRICTLY NO AGENTS OR BROKERS!,"DE SILWA ROAD,KALUBOWILA.",5,6,"3,749.0 sqft",12.0 perches
9,"Elegant, Modern & Spacious 2 Storied house for sale Dehiwela",30 Jul 12:59 am,"Dehiwala, Colombo","36,000,000","DEHIWALA, KALUBOWILA – Elegant, Modern & Spacious 2 Storied house in a decent, quiet neighbourhood, for IMMEDIATE SALE.  ","Temple Road, Kalubowila, Dehiwela",5,5,"3,500.0 sqft",7.5 perches
