,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House For sale Godagama Homagama,30 Jun  2:21 pm,"Homagama, Colombo","9,500,000",✅ සියලුම පහසුකම් වලින් සම්පුර්ණ නිවස,"95/45/02 Godagamahe waththa,godagama, homagama",3,2,"1,800.0 sqft",10.0 perches
2,"['House For sale Godagama Homagama', '30 Jun  2:21 pm', 'Homagama, Colombo', '9,500,000', '✅ සියලුම පහසුකම් වලින් සම්පුර්ණ නිවස', '95/45/02 Godagamahe waththa,godagama, homagama', '3', '2', '1,800.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale - Pitipana,10 Jul  4:14 pm,"Homagama, Colombo","8,400,000","129,190,125, බස් මාර්ග වලට කිලෝමීටර් දෙකයි, මනරම් පරිසරය",පිටිපන මීගොඩ පාර,3,3,"1,300.0 sqft",11.0 perches
4,House for Sale - Homagama,21 Jul  6:08 pm,"Homagama, Colombo","6,500,000",New house 2 bedrooms 1 office room Site & house plans are registered  SLT & Peo TV connectionTapped Well waterAll owner details are clear Genuine buyers only,3,1,"1,200.0 sqft",11.5 perches,
5,Brand New House for Sale in - Godagama,15 Jul  5:42 pm,"Homagama, Colombo","12,000,000",Brand New Two Storied House for Sale 100m to High-Level Road 400m to Godagama TownClose to Athurugiriya Highway Entrance,lional jaysinghe road godagama,3,2,"1,300.0 sqft",6.5 perches
6,First Floor Completed 3 Storied House Homagama,21 Jul  4:31 pm,"Homagama, Colombo","7,500,000","Ground floor completed 3 storied house face to beautiful paddy area at diyagama, homagamaIts beautiful residential area very close to hnd university and mahinda rajapaksha stadiumJust 300 meters to 280 main road15 feet tared roadAlso completed two concrete slabsGround floor complete with titanium floor area, one bed room, bathroom , kitchen with complete pantry, and large living areaTwo sair cases also completed.Valuable investment75 laks only.Clear titlesLoans applicable","Diyagama, homagama",1,1,"3,000.0 sqft",10.0 perches
7,Apartment Style Home for Sale Homagama, 6 Jul 12:03 pm,"Homagama, Colombo","12,900,000","This immaculately designed 2-story house with a private balcony, invites comfort, and includes modern elegance. With 3 bedrooms, and 2 baths, generous living space and stylish finishes, you'll enjoy a perfect setting for relaxing and entertaining, thus living upto the name of the Lotus Flower. ","Pitipana South, Homagama",3,2,"1,650.0 sqft",10.0 perches
8,House for Sale in Homagama,18 Jul  3:22 pm,"Homagama, Colombo","11,000,000","වර්ග අඩි 300 ක සාලය, කෑම කාමරය, ගරාජය, වට තාප්ප, ගේට්ටු, සම්පුර්ණම නිවස ටයිල් කර සිවිලිම ගසා ඇත. පොල් ගස් 09, කොස් ගස් 02 ක්, දෙල් ගස් 01  සහ පලතුරු වවා ඇත.","Pitipana South, Homagama",3,1,900.0 sqft,21.0 perches
9,3BR House for Sale in Watareka,21 Jul  3:13 pm,"Homagama, Colombo","6,500,000",• Our Reference No SH 10300( Please quote this reference number when inquiring),"Halbarawa, Watareka",3,2,"1,200.0 sqft",10.0 perches
10,House for Sale - Godagama,21 Jul 12:48 pm,"Homagama, Colombo","8,000,000","The house is 100% completed.The house is located near the high level road (5 minutes by walk), in a quiet area.The house consists of:-3 bedrooms-1 big living room-1 bathroom-1 servant toilet-   wide garden.Please contact me for more details.",3,2,"3,907.0 sqft",14.35 perches,
11,New House For Sale in Homagama | Meegoda,20 Jul 11:48 am,"Homagama, Colombo","6,100,000",Newly Built House For Sale in Meegoda,Homagama | Meegoda,2,1,"1,300.0 sqft",6.0 perches
12,Brand New House for Sale - Homagama, 9 Jul  7:17 pm,"Homagama, Colombo","9,000,000",Brand new house for sale in Homagama magammana. 200m to main road.2km to homagama town( highlevel). 3km to highway entrance . 200m to food city. 1km to mahinda rajapaksha ground. 3 bed rooms and 3 bathrooms . Fully tiled. Completed pantry.Resident area. 20 ft road .,Homagama  magammana,3,3,"1,480.0 sqft",7.5 perches
13,House for Sale Homagama,21 Jul 10:50 am,"Homagama, Colombo","4,500,000",128-280 ප්‍රධාන බස් මාර්ගයට කි මී 1 ක් දුරින් පිහිටා ඇත. විදුලිය නලජලය සහිතයි .කහතුඩුව අධිවේගී පිවිසුමට ආසන්නයි. වැඩි විස්තර සඳහා අමතන්න,4,2,"1,100.0 sqft",12.0 perches,
14,House for Sale - Godagama, 8 Jul  9:46 am,"Homagama, Colombo","4,400,000","House is located in Godagama close to the godagama railway station, Easy to commute, walk in distance to schools, supermarkets, highlevel road, 8.0p land covered with wall. Owner and family moved abroad and quick cash deal preferred.",2,1,"1,400.0 sqft",8.0 perches,
15,House for Sale in Homagama,20 Jul  9:33 pm,"Homagama, Colombo","4,500,000",පර්චස් 6.5 ඉඩමතුල නිවාස 2 ඇත.එක්‌ නිවසක කාමර 2ක්  සහ  බාත්රූම් 1 සහ කුස්සිය සහ සාලයක් ඇත.අනෙක් නිවසේ කාමර  1ක්  සහ බාත්රූම් 1 සහ කුස්සිය සහ සාලයක් ඇත.නිවාස දෙකම ලක්ෂ 45යි හෝමාගම නගරයට 1ඉතා ඉක්මනින් විකිනීමට ඇත.,"no.186D,Uduwana Homagama",2,1,"1,100.0 sqft",6.5 perches
16,House For sale Godagama Homagama,30 Jun  2:21 pm,"Homagama, Colombo","9,500,000",✅ සියලුම පහසුකම් වලින් සම්පුර්ණ නිවස,"95/45/02 Godagamahe waththa,godagama, homagama",3,2,"1,800.0 sqft",10.0 perches
17,House for Sale - Homagama,20 Jul  7:38 pm,"Homagama, Colombo","6,500,000","125 190 බස් මාර්ග වලට කිලෝමීටර් දෙකයි, දුම්රිය මාර්ගයටත් කිලෝමීටර් දෙකයි,",මීගොඩ දාම්පේ පාර,3,1,"1,300.0 sqft",35.0 perches
18,House Fro Sale in - Homagama,20 Jul 11:16 am,"Homagama, Colombo","15,000,000","4 Bed rooms, 2 Bathrooms, Living area, Kitchen, Tv lobby, Car porch, Roof top (500sqft) , Remote control  Roller shutter Gate, Servant toilet.","Homagama, Colombo.",4,2,"2,000.0 sqft",7.0 perches
19,Brand New House for Sale at Homagama,20 Jul 10:02 am,"Homagama, Colombo","11,000,000",3 Bed rooms Brand New House for Sale at Homahama Town Area withLiving RoomTV AreaDining AreaPantryBath Room with Hot WaterRocel Sanitary Fittings with Hangs Grohe Mixture TapsSuronded by Bounday Walls with Roller door & Wicket Gate1.3 Km to Homagama Town250 m to Main Road2.5 Km to Kottawe High way Entrance,"100/3, Manathunga Mawatha, Homagama",3,1,"1,350.0 sqft",8.0 perches
20,House for Sale in Homagama,20 Jul 12:09 am,"Homagama, Colombo","9,000,000","sundara parisarayaka pihiti anga sampoorna nawa niwasa ,bus paarata 300m,homagama town ekata 2 1/2km.kottawa highway entress ekata 3 1/2km.pitipana nsbm campus ekata 5 km, mahinda raajapaksha paasasalata 5km.","maagammana, homagama.",3,2,"1,200.0 sqft",7.0 perches
21,Brand New unoccupied luxury House Homagama,19 Jul  6:48 pm,"Homagama, Colombo","25,000,000","හෝමාගම - පොලීසිය පාරේ නගරයේ සිට කිලෝමීටර් 1ක් දුරින් ප්‍රධාන මාර්ගයට පෙනෙන දුරින් ප. 9.5  ඉඩමේ ඉදිකරන ලද පදිංචි නොවූ නව දෙමහල් නිවස හා නිවසට යාබඳව ඉදිකරන ලද සියලු පහසුකම් සහිත අංගසම්පූර්ණ ඇනෙක්සියක්ද ඇත.                   සම්පූර්ණ වාස්තු විද්‍යානුකූලව ඉදිකරන ලදී.                   වර්ග අඩි 3000 කි.                   නිදන කාමර 5 යි / බාත්රූම් 3 යි.                   වටේට බැල්කනි දමා මනරම් පරිසරයක පිහිටා ඇත.                   විධිමත් කානු පද්ධතියක් ඇත.                   නිවසට එන මාර්ගය අඩි 20 යි.                   විදුලිය / නලජලය සමඟින්.                   දොරවල් සහ ජනෙල් තේක්ක වලින් නිම කර ඇත.                   නීත්‍යානුකූල සියලු ලියකියවිලි සහ ප්‍රාදේශීය සභා අනුකූලතා සහතිකය ද ඇත.                   නිවසේ සියලුම දේවල් අනර්ඝ තතත්වයෙන් නිමකර ඇත.                   නගරයට සහ හෝමාගම සියලුම රජයේ ආයතනවලට හරිත පරිසරය, තාක්ෂණික පීඨය, කර්මාන්තපුරය හා අධිවේගී මාර්ග පිවිසුමට ඉතා කෙටිකාලයකින් ලඟාවිය හැකිය.රු: මිලියන: 25 යි.","Homagama පොලීසිය පාරේ,හෝමාගම",5,3,"3,000.0 sqft",9.5 perches
22,House for sale in Homagama,19 Jul  5:27 pm,"Homagama, Colombo","12,000,000",හෝමාගම මහකටුවාන පාරේ 1.5 km දුරින් නිසංසල පරිසරයක පිහිටි පර්චස් 20 ක ඉඩම සමග භාවිතා කල හැකි පැරණි නිවස ඉඩමේ මිලට ඉතා ඉක්මනින් විකිනීමට ඇත. ඉඩමේ සැලසුම අනුමත කර ඇති බැවින් ඉක්මන් ණය පහසුකම් ලබා ගත හැක.,"Homagama, Mahakatuwana Road",3,1,"1,500.0 sqft",20.0 perches
23,House for Sale - Homagama,19 Jul  4:32 pm,"Homagama, Colombo","9,000,000","හෝමාගම නගරයට විනාඩි7, කාමර 4යි, නාන කාමර උඩ.යට  2යි, සාල2යි, තාප්ප.ගේට්ටු.වාහන 3ක් සඳහා ඉඩ,ණය ගන්න පුළුවන්.4bed rooms, 2 bathrooms up&down, 3Living area, 1servent toilet, garaj-3vehicel parkin space, 1dining erea, 1kitchen, loans ok,homagama policiya road, 7minits to town ,1.7 km 138.122.,125,124,98,99,644,128,129 bus stand.",4,3,"2,000.0 sqft",10.0 perches,
24,House for Sale Homagama,18 Jul  2:37 pm,"Homagama, Colombo","7,500,000","Complet house 3 rooms, one bath room , servent toilet, walls and gate, 75m to high level road, 500m togodagama juntion 350m meegoda ecomomic center,                                 ","Godagama homagama,",3,1,"2,300.0 sqft",11.0 perches
25,House for Sale - Homagama,18 Jul  2:29 pm,"Homagama, Colombo","14,000,000","The land plot 20 perch lush green including many verities of tropical fruits like mango, avocado, rambutan, guava, olive, amberalla, jumbo, naminam, with coconut & king coconut.Build house three bedrooms two attached bathrooms, open court yard & a larg living area private garage.1.5 km to homagama town, 500 mt to high level Rd 100 mt off moragahena Rd near Pali University and 3 km to NSMB, 3km to Kottawa highway exit Price 14 mil on negotiate",3,2,"1,400.0 sqft",20.0 perches,
26,New House for Sale in Homagama,18 Jul  1:13 pm,"Homagama, Colombo","16,600,000",New House For Sale in Homagama,Homagama,4,3,"2,500.0 sqft",7.5 perches
27,House for sale in Homagama,17 Jul  2:02 pm,"Homagama, Colombo","6,800,000","හෝමාගම, පිටිපන දකුණ හරිත සරසවියට හා මහින්ද රාජපක්ෂ විද්‍යාලයට 1.5 km යි,මහරගම ගොවිජනපදය බස් පාරට 100 m යි, කොට්ටාව මොරගහහේන බස් පාරට 800 m යි, හෝමාගම පිටිපන පංසල හන්දිය බස් පාරට 500 m යි. නිදන කාමර 03 කින් සමන්විත අංග සම්පුර්ණ නිවස විකිනීමට.","Pitipana South, Homagama",3,1,"1,350.0 sqft",10.0 perches
