,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,New house for sale - Kesbewa,12 Jul 10:15 pm,"Kesbewa, Colombo","11,000,000",Newly built In Kesbewa Batuwanthara 5meters to the main road (Piliyandala bandaragama)4 km to Kesbewa town 3 bedroom 1 bathroom with hot wAter Living and dining Kitchen with pantry Servant toilet Remote door with garageFinishing roof and 2x2 tiled Surrounding parapet wall Has electricity and wAter,"batuwanthara, kesbewa",3,1,"1,400.0 sqft",6.5 perches
2,"['New house for sale - Kesbewa', '12 Jul 10:15 pm', 'Kesbewa, Colombo', '11,000,000', 'Newly built In Kesbewa Batuwanthara 5meters to the main road (Piliyandala bandaragama)4 km to Kesbewa town 3 bedroom 1 bathroom with hot wAter Living and dining Kitchen with pantry Servant toilet Remote door with garageFinishing roof and 2x2 tiled Surrounding parapet wall Has electricity and wAter', 'batuwanthara, kesbewa', '3', '1', '1,400.0 sqft', '6.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale Kahathuduwa,14 Jun  7:11 pm,"Kesbewa, Colombo","7,600,000",3 Bedrooms 2 Bathrooms12.75 PerchLiving area/ Dining area/ Veranda2 Kitchen with Pantry cupboard Store RoomGarden Garage Wall & GateFully Tiled & Ceiling Well water & Pipe Born waterElectricity - Telephone 500m to Piliyandala Bus route 1.5km to 120 Horana Colombo Main Bus Route &  Highway Entrance Completed HousePrice :- 76 lks,Kahathuduwa,3,2,"1,650.0 sqft",12.75 perches
4,House For Sale In Polgasowita,13 Jul 12:14 pm,"Kesbewa, Colombo","7,000,000","පොල්ගස්ඕවිට, අම්බලන්ගොඩ පර්චස් 20ක වෙල් යායකට මායිම්ව පිහිටි නිවස විකිනීමට ඇත 🔯🔯🔯","පොල්ගස්ඕවිට, අම්බලන්ගොඩ",3,1,"1,800.0 sqft",20.0 perches
5,House for Sale in Kesbewa,26 Jun 10:04 am,"Kesbewa, Colombo","7,800,000","කැස්බෑව මාකන්දන අංගසම්පූර්ණ නිවස ළිං ජලය නළ ජලය සහිතව පර්චස් 10බණ්ඩාරගම , කොළඹ පාරට මීටර් 50යිතාප්ප දමා ටයිල් කර ඇත. ආලින්දය සාලය, නිදන කාමර 3 යි , ස්ටෝරු කාමර 1 පැන්ට්‍රිය ඇතුලත, බාත් රූම් සහ පිටත  වැසිකිලිය. COC යෝග්‍යතා සහතිකය",කැස්බෑව මාකන්දන,3,2,"1,275.0 sqft",10.0 perches
6,Brand New | Spacious House for sale Kesbewa,19 Jul 11:52 pm,"Kesbewa, Colombo","10,800,000",Brand New | Spacious | House for sale @ Kesbewa,Kesbewa - kindelpitiya,3,1,"1,650.0 sqft",10.0 perches
7,Brand New | Spacious House for sale Kesbewa,19 Jul 11:40 pm,"Kesbewa, Colombo","10,800,000",Brand New | Spacious | House for sale @ Kesbewa,Kesbewa - kindelpitiya,3,1,"1,650.0 sqft",10.0 perches
8,House New Tow Story for Sale in Kesbewa,19 Jul 10:01 pm,"Kesbewa, Colombo","20,500,000",20.5 MILLION kesbewa Brend New tow story house for seleAc..... solar hot water.... CCT camera 500 miters 120 bus rd 1km piliyandala town,kesbewa 120 rd,4,3,"2,200.0 sqft",7.0 perches
9,Single New House for Sale in Kesbewa,18 Jul 10:29 pm,"Kesbewa, Colombo","11,000,000","Barnd New Singleh Story House For Sale in Bandaragama Road Makandara -Kesbewa------------------------*Its a New Single story house on 11perches  and is 1,550 sq ft.","Bandaragama Road, makandara, kesbewa",3,2,"1,550.0 sqft",11.0 perches
