,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Modern Luxury 2 Story House for Sale in Pamunuwa road - Maharagama,16 Jul  4:01 pm,"Maharagama, Colombo","32,000,000","Modern luxury 2 story house on 13.5 perches and is 2875 sqftHighly residential area, which is surrounded by very good neighbourhood",4,3,"2,875.0 sqft",13.5 perches,
2,"['Modern Luxury 2 Story House for Sale in Pamunuwa road - Maharagama', '16 Jul  4:01 pm', 'Maharagama, Colombo', '32,000,000', 'Modern luxury 2 story house on 13.5 perches and is 2875 sqftHighly residential area, which is surrounded by very good neighbourhood', '4', '3', '2,875.0 sqft', '13.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Upstair Modern House Maharagama,19 Jul 11:16 pm,"Maharagama, Colombo","14,000,000",Real Solutions for your Real Estate Needs,MAHARAGAMA  PILIYANADALA ROAD ARRAWWALA EGODAWATTA,2,1,"2,700.0 sqft",7.0 perches
4,15Perch land with brand new two storey house - Maharagama,13 Jul  3:58 pm,"Maharagama, Colombo","19,500,000","15 Perch Land  with Brand New Two Storey House for Sale in Maharagama Gammana Road. 3 Bedrooms 2 Bathrooms Servant Room, Pantry and Large Vehicle Parking Space. Fully Tiled.300m to High Level Road. 1km to Maharagama Town",3,2,"1,300.0 sqft",15.0 perches,
5,House For Sale In Maharagama, 4 Jul  1:04 pm,"Maharagama, Colombo","22,500,000",පදිංචියට මෙන්ම ආයෝජනයකට වඩා සුදුසුයි.,"Daham Mawatha  ,  Maharagama",10+,2,"1,700.0 sqft",10.0 perches
6,House for Sale Pansala Para Maharagama,16 Jul 11:22 am,"Maharagama, Colombo","17,000,000",Located in a highly residential Area in  Maharagama,Pansala para maharagama,4,2,"3,000.0 sqft",12.0 perches
7,Three Story House for Sale - Maharagama,21 Jul  7:57 am,"Maharagama, Colombo","35,000,000",Under Construction Modern House for Sale in Maharagama500 meters to Maharagama150 meters to CIB Shopping Mall1 Km to Jayawardenapura Hospital  05 Bed rooms02 Main Bathrooms and 02 Servant's BathroomsDining RoomLiving AreaPantryRoof top areaGarage (for two vehicles),5,2,"3,334.0 sqft",10.0 perches,
8,Modern Luxury 2 Story House for Sale in Pamunuwa road - Maharagama,16 Jul  4:01 pm,"Maharagama, Colombo","32,000,000","Modern luxury 2 story house on 13.5 perches and is 2875 sqftHighly residential area, which is surrounded by very good neighbourhood",4,3,"2,875.0 sqft",13.5 perches,
9,2 Storey Brand New 8 P House for Sale in Maharagama Twon,21 Jul  7:44 am,"Maharagama, Colombo","22,500,000",2 storey Brand New 8P House For Sale in maharagama twon,Maharagama twon,4,3,"2,550.0 sqft",8.0 perches
10,"House for Sale in - Maharagama,Pannipitiya (old road)",14 Jul  7:21 pm,"Maharagama, Colombo","29,000,000",Two Story House with Separate Water Meters and Power Supplies for Each Floor.Tile & Terrazzo .Roller Door.3 Vehicle Parking Facilities.200m to High Level Road.,8,6,"3,000.0 sqft",18.5 perches,
11,House for Sale - Maharagama,21 Jul 11:51 am,"Maharagama, Colombo","17,500,000","Kamara 4,thanimahal niwasa,adi20 para,Maharagamata 2km,Bokundarata 2km,arawwala pasala asala.Mila kathakaragatha haka,call for  more details.","arawwala,pannipitiya",4,2,"1,650.0 sqft",12.5 perches
12,House for Sale in Maharagama,20 Jul  2:47 pm,"Maharagama, Colombo","19,500,000",HOUSE FOR SALE IN MAHARAGAMA8 PERCHESHighly residential area and very calm surrounding.       For Quickly Sell,L-MAHARAGAMA-05,3,4,"1,300.0 sqft",8.0 perches
13,Newly Built House for Sale in Navinna,20 Jul  2:03 pm,"Maharagama, Colombo","55,000,000","5 BedRooms. 4 bathrooms (2 attached). servent bathroom and servent bedroom# Tv lobby, dining hall,Beautiful modern kitchen, Pantry cupboards. Solar hot water,cctv, roller gate,# 3 Veranda, Landscaped Garden. Open concept. # vehicles parking space is 1 or 2, tow roller shutter. # 1500 sqft roof top, aluminum sliding windows # doors Genuine wood teak # 1. 3 km to maharagama # 500 meters to Navinna. # 20 meters to Polwaththa rd# Face to 20 feet carpet road",navinna,5,4,"4,100.0 sqft",11.0 perches
14,House Sale in Maharagama,20 Jul 11:56 am,"Maharagama, Colombo","27,500,000",HOUSE SALE IN MAHARAGAMANILAMMAHARA ROAD2 STORIED HOUSE275 LAKSHighly residential area and very calm surrounding.       For Quickly Sell,H-MAHARAGAMA-03,4,2,"1,800.0 sqft",12.9 perches
15,Upstair Modern House Maharagama,19 Jul 11:16 pm,"Maharagama, Colombo","14,000,000",Real Solutions for your Real Estate Needs,MAHARAGAMA  PILIYANADALA ROAD ARRAWWALA EGODAWATTA,2,1,"2,700.0 sqft",7.0 perches
16,Brand New Super Luxury House Sale in Maharagama,19 Jul  8:01 am,"Maharagama, Colombo","42,000,000",2Storey Brand new Super Luxury House for Sale in maharagama,maharagama pathiragoda road,4,4,"4,000.0 sqft",10.0 perches
17,House For Sale - Maharagama,18 Jul 11:03 am,"Maharagama, Colombo","17,200,000",Good new house for sale in mahayaya waththa road maharagama1.km piliyanadala maharagama road700.mt 296 kottawa piliyandala road4.km maharagama town4.7 km piliyandala town,Mahayaya Waththa Road Maharagama,4,2,"1,700.0 sqft",13.0 perches
