,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Malabe Architect Designed New House For Sale / Kahanthota Road,27 Jul 10:38 am,"Malabe, Colombo","21,000,000",Architect Designed Brand New 7P House For Sale in Malabe - Kahanthota Road,200 meters To 689 Nugegoda - Hokandara bus Route,4,3,"2,850.0 sqft",7.0 perches
2,"['Malabe Architect Designed New House For Sale / Kahanthota Road', '27 Jul 10:38 am', 'Malabe, Colombo', '21,000,000', 'Architect Designed Brand New 7P House For Sale in Malabe - Kahanthota Road', '200 meters To 689 Nugegoda - Hokandara bus Route', '4', '3', '2,850.0 sqft', '7.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Bard New House For Sale - Malabe,26 Jul  2:34 pm,"Malabe, Colombo","24,000,000","The main Purpose to build the new House is for dwelling sudden decision of Migrating makes the House to Sell.Land Extent 10.25 Perches .-------------------------------------------*5 Bed Rooms (2 Ac Units) *4 Bath Rooms (Hot Water)*Beautiful Full Pantry with Table Top & Hot Water*Ironing Room or Study Room in Upper Floor*Separate Upper Tv Lobby*Car Porch*Living Room*Dining Room*Terrace with Balconies*Solar With Hot Water*Clay Brick Walls*Finishing Roof with Wooden Ceiling*Top Class Timber for Door Windows with Jat Water Base*Rocell Tiles & Rocell Bath Fittings*Parapet Wall with Elcardo Roller Door (With Remote)*Duel Car Park*Maiden Room with Separate out side Toilet*Separate Space for Washing Machine*Beautiful Land scapingApproximately 15minutes drive to Malabe & Battharamulla,athurugiriya,Close to CINEC & Dr Nevil Fernando Hospital Approximately 10minutes drive to Kaduwela Highway.260Laks. Price can be Negotiable.QUICK SALE. CALL & APPOINTMENT ONLY. PlEASE NO BROKERS.......","kahanthota Road, Malabe",5,4,"2,800.0 sqft",10.25 perches
4,Brand New Two Storied House at Malabe,30 Jul 10:37 am,"Malabe, Colombo","26,000,000","Brand New Two storied house @ Kahanthota Road, Malabe.08 Perches with Landscaped garden area.","Rathnarama Road, Malabe",5,5,"4,000.0 sqft",8.0 perches
5,B / New Single Storied House in Malabe,30 Jul 10:34 am,"Malabe, Colombo","11,800,000","Single Storied House For Sale In Kahanthota Road, Malabe.8 Perches Landscaped garden area.","Kahanthota Rd, Malabe.",3,3,"1,500.0 sqft",8.0 perches
6,Brand New House for Sale in Malabe,24 Jul 10:10 am,"Malabe, Colombo","16,000,000","The house situated in Kahantota Road, Calm and best residential area. The house is fully tiled, Finishing high roof, Kitchen with modern pantry cupboard, Master bed room with attached bath room, servant toilet, Garage, Inside parking for 2 vehicles, Roller gate. BERYL will provide you personalized, trust worthy service at all the time.","Kahantota Road, Malabe",3,2,"1,500.0 sqft",10.0 perches
7,House with Land for Sale - Malabe,30 Jul  9:48 am,"Malabe, Colombo","35,000,000",House with Land for sale in Malabe,Malabe,3,1,"1,450.0 sqft",15.0 perches
8,House For Sale In Malabe - 16 Perches,30 Jul  7:56 am,"Malabe, Colombo","31,000,000",16 perches luxury house. **700 meters for Main Road ( Malabe Athurugiriya Road. 190/170 bus route),pothuwarawa Road Malabe,5,4,"3,900.0 sqft",16.0 perches
9,House for Sale Malabe,30 Jul 12:34 am,"Malabe, Colombo","18,000,000",House for sale 1.Two story house 2. Living area with open dining 3.kitchen with pantry 4.Master bedroom with attached bathroom5.Bedrooms -03Nos.6.Separate bathroom 7.Servant's room with servants toilet Walking distance to Sliit university and very close to nevilfernando hospital Horizon and CINEC,4,2,"2,200.0 sqft",6.5 perches,
