,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Mount Lavinia,22 Jun  8:22 am,"Mount Lavinia, Colombo","27,500,000",Luxury House for sale,"Casia Mawatha, MountLavinia",4,4,"2,750.0 sqft",10.0 perches
2,"['House for Sale in Mount Lavinia', '22 Jun  8:22 am', 'Mount Lavinia, Colombo', '27,500,000', 'Luxury House for sale', 'Casia Mawatha, MountLavinia', '4', '4', '2,750.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,"Luxury House for Sale in Mount Lavinia, Gemunu Mawatha",29 Jul  2:46 pm,"Mount Lavinia, Colombo","27,000,000",This newly built contemporary home spreads over an area of 2190sqft in a 7 perch property.,4,4,"2,190.0 sqft",7.0 perches,
4,House For Sale - Mt Lavinia,29 Jul  8:44 am,"Mount Lavinia, Colombo","11,500,000","Old House for Sale in Bakery Junction, Mount Lavinia. Can renovate and use the house. Curently house is consist with;",3,1,900.0 sqft,8.0 perches,
5,"Luxury House for Sale in Mount Lavinia, Gemunu Mawatha",29 Jul  2:46 pm,"Mount Lavinia, Colombo","27,000,000",This newly built contemporary home spreads over an area of 2190sqft in a 7 perch property.,4,4,"2,190.0 sqft",7.0 perches,
6,Luxury House for Sale in Mt Lavinia,27 Jul  1:06 pm,"Mount Lavinia, Colombo","39,000,000",Temple's square Kelsey Homes  For Sale in Mt Lavinia ,"Temple's square Soysa mawatha, mount lavinia",4,4,"2,150.0 sqft",6.0 perches
7,House for Sale - Mount Lavinia,27 Jul 11:09 am,"Mount Lavinia, Colombo","42,000,000",02 Story 02 Unit House Sale At Mount Lavinia ,30 Feet 1st Cross Lane Templers Road Mount Lavinea,7,4,"4,020.0 sqft",10.07 perches
8,Mount Lavinia House for Sale - HH620,27 Jul 10:55 am,"Mount Lavinia, Colombo","32,000,000","BEAUTIFUL UNIQUE 2 STORIED HOUSE AT ABEYSEKARA ROAD, MOUNT LAVINIA.",4,4,"3,000.0 sqft",6.8 perches,
9,Brand New modern House in Mt Lavinia for sale,27 Jul  9:14 am,"Mount Lavinia, Colombo","29,000,000",4 bedroom 4 bathroom three with attach 1 common hall modern kitchen fully tiled parking for two vehicles remote Gate garden area 250 feet Wide Road facing clear title brand new sale price 29 million,privana road ratmalana,4,4,"2,500.0 sqft",4.0 perches
10,House For Sale In Mt. Lavinia,25 Jul 11:03 am,"Mount Lavinia, Colombo","27,500,000",3 A/c rooms1 non A/c room3 bath rooms2 vehicles parking garaj1 maid toiletRoof top300 meters from Attidiya main road.,"Mt. Lavinia, Attidiya Road",4,3,"3,000.0 sqft",12.0 perches
11,Twin House for Sale in Mt. Lavinia,21 Jul  9:59 pm,"Mount Lavinia, Colombo","120,000,000",• Our Reference No SH 10265( Please quote this reference number when inquiring),Mt. Lavinia,9,7,"5,355.0 sqft",14.75 perches
12,House for Sale in - Mount Lavinia,26 Jul  8:47 pm,"Mount Lavinia, Colombo","37,500,000",OWNER MIGRATING 2 Units House ,10350. Mount Lavinia,5,5,"2,200.0 sqft",8.5 perches
13,Land with An Old House for Sale in Mount Lavinia,20 Jul 11:43 am,"Mount Lavinia, Colombo","25,000,000","An old single story house built on 9.53 perches available down Dakshinarama road, Mount Lavinia.",3,2,"1,200.0 sqft",9.53 perches,
14,03 Story House & 25.5 P Sale Mt.lavinia,18 Jul 11:45 pm,"Mount Lavinia, Colombo","135,000,000",03 STORIED ARCHITECT DESIGN SUPER LUXURY HOUSE & 25.5 P SALE AT MT LAVINIA  ,150 METERS TO GALLE ROAD MT.LAVINEA,5,5,"6,000.0 sqft",25.5 perches
