,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,24.5 Perches Single Storied House for Sale - Nugegoda, 8 Jul 12:43 pm,"Nugegoda, Colombo","150,000,000","24.5 PERCHES SINGAL STORIED WELL MAINTAINED COLONIAL TYPE HOUSE WITH ALL FACILITIES, CLOSE INTERNATIONAL AND GOVERNMENT SCHOOLS, SHOPPING MALLS, BANK'S, RESTAURANTS, MEDICAL CENTER, PRIVATE CLASSES, 20 MINUTES DRIVE TO HIGHWAY, 15 MINUTES DRIVE TO DEHIWALA JUNCTION, 15 MINUTES DRIVE TO KALUBOVILA HOSPITAL, MANY ACCESS ROAD WAY. ",NUGEGODA,5,5,"4,000.0 sqft",24.5 perches
2,"['24.5 Perches Single Storied House for Sale - Nugegoda', ' 8 Jul 12:43 pm', 'Nugegoda, Colombo', '150,000,000', ""24.5 PERCHES SINGAL STORIED WELL MAINTAINED COLONIAL TYPE HOUSE WITH ALL FACILITIES, CLOSE INTERNATIONAL AND GOVERNMENT SCHOOLS, SHOPPING MALLS, BANK'S, RESTAURANTS, MEDICAL CENTER, PRIVATE CLASSES, 20 MINUTES DRIVE TO HIGHWAY, 15 MINUTES DRIVE TO DEHIWALA JUNCTION, 15 MINUTES DRIVE TO KALUBOVILA HOSPITAL, MANY ACCESS ROAD WAY. "", 'NUGEGODA', '5', '5', '4,000.0 sqft', '24.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New Luxury Three Story House Sale for Nugegoda,12 Jul  8:54 am,"Nugegoda, Colombo","45,000,000",Brand New Luxury Three Story House Sale For Nugegoda ,Mirihana,4,5,"3,500.0 sqft",7.0 perches
4,Three Storey House For Sale In Wijerama With 16 Perches,16 Jul  5:06 pm,"Nugegoda, Colombo","60,000,000",Modern 3 storey house for sale in Wijerama facing Soratha Mawatha with 16 perches.Ample parking available.Suitable for residential/commercial purposes.,10+,4,"3,500.0 sqft",16.0 perches,
5,Brand New 02 Story House & 11 P for Sale in Nugegoda,21 Jul 12:56 pm,"Nugegoda, Colombo","40,000,000",Two Story Brand New Modern House Sale At Wejerama Nugegoda  Land Size 11 Perchers ,250 Meters To High Level Road Wejerama,5,4,"2,900.0 sqft",11.0 perches
6,House for Sale in - Nugegoda Mirihana Bodhiya Rd, 3 Jul 12:28 pm,"Nugegoda, Colombo","47,500,000",cut and paste below for more pictureshttps://www.dropbox.com/sh/0gdmtt4q8tcyac9/AACPkXQjA-oAdKWJ5ZFcyFM6a?dl=0,4,3,"4,000.0 sqft",18.5 perches,
7,Luxury 03 Story House Sale - Nugegoda,21 Jul 11:15 am,"Nugegoda, Colombo","120,000,000","Luxury 03 Story House Sale At Delkanda,Nugegoda","Railway Station Road Delkanda,Nugegoda",5,5,"6,000.0 sqft",15.0 perches
8,4 Story House Quick Sale at Chapel Lane Nugegoda,21 Jul  8:08 am,"Nugegoda, Colombo","150,000,000",4 Story House Quick Sale at Chapel Lane Nugegoda.,Chapel Lane Old Kesbewa Road Nugegoda .,9,7,"6,500.0 sqft",8.0 perches
9,House for Sale - Ebuldeniya.,20 Jul 10:51 pm,"Nugegoda, Colombo","19,600,000","2 Story House Quick Sale at Madiwela Road, Ebuldeniya.","Madiwela Road, Ebuldeniya.",4,4,"2,650.0 sqft",9.5 perches
10,Architecturally Designed House for Sale - Nugegoda,13 Jul  8:37 pm,"Nugegoda, Colombo","32,000,000",-	Three story house-	9.7 perches-	4 bedrooms-	2 bathrooms-	Servants quarters with separate bathroom-	Parking 2-3 vehicles-	Indoor courtyard-	3 phase electricity-	Pantry-	overhead water storage-	Floor area 3000sq feet-	1 large balcony for entertainment and 2 smaller balconies.-	Rooftop covered terrace for entertainment-	High walls around the house with gate.-	Walking distance to nugegoda & pitakotte junction-	Separate storage area-	Price Rs.32Million-	Please call to arrange a time to inspect the house.,"Pagoda, Nugegoda",4,2,"3,000.0 sqft",9.7 perches
11,House For Sale - Nugegoda,20 Jul  5:34 pm,"Nugegoda, Colombo","27,500,000","Two story house for sale in Nugegoda Maddumagewatta Housing Scheme.* 5 minutes away from from Nugegoda junction* Main hall with sitting area* Dining hall with Pantry* Kitchen * 3 Bedrooms :  One Master Bed room with attached bathroom  with hot water shower & AC  Two Bed rooms ( 1 with AC ) with 1 common bathroom , hot water shower*  One Servant bathroom* Three phase power supply * Celling Fans , good electrical fittings* Big Garage small Garden spaceTotal square ft : 1800Price : 275 Lakhs","B-15, Maddumagewatta, Nugegoda",3,3,"1,000.0 sqft",5.5 perches
12,02 STORY NEW HOUSE With 22 P EBULDENYA,20 Jul  3:25 pm,"Nugegoda, Colombo","100,000,000",TWO STORY MODERN HOUSE SALE AT EMBULDENEYA NUGEGODA,300 METERS TO EBULDENEYA JUNCTION NUGEGODA,6,5,"6,000.0 sqft",22.0 perches
13,House For Rent Nugegoda Raymond Road,20 Jul 10:35 am,"Nugegoda, Colombo","120,000",Can be used for commercial purposes2 minutes walk to Nugegoda junction / highlevel road & Nugegoda Town. Bawa inspired architecture,5,4,"2,500.0 sqft",8.0 perches,
14,Wijerama | Nugegoda House for Sale - HH717,20 Jul  8:21 am,"Nugegoda, Colombo","59,000,000","An exceptional architect designed house in Wijerama, Nugegoda",5,5,"5,500.0 sqft",12.0 perches,
15,Two units | House for sale Pepiliyana,19 Jul 11:22 pm,"Nugegoda, Colombo","24,500,000","Two units | House for sale @ Pepiliyana________________________________Land & Floor Area -10 perches, (2550sq,ft)________________________• -  5 bedrooms ,with 4 wash rooms• -  2 living, 2 Dining with TV area• -  front & rear terrace with balconies  • -  Separate entrance & electricity• -  Can be used as 3 units • -  Ceiling fans / pipe born water with over head 2 tanks• - solid wooden interior & exterior • - entire house made by 9 inch bricks wall 	• - calm & quiet residential area	 • - 20 Feet Wide Access Road• - right-round parapet wall with sliding Gate• - parking space for 3 vehicles• - walking distance to Dehiwala ,papeliyana main rd• - very closed proximity to Kohuwala city limit___________________________________More photos - www.kpproperty.lk",near pepiliyana city limit,5,4,"2,550.0 sqft",10.0 perches
16,"| 3 storied with furniture House for sale Embuldeniya, Nugegoda",19 Jul 10:37 pm,"Nugegoda, Colombo","37,500,000","Beautiful | 3 storied | with furniture | House for sale @ Embuldeniya, Nugegoda---------------------------------------------------------------------------------------------------------------Land & Floor Area -12 perches, (3000 + 700 sq,ft)--------------------------------------------------------------------------Bedrooms -",near jayawardanapura Hospital,5,3,"3,700.0 sqft",12.0 perches
17,House for Sale in Nugegoda,19 Jul  4:32 pm,"Nugegoda, Colombo","150,000,000","HIGHLY RESIDENTIAL AREA, 2 HOUSES, LARGE LIVING ROOM, TV ROOM, LARGE PANTRY & KITCHEN. IDEAL PROPERTY TO BUILD YOUR MANSION. WALKING DISTANCE TO HIGH LEVEL ROAD AND NUGEGODA TOWN, PROBABLY THE HIGHEST LEVEL IN COLOMBO.GENUINE BUYERS ONLY.",Nugegoda,5,3,"4,500.0 sqft",27.8 perches
18,Single Story House and 26.85 P Sale Nugegoda,19 Jul 12:03 pm,"Nugegoda, Colombo","67,500,000",PRICE 2.514 M ( 2514000.00 LAKHS )PER PERCH(TOTAL 675 LAKHS )Negotiable,50 METERS TO PVT ROAD / EKWATHA ROAD  JUBBLI POST NUGEGODA,4,4,"2,500.0 sqft",26.85 perches
19,02 Story House & 23.8 P Sale Wejerama,19 Jul  8:53 am,"Nugegoda, Colombo","47,500,000",Rs 47500000.00 LAKHSTOTAL PRICENegotiable,RUBBER WATHA ROAD WEJERAMA NUGEGODA,6,2,"3,500.0 sqft",23.8 perches
