,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Single Storied 2BR House for Sale in Dompe, 9 Jul  9:39 am,"Delgoda, Gampaha","2,700,000",Single Storied 2BR House for Sale in Dompe10 Perches1000 Sq.Ft.2 BedroomsLiving AreaDining RoomKitchen1 BathroomToiletBuilt in 201810Ft. Access Road1.8km to Colombo-Pugoda RoadUrgent SaleNo BrokersSelling Price: Rs.27 LakhsCall for More Details,Mapitigama Road,2,1,"1,000.0 sqft",10.0 perches
2,"['Single Storied 2BR House for Sale in Dompe', ' 9 Jul  9:39 am', 'Delgoda, Gampaha', '2,700,000', 'Single Storied 2BR House for Sale in Dompe10 Perches1000 Sq.Ft.2 BedroomsLiving AreaDining RoomKitchen1 BathroomToiletBuilt in 201810Ft. Access Road1.8km to Colombo-Pugoda RoadUrgent SaleNo BrokersSelling Price: Rs.27 LakhsCall for More Details', 'Mapitigama Road', '2', '1', '1,000.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Brand New House for Sale in Delgoda Town,22 Jul 10:46 am,"Delgoda, Gampaha","12,300,000",Completed project at Delgoda Town,"330/I Alubowila Road, Delgoda",3,2,"1,465.0 sqft",10.0 perches
4,Delgoda House Sale,19 Jul 10:21 am,"Delgoda, Gampaha","6,000,000",kamara 4i kema kamara 1i pitatha nana kamaraya sahitha sampurana kala niwasa ikmanin vikinimata niwasa idikara aurudu 2k pamanai pradana parata 800m,4,1,"1,500.0 sqft",17.5 perches,
5,Aඅලුත් මහල් නිවස විකිණීමට කඩුවෙල දෙල්ගොඩ,24 Jul  9:02 pm,"Delgoda, Gampaha","16,500,000","පර්චස් 34ක් සහිත ඉඩමේ, පර්චස් 20 පුරා ඉදිවූ, වර්ගඅඩි 4428 සහිත, සියළුම වැඩ නිමකල, අංග සම්පූර්ණ නිවස,   අත්පිටමුදල් ඉක්මන් ගැණුම් කරුවෙකුට දෙමි..(කල් නොයන ලෝන් ඇත්නම් කථා කරන්න)..",නව නුවරපාර දෙල්ගොඩ,5,4,"4,438.0 sqft",34.0 perches
6,House for Sale in Delgoda,28 Jul  9:54 am,"Delgoda, Gampaha","36,000,000",40 perches land and house 08 bedroom and 04 bathrooms ideal for hotels and restaurants. Guest Houses. Parapat wall and gate immediately for sale.,domapa towan,8,4,"7,500.0 sqft",40.0 perches
7,Two Story House for Sale in - Delgoda,26 Jul 12:39 pm,"Delgoda, Gampaha","37,500,000",150 meters to New Kandy Road800 meters to Delgoda Town06 Bed rooms02 Main Bathrooms and 02 Dining RoomLiving AreaPantryRoof top area,6,2,"3,500.0 sqft",55.0 perches,
8,House for Sale - Dompe,26 Jul  8:30 am,"Delgoda, Gampaha","10,000,000",දොාම්පෙ නගරයට අාසන්නව 224 බස් පාරට මිටර 200ක දුරින් දෙමහල් නිවසක් විකිණීමට අැත. 75% ක පමණ වැඩ අවසන් කර අැත. ඉඩම පර්චස් 15 යි. මිල ලක්ෂ 100 යි. සාකචිචා කර ගත හැක.,4,2,"3,000.0 sqft",15.0 perches,
9,Brand New House for Sale in Delgoda Town,22 Jul 10:46 am,"Delgoda, Gampaha","12,300,000",Completed project at Delgoda Town,"330/I Alubowila Road, Delgoda",3,2,"1,465.0 sqft",10.0 perches
10,House for Sale in - Delgoda,20 Jul 11:01 am,"Delgoda, Gampaha","7,000,000","ගම්පහ - උඩුපිල අකුරුමුල්ල  ප්‍රදේශයේ අඩක් නිමකරන ලද නිවසක් ඉක්මනින් විකිණීමට පර්චස් 10 ඉඩමනිදනකාමර 02නානකාමර 01රථගාල 01ළිං ජලය, නල ජලය සහ විදුලියදෙල්ගොඩ නගරයට 2.5KM හා වැලිවේරිය නගරයට 3.5KMනිරවුල් ඔප්පු වැඩි විස්තර සඳහා අමතන්න",2,1,"1,376.0 sqft",10.0 perches,
11,House for Sale in Delgoda.,18 Jul  3:29 pm,"Delgoda, Gampaha","8,500,000",ප්‍රධාන පාරේ සිට 100m ක් දුරින් පිහිටා ඇත.,"No.338/5, Dikwela road, Siyambalape.",3,1,"4,575.0 sqft",16.0 perches
12,House For Sale in Udumapitigama,18 Jul 12:58 pm,"Delgoda, Gampaha","2,800,000","දොම්පෙ, උඩුමාපිටිගම, හංවැල්ල පාරේ50m ක් පමණ ගියවිට නො.71/Bපර්චස් 10 ඉඩම සමඟ අංගසම්පූර්ණ නිවසවැරැන්ඩා එක, සාලයනිදන කාමර 2නාන කාමරයකෑම කාමරයමුළුතැන්ගෙය ආදීසියළු පහසුකම් සහිත වර්ග අඩි 750 පමණ නිවස වහා විකිණීමට.මිල ලක්ෂ 28","Hanwalla Road, Udumapitigama, Dompe",2,1,750.0 sqft,10.0 perches
13,"Brand New House for Sale at Delgoda, Gampaha.",23 Jul 10:06 am,"Delgoda, Gampaha","6,250,000","Brand New House for Sale at Delgoda, Gampaha. just 100 meters away from Walgama junction. 1.5 km to udupila junction and New Kandy Road. 2 km to Delgoda Town. built on 10 Perches Land with 1000 Sq.Ft Floor area.  Fully Tiled House with 2 bedrooms, bathroom, living and dining, kitchen, verandah with other facilities. Campus Wood roof and Mahogany Windows.",Delgoda,2,1,"1,000.0 sqft",10.0 perches
14,House with Land for Sale in - Delgoda,13 Jul 12:40 pm,"Delgoda, Gampaha","2,800,000",* House with land for sale. * Very peaceful environment and friendly neighborhood.* Having a.lot of space as a garden area.* House is with 2 bedrooms.If interested please contact via whatsapp or call. No time passers and ONLY serious buyers only.,"45/1, Siyamabalagahamulla Road, Kanduboda, Delgoda",2,1,816.75 sqft,6.0 perches
15,House for sale in Naranwala - Gampaha, 9 Jul  3:04 pm,"Delgoda, Gampaha","6,700,000","BRAND NEW HOUSE FOR SALE IN NARANWALA - GAMPAHA 10 PERCHES LAND 03 BEDROOMS 01 BATHROOM 01 SERVANT TOILET FULLY TILED AND CELLING WELL WATER ,  ELECTRICITY AND TELEPHONE PARAPET WALL AND GATE700 M TO NEW KANDY ROAD 2KM TO   DELGODA 2.5KM TO WELIWERIYA TOWN CLEAR DEED CALL FOR MORE INFORMATION PRICE CAN BE NEGOTIABLE -----------------------ගම්පහ - නාරංවල ප්‍රදේශයේ අලුතින් ඉදිකරන ලද නිවසක් ඉක්මනින් විකිණීමට පර්චස් 10 ඉඩමනිදනකාමර 03නානකාමර 01සේවක වැසිකිළි 01සම්පූර්ණ ටයිල් සහ සිවිලිම් වටතාප්ප සහ ගේට්ටු ළිං ජලය ,විදුලිය සහ දුරකථන පහසුකම් නව නුවර පාරට 700Mදෙල්ගොඩ නගරයට 2KMවැලිවේරිය නගරයට 2.5KMපිරිසිදු ඔප්පු වැඩි විස්තර සඳහා අමතන්න",Delgoda - Naranwala - Gampaha,3,2,"1,800.0 sqft",10.0 perches
16,House with Land for Sale in - Malwana, 9 Jul  8:54 am,"Delgoda, Gampaha","9,000,000",42parchas3 Br1 Br1400sqf,"248/1 Pahala Mapitigama, Malwana",3,1,"1,400.0 sqft",42.0 perches
17,house for sale at delgoda, 8 Jul  1:26 pm,"Delgoda, Gampaha","5,800,000",3 bed room kitchendining roomliving room tiled and civelin fixed600 ft tilled and finished roof verandacan parked car in varenda,"332/C, Mahena road, Udupila , Delgoda",3,2,"1,500.0 sqft",14.0 perches
18,House for Sale in Delgoda, 8 Jul 12:38 pm,"Delgoda, Gampaha","4,500,000",House for sale in Delgoda,Delgoda,3,1,"1,350.0 sqft",15.0 perches
19,Two Storied Half build house for Sale Delgoda, 6 Jul 10:23 am,"Delgoda, Gampaha","7,000,000",Half build house for sale 10 perches land in a peaceful residential area. ( Delgoda) Kaduwela Highway entrance 20 min.- 2 min Delgoda town 10ft roadHouse constructed with good materials Selling due to money requirement ,4,3,"3,200.0 sqft",10.0 perches,
20,House for Sale - Biyagama,20 Jul 11:18 am,"Delgoda, Gampaha","17,000,000",# new kandy road. # biyagama kalapayata 1km. # kadakabara sahitha demahal godanahilla. # niwasa idikara aththe demahal niwasak sadimata hakiwana paridi. # mulu watinakama laksha 170 (mila ganan katha kara gatha haka).,694/3 Yatihena Malwana (biyagama),2,1,969.0 sqft,13.0 perches
21,House For Sale in Gampaha | Kirindiwela, 3 Jul  2:25 pm,"Delgoda, Gampaha","2,800,000",ගම්පහ නගරයට ආසන්නව කාමර 3න් සමන්විත නිවසක් ඉතා ඉක්මනින් විකිනීමට තිබේ.,Gampaha | Kirindiwela,3,1,"1,584.0 sqft",9.5 perches
22,House For Sale in Pugoda, 2 Jul  1:38 pm,"Delgoda, Gampaha","7,000,000",House For Sale in Pugoda,Pugoda,3,2,"2,000.0 sqft",40.0 perches
23,House for Sale Delgoda,25 Jul  4:37 pm,"Delgoda, Gampaha","6,500,000",දෙල්ගොඩ නගරයට අාසන්නව නිවසක් විකිණිමට අැත. පර්චස් 11. ලක්ෂ 65 යි.,2,1,"1,500.0 sqft",11.0 perches,
24,House for Sale in Meegahawaththa, 9 Jul  7:51 am,"Delgoda, Gampaha","5,500,000","දෙල්ගොඩ මීගහවත්ත ප්‍රධාන පරට 1km දුරින් 7.5 ඉඩම සමග නිවස විකිණිමට ඇත කමර 3යි. සාලය, කුස්සිය ටයිල් කර ඇත. වට තාප්ප සමග ගේට්ටු සහිතයි. ඉක්මනින් විකිණිමට ඇත",DELGODA MEEGAHAWATHTHA,3,1,"1,200.0 sqft",7.5 perches
25,House for Sale in Delgoda Udupila., 1 Jul  2:31 pm,"Delgoda, Gampaha","8,500,000","අංග සම්පූර්ණ වැඩ නිමකළ නිදන කාමර 4 ක්, ගබබා කාමර 2 ක්, කෑම කාමරය, කුස්සිය, එක් නාන කාමරයක් සහිත වර්ග අඩි 2200 පමණ තනි තට්ටුවේ නිවස, පර්. 25 ක පමණ ඉඩමකි. වෙල් යායකට යාබද මනරම් පරිසරය, අඩි 12 තාර දෑමූ පාර, ලිං ජලය, අවශ්‍යනම් නල ජල පහසුකම්, දෙල්ගොඩ කොළඹ ප්‍රධාන පාරට 200m, කිරිබත්ගොඩට 10km, කඩවත අධිවේගී පිවිසුමට 8km, ගම්පහ නගරයට 13km, බියගම ආයෝජන ප්‍රවර්ධන කලාපයට 4km, රජයේ රෝහලට 1km, රජයේ පාසලට 1km, OKI ජාත්‍යන්තර පාසලට 2km, දුරකථන පහසුකම්.","Udupila, Delgoda.",6,1,"2,200.0 sqft",25.0 perches
26,Brand New Condition Two Story House - Delgoda,29 Jul 12:37 pm,"Delgoda, Gampaha","17,500,000",Selling due to migration ,Delgoda,4,2,"3,000.0 sqft",13.4 perches
27,House for Sale in Biyagama | Malwana,30 Jun  9:49 am,"Delgoda, Gampaha","7,000,000",House for sale in Biyagama | Malwana,Biyagama | Malwana,3,1,"1,500.0 sqft",12.0 perches
