,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,දිවුලපිටිය නගරාසන්නයෙන් නිවසක්, 7 Jul  8:26 am,"Divulapitiya, Gampaha","3,200,000","ඇතුළත බිම ටයිල් කර, මුළු ඉඩම තාප්පයෙන් වටකර ගේට්ටු දමා ඇත,අලිපේර, රබුටන්, අබ ඇතුළු පලතුරු, පොල් සහිතයි,ළිං - නළ ජලය, නිදහස් සාමකාමි පරිසරය,කොළබ - කුරුණෑගල 05 පාරට 800m ,දිවුලපිටිය රෝහල අසල,පදිංචියට සුදුසු අංගසම්පුර්ණ නිවාස.","219/38 සව්සිරි උයන, දිවුලපිටිය.",2,1,"1,250.0 sqft",12.5 perches
2,"['දිවුලපිටිය නගරාසන්නයෙන් නිවසක්', ' 7 Jul  8:26 am', 'Divulapitiya, Gampaha', '3,200,000', 'ඇතුළත බිම ටයිල් කර, මුළු ඉඩම තාප්පයෙන් වටකර ගේට්ටු දමා ඇත,අලිපේර, රබුටන්, අබ ඇතුළු පලතුරු, පොල් සහිතයි,ළිං - නළ ජලය, නිදහස් සාමකාමි පරිසරය,කොළබ - කුරුණෑගල 05 පාරට 800m ,දිවුලපිටිය රෝහල අසල,පදිංචියට සුදුසු අංගසම්පුර්ණ නිවාස.', '219/38 සව්සිරි උයන, දිවුලපිටිය.', '2', '1', '1,250.0 sqft', '12.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House For Sale In Gampaha, 4 Jul  1:17 pm,"Divulapitiya, Gampaha","3,700,000",16 perches950 SqftBedroom 02Bathroom 01DinningKitchenPantryElectricityWaterගමිපහ දිව්ලපිටිය පාරේ වෑපොළ කොරස උඩුගමිපොල පිහිටි ඉඩම සහිත අලුත්ම නිවස විකිණීමට සියලු පහසුකමි සහිතයි මුදල් හදිස්සියකට විකුණමි ගැණුමිකරැවන් පමණක් අමතන්න,Gampaha,2,1,950.0 sqft,16.0 perches
4,House and Land for Sale - Badalgama,21 Jul  3:55 pm,"Divulapitiya, Gampaha","5,800,000","********සාදාගෙන යන මෙම නිවස අංග සම්පුර්නව නිමකර ******(එනම් * සම්පුර්ණ නිවසටම සිවිලිම් ගසා * වැහි පිලි ගසා * වඩිම්ම්බු ගසා * ජලනල පද්ධති  සවිකර * ඉදිරිපස ගේට්ටුව දමා * සියලුම ජනෙල් දොරවල් දමා * ග්‍රිල් ගසා  )****** ඉතා ඉක්මනින් විකිණේ.**********කැට දමා බඳින ලද ලිඳ ,10x10 ප්‍රමාණයේ ගබඩා කාමරයක් සහ වැසිකිලියක්ද  ඇත..**********උසස් ප්‍රමිතියෙන් හා වාස්තු විද්‍යානුකුලව අධීක්ෂණයක් යටතේ වැඩ නිමකර ඇත.********(පරික්ෂා කිරීමෙන් පසුව මිල ගණන් සාකච්චා කර ගත හැක  )**********","Katukenda, Badalgama",3,1,"1,100.0 sqft",15.0 perches
5,House for Sale in Divulapitiya,20 Jul  3:21 pm,"Divulapitiya, Gampaha","4,750,000","# කොළඹ - කුරුණෑගල (05) ප්‍රධාන බස් මාර්ගයට යාබදව ( මීටර 600 ක් දුරින් ) , දිවුලපිටිය / මඩිත්තගම ප්‍රදේශයෙන් නිවසක් සමඟ පර්චස් 36 ක ඉඩම විකිණීමට තිබේ ..# වැඩි විස්තර සඳහා පහත අයිතිකරුගේ දූරකථන අ0කයෙන් විමසන්න ....# Four Rooms # Bathroom # 36 perches # 600m to the main road (Colombo kurunegala 05 main road) # Address Madiththagama Divulapitiya",Divulapitiya / Madiththagama,4,1,"1,600.0 sqft",36.0 perches
6,House for Sale in Minuwangoda,24 Jul  9:34 pm,"Divulapitiya, Gampaha","2,400,000","three bed rooms, spacious living room and attached bathroom, calm cool environment next to a paddy field. located in Gampaha Maradagahamula 273 bus rute, 1 km to Ballapana town, 3 km to Divulapitiya town 8 km to Minuwangoda.",3,1,"1,200.0 sqft",10.0 perches,
7,House for Sale in Divulapitiya,12 Jul  8:52 pm,"Divulapitiya, Gampaha","7,500,000",House for sale in Divulapitiya======================,3,1,"1,500.0 sqft",31.0 perches,
8,House for Sale Near Divulapitiya Town,29 Jul  2:53 pm,"Divulapitiya, Gampaha","2,900,000",Divulapitiya Town ekata Nudurinangasampurna Niwasa samaga 17ph idamaNirawul Sinnakkara OppuwaSiyalu Pahasukam samagin(pasal pansal post-office Ag-office athulu hama pahasukamakma 1km aduwen)Ganan Kathakaragatha heka...##Home##2 bed rooms (10x12)front porch10x20ft LivingDining room10x13ft larg kitcheninside bathroomoutside toiletShakthimath Gdol Biththi,"No199, Nawana Rada, Balagalla, Divulapitiya.",2,1,888.0 sqft,17.0 perches
9,House For Sale - Divulapitiya, 6 Jul  3:24 pm,"Divulapitiya, Gampaha","2,000,000","කොළඹ ,කුරුණෑගල (5)පාරට 1km බලපාන ,වේයන්ගොඩ බස් පාරට ආසන්නයේ කාමර 3,වට තාප්පය ගේට්ටුව ,නළ ජලය ,විදුලිය සියලු පහසුකම් සහිත නිවසක් මුදල් හදිසි නිසා අඩුම මිලකට ලක්ෂ 20/=","කොළඹ ,කුරුණෑගල (5)පාර බලපාන වේයන්ගොඩ පාර",3,1,"1,000.0 sqft",10.0 perches
10,House for Sale Divulapitiya, 6 Jul  2:09 pm,"Divulapitiya, Gampaha","2,500,000","දිවුලපිටිය ,ගම්පහ බස් පාරට 150m දිවුලපිටිය නගරයට 1 1/2 වැවගෙදර , කාමර 3 Bathroom 1 ටයිල්ස් ,Civilian සහිත අංග සම්පූර්ණ නිවසක් ,වැඩි ඉඩකඩක් සහිත ගෙමිදුල ,අඩි 30 වැඩි විසාල පාර (අත්පිට මුදලට පමණයි )","දිවුලපිටිය ,ගම්පහ පාර වැවගෙදර",3,1,"1,000.0 sqft",6.0 perches
