,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House For Sale in Jaela, 9 Jul  3:23 pm,"Ja-Ela, Gampaha","8,500,000","මෙන්න ඔබට අනගි අවස්ථාවක්""",3,1,"2,500.0 sqft",21.0 perches,
2,"['House For Sale in Jaela', ' 9 Jul  3:23 pm', 'Ja-Ela, Gampaha', '8,500,000', 'මෙන්න ඔබට අනගි අවස්ථාවක්""', '3', '1', '2,500.0 sqft', '21.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Ja Ela,13 Jul 11:35 am,"Ja-Ela, Gampaha","15,000,000",price  only 150 lakhs .,near air force camp ekala,4,3,"1,500.0 sqft",10.0 perches
4,3B House Immediate Sale In Kotugoda, 3 Jul  9:15 am,"Ja-Ela, Gampaha","9,000,000","Solid house located in very quit area . 3 Bed rooms, Large living and dinning area, kitchen and pantry, one store room, one bath room hot water unit and bath tub, car poach for three vehicles, separate 4  boarding rooms ( Annex) two toilets (seperate) and kitchen ( seperate) house only 2000 sq , ft., four boarding rooms 500 sq. ft., fully tiled . parapet wall right round and gate, Extra Gog Kenel . 20 feet access road, 21.25 perches., clear deed. Highly residential area and suites for commercial / Recidential purpose  just 50 meters to Kotugoda Seeduwa main road (opposite Kotugoda You Mart Suppermarket, 5 minutes drive to Seeduwa, 5 minutes drive Minuwangoda, 5 minutes drive to Jaela, 8 min to Gateway International collage Kurana and Air port Katunayaka . Please call for seen on appointment for more information and price, Genuine buyers only, no brokers,","Kotugoda,Seeduwa,Ja Ela,Katunayaka",3,1,"2,500.0 sqft",21.25 perches
5,Brand New Luxury Modern 3 Story House for Sale - Ja Ela,21 Jul 10:26 am,"Ja-Ela, Gampaha","23,000,000",BRAND NEW LUXURY MODERN 3 STORY HOUSE FOR SALE IN KADANA BATAGAMA RD,"Ja Ela,rilaulla Juntion,batagama Rd",3,2,"2,000.0 sqft",10.0 perches
6,New House for Sale Waligampitiya,10 Jul  9:40 am,"Ja-Ela, Gampaha","22,500,000",Good location close to grunge naturepark,waligampitiya jayela,4,3,"4,000.0 sqft",10.0 perches
7,Luxury House for sale in Ja-ela,12 Jul  3:20 pm,"Ja-Ela, Gampaha","19,000,000","Brand new Luxury House for sale  in lake city  Ja-elaCenter of Ja-ela cityFace to main road,Nice place to live with very Decent Neighborhood and  all the Facilities required for a Modem Happy Life>> A/C, Hot Water ,Land scape Garden parking space for 2 Vehicles.>> 05 minutes to Airport Colombo Highway Entrance.>> Very close to Colombo International Airport,>> 24 hours Security,>> Garbage Disposal system,>> Children park , Lake and swimming Pool.","Lake city, ja-ela",4,3,"2,900.0 sqft",6.5 perches
8,House for Sale - Ja Ela,13 Jul 12:53 pm,"Ja-Ela, Gampaha","12,500,000","Newly repaired house, immediately sale, not  Negotiate price",Millennium city Ekala jalea,5,3,"2,600.0 sqft",10.0 perches
9,Brand New Super Luxury 6 Br House for Sale in Ja Ela,20 Jul 11:46 am,"Ja-Ela, Gampaha","45,000,000",2Storey Brand new Super Luxury House for Sale in ja ela.,"Ja Ela, kanuwana junction",6,6,"4,890.0 sqft",20.0 perches
