,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Kiribathgoda - Kaduwela Rd,27 Jul  3:51 pm,"Kiribathgoda, Gampaha","6,700,000",කිරිබත්ගොඩ - කඩුවෙල මාර්ගයෙන්(කොට්ටුන්න පාරෙන්)කඩුවෙල දිශාවට සමීපව පිහිටිඅනර්ඝ නිවස විකිණීමට.,Kiribathgoda - Kaduwela Rd,3,1,"1,500.0 sqft",10.0 perches
2,"['House for Sale in Kiribathgoda - Kaduwela Rd', '27 Jul  3:51 pm', 'Kiribathgoda, Gampaha', '6,700,000', 'කිරිබත්ගොඩ - කඩුවෙල මාර්ගයෙන්(කොට්ටුන්න පාරෙන්)කඩුවෙල දිශාවට සමීපව පිහිටිඅනර්ඝ නිවස විකිණීමට.', 'Kiribathgoda - Kaduwela Rd', '3', '1', '1,500.0 sqft', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Makola,23 Jul  1:26 pm,"Kiribathgoda, Gampaha","7,500,000","2 storied house,  one house 3 bed rooms and 1 attached b.rm,1 servant b. rm. .another annex with 2 bed rooms and one attached b.rm. 14 perches land surrounded with boundry wall. 3 vehicles can park. Fully tiled. Concrete slab roof top available. Separate water and electricity for both houses.call for more details.7.5 million.Cash buyers welcome.",KIRIBATHGODA MAKOLA,3,2,"1,750.0 sqft",14.0 perches
4,පුංචිරෝමය - මීගමුව නගරය මැද නවීන නව නිවස, 7 Jul 12:36 pm,"Kiribathgoda, Gampaha","43,000,000","මීගමුව ප්‍රභූ පාරාදීසයක පුළුල් මාර්ග සහිත අලංකාර දෙමහල් නව නිවස %%%%%%%%%%%%%%%%%%%%%%%%%%%තාමත් කලාතුරකිනි ලැබෙන විරල අවස්ථාවක් ... .උසස් අමුද්‍රව්‍ය යොදා නිම කල නවීන නිවස හිමිකරගන්න.... ------------------------------------------------------ පුංචි රෝමය-මීගමුව නගරය මැද .. ------------------------------------------------------ Location;- negombo TOWN DECENT AREA.Very Good Residential Area with Good security.100 meters to COLOMBO Main Road 2 min to Nawaloka Hospital-General Hospital-Cargills- Kells Super- K F C- PIZZA HUT .BANKS-international Schools - GYM- 2 min to Negombo BUS STAND & TRAIN STATION.5 min to Negombo Tourist Area with Beach Front . 8 min to HIGHWAY & Airport.[ Good place for Residence or Business.]The Tourism Business is Very,Very Appropriate..# 10 perches# 4 BEDROOMS [ 2 Attached Bathrooms ]# 4 BATHROOMS - HOT WATER.# PANTRY with 2 KITCHENS # BUR.% BALCONY -LIVING- DINING AREA-VERANDA[ One time the 30 participants in the possible event Hall.එකවර 30කට සහභාගි වියහැකි ශාලාවක් ]SERVANT TOILETTAP LINE WATERParkingREMOTE CONTROL ROLLER DOORS.% ස්වාභාවික ආපදාවලින් තොර පරිසරයකි.Natural disaster, free of environment, is.[ Genuine Buyers Only.. ] 430 Lakhs. BRAND NEW.සියලුම නාගරික පහසුකම් සහිතව.– ආරක්ශිත වටපිටාවක්,– පිරිසිඳු ජලය..Our other all advertising know in order to - web : Sujith Real Estate please visit.අපගේ අනිකුත් සියලුම වෙළෙඳ දැන්වීම් දැන ගැනීම පිනිස - web: Sujith Real Estate වෙත පිවිසෙන්න .[ ඔබගේ සියලුම දේපල විකිණීම සදහා අප විසින් පුළුල් ප්‍රචාරයක් නොමිලේ ලබා දෙන්නෙමු.]ඉඩම් නිවාස ව්යාපාරික ස්ථාන විකුණා ගැනීමට හා මිලදී ගැනීමට- හෝ කුලියට දීමට හෝ කුලියට ලබාගැනීමට අවශ්ය නම් අති විශාල ගැණුම්කරුවන් ප්රමාණයක් අතරින් ඔබගේ ගැණුම්කරු සොයා දෙන්නෙමි.. .",negombo very decent area,4,4,"2,800.0 sqft",10.0 perches
5,"2 Story House for Sale in Kiribathgoda, Thembiligasmulla",28 Jul  9:43 am,"Kiribathgoda, Gampaha","30,000,000",Perch 16.16 Highly residence area makola rdColombo kandy bus route  1km  Rd100m to makola bus route ,"makola Road thembiligasmulla, Kiribathgoda",5,3,"3,500.0 sqft",12.25 perches
6,House for Sale in Kelaniya,27 Jul  5:58 pm,"Kiribathgoda, Gampaha","42,500,000",Newly Build HouseMain entrance koholwila road and Kelaniya temple road as well 900m to Kiribathgoda Junctionfacing to the 235 Bus routeNear to the dalugama church & RATHU PAALLIYA Church and 1km to the kelaniya temple.The wall around the house,"Polhena Road,Kelaniya,Kiribathgoda",5,4,"3,800.0 sqft",16.0 perches
7,2 Story Modern House for Sale - Kiribathgoda,27 Jul  2:25 pm,"Kiribathgoda, Gampaha","65,500,000","Naturally places New Morden 2Storey House For Sale in Kiribathgoda, makola, Galwala junction. ","Kiribathgoda, Makola, galwala junction",6,4,"4,600.0 sqft",52.0 perches
8,Newly Built Three-Storied House for Sale in Kiribathgoda,27 Jul  1:24 pm,"Kiribathgoda, Gampaha","25,000,000",Newly built three-storied house on 13-perch land situated at Iriyawetiya road in Kiribathgoda available for immediate sale. It has five living rooms with three attached bathrooms. Only 5 minutes drive to Kiribathgoda town.,"No.146/3, Nathuduwa, Kiribathgoda",5,3,"1,300.0 sqft",12.0 perches
9,House for Sale in Kiribathgoda,27 Jul 12:49 pm,"Kiribathgoda, Gampaha","12,800,000",Two Storey Luxury House for Sale close to Kiribathgoda & Kadawatha.03 Kms to Highway Entrance - Kadawatha,4,2,"3,000.0 sqft",20.0 perches,
