,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House with Business Place for Sale in - Negombo,18 Jul  6:19 pm,"Negombo, Gampaha","31,000,000","ව්‍යාපාරික ස්ථානය සහ දෙමහල් නිවස විකිනීමටRecently built house and a buisness place for sale and suitable for any buisness and separate two story house.Only 100m to Seeduwa Airport  road , 800m Chilaw Negombo road.2km to Airport and 2km to Highway entrance.2km to Export processing zone Katunayaka.Cemented roads.For urgent sale.friendly neighborhood.Call for more clarifications.",5,3,"4,500.0 sqft",14.0 perches,
2,"['House with Business Place for Sale in - Negombo', '18 Jul  6:19 pm', 'Negombo, Gampaha', '31,000,000', 'ව්\u200dයාපාරික ස්ථානය සහ දෙමහල් නිවස විකිනීමටRecently built house and a buisness place for sale and suitable for any buisness and separate two story house.Only 100m to Seeduwa Airport  road , 800m Chilaw Negombo road.2km to Airport and 2km to Highway entrance.2km to Export processing zone Katunayaka.Cemented roads.For urgent sale.friendly neighborhood.Call for more clarifications.', '5', '3', '4,500.0 sqft', '14.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House with Land in Negombo,22 Jul  9:42 am,"Negombo, Gampaha","4,750,000",Super 7.3 perch House land 2 room 1 bath room kitchen .negombo dalupatha clear dokiments.,2,1,"1,000.0 sqft",7.3 perches,
4,Brand New House for Sale - Negombo,24 Jul 12:56 pm,"Negombo, Gampaha","15,500,000",# 1Km to Colombo - Negombo (A3 Putlam Highway)# 3.5Km to Negombo Town# 20Ft Wide Road# Parapet Wall Done# 2 Access Gates# Car Poach# Varendha# Big Living Area# Dinning Area# 3 Bed Rooms# 2 Bath Rooms# Kitchen With Pantry Cupboards Fixed# Clear Deeds And Documents# Serious Buyers Welcome# Inspection Only With Prior Approvals,"Dalupotha, Negombo",3,2,"1,850.0 sqft",12.5 perches
5,2 Story 4 Br House for Sale - Negombo,28 Jul  9:27 pm,"Negombo, Gampaha","12,500,000",# 700M to Colombo - Negombo Road (A3 Putlam Highway)# 15Ft Wide Road# 9.5 Perches Land# Parapet Wall Done# This Is Up Stair House (Completed)# 4 Bed Rooms# 2 Bath Rooms# Living Area# Dinning Area# Varendha# Balconies# Car Poach With Remote Gate# Kitchen With Pantry Cupboards Done# TV Lounge# Super Residential Area# Clear Deeds# Inspection On Prior Approvals Only# Serious Buyers Only May Contact,"Dalupotha, Negombo",4,2,"2,250.0 sqft",9.5 perches
6,"2story House for Sale in Katana,negombo", 5 Jun  2:30 pm,"Negombo, Gampaha","7,000,000","මිගමුව - මීරිගම ප්‍රධාන බස් පාරට ආසන්නයේ (මාර්ග අංක 251 බස් මාර්ගයේ )කටාන කොන්ගොඩමුල්ල ලියෝ මාවතේ, පර්චස් 42 ඉඩමේ දෙමහල් නිවස විකිනීමට උඩුමහලේ කාමර 3 , පහල මහලේ කාමර 1 ,වැසිකිලිය ,දැනට නිවෙසේ 90 % වැඩ නිමකර ඇත.ඉක්මිනින් විකිනීමට.","Leo Mawatha,Kongodamulla, Katana",4,2,"1,400.0 sqft",42.0 perches
7,Luxury New House for Sale In Negombo,29 Jul 12:10 pm,"Negombo, Gampaha","14,500,000","Brand new luxury complete house for saleDalupatha, negombo3 bed rooms3 bath roomsLuxury pantry kitchen Sitting area Dining area 2 living area Balcony's Varanda Garden Car pouch Water line Remote roller gate 850m to Colombo and negombo main road 3 minutes to St. Nicholas International school and oki International school 5 minutes to loyala college 6 minutes to negombo beach with tourists hotels 8 minutes to negombo town and nawaloka hospital with maristalla college 18 minutes to airport CLEAR DEED","Dalupatha, negombo",3,3,"1,950.0 sqft",9.0 perches
8,Luxury New House for Sale in Negombo,29 Jul 11:56 am,"Negombo, Gampaha","13,500,000","Brand new luxury complete house for saleDalupatha, negombo3 bed rooms2 bath roomsLuxury pantry kitchenSitting areaDining areaLiving areaVarandaGardenCar pouchSolar hot waterRemote roller gateWater line900m to Colombo and negombo main road3 minutes to St. Nicholas International school and oki International school4 minutes to loyala college6 minutes to negombo beach with tourists hotels8 minutes to negombo town and nawaloka hospital with maristalla college18 minutes to airportCLEAR DEED","Dalupatha, negombo",3,2,"1,610.0 sqft",1.0 perches
9,Brand new House for sale - Negombo,29 Jul 11:42 am,"Negombo, Gampaha","15,000,000","Brand new luxury complete house for saleKattuwa, negombo3 bed rooms and servant room2 bath rooms and servant toiletsLuxury pantry kitchen and extra kitchenSitting areaDining areaLiving areaVarandaGardenCar pouchWater line850m to Colombo and negombo main road4 minutes to st. Nicholas international shcool and loyala college6 minutes to negombo beach with tourists hotels8 minutes to negombo town and nawaloka hospital with maristalla college18 minutes to airportCLEAR DEEDDetels form coll me","kattuwa, negombo",3,2,"1,650.0 sqft",11.5 perches
10,House for Sale in - NEGOMBO,29 Jul 11:00 am,"Negombo, Gampaha","14,500,000",# 1.5Km to Colombo - Negombo (A3 Putlam Highway)# 20ft Wide Road# 15 Perches Land# Parapet Wall# 3 Bed Rooms# 2 Bath Rooms# Living Hall# Dinning Area# Kitchen With Pantry# Varendha# Garage# Clear Deeds# Inspection On Prior Approvals# Serious Buyers Welcome,"Dalupotha, Negombo",3,2,"1,600.0 sqft",15.0 perches
