,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Brand New House in Nittambuwa,17 Jul 11:26 am,"Nittambuwa, Gampaha","11,000,000","Brand new house in Wathupitiwala,5 Bed Rooms,1 Room can Use as a Office Room,2 Bed Rooms,Large Kitchen,Large Varenda Area.,Electricity,Telephone,Pipe Water,Well Water....Carpet Road Face to the House..can Park 7-8 vehicle Easily...Owner Licensed Surveyor.",5,2,"2,250.0 sqft",30.0 perches,
2,"['Brand New House in Nittambuwa', '17 Jul 11:26 am', 'Nittambuwa, Gampaha', '11,000,000', 'Brand new house in Wathupitiwala,5 Bed Rooms,1 Room can Use as a Office Room,2 Bed Rooms,Large Kitchen,Large Varenda Area.,Electricity,Telephone,Pipe Water,Well Water....Carpet Road Face to the House..can Park 7-8 vehicle Easily...Owner Licensed Surveyor.', '5', '2', '2,250.0 sqft', '30.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,4 Bedroom House For Immediate Sale In Nittambuwa,11 Jul 10:08 pm,"Nittambuwa, Gampaha","7,900,000","The house is located near to Ruwanwella Road, Sapugastenna 4 bedroom house with 107 perches land is for immediate sale. A newly built shop is at one corner of the land facing the sapugastenna road. calm and cool environment. The owners are migrated and decided to sell immediately. Clear deeds. Price will be considerable. Thanks.මනරම් වට පිටාවක රුවන්වැල්ල පාර, සපුගස්තැන්න අතර පිහිටි කාමර 4 කින් යුත් නිවස, කඩ කාමරය සමග පර්චස් 107 ඉඩම ඉක්මනින් විකිනීමට තිබේ. අයිතිකරුවන් විදේශගතව අැති බැවින් ෙමම වටිනා ඉඩම ඉක්මනින් විකිණීමට තීරනය කර අැත. නිරවුල් ඔප්පු.බව බෝග සහිත (පොල්, අඹ,කෙසෙල්, දූරියන්, රඹුටන්) මිල ගනන් සලකා බැලිය හැක.ස්තූතියි.",4,2,"1,600.0 sqft",107.0 perches,
4,4 Bedroom House For Immediate Sale In Nittambuwa,11 Jul 10:08 pm,"Nittambuwa, Gampaha","7,900,000","The house is located near to Ruwanwella Road, Sapugastenna 4 bedroom house with 107 perches land is for immediate sale. A newly built shop is at one corner of the land facing the sapugastenna road. calm and cool environment. The owners are migrated and decided to sell immediately. Clear deeds. Price will be considerable. Thanks.මනරම් වට පිටාවක රුවන්වැල්ල පාර, සපුගස්තැන්න අතර පිහිටි කාමර 4 කින් යුත් නිවස, කඩ කාමරය සමග පර්චස් 107 ඉඩම ඉක්මනින් විකිනීමට තිබේ. අයිතිකරුවන් විදේශගතව අැති බැවින් ෙමම වටිනා ඉඩම ඉක්මනින් විකිණීමට තීරනය කර අැත. නිරවුල් ඔප්පු.බව බෝග සහිත (පොල්, අඹ,කෙසෙල්, දූරියන්, රඹුටන්) මිල ගනන් සලකා බැලිය හැක.ස්තූතියි.",4,2,"1,600.0 sqft",107.0 perches,
5,"Complete House for Sale at Ranpokunagama, Nittambuwa.",20 Jul  2:17 pm,"Nittambuwa, Gampaha","4,850,000","Complete House situated at Zone E, Ranpokunagama Housing Scheme, Nittambuwa available for Sale in best residential area. 1.25 Km to Nittambuwa – Atthnagalla main road and close to Export Processing Zone and Wathupitiwala Base Hospital (2 Km). House built on 13 Perches Well Maintained Land and House approx 1,650 floor area. House consist 5 bedroom (2 bedrooms with separate entrance), 2 attached bathrooms, tiled living, dining room, Kitchen , 02 Pantry sets, Parking space for 2 vehicles.","Zone E, Ranpokunagama",5,2,"1,650.0 sqft",13.0 perches
6,House With Land For Sale In Nittambuwa,19 Jul  2:01 pm,"Nittambuwa, Gampaha","19,000,000",නිටිටඔුව නගරයට ආසන්නව මිගමු පාරට මුහුනලා අනර්ඝ තත්වයේ නිවසක් සහ ඉඩමක් විකිනිමට ඇත ප්‍රධාන නිවසට යාබදව කුඩා නිවසක්ද ඇත ඉක්මනින් විකිනිමට මිල සාකඡිචා කරගත හැක,"352/A දෙල්ගහලන්ද, මිගමු පාර ,නිටිටඔුව",4,1,"1,500.0 sqft",80.0 perches
7,"Two Storied Luxury House for Sale Pasyala, Nittambuwa.",19 Jul 10:16 am,"Nittambuwa, Gampaha","17,000,000","Two Storied Spacious Luxury House situated at Pasyala, Nittambuwa available for Sale in best residential area. 150 meters to Kandy – Colombo main road and close to proposed Kandy highway entrance. House built on 20 Perches Well Maintained Land and House approx 3,964 floor area. Fully Tiled House consist 5 bedrooms (03 A/C bedrooms), 3 Attached bathrooms with hot water (01 bathroom with bath tub), living, dining room, lobby, veranda, outside Kitchen , 02 Pantry sets, Remote Gate (2 roller doors) and Large Garage for 2 vehicles. Class one timber paneled doors & glassed windows with iron grills.",Pasyala,5,3,"3,964.0 sqft",20.0 perches
8,"Two Storied House for Sale in Wathupitiwala, Nittambuwa.",19 Jul  9:45 am,"Nittambuwa, Gampaha","8,500,000","Two Storied House for Sale in Walpola, Wathupitiwala, Nittambuwa. Close to Export Processing Zone and Wathupitiwala Base Hospital (3 km).  About 4 Km to Nittambuwa Town (Kandy Road). Built on 16 Perch well maintained land with Coconut, Rambutan and other plant varieties. House consist 04 bedrooms, bathroom, living and dining room, kitchen etc.","Walpola, Wathupitiwala",4,2,"2,200.0 sqft",16.0 perches
9,"Two Storied House for Sale at Malwatta, Nittambuwa.",18 Jul 10:10 am,"Nittambuwa, Gampaha","19,500,000","Two Storied Spacious House situated at Malwatta, Nittambuwa available for Sale in best residential area. 500 meters to Kandy – Colombo main road and 300 meters to Siyane National College of Education.  House built on 40 Perches Well Maintained Land and House approx 3,100 floor area. Fully Tiled House consist 6 bedrooms, 3 bathrooms, living, dining room, veranda, Pantry, Kitchen & Garage.","New City Mw, Malwatta",6,3,"3,100.0 sqft",40.0 perches
