,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Veyangoda,15 Jul 12:18 pm,"Ragama, Gampaha","37,500,000","•  Newly built two - storeyed house•  Fully Tiled•  03 Spacious bed rooms (1 AC), two balconies•  Two Attached Bathrooms & one servant toilet.•  Office Room •  Spacious Dining room for 10 people•  Modern pantry with Kitchen•  Surrounded by parapet walls•  Hot Water systems •  CCTV Camera operating Systems•  Landscaped Garden•  Car porches•  Dee ella Oya flows at the edge     of the garden rear to the House.•  9’inch bricks wall",26/1A KALAGEDIHENA ROAD VEYANGODA,3,2,"4,000.0 sqft",40.0 perches
2,"['House for Sale in Veyangoda', '15 Jul 12:18 pm', 'Ragama, Gampaha', '37,500,000', '•  Newly built two - storeyed house•  Fully Tiled•  03 Spacious bed rooms (1 AC), two balconies•  Two Attached Bathrooms & one servant toilet.•  Office Room •  Spacious Dining room for 10 people•  Modern pantry with Kitchen•  Surrounded by parapet walls•  Hot Water systems •  CCTV Camera operating Systems•  Landscaped Garden•  Car porches•  Dee ella Oya flows at the edge     of the garden rear to the House.•  9’inch bricks wall', '26/1A KALAGEDIHENA ROAD VEYANGODA', '3', '2', '4,000.0 sqft', '40.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Two Store House for Sale in - Ragama,30 Jun  3:03 pm,"Ragama, Gampaha","12,000,000","Ragama Kurukulawa,heenkenda House for Sale,3 Bed Room , 2 Bathroom, Living , Dining & Kitchen,.... 100 Meter to Maine Road , & 3 Km to Ragama Town.. Rs: 12,000,000",3,2,"2,000.0 sqft",18.0 perches,
4,House for Sale in Veyangoda,15 Jul 12:18 pm,"Ragama, Gampaha","37,500,000","•  Newly built two - storeyed house•  Fully Tiled•  03 Spacious bed rooms (1 AC), two balconies•  Two Attached Bathrooms & one servant toilet.•  Office Room •  Spacious Dining room for 10 people•  Modern pantry with Kitchen•  Surrounded by parapet walls•  Hot Water systems •  CCTV Camera operating Systems•  Landscaped Garden•  Car porches•  Dee ella Oya flows at the edge     of the garden rear to the House.•  9’inch bricks wall",26/1A KALAGEDIHENA ROAD VEYANGODA,3,2,"4,000.0 sqft",40.0 perches
5,New House For Sale - Ragama,20 Jul 12:04 pm,"Ragama, Gampaha","5,000,000","මැතිවරන බල පුුදේශය ජාඅැලවර්ග අඩි 1363 ක නව නිවසනිදන කාමර 3 යිකාර්යාල කාමර 1 යිසාලය / මුලුතැන්ගෙය / ටොයිලට් 2 යි නාන කාමර 1 යිඅඩි 30 ක වැරන්ඩාවඉඩම පර්චස් 12.5 යි (වට තාප්ප සහිතයි)පිරිසිදු ඔප්පුපිරිසිදු ලිං ජලය ( නල මගින් පොම්ප කර අැත)පුලුල් මාර්ග/ විදුලිය  අැතුලු සියලු පහසුකම් සහිතයිසාමකාමී නිසංසල පරිසරය පදින්චියට ඉතාම සුදුසුයි327 රාගම කඩවත බස් මාර්ගය - කුරුස හන්දිය / අම්බලම හන්දිය / නුගවෙල හන්දිය හරහා කෙසෙල්වත්ත කි.මි. 5,1/2 යි223 ගණේමුල්ල කඩවත බස් මාර්ගයෙන්  කි.මි. 5, 1/2 යිපොකුණ හන්දියේ සිට කි.මි. 1, 1/2 යි.",3,2,"1,363.0 sqft",12.5 perches,
6,Two Store House for Sale in - Ragama,30 Jun  3:03 pm,"Ragama, Gampaha","12,000,000","Ragama Kurukulawa,heenkenda House for Sale,3 Bed Room , 2 Bathroom, Living , Dining & Kitchen,.... 100 Meter to Maine Road , & 3 Km to Ragama Town.. Rs: 12,000,000",3,2,"2,000.0 sqft",18.0 perches,
7,House for Sale - Ragama,20 Jul  7:34 am,"Ragama, Gampaha","13,000,000",Good location close to main road Kadawatha town,ragama Kadawatha road,4,3,"3,000.0 sqft",10.0 perches
8,Two Storied House for Sale at Ragama,19 Jul 10:26 pm,"Ragama, Gampaha","15,900,000",Nearby Wattala -  Ragama  Bus rood. 1km to Ragama city5 min. to Kiribathgoda & Kadawatha,Kurukulawa -Ragama,4,3,"2,400.0 sqft",12.5 perches
9,House for Sale - Ragama,17 Jul  3:29 pm,"Ragama, Gampaha","6,800,000","10 Perches land 03 bed rooms,Large Dinning room,large living area verandah,kitchen and 01 bathroom,servant toilet tap water & Electricity  available ,WiFi tile floor &Ceiling  silent area for immediate sale.","192,Dambuwa Ragama",3,1,"2,000.0 sqft",10.0 perches
