,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,නිවසක් විකිනීමට - බණ්ඩාරගම,15 Jul  7:36 am,"Bandaragama, Kalutara","3,600,000","හොරණ කොළබ බස් මාර්ගයට 2 KM දුරින් පිහිටි කාමර  2, කුස්සියක් ,Bathroom එකකින් සමන්විත තාප්පවලින් ආවරණය වූ අංග සම්පුර්ණ නිවස විකිණීමට.","No 97/07,Namaluwa,Kothalawala,Bandaragama",2,1,900.0 sqft,11.7 perches
2,"['නිවසක් විකිනීමට - බණ්ඩාරගම', '15 Jul  7:36 am', 'Bandaragama, Kalutara', '3,600,000', 'හොරණ කොළබ බස් මාර්ගයට 2 KM දුරින් පිහිටි කාමර  2, කුස්සියක් ,Bathroom එකකින් සමන්විත තාප්පවලින් ආවරණය වූ අංග සම්පුර්ණ නිවස විකිණීමට.', 'No 97/07,Namaluwa,Kothalawala,Bandaragama', '2', '1', '900.0 sqft', '11.7 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for sale in Bandaragama,19 Jul 11:35 pm,"Bandaragama, Kalutara","7,950,000","House for sale in Bandaragama* බණ්ඩාරගම ටවුමට හා අධිවේගී පිවිසුමට විනාඩි 5ක දුර* 5 Minutes to Bandaragama Town & Highway entrance* ජලය, විදුලිය | Water, Electricity* සුන්දර පරිසරය | Beautiful environment* වට තාප්ප | Surrounded Wall",Bandaragama,4,1,"2,500.0 sqft",21.0 perches
4,Two Story House for Sale in Bandaragama,17 Jul  7:30 pm,"Bandaragama, Kalutara","17,000,000",Two story house for sale in Bandaragama,Kesbewa road Bandaragama,3,2,"3,000.0 sqft",23.0 perches
5,House for Sale in Raigama - Bandaragama,17 Jul 10:28 am,"Bandaragama, Kalutara","5,000,000","හොරණ නගරයට කි.මී. 1 1/2ක් දුරින් උයන්වත්තේ පර්චස් 10.2ක ඉඩම හා තනි මහල් නිවස විකිණීමටනිවස 80%ක වැඩ නිම කර ඇත. ටයිල් කර ඇත. කාමර 3, බාත්රූම් 1, කෑම කාමරය, කුස්සිය, සාලය","රයිගම, උයන්වත්ත, බණ්ඩාරගම.",3,1,875.0 sqft,10.2 perches
6,Completely built house for sale at kamburugoda,15 Jul 12:53 am,"Bandaragama, Kalutara","6,500,000",Situated at Kamburugoda. Close to the main road.,2,1,"1,500.0 sqft",11.5 perches,
7,නිවසක් විකිනීමට - බණ්ඩාරගම,15 Jul  7:36 am,"Bandaragama, Kalutara","3,600,000","හොරණ කොළබ බස් මාර්ගයට 2 KM දුරින් පිහිටි කාමර  2, කුස්සියක් ,Bathroom එකකින් සමන්විත තාප්පවලින් ආවරණය වූ අංග සම්පුර්ණ නිවස විකිණීමට.","No 97/07,Namaluwa,Kothalawala,Bandaragama",2,1,900.0 sqft,11.7 perches
8,Luxury Brand New House in Bandaragama,14 Jul 10:01 am,"Bandaragama, Kalutara","22,000,000",# 5 bedroom# 4 bathrooms # living and dining area # modern pantry# tv room # 4 balcony # fully tiled (Italy & Lanka tiles)# finishing roof # vehicle parking area (with car-porch)# rooftop# middle courtyard# modern garden# better environment#සම්පූර්ණ ගඩොලින් බඳින ලද 9 බිත්ති,"Uyanwaththa Lake, Bandaragama",5,4,"4,000.0 sqft",1.0 perches
9,Land with House Raigama,12 Jul  1:04 pm,"Bandaragama, Kalutara","2,400,000",Partial built Single story house with approved plan;500M to Kubuka Road1.5Km to Raigama JunctionHouse with; Three bed rooms (including master bed room with study room) Kitchen with store room Two bathrooms (One is attached tot the master bed room) Car porch Water available (Tap water),"Raigama Bandara Mawatha, Raigama",3,2,"1,923.0 sqft",13.0 perches
