,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,Brand New House in Gampola,17 Jul  1:24 pm,"Gampola, Kandy","12,500,000","Brand new house architect designed,modern type house situated in Nawalapitiya road Gampola,7.5 purchase and house is completely tiled.* 2 Bed room.* 2 Bed room.* Doors and Windows.[Maho and Teak wood]* Electricity[CEB]/ Dragging water[Water Bord] * Parking for vehicles.* Remote roller gate.* 2058 Sq.ft.house size.* 100m for main road.[Gampola to Nawalapitiya]* 100m for Gampola town.* 200 Station and Bus stand.-Hospital-All banks-Keels super-food city-near by government school and international schoolගම්පොල නාවලපිටිය මාර්ගය අසල පර්චස් 7.5 කින් යුත් නවීන පන්නයේ සියලු පහසුකම් සහිත නිවසක්, * ගෙබිම සමිපුර්ණ ටයිල් සහිතයි.* කාමර තුනකි. * නානකාමර දෙකකි. * නවින පන්නයේ මුළුතැන්ගෙය .* මහෝගනි සහ තේක්කවලින් සාදන ලද ජනෙල් සහ දොරවල්. * විදුලි පහසුකම හා ජල පහසුකම සපයා ඇත.* වාහන ගාල් කිරිමෙි හැකියාව.* ස්වයංකිුය දොරටුව (ගේටිටුව ) දොරටුව. * වර්ග අඩි 2016 ක පුමාණයකින් යුත් නිවාසය.*පුධාන මාර්ගයට මීටර් 100 කි. ( ගම්පොල නාවලපිටිය මාර්ගය )*ගම්පොල නගරයට මීටර් 100 කි.*දුම්රියපොලට ,බස්නැවතම්පොලට මීටර් 200 කි.*රෝහල,බැංක, ෆුඩ් සිටි , කීල්ස් සුපර්, රජයේ පාසල් සහ ජාත්ය න්තර පාසල් ඉතා ආසන්නයේBeds:2Baths:2House size:2,058.0 sqftLand size:7.5 perches",2,2,"2,058.0 sqft",7.5 perches,
2,"['Brand New House in Gampola', '17 Jul  1:24 pm', 'Gampola, Kandy', '12,500,000', 'Brand new house architect designed,modern type house situated in Nawalapitiya road Gampola,7.5 purchase and house is completely tiled.* 2 Bed room.* 2 Bed room.* Doors and Windows.[Maho and Teak wood]* Electricity[CEB]/ Dragging water[Water Bord] * Parking for vehicles.* Remote roller gate.* 2058 Sq.ft.house size.* 100m for main road.[Gampola to Nawalapitiya]* 100m for Gampola town.* 200 Station and Bus stand.-Hospital-All banks-Keels super-food city-near by government school and international schoolගම්පොල නාවලපිටිය මාර්ගය අසල පර්චස් 7.5 කින් යුත් නවීන පන්නයේ සියලු පහසුකම් සහිත නිවසක්, * ගෙබිම සමිපුර්ණ ටයිල් සහිතයි.* කාමර තුනකි. * නානකාමර දෙකකි. * නවින පන්නයේ මුළුතැන්ගෙය .* මහෝගනි සහ තේක්කවලින් සාදන ලද ජනෙල් සහ දොරවල්. * විදුලි පහසුකම හා ජල පහසුකම සපයා ඇත.* වාහන ගාල් කිරිමෙි හැකියාව.* ස්වයංකිුය දොරටුව (ගේටිටුව ) දොරටුව. * වර්ග අඩි 2016 ක පුමාණයකින් යුත් නිවාසය.*පුධාන මාර්ගයට මීටර් 100 කි. ( ගම්පොල නාවලපිටිය මාර්ගය )*ගම්පොල නගරයට මීටර් 100 කි.*දුම්රියපොලට ,බස්නැවතම්පොලට මීටර් 200 කි.*රෝහල,බැංක, ෆුඩ් සිටි , කීල්ස් සුපර්, රජයේ පාසල් සහ ජාත්ය න්තර පාසල් ඉතා ආසන්නයේBeds:2Baths:2House size:2,058.0 sqftLand size:7.5 perches', '2', '2', '2,058.0 sqft', '7.5 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House with Land for Sale In - Gampola, 9 Jul  6:08 pm,"Gampola, Kandy","5,000,000","Ideal Residential 87 perch cultivated Tea, Near Gampola town just 6 km, Gampola to Meethalawa bus route, Galpaya maha vidyalaya near 500 meters,Good environment,Clear Deeds & Plan, 80% completed large House & small House, 3 bed rooms, 02 barth rooms,Large Kitchen,Open Veranda,Big living & dinning area,Electricity,Telephone & other facilities,Well water,Monthly Tea Income 20,000/=","Alugolla,Meethalawa,Gampola",3,2,"2,800.0 sqft",87.0 perches
4,Newly Built House For Sale - Peradeniya,20 Jul  9:46 am,"Peradeniya, Kandy","7,995,000","පේරාදෙණිය, පැණිදෙනිය, මීවතුරේ පිහිටි අලුතින් ඉදිකළ පදිංචි නොවූ අංගසම්පූර්ණ නව නිවස අයිතිකරු විදේශගත වන බැවින් වටිනාකමට වඩා ඉතා අඩු මිලට, වැඩිම ඉල්ලුමට ඉතාම ඉක්මනින් විකිණේ.",Peradeniya,3,1,"2,500.0 sqft",12.0 perches
5,House with Land for Sale in Gampola,21 Jul  4:11 pm,"Gampola, Kandy","10,000,000","අගනා නිවස  සහිත පර්චස් 45ක ඉඩම ගම්පොළ-නුවරඑළිය ප්‍රධාන මාර්ගයට ආසන්නයේ (ප්‍රධාන මාර්ගයේ සිට මීටර් 200ක් යාබදව පිහිටා ඇත.)පිරිසිදු නිරවුල් ඔප්පු / කාමර 3 යි - නාන කාමර 1 යි, සාලය, මුළුතැන් ගෙය සහ කෑම කාමරය ලිං ජල පහසුකම් සහ විදුලි පහසුකම් සියල්ල සහිතයි. නිවසටම පිවිසිය හැකි මාර්ගය ගම්පොළ නගරට කි.මී. 2 යි. (විනාඩි 15) මිල ගණන් පැමිණ පරීක්ෂා කර බලා සාකච්ඡා කරගත හැක.","Storefield, Gampola",3,1,"2,000.0 sqft",45.0 perches
6,House for Sale Kandy Lewella,21 Jul  1:01 pm,"Kandy, Kandy","10,000,000",මහනුවර නගර සීමා වේ  ලේවැල්ල  පිහිටි කාමර හතරකින් සමන්විත නිවස විකිණීමට මහ නුවර ප්‍රධාන පාසල් වලට කෙටි දුරකි මිල  ලක්ෂ 100,4,1,"1,500.0 sqft",17.5 perches,
7,House for Sale in Peradeniya,21 Jul 10:20 am,"Kandy, Kandy","13,000,000","House Forsale 9.5P3 Stories house 7 bedrooms 5 bathrooms Servant's room and toilet Vehicle parking (about 2 vehicles)Full tiled 1km for Colombo Kandy main road Nearby Peradeniya hospital , University , Water bord, Police station and Peradeniya botanical garden Water and electricity are available Clear deeds Inspection only through appointment",6,5,"2,600.0 sqft",9.5 perches,
8,"Specious Family Home Facing Kandy, Gampola Main Road",19 Jul 10:12 am,"Gelioya, Kandy","32,000,000","This specious family home boasts an adaptable layout that could be use many different ways to suit your family. House consist as below.*  3 Double Bedrooms (include 1 En-suite)* Large living space* Large Dining Space* Kitchen with adjoining store room* Bathroom with standing shower cubical with Hot water Facility* Garage space* 1 Small Annex could be rent out to a couple as a separate house ( Work need completed by the buyer and this can be an investment for the future)* Both sides of the house has high walls.* House situate facing Kandy - Gampola  main road and can reach,        - University of Peradeniya within 10 Minutes.        - Kandy/Peradeniya/Gampola Hospitals in 25 Minutes.        - Walking distance to Gelioya town Centre.Offer in the region of -  32 MILLION Srilankan Rupees.(Rupiyal Laksha 320)Direct buyers Only . No agents or Brokers  Please contact Mr Upali Wijesinghe on","Vijaya Niwasa, Gelioya.",3,2,"1,900.0 sqft",90.0 perches
9,House for Sale Kandy,28 Jun  2:19 pm,"Kandy, Kandy","12,000,000",House for sale kandy. Aruppola..herassagala ..12 milion upwards,3,2,"1,300.0 sqft",6.0 perches,
