,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for Sale in Katugastota,19 Jul  3:53 pm,"Katugastota, Kandy","13,000,000",6 bed room2 bath room2 entrance for each floorTwo vehicle parking spaceFully completed house10 perches7 kelemeter to Kandy4 kelemeter to KatugastotaAll facilities available Clear deeds200 meter to 4 th mile post (via  katugastota - kurnegala main road)Contact person Mr.Sudathබාත් රෑම් 2නිදන කාමර 6තට්ටු දෙක සදහා වෙන වෙනම ප්‍රවේශ මාර්ගවාහන දෙකක් නැවැත්වීමේ පහසුකම් සම්පූර්ණයෙන් නිමාකල නිවසපර්චස් 10නුවරට කිලෝමීටර් 7කටුගස්තොටට කිලෝමීටර් 4සියලූම පහසුකම් සහිතවනිරවුල් ඔප්පුකටුගස්තොට කුරුණෑගල ප්‍රධාන පාරේ හතරේ කණුවේ සිට මීටර් 200 දුරින්සුදත් මහතා.,6,2,"1,500.0 sqft",15.0 perches,
2,"['House for Sale in Katugastota', '19 Jul  3:53 pm', 'Katugastota, Kandy', '13,000,000', '6 bed room2 bath room2 entrance for each floorTwo vehicle parking spaceFully completed house10 perches7 kelemeter to Kandy4 kelemeter to KatugastotaAll facilities available Clear deeds200 meter to 4 th mile post (via  katugastota - kurnegala main road)Contact person Mr.Sudathබාත් රෑම් 2නිදන කාමර 6තට්ටු දෙක සදහා වෙන වෙනම ප්\u200dරවේශ මාර්ගවාහන දෙකක් නැවැත්වීමේ පහසුකම් සම්පූර්ණයෙන් නිමාකල නිවසපර්චස් 10නුවරට කිලෝමීටර් 7කටුගස්තොටට කිලෝමීටර් 4සියලූම පහසුකම් සහිතවනිරවුල් ඔප්පුකටුගස්තොට කුරුණෑගල ප්\u200dරධාන පාරේ හතරේ කණුවේ සිට මීටර් 200 දුරින්සුදත් මහතා.', '6', '2', '1,500.0 sqft', '15.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for sale in Katugasthota,19 Jul  2:28 pm,"Katugastota, Kandy","16,000,000",කොළඹ - නුවර අධිවේගී මාර්ගයේ ප්‍රධාන පිවිසුම් සන්දිස්ථානය වන  කටුගස්තොට නගරයට ඇවිද යන දුරින් පිහිටි පර්චස් 22.9 ක් සහිත නිවසක් විකිණීමට ...         කටුගස්තොට - රණවන පාරට මීටර් 150 යි...        කටුගස්තොට - නගරයට විනාඩි 03 යි.            නිවසට මිලක් නියම නොකරන අතර පර්චස් වටිනාකමට පමණක් මිල කෙරේ...             පර්චසය රු. ලක්ෂ 7 යි.       ගැණුම්කරුවන් පමණක් විමසන්න .... රෝහල් / සුපිරි වෙළඳසැල් / බස් පහසුකම් / ආදී සියලුම පහසුකම් සහිතය ...         විමසන්න RSK Property - Kandy ~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~~ ,"ranawana road, katugasthota",3,1,"1,500.0 sqft",22.0 perches
4,දෙමහල් නිවස කටුගස්තොට,18 Jul 12:24 pm,"Katugastota, Kandy","18,000,000",මහනුවර නගරයට කිලෝමීටර් 3කටුගස්තොට නගරයට කිලෝමීටර් 1පර්චස් 20කින් සමන්විත නිසන්සල පරිසරයදෙමහල් නිවස.ඉතා ඉක්මනින් විකිනේ.ගනන් කතා කරගත හැක.,NO 22 Vidyala Mavatha Mavilmada,4,1,"1,500.0 sqft",20.0 perches
5,House for Sale in - Madawala,17 Jul 10:26 am,"Katugastota, Kandy","6,000,000",Down Stairs Completed. Upstairs Partly Completed.,"Madawala, Harispattuwa",3,2,"1,500.0 sqft",29.0 perches
6,House for Sale Kandy,15 Jul  2:14 pm,"Katugastota, Kandy","68,500,000",Basement*drivers quarters(extra room and bathroom)/ store room and garden,"Katugasthota road,mahaiyawa,kandy",4,3,"3,400.0 sqft",14.0 perches
7,House in Katugastota for Sale,15 Jul 10:52 am,"Katugastota, Kandy","15,000,000",House in Katugastota for Sale======================,"no 247/1/1, kalugala watta, ranawana rd, katugastota.",3,2,"2,500.0 sqft",21.0 perches
8,House for Sale - Kandy,13 Jul  3:57 pm,"Katugastota, Kandy","7,900,000",වාහන නවතා තැබීමට පහසු කම්  නිස්කලංක පරිසරය ප්‍රධාන පාරට මිටර් 250 පමණ ඇත.  පොල් සහ කොස් ගස් සහිත ඉඩම,"yatiwawala, katugastota , kandy",3,1,"1,500.0 sqft",27.0 perches
9,House for Sale in Katugastota - Kulugammana,13 Jul  3:51 pm,"Katugastota, Kandy","9,000,000",Ref. 129,4,1,"2,000.0 sqft",8.0 perches,
