,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,Newly Built House For Sale - Peradeniya,20 Jul  9:46 am,"Peradeniya, Kandy","7,995,000","පේරාදෙණිය, පැණිදෙනිය, මීවතුරේ පිහිටි අලුතින් ඉදිකළ පදිංචි නොවූ අංගසම්පූර්ණ නව නිවස අයිතිකරු විදේශගත වන බැවින් වටිනාකමට වඩා ඉතා අඩු මිලට, වැඩිම ඉල්ලුමට ඉතාම ඉක්මනින් විකිණේ.",Peradeniya,3,1,"2,500.0 sqft",12.0 perches
2,"['Newly Built House For Sale - Peradeniya', '20 Jul  9:46 am', 'Peradeniya, Kandy', '7,995,000', 'පේරාදෙණිය, පැණිදෙනිය, මීවතුරේ පිහිටි අලුතින් ඉදිකළ පදිංචි නොවූ අංගසම්පූර්ණ නව නිවස අයිතිකරු විදේශගත වන බැවින් වටිනාකමට වඩා ඉතා අඩු මිලට, වැඩිම ඉල්ලුමට ඉතාම ඉක්මනින් විකිණේ.', 'Peradeniya', '3', '1', '2,500.0 sqft', '12.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House for Sale in Peradeniya,19 Jul  2:18 pm,"Peradeniya, Kandy","8,500,000","[ House for sale in , Peradeniya ,panideniya ,kandy ]","panideniya , peradeniya",3,2,"1,550.0 sqft",12.0 perches
4,House for Sale in Peradeniya,18 Jul 10:50 am,"Peradeniya, Kandy","2,700,000",පේරාදෙණිය නගරයට ආසන්නයේ පිහිටා ඇත. පේරාදෙණිය විශ්ව විද්‍යලයට  කි.මි 6 යි. කාමර 2/ නාන කාමර 1/ කෑම කාමරය/සාලය සහ මුලුතැන ගෙය. පැවරුම් ඔප්පුවක් සහිත අලුතින් ඉදිකල නිවසකි. නිවසත් සමග මුලු ඉඩම පර්චස් 20 යි. ගම්පොල නගරයට කි.මි. 11 යි.,"Megoda Kalugamuwa, Peradeniya",2,1,"1,000.0 sqft",20.0 perches
5,Two storied House for Sale Peradeniya,17 Jul  3:33 pm,"Peradeniya, Kandy","7,700,000","02 storied house at Peradeniya area for sale.$ KM distance along Boyagama Road located ina a decent living area with large sitting Room 02 Kitchens , Dinning Room and parking space.","Kaliyalpitiya, Peradeniya",4,1,"1,750.0 sqft",27.5 perches
6,High Luxury Five Storied House For Sale in Peradeniya,15 Jul  4:41 pm,"Peradeniya, Kandy","95,000,000","Architect Designed High Luxury Five Storied Modern House for Sale in Peradeniya, Kandy, off Galaha – Kandy main road with 360 Degree Panoramic view . Nice cool breeze climate throughout the year. Facing to main road and less than 2 Km to Peradeniya University and 8 Km to Kandy city.",Galaha road,7,6,"5,600.0 sqft",25.0 perches
7,House for Sale in Kribathkumbura,19 Jul 11:17 am,"Peradeniya, Kandy","17,000,000",House for sale in Kribathkumbura==========================,"44/6 ,idampitiya muruthalawa",5,2,"3,000.0 sqft",10.8 perches
8,House with Land Agunalawa,12 Jul  4:45 pm,"Peradeniya, Kandy","8,500,000",Call for more details,"piligalla road, agunalawa",2,1,"1,700.0 sqft",17.5 perches
9,Two Storied House for Sale in peradeniya,15 Jul  9:56 am,"Peradeniya, Kandy","22,500,000","නුවර කොළඹ ප්‍රධාන මාර්ගයේ බුලුමුල්ල පාරට හැරී මීටර්  300 ක් පමණ දුරින් පිහිටි පර්චර්ස් 15ක දෙමහල් නිවස විකිණීමට ඇත. පලමු මහලේ පලමු කොටසෙහි නිදන කාමරයක් සහ  සාලයක් සහිතයි. පලමු මහලේ දෙවන කොටසේ කියවී කාමරයක් නිදන  කාමර 2ක්, සදලුතලයක් (හන්තාන සහ නකල්ස් කදු පන්තීන්ට මුහුණලා පිහිටි) ප්‍රධාන සාලයක්, මුඵතැන්ගෙයක් ,ගබඩා කාමරයක් සහ නාන කාමරයක් ඇත.වාහන 2ක් නවතා තැබීමට ඉඩපහසුකමි ද ඇත. සංචාරක බංගලාවක් ලෙස හෝ පදිංචිය සදහා ඉතාමත් ම  සුදුසුය.",4,2,"2,500.0 sqft",15.0 perches,
