,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Address:,Beds:,Baths:,House size:,Land size:
1,House for Sale in Matale Urgent,14 Jul  9:42 am,"Matale, Matale","5,500,000",Single House for Sale in MataleDriving to matale tawn just 10 minutes,"MATALE,  KUBIYANGODA ROAD ,THANNA JUNCTION",3,2,"2,100.0 sqft",26.0 perches
2,"['House for Sale in Matale Urgent', '14 Jul  9:42 am', 'Matale, Matale', '5,500,000', 'Single House for Sale in MataleDriving to matale tawn just 10 minutes', 'MATALE,  KUBIYANGODA ROAD ,THANNA JUNCTION', '3', '2', '2,100.0 sqft', '26.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,Beautiful House for Sale in Matale with Panoramic View,20 Jul 10:11 am,"Matale, Matale","50,000,000","Beautiful  House for Sale in Heart of City, Matale with panoramic view. The house built on 27 Perches Land extent and Consist 3 Bedrooms, with attach Bathrooms, Living Room, Open Veranda, , TV room, Dining Room, Pantry with Kitchen, servant room with all facilities, Garage. Some Furniture will be added.",Matale,3,3,"2,000.0 sqft",27.0 perches
4,House for Sale in Matale Town,19 Jul  4:37 pm,"Matale, Matale","27,500,000","* A Spacious, Newly Constructed, Two Storied, House for Sale.*Separate Entrance for both each floor.*Fully tiled house with finishing roof.* Situated in a Calm Quiet Highly Residential Neighborhood.* Location: Matale: Town: Malwattha Road.*12 Feet Wide Road Access.*Interlock Pavement with Parapet Wall.* All facilities are available.* Crystal Clear Deed & Plan.","Malwattha road,Matale",5,3,"3,000.0 sqft",10.5 perches
5,House for sale in Kurewala,18 Jul  8:17 pm,"Matale, Matale","7,900,000",House for sale in Kurewala=================,3,2,"2,722.0 sqft",17.5 perches,
6,House for sale - Matale,18 Jul  4:51 pm,"Matale, Matale","3,500,000",Hall 4 bedrooms daining room kitchen and attach bathroom,4,1,"4,000.0 sqft",15.75 perches,
7,"Half Complete house for sale in Aluwiharaya, Matale.",18 Jul  1:29 pm,"Matale, Matale","5,850,000","Half Complete house for sale in Aluwiharaya, Matale. House built on 48 Perch land. Consists 4 bedrooms, 1 bathroom, living, dinning and kitchen. House already built with concrete slab planning to built for upper floor. Clear title.",Aluwiharaya,4,1,"1,800.0 sqft",48.0 perches
8,Ground Floor Completed House for Sale at Matale,18 Jul  9:02 am,"Matale, Matale","4,500,000","Ground floor completed house with 60 perches land available for sale in Matale. land consists Pepper,Coconut and Mahogany. 2400sqf and   Consists 3 bed rooms, 1 bathroom, kitchen, living area and tiled. Just 8 km to Matale town. Wide carpet road access to house.  Peaceful  neighborhood.",Mathale,3,1,"2,400.0 sqft",60.0 perches
9,House for Sale - Matale,16 Jul  5:04 pm,"Matale, Matale","18,000,000","Very close to Naula city. Water , electricity , telephone available.clear deed.(wadagath parisarayaka pihiti  kanumulayaya pare palamu niwasa.siyaluma rajaye ayathana pasal saha banku itha sameepai.)",4,2,"2,000.0 sqft",15.0 perches,
10,House for Sale in Ukuwela,16 Jul 12:41 pm,"Matale, Matale","9,500,000","A spacious Single Storied house with 33 perches land for sale.House is situated in Matale, Ukuwela Town.Highly residential neighborhood.Water Electricity Available (Water Board)03 bedrooms02 Attach bathroom.One living room .One dining roomKitchenParking space available for 04 Vehicles.1 servant bathroomCrystal clear deedPrice: 95 LacksPlease Contact For More Details.","Dematagolla, UKUWELA, Matale",3,2,"1,200.0 sqft",33.0 perches
