,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,House for sale in Wennappuwa,18 Jul  6:38 pm,"Wennappuwa, Puttalam","16,000,000","An unique  luxury house located in Wennappuwa , Very close to the wennappuwa city center.Fully furnished luxury house- 3000 sqf.4 large bed rooms with an attached bathroom.Large living rooms, large wooden pantry with granite tops & all accessories dining arealarge garden area  with a lawn, boulders & rare trees, terrace garden facing bed rooms,laundry facility, storage, Servant quarters,Electricity, Internet, CCTV, A/C, pipe born water & well water connections.Price 16M ,Selling due to the owner migration,Call for more details & inspection..Thanks.",4,2,"3,200.0 sqft",34.0 perches,
2,"['House for sale in Wennappuwa', '18 Jul  6:38 pm', 'Wennappuwa, Puttalam', '16,000,000', 'An unique  luxury house located in Wennappuwa , Very close to the wennappuwa city center.Fully furnished luxury house- 3000 sqf.4 large bed rooms with an attached bathroom.Large living rooms, large wooden pantry with granite tops & all accessories dining arealarge garden area  with a lawn, boulders & rare trees, terrace garden facing bed rooms,laundry facility, storage, Servant quarters,Electricity, Internet, CCTV, A/C, pipe born water & well water connections.Price 16M ,Selling due to the owner migration,Call for more details & inspection..Thanks.', '4', '2', '3,200.0 sqft', '34.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,House Sale in Madampe, 7 Jul 12:44 pm,"Chilaw, Puttalam","3,900,000",WATETAMA THAPPAYA GASA ATHA.KARUKKUWA SUGATHANANNA WIDUHALATA 200 M . SENANAYAKA WIDYALAYATA 200M . MILAGANAN SAKACHCHAKARAGATHA HAKA,"IRATTAKULAMA , MADAMPE",4,1,"1,500.0 sqft",15.0 perches
4,House for sale in Wennappuwa,18 Jul  6:38 pm,"Wennappuwa, Puttalam","16,000,000","An unique  luxury house located in Wennappuwa , Very close to the wennappuwa city center.Fully furnished luxury house- 3000 sqf.4 large bed rooms with an attached bathroom.Large living rooms, large wooden pantry with granite tops & all accessories dining arealarge garden area  with a lawn, boulders & rare trees, terrace garden facing bed rooms,laundry facility, storage, Servant quarters,Electricity, Internet, CCTV, A/C, pipe born water & well water connections.Price 16M ,Selling due to the owner migration,Call for more details & inspection..Thanks.",4,2,"3,200.0 sqft",34.0 perches,
5,House for Sale in - Chilaw,21 Jul  2:08 pm,"Chilaw, Puttalam","2,300,000","Silwa town (nawa nagaraya), Jayarathnagama, Madampe.",3,1,"1,800.0 sqft",7.0 perches,
6,Luxury House for Sale in Nattandiya,20 Jul  2:45 pm,"Nattandiya, Puttalam","17,500,000",LUXURY HOUSE FOR SALE# FIVE BED ROOMS# TWO BATH ROOMS# TWO SITTING ROOMS# ONE TV LOBBY# KITCHEN # CAR PORCH# FULLY TILED & CEILINGED# 10 MINIUTS TO COLOMBO - KULIYAPITIYA MAIN ROAD# GOOD NEIGHBORHOOD & SAFE ENVIRONMENT        # PLEASE CALL OVER THE LANDLORD FOR MORE DETAILS ...# වැඩි විස්තර සඳහා පහත අයිතිකරුගේ දුරකථන අoකයෙන් විමසන්න,Nattandiya,5,2,"4,200.0 sqft",80.0 perches
7,64 P Land With House In Waikkala Wennappuwa,20 Jul 12:55 pm,"Wennappuwa, Puttalam","11,500,000","පිහිටි පොලොවේ ජලය,තෙකලා විදුලිය,කාමර 2ක නිවස සමග පර් 64 ඉඩම,මිල ගනන් සාකච්චාකරගත හැක.ස්තුති.","Angampitiya, Waikkala",2,1,800.0 sqft,64.0 perches
8,"Land for Sale in Dankotuwa,Lihiriyagama",18 Jul  4:22 pm,"Dankotuwa, Puttalam","3,000,000","* දංකොටුව නගරයට ආසන්නව,ලිහිරියාගම අඩක් නිමකල නිවසක් සහිත පර්චස් 40ක  ඉඩමක් විකිණිමට ඇත.* ජල,විදුලිය පහසුකම් සහිතයි.* කාමර 02 , බාත්රූම් 01 * නිරවුල් ඔප්පු* වැඩි විස්තර සඳහා අමතන්න* පරික්ෂා කිරිමෙන් පසු මිල ගනන් සාකච්ඡා කල හැක.","Lihiriyagama, Dankotuwa",2,1,"1,500.0 sqft",40.0 perches
9,"Holiday Bungalow in Pallama, Nagawila for Sale.",18 Jul  3:48 pm,"Chilaw, Puttalam","8,000,000","Holiday Bungalow in Pallama, Nagawila for Sale. ","Pallama, Nagawila, Bangadeniya Anamaduwa Road.",2,1,"1,500.0 sqft",2.0 acres
