,0,1,2,3,4,5,6,7,8,9
0,title,posted date,location,price,description,Beds:,Baths:,House size:,Land size:,
1,"Two Story House for Sale in Ratnapura, Kahawatta",27 Jul 12:21 pm,"Pelmadulla, Ratnapura","27,000,000","2 story house in kahawatta town100 meters to Ratnapura_Embilipitiya main road60 perches5 bed rooms with attached bath  rooms2 large living rooms with balconiesLarge dinning roomModern pantryUpper floor bed rooms with balconiesBeautiful large gardenClear deedsPrice 270,00,000/_ (270 lakhs)NegotiableQUICK SALE",5,5,"2,500.0 sqft",60.0 perches,
2,"['Two Story House for Sale in Ratnapura, Kahawatta', '27 Jul 12:21 pm', 'Pelmadulla, Ratnapura', '27,000,000', '2 story house in kahawatta town100 meters to Ratnapura_Embilipitiya main road60 perches5 bed rooms with attached bath  rooms2 large living rooms with balconiesLarge dinning roomModern pantryUpper floor bed rooms with balconiesBeautiful large gardenClear deedsPrice 270,00,000/_ (270 lakhs)NegotiableQUICK SALE', '5', '5', '2,500.0 sqft', '60.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Beds:', 'Baths:', 'House size:', 'Land size:']",,,,,,,,
3,"3BR House With Commercial 2 Retail Shop For Sale In Kahawatta,Weladura",27 Jul  9:35 am,"Pelmadulla, Ratnapura","10,000,000","Retail shop and House immediately sale weladura, kahawatta,","Colombo,Embilipitiya Main Rd,waladura,kahawatta",3,2,"2,000.0 sqft",20.0 perches
4,"Single Storey House for Sale in Balangoda, Kirimatithenna",27 Jul  9:35 am,"Balangoda, Ratnapura","4,500,000",Good condition 3 bedrooms 1 bathroom11 Perches 12 feet Rd 200 meters to main rd. Rs. 450000 lak Negotiable ,"Balangoda, kirimatithenna.",2,1,950.0 sqft,11.0 perches
5,House in Embilipitiya,25 Jul  8:52 pm,"Embilipitiya, Ratnapura","4,000,000",ඇඹිලිපිටිය නගරයට ආසන්නයේ කිමී 7ක් පමණ,No 104 Thunkama Embilipitiya,3,1,"1,500.0 sqft",50.0 perches
6,අඩක් නිම කල නිවසක් විකිණීමට ඇත - කුරුවිට,25 Jul  1:43 pm,"Kuruwita, Ratnapura","4,400,000","ජල විදුලි පහසුකම් සමග නිරවුල් ඔප්පු70%ක් වැඩ නිම කර ඇතරත්නපුර කොළඹ ප්‍රධාන මාර්ගයට 700m6 වෙනි පටුමග, ඉසුරු පෙදෙස, පැරඩයිස්, කුරුවිට",4,1,"1,339.0 sqft",10.5 perches,
7,"House For Sale In Balangoda ,Waliharanawa",27 Jul  9:36 am,"Balangoda, Ratnapura","3,000,000",House for sale in balangoda waliharanawa,"Balangoda,waliharanawa",2,1,600.0 sqft,6.5 perches
8,"Single House For Sale In Balangoda,Gurubavila",27 Jul  9:35 am,"Balangoda, Ratnapura","2,200,000",House for sale in balangoda gurubawila.,"Balangoda,Gurubavila",3,1,600.0 sqft,40.0 perches
9,House For Sale-Rathnapura,22 Jul  6:44 pm,"Ratnapura, Ratnapura","5,500,000",අගනා නිවසක් විකිනීමට.රත්නපුර නගරයේ සිට විනාඩි 20ක දුර.මනබදිනා පරිසරයක..ස්වාභාවික විපත් වලින් තොරයි..පානිය ජල පහසුකම්(නිවස අසල ලිදකින්).,"Thennahena,Gileemale,Rathnapura",2,1,"1,700.0 sqft",20.0 perches
10,Fully Completed House Pussella,22 Jul  1:16 pm,"Kuruwita, Ratnapura","9,500,000",300 meters to the Colombo - Badulla main road.,"Galahitiya,Pussella",3,1,"1,500.0 sqft",22.0 perches
11,House in Balangoda,22 Jul  1:10 pm,"Balangoda, Ratnapura","6,500,000",බලංගොඩට නුදුරින් මනරම් පරිසරයක සුන්දර වෙල් යායකට මුහුණලා පර්.54 ක ඉඩම හා අංග සම්පූර්ණ නිවස. බලංගොඩ නගරයේ සිට පෙට්ටිගල පාරේ 2 1/2 km දුරින්. පදිංචියට හෝ නිවාඩු නිකේතනයකට ඉතා සුදුසුය.,3,2,"2,500.0 sqft",54.0 perches,
12,Two Story House for Sale - Eheliyagoda,19 Jul  4:31 pm,"Eheliyagoda, Ratnapura","20,000,000","ඇහැළියගොඩ ටව්මට කිලෝමීටර් බාගයක් දුරින්, ඉතා සන්සුන් පරිසරයක. පන්සල්, පල්ලි ලගින්...","C/85/1/2 PANAWALA ROAD, ASGANGULA, EHELIYAGODA",7,2,"2,200.0 sqft",10.0 perches
