,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Rent/Lease in Kohuwela, 3 Jul 12:25 pm,"Kohuwala, Colombo","1,500,000","*15 perch commercial property available for long term lease.*Currently occupied by a car sale.*Walking distance to Cargills and Keells supermarkets.*Water/Electricity available.*Easily accessible from Colombo-Piliyandala main road.*Suitable for car sale, stores, car wash etc.",Commercial,15.0 Perches,
2,"['Land for Rent/Lease in Kohuwela', ' 3 Jul 12:25 pm', 'Kohuwala, Colombo', '1,500,000', '*15 perch commercial property available for long term lease.*Currently occupied by a car sale.*Walking distance to Cargills and Keells supermarkets.*Water/Electricity available.*Easily accessible from Colombo-Piliyandala main road.*Suitable for car sale, stores, car wash etc.', 'Commercial', '15.0 Perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Bare Land Available for Rent in:: Nawala-Rajagiriya,13 Jul 11:58 am,"Rajagiriya, Colombo","660,000","RENT / LEASE Only (NOT for sale). Located in Nawala-Rajagiriya area. Lot will be available after the current tenant leaves 31st August. Steel shed in the property in the pictures belongs to the tenant and will be removed when they leave. Monthly rent 55,000 with 6 monthadvance. Period of lease open for discussion (Min 2 yrs renewable every 2 years). NO BROKERS PLEASE!!**Note: No activity with excessive noise**",Commercial,30.0 Perches,
4,Land for Rent - Maharagama,18 Jul  9:45 pm,"Maharagama, Colombo","360,000","-20 perch land including 15x40 shed.-Wide antrance gate from Carpeted Neelammahara Road.-3 phase 60 A Electricity supply.-full covered by walls.1.5km to Maharagama and Katuwawela (120 Bus route).Rs 30,000 /= per month",109 Neelammahara Rd Maharagama,Commercial,20.0 Perches
5,Land for Rent Kotte,18 Jul  1:06 pm,"Kotte, Colombo","2,400,000",පර්චස් 15 ක කිබුලාවල හන්දියේ පිහිටි මෙම ඉඩම බදු දීමට,"තලවතුගොඩ පාර,මාදිවල ,කෝට්ටේ (කිබුලාවල හන්දිය )",Commercial,15.0 Perches
6,Land for Rent - Batharamulla,19 Jul 10:35 pm,"Battaramulla, Colombo","500,000",Prime land situated in Baththaramulla Kosawatta. Land situated facing Pipe road Heenatikumbura .40 feet wide main road access .Land is facing main road for about 250 feet. ,"16B, Heenatikumbura Road, Thalangama North , Batharamulla","Agricultural, Commercial",100.0 Perches
7,Bare Land for Rent or Lease Nugegoda,15 Jul  2:48 pm,"Nugegoda, Colombo","2,700,000",Commercial Land for Rent or Lease,"Old Kesbewa Road, Delkanda, Nugegoda",Commercial,39.0 Perches
8,145 Perches Land for Rent or Lease Homagama,15 Jul 12:58 am,"Homagama, Colombo","250,000",::: Location: The land is faced to PANAGODA – EMBULGAMA (B354) main road. The road is linked to Athurugiriya – Godagama (B240) and Colombo – Hanwella Low Level (AB10) main roads at PANAGODA and EMBULGAMA junctions,Commercial,145.0 Perches,
9,Land for Lease Col 5,15 Jul  2:59 pm,"Colombo 5, Colombo","1,320,000",*Land for rent or lease*Located in D.M Colambage Mw Col - 5*Near to Kirupalona Railway station / Nawaloka Hospital / Nawala campus / Pizza Hut.* Road adjoins with Nugegoda - Rajagiriya Rd and Baseline rd.*1st owner for the land.*Call for more details and inquiries. *Contact - Sanjay Dayan,Other,25.0 Perches,
