,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale - Angoda,21 Jul 12:10 pm,"Angoda, Colombo","480,000","Urgent sale. Close by to angoda junction . 5min warking distance to angoda junction .15 min to high way kaduwela entrance .. clam place. Hospital ,school ,supermarket ,all the benefit close by.. no brokers.",godella road,Residential,6.0 perches
2,"['Land for Sale - Angoda', '21 Jul 12:10 pm', 'Angoda, Colombo', '480,000', 'Urgent sale. Close by to angoda junction . 5min warking distance to angoda junction .15 min to high way kaduwela entrance .. clam place. Hospital ,school ,supermarket ,all the benefit close by.. no brokers.', 'godella road', 'Residential', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,13 Perches Land with House for Sale in - Kotikawaththa,18 Jul  7:19 pm,"Angoda, Colombo","19,000,000","Land and House for Sale in Kotikawaththa Town. 13 Perces of Level _ Really Perfect Shape of Piece of Land , Clear Deeds, 1.5 Km to Kotikawaththa Town, Very Calm and Decent Residential Area, Easy Accsses to All Over Colombo. 11 Km Away from Kaduwela Entry To.Matara Highway. One Stored Completed House with 3 Bed Rooms, Big  Living Room, Attached Bathroom and Kitchen. Have  Really Good Land Space to Build Another House. Serious Buyers Only.",Delgahawaththaroad Kotikawaththa,Residential,13.0 perches
4,"Land 7P in Jayanthi Lane, Mulleriyawa New Town",15 Jul  2:48 pm,"Angoda, Colombo","4,900,000","A 7 perches land located on a highland area in Jayanthi 1st lane off Himbutana lane is for sale for 49 lakhs (negotiable). No floods, respectable & calm neighborhood, natural kabok earth. Land facing 20 feet wide public road wall to wall paved. Can come from Angoda 166 Bus terminal then turn to Himbutana lane then turn right to Jayanthi 1st lane then come 400 metres to land. Can also come from Moragaha junction near Arpico Super City via Jayanthi lane (600 metres) and from Rubber Mill junction near Cargills Food City via Jayanthi lane (800 metres) and also from Koswatte junction via Pipe road (2 km) and via Heenetikumbura road (1.8 km).Price Rs. 7 lakhs per perch, total price Rs. 49 lakhs negotiable.All approvals & facilities.","232/10 Jayanthi 1st Lane, Mulleriyawa New town",Residential,7.0 perches
5,"9.5 Perches Land For Sale in Adihena Road, Gothatuwa",12 Jul  4:44 pm,"Angoda, Colombo","850,000","9.5 Perches Land For Sale in 5th Lane, Adihena Road, GothatuwaNear to IDH Hospital400m to Main RoadThis Land is Recently DevelopedSurrounded to Adihena Road & 2 By-LanesIdeal for Both Residential & Commercial PurposesUrgent SaleNo BrokersLast Selling Price: Rs.850,000 Per PerchCall For More Details:","5th Lane, Adihena Road","Commercial, Residential",9.5 perches
6,Land For Sale in Angoda,12 Jul  3:05 pm,"Angoda, Colombo","350,000",Land For Sale in Angoda,Angoda,"Commercial, Residential",21.0 perches
7,"Land For Sale in Kelani Nadee Mawatha, Ambatale",12 Jul  1:42 pm,"Angoda, Colombo","125,000","Land for sale in mulleriyawa north, ambathaleNear Colombo Avissawlla Road, 20 Minutes to colombo, 10 Minutes to kelaniya Temple.කොළඹ අවිස්සාවේල්ල ප්‍රධාන පාර, අඹතලේ කැළණි නදී මාවත, මුල්ලේරියාව, උතුර අංගොඩ.( වගුරු බිමක් ) කැලණි පන්සලට විනාඩි 10.කොළඹ කොටුවට විනාඩි 20.ජලය, විදුලිය සහ සියලු පහසුකම් සහිතයි.මිල ගණන් සාකච්ඡා කරගත හැක.පචර්ස් 39.2.පර්චසයක් 125,000යි.ඉතා ඉක්මනින් විකිනීමට ඇත.","Kalani Nadee Mawatha, Mulleriyawa North, Angoda",Agricultural,39.2 perches
8,Land for Sale in Mulleriyawa,12 Jul  9:46 am,"Angoda, Colombo","460,000",Land for Sale in Mulleriyawa==================,"Mulleriyawa, Angoda",Residential,6.0 perches
9,Land for Sale Koswattha,10 Jul  4:27 pm,"Angoda, Colombo","300,000",Squar land10 feet road1.5km to koswattha1.5km to angodaCarm and residencial areaIdeal opportunity to bulid your hoseUrgent money for sale,"polwattha gunasekara road, himbutana",Residential,6.2 perches
