,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Don Peduru Tea Estate - Batangala Urgent,20 Jul 10:53 am,"Avissawella, Colombo","9,500,000","Beautifully maintained tea plantation in the vicinity of the mountains.natural beauty of the location add value to the refined estate. Batangala don peduru tea estate along Eheliyagoda road dehiowita. 4 1/2 acres under tea cultivation of 5 1/2 acres.little house,water and electricity available..quick and easy to access to the main road mahogni,jack and paper grown area.clear document.","Hinguralakanda, Batangala Rd","Agricultural, Commercial",5.5 acres
2,"['Don Peduru Tea Estate - Batangala Urgent', '20 Jul 10:53 am', 'Avissawella, Colombo', '9,500,000', 'Beautifully maintained tea plantation in the vicinity of the mountains.natural beauty of the location add value to the refined estate. Batangala don peduru tea estate along Eheliyagoda road dehiowita. 4 1/2 acres under tea cultivation of 5 1/2 acres.little house,water and electricity available..quick and easy to access to the main road mahogni,jack and paper grown area.clear document.', 'Hinguralakanda, Batangala Rd', 'Agricultural, Commercial', '5.5 acres']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Commercial Land for Sale in Labugama,19 Jul  7:16 pm,"Avissawella, Colombo","7,500,000",මෙම ඉඩම පිහිටා ඇත්තේ ලබුගම.මෙම ඉඩම හෝටල් හෝ කාමර සඳහා සුදුසු ය.මෙම භූමියට ආසන්නයේ පිහිටි සීතාවක උද්භිද උද්‍යානය පිහිටා ඇති බැවින් මෙම ප්‍රදේශයට සංචාරක ආකර්ෂණය වැඩි වේ.මෙම ප්‍රදේශයේ අඩුම මිල.,Commercial,86.0 perches,
4,Land for sale in Kaluaggala (Near to Leisure World),16 Jul 12:02 pm,"Avissawella, Colombo","2,000,000","10 perches peaceful greenery Environment. close proximity to leisure world Kaluaggala, Approved building plan available if interested.",Residential,10.0 perches,
5,Land for Sale in Avissawella,16 Jul 10:52 am,"Avissawella, Colombo","485,000","නිස්කලංක පරිසරයක් තුල නාගරික පහසුකම්  සොයන ඔබට සීතාවක රාජධානියේ පදිoචියට අගනා අවස්ථාවක්,",Residential,69.0 perches,
6,50 Perch Nice Land Piece Near Kahahena Town,16 Jul  1:57 pm,"Avissawella, Colombo","3,000,000",4.5 Km to Labuaggala Junction Highlevel RoadIn the Labugama / Kahahena RoadNear AvissawellaAbout 700 Metres to Main RoadAbout 900 Metres to the Kahahena TownSelling Cheap due to a personal money matter,"Labugama Road, Kaluaggala, Avissawella","Commercial, Residential",50.0 perches
7,Land for Sale - Avissawella,15 Jul  7:43 am,"Avissawella, Colombo","78,500",කිරිඳිවැල - අමිතිරිගල ප්‍රධාන මාර්ගයටමී.100 දුරින් ගුරුගල්ල විදුහලට සමීපවම____මහදෙනිය ගුරුගේ උයනෙන්_____වටිනා පර්.10 ක් බිම්කොටස විකිණීමට...,"Kirindiwela Road, Guruge Uyana",Residential,10.0 perches
8,Meepe Land Lot No.21,12 Jul  4:05 pm,"Avissawella, Colombo","170,000",* Three Face Electricity* Pipe-born Water* Clear Title For Bank Loans* Local Authority Approvals* House Construction Undertaken* Easy Payment Scheme,"Meepe, High Level Road",Residential,10.0 perches
9,Meepe Land Lot No.09 Avissawella,12 Jul  4:02 pm,"Avissawella, Colombo","200,000",* Three Face Electricity* Pipe-born Water* Clear Title For Bank Loans* Local Authority Approvals* House Construction Undertaken* Easy Payment Scheme,"Meepe, High Level Road",Residential,10.35 perches
