,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Residential Land Plots - Panagoda,18 Jul  3:17 pm,"Hanwella, Colombo","420,000",~~~~~ Live A Prestige Life ~~~~~,"Panagoda, Ambulgama rd",Residential,6.0 perches
2,"['Residential Land Plots - Panagoda', '18 Jul  3:17 pm', 'Hanwella, Colombo', '420,000', '~~~~~ Live A Prestige Life ~~~~~', 'Panagoda, Ambulgama rd', 'Residential', '6.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Hanwella,15 Jul 10:36 am,"Hanwella, Colombo","70,000",Land for Sale in Hanwella====================,"Kaluwangkala, Hanwella","Commercial, Residential",149.0 perches
4,Land for Sale in Hanwella,15 Jul  8:29 am,"Hanwella, Colombo","150,000",හංවැල්ල සිට පූගොඩ පාරේ කිලෝ මීටර් 2න් ප්රහධාන පාරට මීටර් 200 ක් දුරින් තිත්තපත්තර පර්චස් 15 ක් හෝ 20 ක් විකිණීමට ඇත. ටෙලිෆෝන් විදුලිය ජලය පහසුකම් ද ඇත. ගංවතුරට යට නොවේ. පර්චසය - 150000/-,Hanwella -Pugoda Road,Residential,15.0 perches
5,19 Perches Land with Half Completed House for Sale at Hanwella,13 Jul 11:35 am,"Hanwella, Colombo","7,500,000","19 Perches Land with Half Completed Two Storied House for Sale in Hanwella. facing to paddy field in calm and beautiful environment. Just 400 meters away from Colombo – Awissawella high level road. The house consist ground floor with 2 bedrooms, bathroom, living and kitchen.",Pahathgama,"Commercial, Residential",19.0 perches
6,8P Bare Land for Sale in Ranala,20 Jul  2:59 pm,"Hanwella, Colombo","300,000",~~~~~ Live A Prestige Life ~~~~~,Ranala,Residential,8.0 perches
7,Land for Sale in Diddeniya,18 Jul  1:18 pm,"Hanwella, Colombo","3,800,000","40 perches, calm & quite residential environment bare land for sale at Diddeniya Rs.95000/= per perch. 2 miles to Pahathgama high level road and 4km to Meepe town•	20 feet carpet road•	Three phase electricity, •	Well water, •	Pipe born water,•	SLT telephone lines, •	Close proximately to: Schools, Super Markets, Banks, Buddhist Temples, Church, Petrol sheds and many more facilities.•	Clear Dead",Diddeniya,"Commercial, Residential",40.0 perches
8,Land for Sale in - Hanwella, 7 Jul 11:29 am,"Hanwella, Colombo","800,000",0.5 Km to Hanwella Town.Calm and Tranquil Environment.Highly Residential Area.Electricity and Water Supply Available.Clear Deed.,Hanwella,Residential,26.0 perches
9,Bare Land in Hanwella, 6 Jul  1:41 pm,"Hanwella, Colombo","16,500,000",1 perch is 1.5 laks 500m from the main road. For immediate sale Prices are negotiable,Commercial,110.0 perches,
10,Land for Sale in Hanwella, 6 Jul 11:47 am,"Hanwella, Colombo","160,000","20 perches.Clear deed.Owner from 1994.3 phase electricity.Water board water line.Flat land with 15 coconut trees.Expecting 160,000/= per perches",Hanwella,Residential,20.0 perches
11,10p Bare Lands in Kosgama,12 Jul  3:00 pm,"Hanwella, Colombo","1,800,000",---- නැණවත් ඔබට හිතන්නට තැනක් -----,"Awissawella rd, Kosgama",Residential,10.0 perches
12,Land for sale - Thunnana, 3 Jul  4:02 pm,"Hanwella, Colombo","150,000",මනරම් කඳු වැටියක් පෙනෙන ඉඩම. ,"Thunnana, Hanwella","Agricultural, Commercial, Residential, Other",12.3 perches
13,Bare lands in Kosgama,12 Jul  3:01 pm,"Hanwella, Colombo","1,800,000",---- නැණවත් ඔබට හිතන්නට තැනක් -----,"Awissawella rd, Kosgama",Residential,9.0 perches
14,Land for Sale - Artigala,28 Jun  7:48 pm,"Hanwella, Colombo","22,000,000",A Rubber estate near to low level road. clean deeds.suitable for calm living. can be use for commercial needs too.,"Artigala road,Artigala","Agricultural, Commercial",145.0 perches
15,ඉඩමක් විකිණීමට කහටපිටිය,26 Jun  4:34 pm,"Hanwella, Colombo","35,000","සාලාව , කලුඅග්ගල ප්‍රධාන පාරට මායිම්ව ,පිරිසිදු ඔප්පු ,පදිංවියට ,වගාවට අගනා ඉඩමකි",කහටපිටිය,"Agricultural, Residential, Other",80.0 perches
16,Land for sale in Kosgama,25 Jun  7:13 am,"Hanwella, Colombo","55,000","හයිලෙවල් පාරට නුදුරින්සාලාව රෝහල පාරෙන් වින්දනීය මනරම් පරිසරයක අක්කර 02 ක ඉඩම නිවාඩු නිකේතනයකට , යෝගී ආශ්‍රමයකට හෝස්වාභාවික පරිසරයත් භූමියේ පිහිටීමත් අලලා නිර්මාණය කරන නවීන පන්නයේ සොඳුරු නිවසකට මනාව උචිතයි.","Hospital Rd,Kosgama ,Salawa","Commercial, Residential",2.0 acres
17,Land for Sale - Avissawella Kosgama,25 Jun  7:08 am,"Hanwella, Colombo","95,000",~~~ Solid Investment In Beautiful Surrounding ~~~~,"Hospital Rd,Kosgama ,Salawa",Residential,10.0 perches
18,Commercial & Residential Land for Sale in Kosgama Hospital Rd,25 Jun  6:55 am,"Hanwella, Colombo","95,000",~~~ Solid Investment In Beautiful Surrounding ~~~~,"High Level Rd,Kosgama ,Avissawella","Commercial, Residential",10.0 perches
19,Land for Sale in High Level Rd - Kosgama,25 Jun  6:48 am,"Hanwella, Colombo","95,000",~~~ Solid Investment In Beautiful Surrounding ~~~~,"Hospital Rd,Kosgama ,Salawa","Commercial, Residential",10.0 perches
20,Land for Sale Hanwella,19 Jun  4:11 pm,"Hanwella, Colombo","21,000,000","කොළඹට ,නුගේගොඩ විනාඩි 30කින්","Artigala Rd, Batawala.","Agricultural, Residential, Other",174.0 perches
21,Land for Sale - Hanwella,20 Jul  3:03 pm,"Hanwella, Colombo","400,000",~~~~~ Live A Prestige Life ~~~~~,"Ambulgama rd, Welipillewa",Residential,6.5 perches
22,Land for Sale - Hanwella,19 Jun  4:48 pm,"Hanwella, Colombo","10,000,000",විස්තර සඳහා විමසන්න.,"Commercial, Residential, Other",26.0 perches,
23,Land for Sale in Hanwella,30 Jun  9:41 am,"Hanwella, Colombo","80,000",හංවැල්ල ප්‍රදේශයේ ඉඩමක් විකිණීමට ===============================,"Commercial, Residential",144.0 perches,
24,Land for sale - Hanwella,27 Jun  2:00 pm,"Hanwella, Colombo","95,000","Land for sale - Hanwella, Pahathgamaඉඩමක් විකිණීමට - හංවැල්ල==========පහත්ගම වේවැල්පනාව බස් මාර්ගයට මුහුණලා දිද්දෙණිය ප්‍රදේශයේ පර්චස් 11.5 ක ඉඩම විකිණීමට ඇත.තවද පර්චස් 10.5 සහ 12.5 බිම් කොටස් 2 ක් ද ඇත.නිදහස් නිස්කලංක ස්වාභාවික පරිසරයකිඅඩි 20 පාර ඇත.වැඩි විස්තර සඳහා අමත්න.","Diddeniya, Hanwella.","Commercial, Residential, Other",11.5 perches
25,Residence Land Near Hanwella,10 Jun  5:15 pm,"Hanwella, Colombo","1,075,000","13.5p flat land, Located in Thiththapaththara area, 1 minute to Hanwella-Kiridiwela main road, 10 minutes to Hanwella town or Pugoda town, concrete road, two side main entrance roads, Ideal for residence or commercial purpose. Fence around the land.Call for quick sale",1 minute to Hanwella-Kiridiwela main raod,Residential,13.5 perches
26,Bare Land with Small House for Sale in Hanwella, 8 Jun 12:09 pm,"Hanwella, Colombo","7,000,000",Bare Land for Sale in Hanwella=========================,Hanwella,"Commercial, Residential",20.0 perches
