,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Land type:,Land size:,
1,Land for Sale in Bolgoda Lake Frontage 88 perches bare land.,17 Jul  3:19 pm,"Nawala, Colombo","600,000","Land for Sale in Bolgoda Lake Frontage 88 perches bare land.The land is situated in front of the Bolgoda Lake. Peaceful Environment and Friendly Neighborhood. 600,000/- per perch can be negotiable.No: 330, Samagi mw, Keselwaththa, Panadura.","Commercial, Residential",88.0 perches,
2,"['Land for Sale in Bolgoda Lake Frontage 88 perches bare land.', '17 Jul  3:19 pm', 'Nawala, Colombo', '600,000', 'Land for Sale in Bolgoda Lake Frontage 88 perches bare land.The land is situated in front of the Bolgoda Lake. Peaceful Environment and Friendly Neighborhood. 600,000/- per perch can be negotiable.No: 330, Samagi mw, Keselwaththa, Panadura.', 'Commercial, Residential', '88.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale Nawala,22 Jul 12:32 am,"Nawala, Colombo","3,500,000","Nawala koswatta 13 perch with old House for sale High Reidential are close to chadra wettasinghe mawatha prime Residential Block with 80ft.frontage 40feet wide Road .35,00000 per perch negotiate  VERY CLEAR TITLES",Nawla Koswatta,Residential,13.0 perches
4,RESIDENTIAL 20P LAND FOR SALE IN NAWALA,22 Jul 12:06 am,"Nawala, Colombo","4,000,000","Rs 40,000,000/NegotiableOld Single Story House For Sale Nawala (Sale in Land Value)","Walauwattha Road,Nawala Koswattha",Residential,20.0 perches
5,Residential Land for Sale in - Nawala,21 Jul  2:14 pm,"Nawala, Colombo","3,500,000,000",20feet Road (37.5 Million),Nawala Koswatta Road ( Cooray Mawatha),Residential,20.0 perches
6,Land For Sale In Nawala,20 Jul  6:08 pm,"Nawala, Colombo","3,500,000",Highly Residential Land in NawalaLocated in School Lane,"School Avenue, Nawala","Residential, Other",12.0 perches
7,Land for Sale in - Nawala,20 Jul  4:41 pm,"Nawala, Colombo","4,250,000","Land Nawala, Nugegoda 15.5 rectangular land Behind Public bank opposite HSBC30 foot roadwith medium condition  house(not included to  price  liveable 4 room house.)Just 30 mtrs to Nawala Nugegoda road.11 banks within 500 mtrs radious 200 mtrs to open university 400 mts to wetland park30 foot access road 60, 70 feet road fcingCan divide  in to two perfect  blocks facing 30 foot road..Can construct 6 floors apartment with aditional 2 floors as a car park4.25 mn PP.Posted by owner",Gemunu Mw,"Commercial, Residential",15.5 perches
8,15.5 P & Property Sale At Nawala,20 Jul  3:23 pm,"Nawala, Colombo","4,225,000",Rs 4225000.00 Lakhs per perchNegotiable,FACING Gamunu Mawatha Nawala,"Commercial, Residential",15.5 perches
9,Land for sale - Nawala,19 Jul 10:52 pm,"Nawala, Colombo","3,500,000",20 ft road50m to main road800m to koswatta junctionFully square type land,"Nawala,koswatta","Commercial, Residential, Other",10.5 perches
10,Per Perch Value Residential Land Sale in Nawala,19 Jul  2:25 pm,"Nawala, Colombo","3,550,000",Residential Land for SaleSenanayake mawatha.Nawala.------------------------Located 400 meters to Nawala Road.,"Nawala, Senanayake Avenue.",Residential,10.56 perches
11,"10.56P Residential Land for Sale in Nawala, Senanayake Avenue.",19 Jul  2:21 pm,"Nawala, Colombo","37,500,000",Residential Land for SaleSenanayake mawatha.Nawala.------------------------Located 400 meters to Nawala Road.,"Nawala, Senanayake Avenue.",Residential,10.56 perches
12,28 PERCHE SUPER BARE LAND SALE AT NAWALA,19 Jul 11:01 am,"Nawala, Colombo","4,000,000",Rs 4000000.00 LAKHS PER PERCH ,FACING 2nd lane koswatha nawala,"Commercial, Residential",28.0 perches
13,10P Single Story House for Sale Nawala (sale in Land Value ),18 Jul  8:17 pm,"Nawala, Colombo","29,000,000","10P Old Single Story House For Sale  Nawala (Sale in Land Value )Old Road, Nawala. 100metes to Nawala  Junction",Nawala Old Rd.,Residential,10.0 perches
14,Residential Land for Sale - Nawala,17 Jul  4:12 pm,"Nawala, Colombo","2,500,000",2.5 lakh per perch full residence area,Nawala koswatta road,Residential,9.0 perches
15,19.5 P Bare Land Sale at Nawala,17 Jul  1:23 pm,"Nawala, Colombo","4,900,000",Rs 4900000.00 LAKHS per perchNegotiable,FACING RANAWIRU PRABATH COREY ROAD ( GATEWAY - NAWALA KOSWATHA ROAD  ) KOSWATHA NAWALA,"Commercial, Residential",19.5 perches
16,Rectangle Land for Sale at Nawala,17 Jul 12:10 pm,"Nawala, Colombo","3,100,000",Rectangle Land for sale @ Nawala,Near city limit,"Residential, Other",15.5 perches
17,Super Bare Land for Sale in Koswattha - Nawala.,17 Jul 11:44 am,"Nawala, Colombo","52,800,000",Super bare Land For Sale  in koswattha_Nawala. 50metes to Nawala rajagiriya Road.  22ft Road width. 3th block from Nawala Rd. --------------------------Ideal For:----  / Office/Wearhouse/ Bulding/Residence etc...,50metes to Nawala rajagiriya Road.,Residential,11.0 perches
18,23.35 P Land for Sale in Nawala,16 Jul  9:27 pm,"Nawala, Colombo","4,200,000",Rs 4200000.00 LAKHSPER PERCH ( 23.35 P ),FACING WALTER GUNASEKERA ROAD NAWALA / FACING NEAR CANEL CARPET ROAD,"Commercial, Residential",23.35 perches
19,Land for Sale in Nawala,15 Jul  7:10 pm,"Nawala, Colombo","4,000,000","1st lane, Old Road, Nawala. 12.68 Parche land with 4 bedrooms livable house.Can be divided into 2 lands if needed. 22ft Road width. Ideal for commercial or residential.","1st Lane, Nawala","Commercial, Residential, Other",12.68 perches
20,Land for Sale in Bolgoda Lake Frontage 88 perches bare land.,17 Jul  3:19 pm,"Nawala, Colombo","600,000","Land for Sale in Bolgoda Lake Frontage 88 perches bare land.The land is situated in front of the Bolgoda Lake. Peaceful Environment and Friendly Neighborhood. 600,000/- per perch can be negotiable.No: 330, Samagi mw, Keselwaththa, Panadura.","Commercial, Residential",88.0 perches,
21,16 Perch Land | Sale Nawala 3.5 Mil per,15 Jul 11:36 am,"Nawala, Colombo","3,500,000",Land for sale in Nawala,Residential,16.0 perches,
22,Land For Sale At Nawala,14 Jul 12:48 pm,"Nawala, Colombo","9,000,000",Land For Sale at NAWALAWITH SHOPMAIN ROAD FACING💠 Very Use Full For  Business 💠 Good Land 💠 Calm Place       For Quickly Sell☎ Call For More Details..,L-NAWALA-02,Commercial,16.0 perches
23,Land for Sale at Nawala,13 Jul 10:30 am,"Nawala, Colombo","2,900,000",10 perches land is available for sale at nawala junction200 m from nawala junctionnear the KFC 15 ft road assessresidential areaLand with house ( land value only),Residential,10.0 perches,
24,19.5 Perches Land & House in School Lane Nawala,12 Jul  6:25 pm,"Nawala, Colombo","3,000,000","LAND AND HOUSE AT A CONVENIENT RESIDENTIAL LOCATION. EXCELLENT OPPORTUNITY FOR DEVELOPMENT AS A MODERN RESIDENTIAL HOMES. SCHOOL AVENUE IS: * 1.5 KM FROM COLOMBO MUNICIPAL LIMITS* 2 KM FROM SRI JAYAWARDENA MUNICIPAL COUNCIL. * 6 KM FROM GOVERNMENT OFFICES IN SRI JAYAWARDENAPUA* CLOSE TO SHOPPING, SCHOOLS AND OTHER AMENITIES. ",SCHOOL LANE - NAWALA,Residential,19.5 perches
25,8.3 P land & Old House Sale for Nawala,12 Jul  1:15 pm,"Nawala, Colombo","36,000,000",IDEAL FOR RESIDENCE OR RESIDENCE WORK....HIGHLY RESIDENTIAL AREA,"Nirmana Mawatha, Nawala","Commercial, Residential, Other",8.3 perches
26,Land for Sale - Nawala,12 Jul 10:58 am,"Nawala, Colombo","60,000,000",Nawala Goswatta 2nd lane 18 perches 4 bedrooms 2 story house 60 million only land value,Nawala Goswatta 2nd lane,Residential,18.0 perches
27,Valuable Land for Sale - Nawala,12 Jul  9:33 am,"Nawala, Colombo","3,500,000","This property  is situated near Nawala ,Koswaththa. ",Koswaththa,Residential,6.0 perches
28,Land for Sale in Bolgoda Lake Frontage 88 perches bare land.,17 Jul  3:19 pm,"Nawala, Colombo","600,000","Land for Sale in Bolgoda Lake Frontage 88 perches bare land.The land is situated in front of the Bolgoda Lake. Peaceful Environment and Friendly Neighborhood. 600,000/- per perch can be negotiable.No: 330, Samagi mw, Keselwaththa, Panadura.","Commercial, Residential",88.0 perches,
29,Valuable Land Nawala,12 Jul  9:28 am,"Nawala, Colombo","25,000,000","This land is situated in Nirmana Mawatha,  Nawala. Highly residential area .",Nirmana Mawatha,Residential,6.0 perches
30,Land for Sale in Nawala Koswatta,12 Jul  9:10 am,"Nawala, Colombo","21,000,000","LAND FOR SALE IN NAWLA KOSAWATTA21,000,000/- NegotiableLAND DETAILS• Located in a place where the comfort of village and facilities of Nawala city both are in hand. • 250m to Nawala Koswatta junction which is fully developed with all the facilities. • Easy access to Rajagiriya, Colombo 8 & Nugegoda areas. • Walking Distance to Gateway International School• Property is full developed with drainage systems and concrete road ways.","nawala,koswatta",Residential,6.0 perches
31,"Land for sale in Nawala,koswatta",19 Jul  2:27 pm,"Nawala, Colombo","3,700,000",20ft road accessMain road facing 300m to Parliament road800m to koswatta junction 1km to Nawala junction,"Cooray Mw,Nawala","Commercial, Residential, Other",10.0 perches
