,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Thalawathugoda Kalalgoda Road - 7.5 Perch Land At Nice Residential Area,18 Jul  5:41 am,"Talawatugoda, Colombo","1,350,000","තලවතුගොඩ නගරයට නුදුරින්  174 පාරේ සිට මීටර් 500ක දුරින් පිහිටි නිස්කලංක, වැදගත්  නේවාසික පරිසරයක පිහිටි පර්චස් 7.65ක ඉඩම් කැබැල්ල විකිණීමට . කළල්ගොඩ පාරේ සිට දෙවන ඉඩම . පර්චසය ලක්ෂ 13.5 හෝ ආසන්න ඉල්ලුමට . නිරවුල් ඔප්පු. බැංකු ණයක් සහිතයි .  බත්තරමුල්ල , තලවතුගොඩ, මාලබේ කොට්ටාව අධිවේගී පිවිසුම හා මහරගම නගරවලට ඉතා ආසන්න බව නිසා ඉක්මනින් ඉඩම් මිල වැඩි වෙන පරිසරයක පිහිටා ඇත","කළල්ගොඩ පාර , තලවතුගොඩ",Residential,7.65 perches
2,"['Thalawathugoda Kalalgoda Road - 7.5 Perch Land At Nice Residential Area', '18 Jul  5:41 am', 'Talawatugoda, Colombo', '1,350,000', 'තලවතුගොඩ නගරයට නුදුරින්  174 පාරේ සිට මීටර් 500ක දුරින් පිහිටි නිස්කලංක, වැදගත්  නේවාසික පරිසරයක පිහිටි පර්චස් 7.65ක ඉඩම් කැබැල්ල විකිණීමට . කළල්ගොඩ පාරේ සිට දෙවන ඉඩම . පර්චසය ලක්ෂ 13.5 හෝ ආසන්න ඉල්ලුමට . නිරවුල් ඔප්පු. බැංකු ණයක් සහිතයි .  බත්තරමුල්ල , තලවතුගොඩ, මාලබේ කොට්ටාව අධිවේගී පිවිසුම හා මහරගම නගරවලට ඉතා ආසන්න බව නිසා ඉක්මනින් ඉඩම් මිල වැඩි වෙන පරිසරයක පිහිටා ඇත', 'කළල්ගොඩ පාර , තලවතුගොඩ', 'Residential', '7.65 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Talawatugoda,18 Jul 10:10 am,"Talawatugoda, Colombo","1,600,000","Land for sale in Prestigious IVY Park in Thalawathugoda. 600m from Thalawathugoda Junction. Picturesque Entrance. Flat Square land. Convineient location to Hemas Hospital, Jaywardenapura Hospital, Overseas International School, Austasia, Parliament, etc. All facilities available. Clear deeds. Already on a Government Bank Loan which will be settled on transaction.Contact: Dr. Esanda Wellala","35, Ivy Park, Thalawathugoda","Commercial, Residential, Other",10.7 perches
4,24 P Bare Land Sale For Thalawathugoda,22 Jul  3:55 pm,"Talawatugoda, Colombo","1,100,000",24 P Bare Land Sale For Thalawathugoda ,"Jothikarama Road, Thalawathugoda","Residential, Other",24.0 perches
5,Prime Land for Sale Hokandara,18 Jul 11:08 am,"Talawatugoda, Colombo","900,000","Valuable land at Vidyala Junction – Hokandara, available for sale.20 meters to, Kottawa-Malabe main Road with a 30 ft wide access road.500 meters to Vidyala junction and easy access to Outer Circular Expressway.Electricity, Water supply available. Residential/ commercial900000 Rs. PP (Negotiable)","Commercial, Residential",130.0 perches,
6,Land for sale at Thalawathugoda,28 Jun  4:20 pm,"Talawatugoda, Colombo","10,800,000",Land extent -6pDistance to Thalawathugoda junction 450 meterPerch value -1.8mAccess road width -20ftRoad frontage -46ftRoad condition -carpetSoil condition -natural Level-  approximately half feet above the road levelDimension - 46 x 35ftDerivation - north facing,Residential,6.0 perches,
7,Lands for Sale in Thalawathugoda,27 Jun 12:45 pm,"Talawatugoda, Colombo","6,000,000","12 blocks  of land for sale in Thalawathugoda. 6M upwards, close proximity to all conveniences. Highly residential area in tranquil surroundings, bordering a paddy field . Contact Empire Lands.","Commercial, Residential",6.0 perches,
8,25P Bare Land for Sale at Thalawathugoda,22 Jul 12:31 pm,"Talawatugoda, Colombo","1,575,000",Rs 1575000.00 LAKHSPER PERCHNegotiable,FACING 20 FEET 5TH LANE HOKANDARA ROAD THALAWATHUGODA,"Commercial, Residential",25.0 perches
9,Land for Sale in Talawatugoda,18 Jul 10:10 am,"Talawatugoda, Colombo","1,600,000","Land for sale in Prestigious IVY Park in Thalawathugoda. 600m from Thalawathugoda Junction. Picturesque Entrance. Flat Square land. Convineient location to Hemas Hospital, Jaywardenapura Hospital, Overseas International School, Austasia, Parliament, etc. All facilities available. Clear deeds. Already on a Government Bank Loan which will be settled on transaction.Contact: Dr. Esanda Wellala","35, Ivy Park, Thalawathugoda","Commercial, Residential, Other",10.7 perches
