,0,1,2,3,4,5,6,7
0,title,posted date,location,price,description,Address:,Land type:,Land size:
1,Land for Sale in Galle,19 Jul  5:05 pm,"Baddegama, Galle","115,000","prime easy payment and bank loan facilities availableelectricity , 30 feet wide tarring road available",Galle manampita,Residential,10.0 perches
2,"['Land for Sale in Galle', '19 Jul  5:05 pm', 'Baddegama, Galle', '115,000', 'prime easy payment and bank loan facilities availableelectricity , 30 feet wide tarring road available', 'Galle manampita', 'Residential', '10.0 perches']","['title', 'posted date', 'location', 'price', 'description', 'Address:', 'Land type:', 'Land size:']",,,,,,
3,Land for Sale in Manampita,19 Jul  5:04 pm,"Baddegama, Galle","120,000","electricity , 30 feet wide tarring road available.prime finance easy payment and bank loan facilities available.6 months interest free period approved.","Galle , manampita",Residential,10.0 perches
4,අම්පේගම අගනා ඉඩම්.,19 Jul  5:03 pm,"Baddegama, Galle","115,000",ගාල්ල ඇල්පිටිය බස් පාරට මුහුණලා මානම්පිට හන්දියෙන්ම  සියලු පහසුකම් සහිත අගනා නේවාසික බිම් කොටස් .බද්දේගම නගරයට 05kmබටපොල නගරයට 02 kmඉඩමේ වටිනාකමින් 10% ක් ගෙවා ඉතිරිය වසර 07 කින් ගෙවන්න.,"මානම්පිට,අම්පේගම.","Residential, Other",10.0 perches
5,Land for Sale in Holuwagoda,19 Jul  4:17 pm,"Baddegama, Galle","2,500,000","* ගාල්ල සිටි බද්දේගම මාර්ගයේ කිමි. 09ක් දුරින් පිහිටි උස්ගොඩකන්ද වතුයායයේ ග‍්‍රීන් වීව් ඉඩමේ පර්චස් 16 ක බිම් කැබැල්ල විකිණීමට ඇත. * මනරම් වෙල් යායකින් හා නිස්කලංක ප‍්‍රදේශයකි. * ස්ටෙප්ස් නිවාස ක‍්‍රමයට නිවාස ඉදිකිරීමට යෝග්‍ය හා එයට කදිම ප‍්‍රදේශයකි. අසල ඇති නිවාස වලද  වැදගත් පුද්ගලයන් සිටින අතර කිසිම ස්වාභාවික විපත් වලින් තොර ප‍්‍රදේශයකි. * පරිසිදු ඔප්පු වලින් සහත හා ජලය විදුලිය, ටෙළිෆෝන් රැුහැන් සියල්ල සහිත වේ. * කරාපිටිය නගරයට කිමි 2ක් පමණි. * වැඩි ව්සතර සදහා අමතන්න - වැඩිම ඉල්ලුමට ඉක්මනින් විකිණේ.","Green View Land, Holuwagoda, Usgodakanda Wathuyaya.","Residential, Other",16.0 perches
6,තේ වත්ත විකිණීමට - බද්දේගම,21 Jul  4:35 pm,"Baddegama, Galle","7,500,000",බද්දේගම අධිවේගී පිවිසුමට 1km. බද්දේගම නාගොඩ බස් පාරට මුහුණලා අක්කරයක තේ ඉඩම විකිණීමට .මිල ගණන් සාකච්චා සාකච්චා කර ගත හැකිය .,"හැම්මෑලිය, බද්දේගම.",Agricultural,1.0 acres
7,Land for Sale in - Baddegama,18 Jul 11:49 am,"Baddegama, Galle","2,750,000",Land for Sale at A Bargain Price at Baddegama Hikkaduwa Road Kalwagaha Kele.,"Agricultural, Commercial",99.6 perches,
8,Lands for Sale in Baddegama,15 Jul 12:00 pm,"Baddegama, Galle","69,000",Facilities Available Electricity Concrete Drainage System Three Phase Electricity,"Rathnahera Mawatha, Gonapinuwala",Residential,10.5 perches
9,Land for Sale in Wanduramba,12 Jul 12:22 pm,"Baddegama, Galle","3,000,000",වඳුරඹ සිට 2km දුරින් තේ ඉඩමක් කඩිනමින් විකිනීමට ඇත.වැඩිදුර විමසීම් : කපිල,Agricultural,1.5 acres,
10,Land for Sale in Baddegama,23 Jul  6:27 am,"Baddegama, Galle","6,500,000","Situated in serene plane surrounding at pussahena, Ellakanda road of Baddegama (114.90perches With old house)",Pussahena,"Agricultural, Commercial, Residential, Other",114.9 perches
11,ඉඩම් ඉක්මනින් විකිණීමට - ගෝනාපීනුවල, 5 Jul 12:34 pm,"Baddegama, Galle","750,000","ජලය, විදුලිය පුලුල් මාර්ග සහිතයි. බද්දෙගම අධිවේගී පිවිසුමට විනාඩි 10. නිරවුල් ඔප්පු.",ගෝනාපීනුවල,"Commercial, Residential",10.0 perches
12,Land for sale in Ampegama,22 Jul  3:44 pm,"Baddegama, Galle","90,000",10 purchase 2 nos blocks available availableeasy payment and bank loan facilities available,"Galle , Ampegama",Residential,10.0 perches
13,වැයිහේන අගනා ඉඩමක් - ගාල්ල,30 Jun  1:05 pm,"Baddegama, Galle","75,000","ගාල්ල,බද්දේගම-වඳුරඹ මාර්ගයට මුහුණලා වැයිහේන අනගි බිම් කොටසක්.# පර්:46# ව්යාපාරික පරිසරය# අධිවේගී පිවිසුමට 3 km# හික්කඩුවට විනාඩි 30 යි# කාපට් මාර්ගය",Commercial,46.5 perches,
14,Land Sale in Baddegama,28 Jun  1:34 pm,"Baddegama, Galle","1,500,000",10 Perches land for residential and commercial purpose100% Clear deeds Water and electricity Available 10 access feet road Gonapinuwala   - 6 minsBaddegama       -7 minsHikkaduwa        - 10 mins,"Commercial, Residential, Other",10.0 perches,
15,Land for sale in Manampita,27 Jun  2:51 pm,"Baddegama, Galle","120,000","electricity , 30 feet wide tarring road availableprime finance easy payment and bank loan facilities available.6 months interest free period available.",Galle Manampita,Residential,10.0 perches
16,Land for sale Baddegama Galle,27 Jun 12:31 pm,"Baddegama, Galle","120,000",ගාල්ල බද්දේගම සන්දරවල හන්දියේසිට මීටර 1200 පමණ දුරින් පිහිටිපර්.49ක අණර්ග ඉඩම විකිණීමටඔප්පු 100% නිරවුල්ගොතටුව දොඩංගොඩ පාරට මුහුණලා ඇතපිහිටි පොළොවගොඩකල කොටස් නොමැතභූගත ජලය ඇතමිල ගණන් සාකච්ඡාකල හැකබැංකු ණය පහසුකම් ලබගත හැකපිරිසිදු ඔප්පුනිස්කලංක පරිසරයවැඩි විස්තර සඳහා විමසන්න,Sandarawala Baddegama Galle,"Commercial, Residential, Other",49.0 perches
17,නිවසක් සදහා ඉඩම - බද්දේගම,26 Jun  1:51 pm,"Baddegama, Galle","1,050,000","සින්නක්කර ඔප්පු සහිත ඉතා වටිනා *ඉඩමක්, සියලුම පහසුකම් සහිත ඉඩමකි.*බද්දේගම අධිවේගී පිවිසුමට 1km යි. *බද්දේගම ජාතික පාසල් සීමාව තුළ වේ.","Agricultural, Residential, Other",10.75 perches,
18,Land for Sale - Baddegama,25 Jun 11:46 am,"Baddegama, Galle","270,000",Sadarana milakata vikunay,"sandarawala, baddegama",Other,12.0 perches
19,"Land for Sale in Nagoda, Galle",24 Jun  4:31 pm,"Baddegama, Galle","12,000,000","ගාල්ල, මාපලගම ප්‍රධාන මාර්ගයට මුහුණලා පසුපසින් ගින්ගඟට මුහුණලා  පර්චුස්  91 ක සරු පොල් පලදාවක්  හා පොල් පැල සහිත ඉඩම වහාම විකිණේ.","Mapalagama road, Nagoda, Galle","Agricultural, Commercial, Residential",91.0 perches
20,Land for Sale in Ampegama,21 Jun  6:22 pm,"Baddegama, Galle","90,000",prime easy payment and bank loan facilities available,"Galle , Ampegama",Residential,10.0 perches
21,Land for Sale in Baddegama,20 Jun  1:37 pm,"Baddegama, Galle","2,100,000",දැනට කුරුඳු වගා කර ඇත.පදිංචියට ඉතා සුදුසු යතගාල්ල - ඇලපිටිය ප්‍රධාන මාර්ගයට මීටර් 100 යි.අම්පෙගම ප්‍රධාන පාසලට මීටර් 800 යි.බද්දෙම අධිවේගී පිවිසුමට කි.මී. 5 යි.ඇල්පිටිය (කුරුඳුගහ) අධිවේගී පිවිසුමට කි.මී. 17 යි.,"Ampegama, Baddegama","Agricultural, Residential",11.22 perches
22,Land for Sale in Baddegama Town,17 Jun 12:44 pm,"Baddegama, Galle","200,000",බද්දේගම - ඇල්පිටිය ප්‍රධාන මාර්ගයට ආසන්නයේ ජාතික පාසල් සීමාවේ පිහිටි දක්ෂිණ අධිවේගී පිවිසුමට 3 km දුරින්ද බද්දේගම ප්‍රධාන බස් නැවතුම්පොළට මිනිත්තු 5 කින් ලගා විය හැකි නිස්කලංක වටපිටාවක් සහිත ඉඩම විකිණීමට ඇත.,"Agricultural, Commercial, Residential",30.0 perches,
